player_name,sample_size,DG_odds,draftkings_odds,draftkings_ev,fanduel_odds,fanduel_ev,pointsbet_odds,pointsbet_ev,pinnacle_odds,pinnacle_ev,circa_odds,circa_ev
"McIlroy, Rory",150,+1807,+850,-0.502,+750,-0.554,+800,-0.528,+960,-0.444,+960,-0.444
"Conners, Corey",150,+2239,+1600,-0.273,+1700,-0.230,+1800,-0.188,+1888,-0.150,+1900,-0.145
"Fitzpatrick, Matthew",150,+2594,+2000,-0.220,+2100,-0.183,+2200,-0.146,+1839,-0.280,+2200,-0.146
"Henley, Russell",150,+2784,+2000,-0.272,+3200,0.144,+2500,-0.098,+2665,-0.041,+2700,-0.029
"Power, Seamus",150,+3583,+2500,-0.294,+3400,-0.050,+3000,-0.158,+3655,0.019,+3500,-0.023
"Kim, Si Woo",150,+3940,+4000,0.015,+4800,0.213,+4000,0.015,+4535,0.147,+4700,0.188
"Ancer, Abraham",150,+3982,+3500,-0.118,+2800,-0.289,+2500,-0.363,+2941,-0.255,+3000,-0.240
"Bradley, Keegan",150,+4535,+2800,-0.374,+2800,-0.374,+3300,-0.266,+3025,-0.326,+3600,-0.202
"Garcia, Sergio",150,+4651,+3500,-0.242,+5000,0.074,+4500,-0.032,+4265,-0.081,+4400,-0.053
"Homa, Max",150,+4900,+2800,-0.420,+4100,-0.160,+4000,-0.180,+4231,-0.134,+4100,-0.160
"Young, Cameron",150,+5177,+2800,-0.450,+4100,-0.204,+4000,-0.223,+4392,-0.149,+4200,-0.185
"Mitchell, Keith",150,+5335,+4000,-0.246,+5500,0.030,+5500,0.030,+4940,-0.073,+5100,-0.043
"Finau, Tony",150,+5410,+2500,-0.528,+2100,-0.601,+2200,-0.583,+2464,-0.535,+2500,-0.528
"Casey, Paul",150,+5425,+3500,-0.348,+4100,-0.240,+4000,-0.258,+3769,-0.300,+4900,-0.095
"Hatton, Tyrrell",150,+5774,+2000,-0.642,+3600,-0.370,+3000,-0.472,+3591,-0.372,+3400,-0.404
"Ghim, Doug",150,+5915,+6500,0.097,+7000,0.180,+5000,-0.152,+6051,0.023,+5100,-0.135
"Long, Adam",150,+5970,+8000,0.334,+6500,0.087,+6600,0.104,+6331,0.060,+7000,0.170
"Dahmen, Joel",150,+6331,+6000,-0.051,+7000,0.104,+6000,-0.051,+5863,-0.073,+5100,-0.191
"Woodland, Gary",150,+6436,+3500,-0.449,+3600,-0.434,+2500,-0.602,+3806,-0.402,+3700,-0.419
"Vegas, Jhonattan",150,+6785,+6500,-0.041,+5500,-0.187,+6000,-0.114,+5913,-0.127,+7000,0.031
"Harman, Brian",150,+7030,+6500,-0.074,+6500,-0.074,+6000,-0.144,+6624,-0.057,+6800,-0.032
"Streelman, Kevin",150,+7280,+8000,0.098,+7500,0.030,+7000,-0.038,+5790,-0.202,+8000,0.098
"Knox, Russell",150,+7363,+13000,0.755,+9000,0.219,+8000,0.085,+8096,0.098,+9000,0.219
"Straka, Sepp",150,+7476,+4000,-0.459,+6500,-0.129,+6000,-0.195,+5469,-0.265,+6000,-0.195
"NeSmith, Matthew",150,+7868,+10000,0.268,+7500,-0.046,+7000,-0.109,+8044,0.022,+8000,0.017
"Rai, Aaron",150,+8393,+8000,-0.046,+7500,-0.105,+6600,-0.211,+7651,-0.087,+7400,-0.117
"Leishman, Marc",150,+8691,+2000,-0.761,+4100,-0.522,+3300,-0.613,+3550,-0.585,+4900,-0.431
"Kuchar, Matt",150,+8929,+5000,-0.435,+5000,-0.435,+5500,-0.380,+6955,-0.219,+6000,-0.324
