Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4079600935,jcurtis3003,1084.94,31.6,QB Daniel Jones RB Joe Mixon RB J.K. Dobbins WR Davante Adams WR Jordan Addison WR A.J. Brown TE Darren Waller FLEX Deebo Samuel BN D'Andre Swift BN Russell Wilson BN Dalton Schultz BN Antonio Gibson BN Alec Pierce BN Devin Singletary BN Michael Carter BN Sam Howell BN Chuba Hubbard BN Isaiah Likely BN Van Jefferson BN Terrace Marshall Jr.,,Evan Engram,TE,41.67%,0
2,4079609874,caseygrayson18,1084.94,21.9,QB Russell Wilson RB Zamir White RB Aaron Jones WR Ja'Marr Chase WR DK Metcalf WR Calvin Ridley TE Evan Engram FLEX Brandon Aiyuk BN Cam Akers BN James Cook BN Brian Robinson Jr. BN Jamaal Williams BN Adam Thielen BN Bryce Young BN C.J. Stroud BN Rashee Rice BN Jake Ferguson BN Noah Fant BN Deuce Vaughn BN Deon Jackson,,Adam Thielen,BN,41.67%,0
3,4079619590,zgaspari,1112.47,15.68,QB Trevor Lawrence RB Khalil Herbert RB Brian Robinson Jr. WR Jakobi Meyers WR A.J. Brown WR Jaylen Waddle TE Dallas Goedert FLEX Deebo Samuel BN Christian Kirk BN Tua Tagovailoa BN De'Von Achane BN Taysom Hill BN Alec Pierce BN Kendre Miller BN Rondale Moore BN Leonard Fournette BN Tyler Conklin BN Mac Jones BN Jerome Ford BN Chris Evans,,Christian McCaffrey,RB,33.33%,0
4,4079609876,Grammie51,1057.4099,14.1,QB Jalen Hurts RB Ty Chandler RB D'Andre Swift WR K.J. Osborn WR A.J. Brown WR Deebo Samuel TE Evan Engram FLEX DeAndre Hopkins BN Cam Akers BN Rachaad White BN Dak Prescott BN Allen Lazard BN Dawson Knox BN Adam Thielen BN D'Onta Foreman BN Brock Purdy BN Marvin Jones Jr. BN Luke Musgrave BN Justyn Ross BN Calvin Austin III,,Josh Allen,QB,33.33%,0
5,4079593606,onemoh,1089.88,12.099999,QB Josh Allen RB Derrick Henry RB Aaron Jones WR Jordan Addison WR Justin Jefferson WR Gabe Davis TE T.J. Hockenson FLEX Elijah Moore BN Kirk Cousins BN JuJu Smith-Schuster BN Adam Thielen BN Bryce Young BN DJ Chark Jr. BN Devin Singletary BN Rashee Rice BN Leonard Fournette BN Hayden Hurst BN Chuba Hubbard BN Jerome Ford BN Mack Hollins,,Christian Kirk,WR,33.33%,0
6,4079600936,fantasysuperstar,1144.94,7.7,QB Dak Prescott RB Chase Brown RB Joe Mixon WR CeeDee Lamb WR Amon-Ra St. Brown WR Kadarius Toney TE George Kittle FLEX Travis Etienne Jr. BN Diontae Johnson BN Brandin Cooks BN Jameson Williams BN Elijah Mitchell BN Ezekiel Elliott BN Curtis Samuel BN Mike Gesicki BN Sam LaPorta BN Mac Jones BN Gus Edwards BN Jerick McKinnon BN Tank Dell,,D'Andre Swift,FLEX,33.33%,0
7,4079619591,Totspurs1,1144.94,1.4,QB Tua Tagovailoa RB Saquon Barkley RB Brian Robinson Jr. WR Tyreek Hill WR Chris Olave WR DeAndre Hopkins TE Irv Smith Jr. FLEX George Kittle BN Christian Kirk BN Kirk Cousins BN Samaje Perine BN De'Von Achane BN Michael Gallup BN Curtis Samuel BN Isaiah Hodgins BN Mecole Hardman Jr. BN Cedric Tillman BN Parris Campbell BN Ryan Tannehill BN Keaontay Ingram,,Trevor Lawrence,QB,25.00%,0
8,4079593605,jakearver,1200,0,QB Trevor Lawrence RB Christian McCaffrey RB Miles Sanders WR Jaylen Waddle WR DeVonta Smith WR Terry McLaurin TE Evan Engram FLEX Dameon Pierce BN Rashaad Penny BN Samaje Perine BN Kyler Murray BN C.J. Stroud BN Michael Gallup BN Rondale Moore BN Trey McBride BN John Metchie III BN Jayden Reed BN Richie James Jr. BN Tank Dell BN Hunter Henry,,Bryce Young,BN,25.00%,0
8,4079609873,lypatel,1200,0,QB Josh Allen RB Christian McCaffrey RB Tony Pollard WR Drake London WR Christian Kirk WR Mike Evans TE Evan Engram FLEX Jahan Dotson BN James Cook BN Zach Charbonnet BN Tyler Allgeier BN Adam Thielen BN Donovan Peoples-Jones BN Dalton Kincaid BN Juwan Johnson BN Rashid Shaheed BN Mac Jones BN Baker Mayfield BN Deonte Harty BN Kendrick Bourne,,Devin Singletary,BN,25.00%,0
8,4079619592,DeepSeaMike,1200,0,QB Lamar Jackson RB Jonathan Taylor RB Saquon Barkley WR Amon-Ra St. Brown WR Tyler Lockett WR Diontae Johnson TE Tyler Higbee FLEX D'Andre Swift BN Rashaad Penny BN Rashod Bateman BN Zay Flowers BN Geno Smith BN Raheem Mostert BN Matthew Stafford BN Curtis Samuel BN Jake Ferguson BN Isaiah Likely BN Richie James Jr. BN Deonte Harty BN Puka Nacua,,Chuba Hubbard,BN,25.00%,0
8,4079593608,CMerc3,1140,0,QB Josh Allen RB Christian McCaffrey RB Najee Harris WR Christian Kirk WR Gabe Davis WR Courtland Sutton TE Pat Freiermuth FLEX James Conner BN Patrick Mahomes BN Odell Beckham Jr. BN Jamaal Williams BN Cole Kmet BN Adam Thielen BN Bryce Young BN Juwan Johnson BN Devin Singletary BN Hunter Renfrow BN Michael Carter BN Cade Otton BN Melvin Gordon III,,A.J. Brown,WR,25.00%,0
8,4079600933,nolan3723,1084.94,0,QB Josh Allen RB Christian McCaffrey RB D'Andre Swift WR Calvin Ridley WR Mike Williams WR Michael Thomas TE Evan Engram FLEX Alexander Mattison BN Trevor Lawrence BN Damien Harris BN Tyler Boyd BN Raheem Mostert BN Dalton Kincaid BN Marquez Valdes-Scantling BN Josh Downs BN Khalil Shakir BN Marvin Mims Jr. BN Chuba Hubbard BN Deuce Vaughn BN Demario Douglas,,Deebo Samuel,WR,25.00%,0
,,,,,,,Curtis Samuel,BN,25.00%,0
,,,,,,,Mac Jones,BN,25.00%,0
,,,,,,,Brian Robinson Jr.,BN,25.00%,0
,,,,,,,Jaylen Waddle,WR,16.67%,0
,,,,,,,Rashaad Penny,BN,16.67%,0
,,,,,,,Samaje Perine,BN,16.67%,0
,,,,,,,C.J. Stroud,BN,16.67%,0
,,,,,,,Michael Gallup,BN,16.67%,0
,,,,,,,Rondale Moore,BN,16.67%,0
,,,,,,,Richie James Jr.,BN,16.67%,0
,,,,,,,Tank Dell,BN,16.67%,0
,,,,,,,Aaron Jones,RB,16.67%,0
,,,,,,,Gabe Davis,WR,16.67%,0
,,,,,,,Jordan Addison,WR,16.67%,2.9
,,,,,,,Kirk Cousins,BN,16.67%,0
,,,,,,,Rashee Rice,BN,16.67%,0
,,,,,,,Leonard Fournette,BN,16.67%,0
,,,,,,,Jerome Ford,BN,16.67%,0
,,,,,,,Jamaal Williams,BN,16.67%,0
,,,,,,,Juwan Johnson,BN,16.67%,0
,,,,,,,Michael Carter,BN,16.67%,0
,,,,,,,Calvin Ridley,WR,16.67%,0
,,,,,,,Raheem Mostert,BN,16.67%,0
,,,,,,,Dalton Kincaid,BN,16.67%,0
,,,,,,,Deuce Vaughn,BN,16.67%,0
,,,,,,,Joe Mixon,RB,16.67%,1.6
,,,,,,,Russell Wilson,BN,16.67%,0
,,,,,,,Alec Pierce,BN,16.67%,0
,,,,,,,Isaiah Likely,BN,16.67%,0
,,,,,,,Amon-Ra St. Brown,WR,16.67%,0
,,,,,,,George Kittle,TE,16.67%,0
,,,,,,,Dak Prescott,QB,16.67%,0
,,,,,,,Diontae Johnson,WR,16.67%,0
,,,,,,,James Cook,BN,16.67%,0
,,,,,,,Deonte Harty,BN,16.67%,0
,,,,,,,Cam Akers,RB,16.67%,0
,,,,,,,Jake Ferguson,BN,16.67%,0
,,,,,,,DeAndre Hopkins,WR,16.67%,0
,,,,,,,Tua Tagovailoa,BN,16.67%,0
,,,,,,,De'Von Achane,BN,16.67%,0
,,,,,,,Saquon Barkley,RB,16.67%,0
,,,,,,,DeVonta Smith,WR,8.33%,0
,,,,,,,Miles Sanders,RB,8.33%,0
,,,,,,,Terry McLaurin,WR,8.33%,0
,,,,,,,Dameon Pierce,FLEX,8.33%,0
,,,,,,,Kyler Murray,BN,8.33%,0
,,,,,,,Trey McBride,BN,8.33%,0
,,,,,,,John Metchie III,BN,8.33%,0
,,,,,,,Jayden Reed,BN,8.33%,0
,,,,,,,Hunter Henry,BN,8.33%,0
,,,,,,,Justin Jefferson,WR,8.33%,2.7
,,,,,,,Derrick Henry,RB,8.33%,0
,,,,,,,T.J. Hockenson,TE,8.33%,6.5
