Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4079162254,borden80,840,42.78,QB Justin Herbert RB Miles Sanders RB Alvin Kamara WR Davante Adams WR Jakobi Meyers WR Amon-Ra St. Brown TE Evan Engram FLEX Mike Williams BN Keenan Allen BN Khalil Herbert BN Damien Harris BN Skyy Moore BN Jalin Hyatt BN Jeff Wilson Jr. BN Tyler Higbee BN Rondale Moore BN Jimmy Garoppolo BN Jerome Ford BN DeVante Parker BN Adam Trautman,,DeAndre Hopkins,WR,50.00%,0
2,4079171679,CynthiasPomeranian,1140,27.1,QB Jared Goff RB Bijan Robinson RB Jahmyr Gibbs WR Davante Adams WR DJ Moore WR DeAndre Hopkins TE Pat Freiermuth FLEX J.K. Dobbins BN Brandon Aiyuk BN James Cook BN Derek Carr BN Dalton Kincaid BN Taysom Hill BN Alec Pierce BN Rashid Shaheed BN Devin Singletary BN Jake Ferguson BN Khalil Shakir BN Clyde Edwards-Helaire BN Gardner Minshew II,,Alvin Kamara,BN,41.67%,0
2,4079181241,Snownole,1140,27.1,QB Josh Allen RB Aaron Jones RB Alvin Kamara WR Davante Adams WR Tyreek Hill WR DeAndre Hopkins TE Cole Kmet FLEX Gabe Davis BN Khalil Herbert BN Jamaal Williams BN Kyler Murray BN Jordan Love BN Dalton Kincaid BN Romeo Doubs BN Tyjae Spears BN Hunter Henry BN Luke Musgrave BN Deonte Harty BN Randall Cobb BN Michael Wilson,,Jerome Ford,BN,33.33%,0
2,4079181240,bigd50man,1080,27.1,QB Geno Smith RB Najee Harris RB Isiah Pacheco WR Davante Adams WR Tyreek Hill WR DK Metcalf TE Cole Kmet FLEX Drake London BN Mike Evans BN Gabe Davis BN AJ Dillon BN Raheem Mostert BN Jeff Wilson Jr. BN Tyjae Spears BN Michael Gallup BN Kenny Pickett BN Isaiah Likely BN Tyler Conklin BN Corey Davis BN Kendrick Bourne,,Tyreek Hill,WR,33.33%,0
5,4079156712,DeepSeaMike,1054,24.3,QB Geno Smith RB Tony Pollard RB James Cook WR Joshua Palmer WR Stefon Diggs WR Deebo Samuel TE George Kittle FLEX Mike Williams BN Jaxon Smith-Njigba BN Alvin Kamara BN Jeff Wilson Jr. BN C.J. Stroud BN Jaylen Warren BN Nico Collins BN Michael Gallup BN Jake Ferguson BN Brock Purdy BN Kyren Williams BN Chris Evans BN Xavier Hutchinson,,Jeff Wilson Jr.,BN,33.33%,0
6,4079162251,gocaptains5,1020,23,QB Dak Prescott RB J.K. Dobbins RB D'Andre Swift WR CeeDee Lamb WR Garrett Wilson WR Keenan Allen TE Michael Mayer FLEX Gerald Everett BN Christian Kirk BN Jahan Dotson BN Alvin Kamara BN Anthony Richardson BN Raheem Mostert BN Dalton Kincaid BN Trey Lance BN Jeff Wilson Jr. BN Marquez Valdes-Scantling BN Robert Woods BN Ryan Tannehill BN Greg Dortch,,Davante Adams,WR,33.33%,27.1
7,4079181239,Donkeydong27,1054,13.9,QB Bryce Young RB Josh Jacobs RB Rachaad White WR Tyreek Hill WR DK Metcalf WR Christian Watson TE Michael Mayer FLEX Javonte Williams BN Courtland Sutton BN Pat Freiermuth BN Alexander Mattison BN Matthew Stafford BN Nico Collins BN Mike Gesicki BN Tyquan Thornton BN Brock Purdy BN Noah Fant BN Jerick McKinnon BN Greg Dortch BN Chase Edmonds,,Stefon Diggs,WR,25.00%,0
8,4079171683,Rhinows,1062,9.4,QB Jalen Hurts RB Christian McCaffrey RB Rashaad Penny WR Jordan Addison WR Jaylen Waddle WR DeAndre Hopkins TE T.J. Hockenson FLEX Dallas Goedert BN Kirk Cousins BN Damien Harris BN Skyy Moore BN Roschon Johnson BN Kendre Miller BN Nico Collins BN Trey McBride BN Jayden Reed BN Van Jefferson BN Jerome Ford BN Corey Davis BN Michael Wilson,,Brandon Aiyuk,BN,25.00%,0
9,4079156710,spurrierFTW,1140,9.1,QB Justin Fields RB Tony Pollard RB Javonte Williams WR Tyreek Hill WR Jaylen Waddle WR DeAndre Hopkins TE Gerald Everett FLEX Marquise Brown BN Tua Tagovailoa BN Zay Flowers BN Dalton Schultz BN De'Von Achane BN Darnell Mooney BN Roschon Johnson BN Rashid Shaheed BN Kenneth Gainwell BN Kareem Hunt BN Jayden Reed BN Hunter Henry BN Chase Edmonds,,Khalil Herbert,BN,25.00%,0
10,4079162255,cello52,1054,6.5,QB Jalen Hurts RB Javonte Williams RB Alvin Kamara WR Cooper Kupp WR DeAndre Hopkins WR Keenan Allen TE T.J. Hockenson FLEX Michael Pittman Jr. BN Kadarius Toney BN Odell Beckham Jr. BN Rashaad Penny BN Russell Wilson BN Tyler Higbee BN Devin Singletary BN Clyde Edwards-Helaire BN Zach Ertz BN Allen Robinson II BN DeVante Parker BN Chase Edmonds BN Zack Moss,,Jared Goff,QB,25.00%,0
11,4079156709,bs7870,1174,6.1,QB Jared Goff RB Chase Brown RB Travis Etienne Jr. WR Stefon Diggs WR A.J. Brown WR Amari Cooper TE David Njoku FLEX Brandon Aiyuk BN Isiah Pacheco BN Marquise Brown BN Treylon Burks BN Khalil Herbert BN Kyler Murray BN Chig Okonkwo BN C.J. Stroud BN Josh Downs BN Isaiah Likely BN Van Jefferson BN Jerome Ford BN Ryan Tannehill,,Ryan Tannehill,BN,25.00%,0
12,4079171680,vinc7483,1200,0,QB Jared Goff RB Jahmyr Gibbs RB Dalvin Cook WR Stefon Diggs WR Amon-Ra St. Brown WR DeAndre Hopkins TE Chig Okonkwo FLEX D'Andre Swift BN Brandon Aiyuk BN Brandin Cooks BN Skyy Moore BN DJ Chark Jr. BN Jaylen Warren BN Trey McBride BN John Metchie III BN Mac Jones BN Noah Fant BN Jerome Ford BN Allen Robinson II BN Ryan Tannehill,,Javonte Williams,RB,25.00%,0
,,,,,,,Chase Edmonds,BN,25.00%,0
,,,,,,,Nico Collins,BN,25.00%,0
,,,,,,,Keenan Allen,WR,25.00%,0
,,,,,,,Dalton Kincaid,BN,25.00%,0
,,,,,,,Skyy Moore,BN,25.00%,0
,,,,,,,Isiah Pacheco,RB,16.67%,0
,,,,,,,Marquise Brown,FLEX,16.67%,0
,,,,,,,Kyler Murray,BN,16.67%,0
,,,,,,,Chig Okonkwo,BN,16.67%,0
,,,,,,,C.J. Stroud,BN,16.67%,0
,,,,,,,Isaiah Likely,BN,16.67%,0
,,,,,,,Van Jefferson,BN,16.67%,0
,,,,,,,Jaylen Waddle,WR,16.67%,0
,,,,,,,Tony Pollard,RB,16.67%,0
,,,,,,,Roschon Johnson,BN,16.67%,0
,,,,,,,Rashid Shaheed,BN,16.67%,0
,,,,,,,Gerald Everett,BN,16.67%,9.1
,,,,,,,Jayden Reed,BN,16.67%,0
,,,,,,,Hunter Henry,BN,16.67%,0
,,,,,,,Mike Williams,WR,16.67%,0
,,,,,,,James Cook,RB,16.67%,0
,,,,,,,Geno Smith,QB,16.67%,0
,,,,,,,Jaylen Warren,BN,16.67%,0
,,,,,,,Michael Gallup,BN,16.67%,0
,,,,,,,Jake Ferguson,BN,16.67%,0
,,,,,,,Brock Purdy,BN,16.67%,0
,,,,,,,J.K. Dobbins,RB,16.67%,0
,,,,,,,D'Andre Swift,RB,16.67%,0
,,,,,,,Raheem Mostert,BN,16.67%,0
,,,,,,,Michael Mayer,BN,16.67%,13.9
,,,,,,,Greg Dortch,BN,16.67%,0
,,,,,,,Amon-Ra St. Brown,WR,16.67%,0
,,,,,,,Damien Harris,BN,16.67%,0
,,,,,,,Tyler Higbee,BN,16.67%,0
,,,,,,,DeVante Parker,BN,16.67%,0
,,,,,,,Jalen Hurts,QB,16.67%,0
,,,,,,,T.J. Hockenson,TE,16.67%,6.5
,,,,,,,Rashaad Penny,BN,16.67%,0
,,,,,,,Devin Singletary,BN,16.67%,0
,,,,,,,Clyde Edwards-Helaire,BN,16.67%,0
,,,,,,,Allen Robinson II,BN,16.67%,0
,,,,,,,Jahmyr Gibbs,RB,16.67%,0
,,,,,,,Pat Freiermuth,BN,16.67%,0
,,,,,,,Trey McBride,BN,16.67%,0
,,,,,,,Noah Fant,BN,16.67%,0
,,,,,,,Corey Davis,BN,16.67%,0
,,,,,,,Michael Wilson,BN,16.67%,0
,,,,,,,DK Metcalf,WR,16.67%,0
,,,,,,,Gabe Davis,BN,16.67%,0
,,,,,,,Cole Kmet,TE,16.67%,0
,,,,,,,Tyjae Spears,BN,16.67%,0
,,,,,,,A.J. Brown,WR,8.33%,0
,,,,,,,Travis Etienne Jr.,RB,8.33%,0
,,,,,,,Amari Cooper,WR,8.33%,0
,,,,,,,Treylon Burks,BN,8.33%,0
,,,,,,,David Njoku,TE,8.33%,0
,,,,,,,Josh Downs,BN,8.33%,0
,,,,,,,Chase Brown,BN,8.33%,6.1
,,,,,,,Justin Fields,QB,8.33%,0
,,,,,,,Tua Tagovailoa,BN,8.33%,0
,,,,,,,Zay Flowers,BN,8.33%,0
,,,,,,,Dalton Schultz,TE,8.33%,0
,,,,,,,De'Von Achane,BN,8.33%,0
,,,,,,,Darnell Mooney,BN,8.33%,0
,,,,,,,Kenneth Gainwell,BN,8.33%,0
,,,,,,,Kareem Hunt,BN,8.33%,0
,,,,,,,Deebo Samuel,WR,8.33%,0
,,,,,,,George Kittle,TE,8.33%,0
,,,,,,,Jaxon Smith-Njigba,FLEX,8.33%,0
,,,,,,,Joshua Palmer,BN,8.33%,24.3
,,,,,,,Kyren Williams,BN,8.33%,0
,,,,,,,Chris Evans,BN,8.33%,0
,,,,,,,Xavier Hutchinson,BN,8.33%,0
,,,,,,,CeeDee Lamb,WR,8.33%,0
,,,,,,,Garrett Wilson,WR,8.33%,0
,,,,,,,Christian Kirk,FLEX,8.33%,0
,,,,,,,Dak Prescott,QB,8.33%,0
,,,,,,,Jahan Dotson,BN,8.33%,0
,,,,,,,Anthony Richardson,BN,8.33%,0
,,,,,,,Trey Lance,BN,8.33%,0
,,,,,,,Marquez Valdes-Scantling,BN,8.33%,0
,,,,,,,Robert Woods,BN,8.33%,0
,,,,,,,Justin Herbert,QB,8.33%,0
,,,,,,,Miles Sanders,RB,8.33%,0
,,,,,,,Evan Engram,TE,8.33%,0
,,,,,,,Jakobi Meyers,BN,8.33%,15.68
,,,,,,,Jalin Hyatt,BN,8.33%,0
,,,,,,,Rondale Moore,BN,8.33%,0
,,,,,,,Jimmy Garoppolo,BN,8.33%,0
,,,,,,,Adam Trautman,BN,8.33%,0
,,,,,,,Cooper Kupp,WR,8.33%,0
,,,,,,,Michael Pittman Jr.,FLEX,8.33%,0
,,,,,,,Kadarius Toney,BN,8.33%,0
,,,,,,,Odell Beckham Jr.,BN,8.33%,0
,,,,,,,Russell Wilson,BN,8.33%,0
,,,,,,,Zach Ertz,BN,8.33%,0
,,,,,,,Zack Moss,BN,8.33%,0
,,,,,,,Bijan Robinson,RB,8.33%,0
,,,,,,,DJ Moore,WR,8.33%,0
,,,,,,,Derek Carr,BN,8.33%,0
