Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4079146537,InFidelCashFlo,994,41,QB Justin Fields RB Najee Harris RB Javonte Williams WR Davante Adams WR CeeDee Lamb WR DJ Moore TE Michael Mayer FLEX George Kittle BN Marquise Brown BN Zach Charbonnet BN AJ Dillon BN Tyler Boyd BN Raheem Mostert BN Romeo Doubs BN Alec Pierce BN DJ Chark Jr. BN Rashid Shaheed BN Michael Carter BN Mac Jones BN Marvin Jones Jr.,,CeeDee Lamb,WR,58.33%,0
2,4079152685,zackford92,1054,33.2,QB Dak Prescott RB Chase Brown RB Miles Sanders WR Davante Adams WR CeeDee Lamb WR DK Metcalf TE Cole Kmet FLEX Calvin Ridley BN D'Andre Swift BN Rachaad White BN Daniel Jones BN Brian Robinson Jr. BN Jamaal Williams BN Greg Dulcich BN Juwan Johnson BN Ezekiel Elliott BN Desmond Ridder BN Mac Jones BN Robert Woods BN Marvin Jones Jr.,,Dak Prescott,BN,41.67%,0
3,4079146539,eastcoastcashmoney,1088,27.1,QB Dak Prescott RB Travis Etienne Jr. RB James Cook WR Davante Adams WR CeeDee Lamb WR DJ Moore TE Kyle Pitts FLEX Tyler Lockett BN Marquise Brown BN Kirk Cousins BN Tyler Allgeier BN Dalton Schultz BN Taysom Hill BN Jeff Wilson Jr. BN Devin Singletary BN Tank Bigsby BN Isaiah Hodgins BN Mac Jones BN Robbie Chosen BN Joshua Dobbs,,Mac Jones,BN,41.67%,0
4,4079152687,nassho,1080,25.98,QB Josh Allen RB Najee Harris RB Rachaad White WR Jakobi Meyers WR Quentin Johnston WR Stefon Diggs TE Dallas Goedert FLEX DK Metcalf BN Courtland Sutton BN James Cook BN Rashaad Penny BN Aaron Rodgers BN Devin Singletary BN Jake Ferguson BN Khalil Shakir BN Van Jefferson BN Parris Campbell BN Clyde Edwards-Helaire BN Baker Mayfield BN Puka Nacua,,James Cook,BN,41.67%,0
5,4079128194,Borounited24,1114,17.5,QB Justin Fields RB Zamir White RB Rashaad Penny WR Tyreek Hill WR Jaylen Waddle WR DeVonta Smith TE George Kittle FLEX Christian Watson BN Mike Evans BN Rashod Bateman BN Brian Robinson Jr. BN Darnell Mooney BN Jordan Love BN Raheem Mostert BN Wan'Dale Robinson BN Jonathan Mingo BN Gus Edwards BN Luke Musgrave BN Kyren Williams BN Chris Evans,,DK Metcalf,WR,33.33%,0
6,4079137511,Jflash29x,1114,13.9,QB Matthew Stafford RB Aaron Jones RB Dalvin Cook WR Stefon Diggs WR CeeDee Lamb WR DK Metcalf TE Michael Mayer FLEX DJ Moore BN George Pickens BN Cam Akers BN Rachaad White BN Elijah Moore BN Elijah Mitchell BN D'Onta Foreman BN Rashid Shaheed BN Nico Collins BN Sam LaPorta BN Isaiah Likely BN Desmond Ridder BN Tank Dell,,D'Andre Swift,RB,33.33%,0
7,4079128193,realstraightshooter,1054,10.6,QB Jalen Hurts RB Austin Ekeler RB Joshua Kelley WR DK Metcalf WR Christian Kirk WR Terry McLaurin TE Evan Engram FLEX D'Andre Swift BN Isiah Pacheco BN Pat Freiermuth BN Rashod Bateman BN Tyler Allgeier BN Adam Thielen BN DJ Chark Jr. BN Nico Collins BN Sam Howell BN Mac Jones BN Hunter Henry BN DeVante Parker BN Trayveon Williams,,Stefon Diggs,WR,33.33%,0
8,4079128192,Goodson1,1028,9,QB Trevor Lawrence RB Austin Ekeler RB Joe Mixon WR CeeDee Lamb WR Calvin Ridley WR Marquise Brown TE Chig Okonkwo FLEX Rhamondre Stevenson BN Dak Prescott BN JuJu Smith-Schuster BN Tyler Allgeier BN Tyler Boyd BN Roschon Johnson BN Dalton Kincaid BN Michael Gallup BN Jayden Reed BN Jerome Ford BN Tank Dell BN James Robinson BN Luke Musgrave,,DJ Moore,FLEX,33.33%,0
9,4079152686,kashtootrill,1020,2.8,QB Lamar Jackson RB Joshua Kelley RB James Cook WR Stefon Diggs WR Garrett Wilson WR DJ Moore TE George Kittle FLEX Diontae Johnson BN Zay Flowers BN Jamaal Williams BN D'Onta Foreman BN Raheem Mostert BN Tyler Higbee BN Nico Collins BN Kenny Pickett BN Zach Ertz BN Allen Robinson II BN Deuce Vaughn BN Marvin Jones Jr. BN Mack Hollins,,Marquise Brown,WR,25.00%,0
10,4079137510,AaronGoodall7,1148,1.3,QB Dak Prescott RB Bijan Robinson RB Rhamondre Stevenson WR K.J. Osborn WR CeeDee Lamb WR DeAndre Hopkins TE Kyle Pitts FLEX Brandon Aiyuk BN Cam Akers BN James Cook BN Samaje Perine BN Rashee Rice BN Jake Ferguson BN Isaiah Hodgins BN Hayden Hurst BN Brock Purdy BN Mac Jones BN Richie James Jr. BN Darius Slayton BN Deon Jackson,,Tyler Allgeier,BN,25.00%,0
