Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2021,12/31/2021,GOOGLE *YouTubePremium,Shopping,Sale,-12.78,
12/30/2021,12/31/2021,ASBURY PARK PARKMOBILE,Travel,Sale,-1.80,
12/28/2021,12/30/2021,STAPLES       00115717,Shopping,Sale,-10.65,
12/28/2021,12/30/2021,NEWPORT CENTRE W GARAGE,Travel,Sale,-3.00,
12/28/2021,12/30/2021,CAVA GRILL JERSEY CITY,Food & Drink,Sale,-12.23,
12/28/2021,12/30/2021,EXXONMOBIL    47973953,Gas,Sale,-40.60,
12/28/2021,12/29/2021,CHIPOTLE 2627,Food & Drink,Sale,-12.37,
12/28/2021,12/29/2021,STAY GOLD CAFE,Food & Drink,Sale,-4.93,
12/28/2021,12/29/2021,SPORT CAR WASH INC,Automotive,Sale,-7.68,
12/28/2021,12/29/2021,THE UPS STORE 368,Personal,Sale,-12.63,
12/27/2021,12/28/2021,DD DOORDASH ANCHORTAV,Food & Drink,Sale,-23.77,
12/27/2021,12/28/2021,UGPERKSMEMBERSHIP FEE,Shopping,Return,21.22,
12/26/2021,12/27/2021,HELP.HBOMAX.COM,Entertainment,Sale,-14.99,
12/26/2021,12/27/2021,BEST BUY MHT  00018952,Shopping,Return,138.60,
12/24/2021,12/26/2021,UGPERKSMEMBERSHIP FEE,Shopping,Sale,-21.22,
12/23/2021,12/26/2021,QDOBA 2818,Food & Drink,Sale,-9.54,
12/24/2021,12/26/2021,WALGREENS #19748,Health & Wellness,Sale,-6.27,
12/24/2021,12/26/2021,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-3.99,
12/24/2021,12/26/2021,JOE'S BAGEL &amp; GRILL BLMR,Food & Drink,Sale,-16.21,
12/24/2021,12/26/2021,WINE OUTLET WALL TOWNSHIP,Food & Drink,Sale,-54.45,
12/23/2021,12/24/2021,DICK'S CLOTHING&amp;SPORTING,Shopping,Sale,-16.99,
12/23/2021,12/24/2021,LULULEMON FREEHOLD,Shopping,Sale,-136.00,
12/22/2021,12/24/2021,EXXONMOBIL    47977426,Gas,Sale,-41.25,
12/23/2021,12/23/2021,CHIPOTLE ONLINE,Food & Drink,Sale,-14.29,
12/22/2021,12/23/2021,DD DOORDASH ANCHORTAV,Food & Drink,Sale,-15.24,
