Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2023,12/31/2023,SQ *BAKES BREWING COMPANY,Groceries,Sale,-18.06,
12/30/2023,12/31/2023,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-13.99,
12/30/2023,12/31/2023,DD DOORDASH FSTSOCIAL,Food & Drink,Sale,-34.98,
12/26/2023,12/27/2023,HANLEYS LIQUORS,Food & Drink,Sale,-42.62,
12/26/2023,12/27/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-51.22,
12/24/2023,12/25/2023,EVANMIYA.COM,Shopping,Sale,-20.00,
12/22/2023,12/24/2023,TST* THE SHORE CLUB,Food & Drink,Sale,-99.83,
12/20/2023,12/22/2023,ROONEY'S PUBLIC PBI,Food & Drink,Sale,-34.87,
12/21/2023,12/22/2023,BJS WHOLESALE #0027,Shopping,Sale,-166.10,
12/20/2023,12/21/2023,WINE OUTLET WALL TOWNSHI,Food & Drink,Sale,-29.82,
12/20/2023,12/21/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-33.33,
12/21/2023,12/21/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
12/20/2023,12/21/2023,FARMMATCH LLC,Groceries,Sale,-60.30,
12/20/2023,12/20/2023,AUTOMATIC PAYMENT - THANK,,Payment,2311.16,
12/19/2023,12/20/2023,DR. SQUATCH  INC.,Shopping,Sale,-19.19,
12/19/2023,12/20/2023,TWITTER PAID FEATURES,Shopping,Sale,-17.06,
12/18/2023,12/19/2023,SP HEART AND SOIL,Personal,Sale,-54.57,
12/17/2023,12/18/2023,APPLE.COM/BILL,Shopping,Sale,-15.98,
12/17/2023,12/18/2023,APPLE.COM/BILL,Shopping,Sale,-8.52,
12/17/2023,12/18/2023,HANLEYS LIQUORS,Food & Drink,Sale,-14.92,
12/15/2023,12/18/2023,BUNGALOW ROAD,Shopping,Sale,-18.00,
12/16/2023,12/17/2023,WINE OUTLET WALL TOWNSHI,Food & Drink,Sale,-56.87,
12/16/2023,12/17/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-23.43,
12/16/2023,12/17/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-15.99,
12/14/2023,12/15/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-112.96,
12/14/2023,12/15/2023,SUNOCO 0007754511,Gas,Sale,-46.63,
12/13/2023,12/14/2023,T.J. MAXX #1532,Shopping,Sale,-22.84,
12/14/2023,12/14/2023,PLAYA BOWLS - BELMAR,Food & Drink,Sale,-11.73,
12/14/2023,12/14/2023,SP DROPPS.COM,Shopping,Sale,-61.57,
12/13/2023,12/14/2023,NJ EZPASS,Travel,Sale,-90.00,
12/13/2023,12/14/2023,SQ *LUCKY BABY LACTATION,Health & Wellness,Sale,-143.00,
12/11/2023,12/12/2023,BJS WHOLESALE #0027,Shopping,Sale,-74.88,
12/09/2023,12/11/2023,XL-NBC,Food & Drink,Sale,-54.20,
12/08/2023,12/10/2023,SP BASED,Shopping,Sale,-97.20,
12/07/2023,12/08/2023,APPLE.COM/BILL,Shopping,Sale,-0.99,
12/07/2023,12/08/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-74.41,
12/06/2023,12/07/2023,NJ EZPASS,Travel,Sale,-130.00,
12/06/2023,12/07/2023,HP *INSTANT INK,Shopping,Sale,-1.06,
12/06/2023,12/07/2023,FARMMATCH LLC,Groceries,Sale,-69.43,
12/04/2023,12/06/2023,HILTON PALM BEACH AIRPO,Travel,Sale,-340.96,
12/05/2023,12/06/2023,CVS/PHARMACY #10091,Health & Wellness,Sale,-22.25,
12/05/2023,12/06/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-25.47,
12/05/2023,12/06/2023,USPS PO 3306450345,Shopping,Sale,-26.40,
12/04/2023,12/06/2023,UA INFLT    0164258609168,Travel,Sale,-8.00,
12/05/2023,12/06/2023,HELP.MAX.COM,Entertainment,Sale,-19.99,
12/04/2023,12/06/2023,HERTZ #0130611,Travel,Sale,-47.51,
12/03/2023,12/05/2023,UA INFLT    0164258369714,Travel,Sale,-8.00,
12/04/2023,12/05/2023,742-SHOREPOINTSMARKET@,Shopping,Sale,-5.69,
12/04/2023,12/05/2023,MARATHON PETRO149088,Gas,Sale,-15.84,
12/04/2023,12/05/2023,SNOW.COM/VAIL RESORTS SKI,Entertainment,Sale,-206.00,
12/03/2023,12/04/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-35.60,
11/30/2023,12/01/2023,GOOGLE *YouTubePremium,Shopping,Sale,-13.99,
11/30/2023,12/01/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-83.13,
11/30/2023,12/01/2023,ABC*7858-JERSEY STRONG,Health & Wellness,Sale,-53.30,
11/29/2023,12/01/2023,UNITED      0164257369747,Travel,Sale,-28.00,
11/30/2023,12/01/2023,BJS WHOLESALE #0027,Shopping,Sale,-62.97,
11/29/2023,12/01/2023,UNITED      0164257369746,Travel,Sale,-35.00,
11/29/2023,12/01/2023,UNITED      0162345655163,Travel,Sale,-461.62,
11/29/2023,11/30/2023,FARMMATCH LLC,Groceries,Sale,-56.18,
11/28/2023,11/29/2023,BLOOMINGDALES  .COM,Shopping,Sale,-118.80,
11/28/2023,11/29/2023,WALGREENS #19234,Health & Wellness,Sale,-45.76,
11/28/2023,11/29/2023,TARGET.COM  *,Shopping,Sale,-26.59,
11/28/2023,11/29/2023,SP BENTLEY DIAMOND,Shopping,Sale,-533.13,
11/28/2023,11/29/2023,BENTLEY DIAMOND HOUSE,Shopping,Sale,-26.66,
11/29/2023,11/29/2023,APPLE.COM/BILL,Shopping,Sale,-10.99,
11/27/2023,11/27/2023,DD DOORDASH ANCHORTAV,Food & Drink,Sale,-17.69,
11/24/2023,11/26/2023,EVANMIYA.COM,Shopping,Sale,-20.00,
11/24/2023,11/26/2023,FEDERICOS PIZZA,Food & Drink,Sale,-14.34,
11/25/2023,11/26/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-121.35,
11/25/2023,11/26/2023,SP EFINGERUSA,Shopping,Sale,-35.00,
11/24/2023,11/26/2023,SP BASED,Shopping,Sale,-66.49,
11/23/2023,11/24/2023,HANLEYS LIQUORS,Food & Drink,Sale,-50.09,
11/22/2023,11/23/2023,FARMMATCH LLC,Groceries,Sale,-64.32,
11/23/2023,11/23/2023,PLAYA BOWLS - BELMAR,Food & Drink,Sale,-11.73,
11/22/2023,11/22/2023,SP HEART AND SOIL,Personal,Sale,-54.57,
11/21/2023,11/21/2023,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
11/20/2023,11/20/2023,AUTOMATIC PAYMENT - THANK,,Payment,4982.58,
11/19/2023,11/20/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-93.26,
11/19/2023,11/19/2023,APPLE.COM/BILL,Shopping,Sale,-24.50,
11/16/2023,11/17/2023,WALGREENS #19748,Health & Wellness,Sale,-11.49,
11/17/2023,11/17/2023,PLAYA BOWLS - BELMAR,Food & Drink,Sale,-5.86,
11/14/2023,11/15/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-51.57,
11/14/2023,11/15/2023,PJ'S CARWASH PARK,Automotive,Sale,-17.57,
11/13/2023,11/14/2023,BJS WHOLESALE #0027,Shopping,Sale,-98.95,
11/13/2023,11/14/2023,WALGREENS #19748,Health & Wellness,Sale,-14.49,
11/14/2023,11/14/2023,PLAYA BOWLS - BELMAR,Food & Drink,Sale,-5.86,
11/12/2023,11/13/2023,FEDERICOS PIZZA,Food & Drink,Sale,-13.80,
11/12/2023,11/13/2023,WALGREENS #19748,Health & Wellness,Sale,-5.32,
11/11/2023,11/12/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-47.58,
11/12/2023,11/12/2023,APPLE.COM/BILL,Shopping,Sale,-1.99,
11/10/2023,11/12/2023,JERSEY MIKES 1108,Food & Drink,Sale,-32.07,
11/11/2023,11/12/2023,SP PROMIX NUTRITION,Groceries,Sale,-62.09,
11/11/2023,11/12/2023,SP SERENITY KIDS,Groceries,Sale,-59.46,
11/09/2023,11/10/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-57.64,
11/08/2023,11/09/2023,FEDERICOS PIZZA,Food & Drink,Sale,-26.49,
11/08/2023,11/08/2023,KENPOM.COM,Gifts & Donations,Sale,-21.95,
11/06/2023,11/07/2023,HP *INSTANT INK,Shopping,Sale,-1.06,
11/05/2023,11/06/2023,HELP.MAX.COM,Entertainment,Sale,-19.99,
11/04/2023,11/06/2023,LA MONDINA,Food & Drink,Sale,-33.73,
11/04/2023,11/06/2023,LA MONDINA,Food & Drink,Sale,-95.97,
11/05/2023,11/06/2023,APPLE.COM/BILL,Shopping,Sale,-0.99,
11/05/2023,11/06/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-63.07,
11/04/2023,11/05/2023,CAPSIZED CAFE,Food & Drink,Sale,-33.45,
11/03/2023,11/05/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-17.26,
11/04/2023,11/05/2023,SQ *BATCH,Food & Drink,Sale,-10.40,
11/04/2023,11/05/2023,HOFFMANS-SPRING LAKE,Food & Drink,Sale,-13.54,
11/03/2023,11/05/2023,COSTCO WHSE #0329,Shopping,Sale,-83.84,
11/02/2023,11/03/2023,BJS WHOLESALE #0027,Shopping,Sale,-30.11,
11/01/2023,11/03/2023,TST* Harpoon Willys,Food & Drink,Sale,-86.44,
11/01/2023,11/02/2023,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-8.48,
10/31/2023,11/01/2023,ABC*7858-JERSEY STRONG,Health & Wellness,Sale,-53.30,
10/31/2023,11/01/2023,SPIFFYS DRY CLEANING,Personal,Sale,-34.00,
