Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2024,12/31/2024,JERSEY MIKES 1002,Food & Drink,Sale,-10.40,
12/30/2024,12/31/2024,JERSEY MIKES ONLINE UC,Food & Drink,Sale,-23.87,
12/30/2024,12/31/2024,GOOGLE *YouTubePremium,Shopping,Sale,-13.99,
12/30/2024,12/31/2024,HOMESENSE 0004,Shopping,Sale,-67.77,
12/29/2024,12/30/2024,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-63.68,
12/29/2024,12/30/2024,RICCIARDI BROTHERS-SEA G,Home,Sale,-59.75,
12/27/2024,12/29/2024,Spotify USA,Bills & Utilities,Sale,-12.78,
12/27/2024,12/29/2024,FEDERICOS PIZZA,Food & Drink,Sale,-26.49,
12/28/2024,12/29/2024,RICCIARDI BROTHERS-SEA G,Home,Sale,-27.15,
12/27/2024,12/29/2024,JENKINSON'S PAVILLION,Entertainment,Sale,-36.00,
12/26/2024,12/27/2024,VINEYARD VINES 8033,Shopping,Sale,-13.14,
12/26/2024,12/27/2024,COACH 5054,Shopping,Sale,-1.31,
12/26/2024,12/27/2024,TARGET        00034082,Shopping,Return,83.02,
12/23/2024,12/25/2024,TRADER JOE S #608,Groceries,Sale,-72.99,
12/23/2024,12/25/2024,THE HOME DEPOT #0949,Home,Sale,-28.77,
12/24/2024,12/25/2024,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-42.23,
12/23/2024,12/24/2024,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-74.13,
12/23/2024,12/24/2024,DUNKIN #344289 Q35,Food & Drink,Sale,-4.57,
12/23/2024,12/24/2024,BJS WHOLESALE #0027,Shopping,Sale,-62.97,
12/22/2024,12/24/2024,ULTA #1430,Shopping,Sale,-28.79,
12/22/2024,12/23/2024,TARGET        00034082,Shopping,Sale,-64.43,
12/22/2024,12/23/2024,WHOLEFDS SLW#10587,Groceries,Sale,-8.99,
12/21/2024,12/23/2024,THE HOME DEPOT #0949,Home,Sale,-11.30,
12/21/2024,12/22/2024,COSTCO WHSE #0329,Shopping,Sale,-73.74,
12/20/2024,12/22/2024,HOMEGOODS 0403,Shopping,Sale,-29.28,
12/21/2024,12/22/2024,APPLE.COM/BILL,Shopping,Sale,-18.10,
