player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Shaq Mason,9564,G,TB,16,0,30,73.3,8,14,742,100.0,100.0,98.4,0,23,1,792,792,71.6,5,11,335,100.0,100.0,97.3,17,1,360,360
Robert Hainsey,59980,C,TB,16,1,30,72.7,6,14,742,100.0,100.0,98.7,1,20,0,792,792,64.2,3,8,335,100.0,100.0,98.4,11,0,360,360
Matt Feiler,9289,G,LAC,16,1,27,62.3,3,29,731,100.0,100.0,97.1,4,37,5,760,760,56.7,2,20,344,100.0,100.0,96.5,23,1,358,358
Kelvin Beachum,7229,T,ARZ,16,0,1,75.3,8,33,706,100.0,100.0,96.4,2,46,5,754,754,65.2,7,24,272,100.0,100.0,92.8,35,4,290,290
Zion Johnson,99681,G,LAC,16,1,27,50.7,6,27,723,100.0,100.0,97.0,3,38,5,752,752,34.9,5,21,340,100.0,100.0,94.7,31,5,354,354
Ed Ingram,59819,G,MIN,16,1,18,42.2,18,29,694,100.0,100.0,95.0,2,58,11,740,740,28.4,14,24,332,100.0,100.0,91.6,47,9,353,353
Ezra Cleveland,41973,G,MIN,16,1,18,53.1,20,26,693,100.0,100.0,96.0,3,51,5,739,739,43.9,15,22,331,100.0,100.0,93.2,41,4,352,352
Orlando Brown Jr.,46227,T,KC,16,1,16,77.0,7,34,692,100.0,100.0,96.5,3,45,4,737,737,77.0,4,22,291,100.0,100.0,94.5,29,3,317,317
Creed Humphrey,59996,C,KC,16,0,16,80.5,2,14,692,100.0,100.0,98.8,3,16,0,737,737,69.8,1,11,291,100.0,100.0,97.9,12,0,317,317
Andrew Wylie,12333,T,KC,16,3,16,63.7,5,33,667,100.0,100.0,96.0,8,46,8,711,711,61.0,2,21,283,100.0,100.0,93.8,29,6,309,309
Brian O'Neill,46854,T,MIN,16,0,18,77.9,5,13,663,100.0,100.0,97.7,0,24,6,708,708,74.4,3,10,310,100.0,100.0,96.6,17,4,330,330
Cordell Volson,30614,G,CIN,15,1,7,54.4,10,20,637,100.0,100.0,97.0,3,34,4,683,683,62.0,4,12,270,100.0,100.0,96.3,18,2,293,293
Alex Cappa,66578,G,CIN,15,0,7,72.0,4,10,636,100.0,100.0,98.4,0,17,3,682,682,69.5,2,8,270,100.0,100.0,97.0,13,3,293,293
Ted Karras,10855,C,CIN,15,0,7,76.2,1,15,636,100.0,100.0,98.4,0,18,2,682,682,71.2,1,11,270,100.0,100.0,97.0,14,2,293,293
Quenton Nelson,12954,G,IND,16,1,14,73.7,6,19,644,100.0,100.0,97.3,4,30,5,678,678,63.0,4,18,337,100.0,100.0,95.8,25,3,354,354
Jonah Williams,41651,T,CIN,15,0,7,63.9,6,21,632,100.0,100.0,96.1,3,38,11,678,678,68.6,2,9,267,100.0,100.0,94.9,19,8,290,290
