player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,DI,BLT,13,0,,,4.1,,,0,0,1,,3,58.6,76.6,87.7,72.1,70.0,33.1,0,,100.0,5,0,0,0.0,0,15,366,5,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,16,2,-1.5,100.0,4.4,6.0,6.0,0,0,0,0.0,24,72.6,89.8,74.2,89.2,69.4,59.5,0,2,20.0,1,0,1,79.2,2,12,275,13,2,2,0,2,5,0.2,1.0
Jason Pierre-Paul,5540,ED,BLT,13,0,2.4,100.0,5.3,2.8,2.8,1,0,0,0.0,3,58.5,51.2,60.3,51.9,55.1,42.2,1,24,42.9,3,0,2,69.6,5,16,300,5,4,5,0,51,39,3.6,10.2
Kareem Jackson,5545,S,DEN,16,4,8.4,68.4,99.7,23.8,16.3,0,1,4,10.5,10,58.3,62.2,75.1,56.7,69.9,57.4,0,23,16.7,8,3,1,119.7,26,659,661,8,36,38,4,233,78,0.4,9.0
Devin McCourty,5552,S,NE,16,2,15.4,57.9,99.7,55.9,32.4,0,3,3,15.8,19,66.8,68.5,88.0,55.5,70.8,88.0,3,54,4.4,2,3,0,87.3,11,644,646,4,41,19,2,189,44,0.3,17.2
Jerry Hughes,5556,ED,HST,16,0,,,0.8,,,2,0,0,,13,68.1,73.3,62.3,71.7,60.9,26.0,1,,77.8,7,0,3,0.0,0,3,360,10,2,0,0,0,0,0.0,
Carlos Dunlap,5579,ED,KC,16,1,8.0,100.0,4.8,17.0,17.0,0,0,0,0.0,16,56.2,67.8,90.2,61.6,71.3,61.9,0,8,25.0,2,0,1,100.0,1,17,354,8,5,1,0,8,0,0.5,8.0
Corey Peters,5607,DI,JAX,11,1,,,0.8,,,0,0,0,,15,61.9,60.3,84.8,58.6,57.4,74.7,0,,0.0,0,0,0,0.0,0,1,125,0,1,0,0,0,0,0.0,
Von Miller,6154,ED,BUF,11,0,,,1.3,,,0,0,0,,4,74.2,85.8,26.0,81.8,78.8,53.2,0,,40.0,2,0,4,0.0,0,4,315,11,3,0,0,0,0,0.0,
Patrick Peterson,6157,CB,MIN,16,2,12.0,59.2,99.4,15.4,9.1,0,0,12,16.9,18,81.9,80.5,68.3,59.2,68.3,75.5,4,38,7.8,4,9,4,71.7,42,682,686,11,45,71,3,506,191,0.8,12.0
J.J. Watt,6163,DI,ARZ,15,1,-1.0,100.0,0.6,3.0,3.0,0,0,0,0.0,1,64.5,66.9,25.2,71.8,59.9,45.0,0,5,33.3,1,0,8,87.5,1,3,503,12,1,1,0,5,6,1.7,5.0
Robert Quinn,6166,ED,PHI,12,0,0.5,100.0,3.1,3.0,3.0,2,0,0,0.0,24,65.8,41.2,28.0,55.6,34.8,55.0,0,13,0.0,0,0,4,104.2,2,7,225,2,1,2,0,18,17,3.0,9.0
Cameron Jordan,6176,ED,NO,15,1,0.0,0.0,2.8,,12.0,0,0,1,100.0,20,85.5,72.4,71.9,53.2,78.6,48.5,0,,33.3,3,1,2,39.6,0,13,464,9,5,1,0,0,0,0.0,
Justin Houston,6222,ED,BLT,13,1,,,7.7,,,0,0,0,,3,67.5,71.4,53.1,69.4,66.3,29.8,1,,50.0,4,0,2,0.0,0,23,299,10,3,0,0,0,0,0.0,
Chris Harris Jr.,6457,CB,NO,10,1,6.9,78.0,91.9,6.6,5.1,0,0,1,2.4,20,47.8,50.1,37.4,66.3,60.3,56.6,0,62,9.1,2,1,4,110.5,32,226,246,7,19,41,1,351,146,1.7,11.0
Josh Bynes,6503,LB,BLT,7,3,3.9,58.3,84.4,17.0,9.9,0,0,1,8.3,3,69.9,54.2,80.9,58.5,38.1,62.3,1,22,14.3,2,1,0,72.6,7,124,147,3,9,12,1,83,56,0.7,11.9
Nick Bellore,6515,FB,SEA,1,0,,,50.0,,,0,0,0,,29,60.0,80.8,65.9,60.0,74.9,71.7,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
Mario Addison,6558,ED,HST,11,0,-3.0,0.0,0.5,,1.0,0,0,0,0.0,13,64.1,58.9,88.5,60.5,51.3,68.1,0,,0.0,0,0,0,39.6,0,1,189,1,1,1,0,0,0,0.0,
Stephon Gilmore,7016,CB,IND,16,2,9.3,63.4,100.0,10.9,6.9,0,1,12,14.6,14,81.1,79.1,68.6,,65.6,70.3,2,53,6.0,3,8,4,82.6,52,599,599,10,45,82,2,585,233,1.0,11.3
Bruce Irvin,7021,ED,SEA,10,0,-2.0,100.0,11.8,7.7,7.7,0,0,0,0.0,29,58.0,58.6,29.4,53.2,68.9,39.5,0,6,50.0,4,0,3,84.7,3,23,195,4,4,3,0,13,19,0.6,4.3
