player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Steven Nelson,9531,CB,HST,13,0,13,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.2,1,404,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jerry Jacobs,83025,CB,DET,7,0,11,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,245,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Tony Brown,49255,CB,IND,2,0,14,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,33.3,1,3,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Zyon Gilbert,55891,CB,NYG,2,0,21,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,5.0,2,40,2,75.0,0,0,1,0,100.0,2,2,75.0,1,1,0,1,1,0
Trayvon Mullen,41968,CB,DAL,6,0,9,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,1.0,1,96,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jalen Mills,10867,CB,NE,10,0,19,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0.4,1,277,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Nate Hobbs,55948,CB,LV,8,0,23,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.7,2,302,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
Keion Crossen,49454,CB,MIA,12,0,17,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.5,1,196,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Percy Butler,83271,S,WAS,7,0,32,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.3,1,44,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Reed Blankenship,56065,S,PHI,4,0,24,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.5,1,67,1,50.0,0,0,1,0,100.0,1,1,50.0,0,1,1,0,1,1
