player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Colin Goodfellow,51797,P,KENTUCKY,3,11,11,3.48,32.73,35.36,3.0,0,0,1,4,202,67.1,3,50,2,1,27.3,9,3,11,38.25,360,1,389
Zach Murphy,55435,K,WAKE,1,1,1,3.88,34.0,34.0,,0,0,0,1,339,60.0,0,34,0,0,0.0,0,0,1,3.88,34,0,34
Aidan Alves,57547,P,LIBERTY,3,14,14,3.8,36.07,40.21,19.0,0,0,5,6,206,59.5,7,59,0,0,14.3,38,2,14,53.22,505,1,563
Shane McDonough,57554,P,NC STATE,3,16,16,3.86,38.94,41.13,5.8,0,0,3,5,248,63.6,7,59,2,0,37.5,35,6,16,61.82,623,0,658
Sean Koetting,57567,P,MISSOURI,3,13,13,4.27,30.92,40.08,59.5,0,0,3,4,229,69.9,4,57,4,0,15.4,119,2,13,55.57,402,0,521
Jonah Wieland,60261,P,OHIO,3,14,14,3.73,28.79,37.43,12.1,0,0,1,2,259,52.0,4,51,3,0,64.3,121,9,18,52.17,403,0,524
Clayton Howell,60264,P,APP STATE,3,7,7,4.14,41.57,41.71,1.0,0,0,0,6,108,64.5,2,50,0,0,14.3,1,1,7,28.99,291,0,292
Bryce Baringer,60274,P,MICH STATE,3,9,9,3.45,46.0,54.0,10.7,0,0,3,0,223,64.5,4,70,1,0,33.3,32,3,9,31.08,414,2,486
Bernardo Rodriguez,60281,P,N TEXAS,4,11,11,4.21,38.09,38.09,0.0,1,0,2,8,251,66.3,5,45,0,0,9.1,0,1,12,46.35,419,0,419
Brad Robbins,60291,P,MICHIGAN,3,8,8,4.64,46.63,46.63,0.0,0,0,3,2,222,77.7,5,62,1,0,25.0,0,2,8,37.1,373,0,373
Joe Doyle,62972,P,MEMPHIS,3,10,10,4.14,40.4,45.8,4.7,0,0,0,5,218,69.6,2,64,0,0,30.0,14,3,10,41.43,404,2,458
Barney Amor,64486,P,PENN STATE,3,14,14,4.1,43.64,46.5,6.7,0,0,4,6,266,76.8,7,52,0,0,21.4,20,3,14,57.4,611,1,651
George Georgopoulos,75877,P,MISS STATE,3,6,6,4.0,42.0,42.17,1.0,0,0,2,3,227,63.7,4,50,0,0,16.7,1,1,6,24.02,252,0,253
Casey Glover,77064,P,TULANE,2,8,8,4.21,36.88,41.88,,0,0,2,4,319,73.6,4,61,0,0,0.0,0,0,8,33.65,295,2,335
Danny Longman,77071,P,BOSTON COL,3,20,20,3.94,40.95,41.05,1.0,0,0,3,11,121,60.4,4,76,4,0,10.0,2,2,20,78.7,819,0,821
Mackenzie Morgan,77587,P,TEMPLE,3,15,15,3.68,38.13,39.4,-0.5,0,0,4,7,306,50.8,4,52,1,0,13.3,-1,2,15,55.19,572,1,591
Andrew Osteen,77590,P,UCF,2,10,10,3.82,33.8,40.1,5.8,1,0,1,2,323,67.4,1,50,1,0,40.0,23,4,11,38.18,338,2,401
Issac Power,77593,P,BAYLOR,3,10,10,3.99,42.0,44.2,0.5,0,0,1,4,118,69.2,5,57,0,0,40.0,2,4,10,39.9,420,1,442
Ryan Bujcevski,77594,P,SMU,3,8,8,3.78,43.63,45.13,12.0,0,0,3,4,287,69.4,4,61,0,0,12.5,12,1,8,30.27,349,0,361
Nick Mihalic,77602,P,W MICHIGAN,3,16,16,4.02,40.5,41.81,3.5,0,0,1,9,347,62.9,2,50,0,0,37.5,21,6,16,64.26,648,0,669
Mike Rivers,78436,P,TROY,3,11,11,4.09,42.55,46.91,8.0,0,0,0,7,318,68.0,5,52,1,0,9.1,8,1,11,45.0,468,2,516
Anthony Beck II,78452,P,GA SOUTHRN,3,9,9,3.91,35.78,43.67,12.8,0,0,2,3,174,59.6,5,53,0,0,44.4,51,4,9,35.19,322,1,393
Timmy Bleekrode,79417,P,NEBRASKA,1,1,1,4.3,43.0,51.0,8.0,0,0,0,0,238,60.0,0,51,0,0,100.0,8,1,1,4.3,43,0,51
Colin McCreary,79434,P,USF,1,1,1,4.08,20.0,40.0,,0,0,0,0,327,60.0,0,40,0,0,0.0,0,0,1,4.08,20,1,40
Michael Turk,82012,P,OKLAHOMA,3,12,12,3.75,42.75,42.83,0.2,0,0,2,4,261,61.5,7,56,1,0,41.7,1,5,12,45.02,513,0,514
Carson King,82024,P,FRESNO ST,3,8,8,3.61,38.0,40.5,,0,0,1,3,169,63.1,3,50,3,0,0.0,0,0,8,28.91,304,1,324
Rhys Byrns,82027,P,LA LAFAYET,3,13,13,3.87,38.69,45.31,9.4,0,0,2,1,207,71.3,4,55,2,0,53.8,66,7,13,50.26,503,1,589
Luke Loecher,82041,P,OREGON ST,2,9,9,3.97,40.0,45.22,27.0,0,0,2,4,265,68.6,3,64,1,0,11.1,27,1,9,35.73,360,1,407
Adam Korsak,82044,P,RUTGERS,2,12,12,3.63,42.08,42.08,,0,0,5,7,278,59.2,5,50,0,0,0.0,0,0,12,43.59,505,0,505
Paxton Brooks,82049,P,TENNESSEE,3,9,9,4.28,41.22,43.44,,1,0,3,3,307,68.0,2,49,2,0,0.0,0,0,10,38.48,371,1,391
Clayton Stewart,82051,P,WYOMING,4,21,21,3.97,39.19,45.0,8.9,0,0,4,3,351,64.6,4,66,4,0,33.3,62,7,21,83.35,823,3,945
Kyle Greenwell,82052,P,UAB,3,12,12,4.06,36.17,46.58,9.0,0,0,1,2,321,68.2,1,55,0,0,41.7,45,5,12,48.74,434,4,559
Brenden Brady,83795,HB,UTSA,1,1,1,3.22,39.0,39.0,,0,0,1,0,331,60.0,1,39,0,0,0.0,0,0,1,3.22,39,0,39
Aaron Rodriguez,86345,P,NEW MEXICO,3,18,18,3.68,41.72,47.72,8.5,1,0,3,5,241,62.0,6,63,0,0,44.4,68,8,19,66.16,751,2,859
Michael Hayes,97151,P,GA STATE,3,19,19,3.69,39.58,44.89,11.6,2,0,4,7,175,57.9,6,57,0,0,36.8,81,7,21,70.02,752,1,853
Jackson Baltar,97389,P,BUFFALO,3,13,13,3.37,34.69,40.15,12.8,0,0,3,2,126,50.3,3,52,3,0,30.8,51,4,13,43.81,451,1,522
Daton Montiel,97392,P,FIU,2,12,12,3.19,38.75,44.92,10.8,0,0,2,3,166,70.9,3,52,1,0,41.7,54,5,12,38.3,465,1,539
Jack Brooks,97588,P,S ALABAMA,3,13,13,3.51,37.54,43.62,9.8,0,0,2,1,288,72.9,6,58,3,0,46.2,59,6,13,45.62,488,1,567
Ivan Mora,97589,P,WAKE,3,11,11,3.85,40.82,40.82,,1,0,3,4,339,63.8,5,49,4,0,0.0,0,0,12,42.37,449,0,449
Cole Snyder,97617,QB,BUFFALO,1,1,1,3.65,36.0,56.0,,0,0,0,0,126,60.0,0,56,0,0,0.0,0,0,1,3.65,36,1,56
Bo Nix,97790,QB,OREGON,1,1,1,2.66,33.0,33.0,,0,0,1,0,264,60.0,0,33,0,0,0.0,0,0,1,2.66,33,0,33
Lucas Dean,97981,P,UTSA,3,9,9,3.7,38.22,41.33,4.0,0,0,1,1,331,72.1,3,58,4,0,22.2,8,2,9,33.34,344,1,372
Collin Schlee,98025,QB,KENT STATE,1,1,1,4.51,50.0,50.0,,0,0,1,0,201,60.0,0,50,0,0,0.0,0,0,1,4.51,50,0,50
Ryan Sanborn,98199,P,STANFORD,2,5,5,3.95,42.6,45.4,4.7,0,0,0,1,300,65.6,3,53,1,0,60.0,14,3,5,19.73,213,0,227
Tom Hutton,98200,P,OKLA STATE,3,16,16,3.91,38.88,41.5,5.3,0,0,4,4,262,69.8,8,52,0,0,50.0,42,8,16,62.56,622,0,664
Porter Wilson,98463,P,DUKE,3,7,7,4.18,42.71,46.86,3.0,0,0,1,2,154,68.1,2,53,0,0,42.9,9,3,7,29.27,299,1,328
Kyle Ostendorp,98795,P,ARIZONA,3,8,8,3.69,37.0,49.75,15.5,0,0,1,0,109,60.7,1,64,1,0,50.0,62,4,9,29.51,296,2,398
Lou Hedley,98796,P,MIAMI FL,2,7,7,3.91,44.43,46.43,3.5,0,0,1,2,220,68.1,4,53,0,0,57.1,14,4,7,27.38,311,0,325
Noah Rauschenberg,99361,K,BAYLOR,1,1,1,3.62,14.0,14.0,,0,0,0,0,118,60.0,0,14,1,0,0.0,0,0,1,3.62,14,0,14
Austin McNamara,99363,P,TEXAS TECH,3,14,14,4.26,40.93,43.43,17.5,0,0,4,5,315,79.7,6,56,3,0,14.3,35,2,14,59.7,573,0,608
Jordy Sandy,99462,P,TCU,2,4,4,4.43,40.25,40.25,,0,0,1,3,305,72.0,3,47,0,0,0.0,0,0,4,17.7,161,0,161
Ty Zentner,99465,P,KANSAS ST,3,16,16,4.13,42.31,44.81,6.7,0,0,7,5,199,70.3,7,66,0,0,18.8,20,3,16,66.1,677,1,717
Aidan Swanson,99859,P,CLEMSON,3,15,15,3.63,37.33,41.13,9.5,0,0,2,5,140,60.1,4,51,2,0,40.0,57,6,15,54.4,560,0,617
Ben Kiernan,99871,P,N CAROLINA,3,9,9,3.85,48.44,51.33,6.5,0,0,3,2,245,63.8,3,70,0,0,44.4,26,4,9,34.62,436,0,462
Nicholas Barr-Mira,100480,K,UCLA,3,4,4,3.64,36.75,36.75,,1,0,0,2,324,64.4,3,46,2,0,0.0,0,0,5,14.56,147,0,147
Matthew Hayball,100813,P,VANDERBILT,4,18,18,3.55,42.06,48.5,12.0,0,0,3,3,333,66.6,5,65,3,0,44.4,96,8,18,63.93,757,1,873
Kyle Ulbrich,100815,P,MIDDLE TN,3,17,17,3.57,35.88,42.18,11.2,0,0,3,3,224,60.3,4,54,3,0,35.3,67,6,17,60.63,610,2,717
Adam Barry,101046,P,OREGON,3,6,6,3.74,38.17,38.17,,0,0,1,5,264,61.2,2,46,0,0,0.0,0,0,6,22.45,229,0,229
Anthony Pecorella,101608,P,MARYLAND,1,1,1,3.06,33.0,33.0,,0,0,0,0,215,60.0,0,33,1,0,0.0,0,0,1,3.06,33,0,33
Colton Spangler,101609,P,MARYLAND,3,10,10,3.6,42.6,50.7,10.3,0,0,3,1,215,65.0,3,63,0,0,40.0,41,4,10,36.02,426,2,507
Tom Foley,101612,P,N ILLINOIS,3,9,9,3.8,37.89,45.56,11.5,0,0,1,2,254,55.7,1,53,0,0,66.7,69,6,9,34.18,341,0,410
Jack Bouwmeester,101613,P,UTAH,3,9,9,3.97,37.44,40.44,3.5,0,0,0,5,328,60.7,2,48,1,0,22.2,7,2,9,35.75,337,1,364
Chase Wyatt,101615,P,BALL ST,1,1,1,3.84,16.0,16.0,,0,0,0,0,117,60.0,0,16,1,0,0.0,0,0,1,3.84,16,0,16
Josh Carlson,102852,P,NEW MEX ST,4,23,23,4.08,40.91,40.83,-0.4,0,0,2,14,242,60.8,4,53,2,0,21.7,-2,5,23,93.93,941,0,939
Seamus O'Kelly,102853,P,TEXAS ST,3,17,17,3.68,37.82,43.53,12.3,0,0,1,8,314,69.6,1,63,2,0,17.6,37,3,17,62.57,643,3,740
Jay Bramblett,102854,P,LSU,3,10,10,4.17,37.5,44.3,12.0,0,0,0,3,211,72.5,3,56,2,0,40.0,48,4,10,41.69,375,1,443
Sam Clark,104755,P,JAMES MAD,2,7,7,3.7,37.86,40.71,,0,0,2,4,197,63.5,5,61,0,0,0.0,0,0,7,25.93,265,1,285
Brian Buschini,105308,P,NEBRASKA,4,18,18,4.31,41.22,45.22,17.3,0,0,4,9,238,69.7,6,65,1,0,16.7,52,3,18,77.65,742,1,814
Nik Constantinou,105801,P,TEXAS A&M,3,14,14,4.33,43.29,44.14,4.0,0,0,4,4,312,84.0,8,57,3,0,21.4,12,3,14,60.68,606,0,618
Jon Sot,108908,P,NOTRE DAME,3,19,19,3.83,43.11,45.16,4.8,0,0,5,8,258,61.4,10,75,1,0,21.1,19,4,19,72.8,819,1,858
Noah Gettman,108915,P,AKRON,3,24,24,3.82,37.21,40.75,9.3,0,0,4,8,102,57.8,7,58,4,0,29.2,65,7,24,91.74,893,1,978
Mason Hunt,121462,P,SO MISS,3,15,15,4.19,38.8,43.13,15.0,0,0,6,5,296,74.6,9,57,0,0,20.0,45,3,15,62.91,582,1,647
Ryan Hanson,121522,P,ARK STATE,2,11,11,3.82,44.09,48.0,4.6,0,0,1,4,113,71.5,3,68,0,0,45.5,23,5,11,42.0,485,1,528
Billy Boehlke,121556,P,ARMY,3,8,8,3.53,39.88,39.88,0.0,0,0,3,3,114,59.5,2,55,1,0,12.5,0,1,8,28.23,319,0,319
Joshua Sloan,122037,P,UTEP,4,15,15,3.91,42.33,46.67,6.3,0,0,1,5,330,76.5,4,64,3,0,26.7,25,4,15,58.58,635,2,700
Ryan Rehkow,122074,P,BYU,3,9,9,3.94,37.56,40.44,3.0,0,0,1,3,128,61.9,2,48,2,0,22.2,6,2,9,35.48,338,1,364
Alex Mastromanno,122406,P,FLORIDA ST,3,7,7,4.03,43.29,45.29,2.8,0,0,1,0,167,62.0,3,52,1,0,71.4,14,5,7,28.18,303,0,317
Reis Vernon,122581,P,KANSAS,2,5,5,4.14,43.6,43.6,0.0,0,0,1,3,198,65.5,2,53,0,0,20.0,0,1,5,20.7,218,0,218
Lachlan Wilson,123268,P,TULSA,3,8,8,3.74,48.13,48.5,1.5,1,0,4,0,320,66.0,7,57,2,0,25.0,3,2,9,29.9,385,0,388
Peter Moore,123358,P,VA TECH,3,17,17,4.11,42.94,43.06,2.0,0,0,2,11,337,62.2,9,67,3,0,5.9,2,1,17,69.85,730,0,732
Daniel Sparks,123492,P,VIRGINIA,3,13,13,3.96,35.92,43.92,16.0,0,0,3,3,335,74.9,5,56,1,0,30.8,64,4,13,51.53,467,2,571
Laine Wilkins,123686,P,HOUSTON,3,13,13,3.75,45.46,47.31,1.0,0,0,6,2,182,61.5,6,67,0,0,30.8,4,4,13,48.7,591,1,615
Luke Larsen,123823,P,E CAROLINA,3,11,11,3.35,32.18,39.27,9.0,1,0,0,4,156,57.2,2,55,2,0,18.2,18,2,12,36.8,354,3,432
Kai Kroeger,124245,P,S CAROLINA,3,15,15,3.45,40.2,43.27,5.2,0,0,4,3,289,54.4,9,79,2,0,33.3,26,5,15,51.77,603,1,649
Jeremy Crawshaw,124372,P,FLORIDA,3,10,10,4.02,40.5,44.3,9.5,0,0,1,5,163,68.3,5,54,0,0,40.0,38,4,10,40.23,405,0,443
Oscar Chapman,124403,P,AUBURN,3,7,7,3.97,40.71,40.71,,0,0,2,3,115,68.7,2,46,2,0,0.0,0,0,7,27.82,285,0,285
Matthew Shipley,128212,K,HAWAII,4,23,23,3.57,37.0,40.04,6.3,0,0,6,3,180,57.1,6,55,5,0,34.8,50,8,23,82.12,851,1,921
Matt Freem,128228,P,NEVADA,4,26,26,3.66,40.81,43.12,6.7,0,0,9,5,239,65.1,9,70,3,0,34.6,60,9,26,95.21,1061,0,1121
Travis Benham,128320,P,S JOSE ST,2,10,10,3.73,35.5,41.0,11.7,0,0,2,4,285,64.5,5,57,0,0,30.0,35,3,10,37.26,355,1,410
Stephen Kotsanlee,128385,P,UTAH ST,3,22,22,3.8,40.77,42.91,5.4,0,0,6,4,329,71.1,10,60,6,0,22.7,27,5,22,83.6,897,1,944
Hugh Robertson,129425,P,ILLINOIS,3,13,13,3.88,39.31,39.15,-1.0,0,0,0,9,187,55.0,4,51,2,0,15.4,-2,2,13,50.46,511,0,509
Tory Taylor,129481,P,IOWA,3,23,23,4.19,42.96,48.26,3.7,0,0,6,4,192,80.5,14,63,2,0,26.1,22,6,23,96.4,988,5,1110
Mark Crawford,129645,P,MINNESOTA,3,3,3,3.73,33.67,33.67,,0,0,1,2,225,60.8,2,46,0,0,0.0,0,0,3,11.2,101,0,101
Brendan Cropsey,129808,P,PURDUE,1,1,1,3.61,41.0,41.0,,0,0,0,1,273,60.0,0,41,0,0,0.0,0,0,1,3.61,41,0,41
Andy Vujnovich,129934,P,WISCONSIN,3,8,8,4.24,42.38,46.63,4.7,0,0,1,1,349,73.0,4,53,2,0,37.5,14,3,8,33.95,339,1,373
Lucas Borrow,130327,P,BALL ST,3,16,16,3.79,35.69,39.0,6.5,0,0,3,6,117,72.4,6,52,3,0,12.5,13,2,16,60.69,571,2,624
Luke Elzinga,130433,P,C MICHIGAN,3,12,12,3.85,38.67,45.17,12.7,0,0,0,4,134,65.8,5,65,3,0,25.0,38,3,12,46.17,464,2,542
Dom Dzioban,130519,P,MIAMI OH,3,15,15,3.57,38.73,42.93,10.5,0,0,4,4,221,66.0,4,66,1,0,40.0,63,6,15,53.53,581,0,644
Jack Wilson,130609,P,OHIO,1,1,1,4.05,17.0,17.0,,0,0,0,0,259,60.0,0,17,1,0,0.0,0,0,1,4.05,17,0,17
Riley Moore,130657,K,UMASS,1,0,0,0.0,0.0,0.0,,0,0,0,0,216,60.0,0,0,1,0,0.0,0,0,1,0.0,0,0,0
Jamieson Sheahan,131666,P,CAL,3,15,15,3.78,42.47,48.67,4.7,0,0,1,4,130,66.9,4,65,0,0,46.7,33,7,15,56.74,637,3,730
Luke Akers,131788,P,NWESTERN,3,11,11,4.02,42.18,43.0,-11.0,0,0,4,5,256,70.8,5,52,0,0,9.1,-11,1,11,44.27,464,1,473
David Shanahan,143930,P,GA TECH,3,19,19,3.62,39.74,44.79,13.7,3,0,4,6,176,68.0,5,55,2,0,36.8,96,7,22,68.83,755,0,851
Mark Vassett,144176,P,LOUISVILLE,3,12,12,3.97,42.08,46.83,8.1,0,0,0,2,210,68.1,8,55,3,0,58.3,57,7,12,47.64,505,0,562
Mason Fletcher,144219,P,CINCINNATI,3,11,11,3.75,45.09,48.36,9.0,0,0,3,4,138,70.3,7,70,0,0,36.4,36,4,11,41.23,496,0,532
Riley Riethman,144340,P,NAVY,2,8,8,3.68,44.13,45.38,3.3,0,0,1,4,237,58.3,3,52,0,0,37.5,10,3,8,29.43,353,0,363
Andrew Stokes,144499,P,USF,3,7,7,3.86,39.14,40.14,7.0,0,0,2,3,327,56.0,3,52,1,0,14.3,7,1,7,26.99,274,0,281
Logan Ward,144675,K,OKLA STATE,1,2,2,4.43,50.5,57.5,7.0,0,0,0,0,262,62.2,1,63,0,0,100.0,14,2,2,8.86,101,0,115
Isaac Pearson,144741,P,TEXAS,1,1,1,2.8,15.0,15.0,,0,0,0,0,311,60.0,0,15,1,0,0.0,0,0,1,2.8,15,0,15
James Evans,144846,P,INDIANA,3,12,12,3.89,37.83,43.17,8.8,0,0,3,3,190,64.3,5,52,0,0,41.7,44,5,12,46.62,454,1,518
Tommy Doman,144944,P,MICHIGAN,1,1,1,4.59,41.0,41.0,,0,0,0,1,222,60.0,1,41,0,0,0.0,0,0,1,4.59,41,0,41
Jesse Mirco,145081,P,OHIO STATE,3,11,11,3.84,43.73,43.73,,0,0,5,5,260,78.6,7,52,1,0,0.0,0,0,11,42.21,481,0,481
Jack Ansell,145125,P,PURDUE,3,12,12,3.75,37.83,42.83,6.7,0,0,1,4,273,57.7,2,55,0,0,50.0,40,6,12,44.99,454,1,514
Austin McCready,145261,P,LA TECH,3,12,12,3.75,41.0,42.67,0.0,0,0,2,5,208,65.5,1,51,1,0,25.0,0,3,12,44.98,492,1,512
John McConnell,145294,P,MARSHALL,3,13,13,3.16,36.62,37.77,15.0,0,0,6,5,214,47.4,8,51,1,0,7.7,15,1,13,41.12,476,0,491
Ethan Duane,145392,P,DOMINION,3,24,24,3.76,40.0,41.71,3.0,0,0,7,7,263,61.4,11,57,2,0,29.2,21,7,24,90.19,960,1,1001
Bailey Rice,145570,P,CHARLOTTE,4,17,17,3.88,42.47,44.18,3.0,0,0,5,6,136,67.4,6,54,2,0,17.6,9,3,17,65.93,722,1,751
Mitchell Tomasek,145765,P,E MICHIGAN,3,9,9,3.79,36.11,43.33,22.5,0,0,2,0,160,66.5,3,55,4,0,22.2,45,2,9,34.11,325,1,390
Josh Smith,145784,P,KENT STATE,2,8,8,3.83,36.63,42.75,24.5,0,0,1,5,201,61.9,4,49,0,0,25.0,49,2,8,30.62,293,0,342
Jack Browning,146137,P,S DIEGO ST,3,18,18,4.1,40.17,45.39,10.4,1,0,5,2,284,80.2,10,59,2,0,50.0,94,9,19,73.79,723,0,817
Eddie Czaplicki,146282,K,ARIZONA ST,3,13,13,4.22,39.38,45.0,8.3,0,0,3,2,110,72.8,4,72,2,0,30.8,33,4,13,54.85,512,2,585
