player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Gavin Hardison,100827,QB,UTEP,4,181,53.6,56,60,13.1,2.59,3,2,3.2,41.7,25,18,16.7,68,37.6,5,18,,44.6,44.4,76.9,45.8,,52.9,0,2,70,27.8,50.3,7.4,5,2,0,1,1,2,2.9,315,5.3,0,330,48.8,63.8,63.9,54.5,67.0,91,102,12.4,3.17,0,11,10.1,52.0,53,33,13.1,113,62.4,8,28,,52.1,74.9,79.1,75.6,,51.0,2,1,120,21.2,71.2,6.2,7,3,1,8,1,7,5.8,651,6.4,61.9,118,124,13.2,2.56,3,10,7.8,50.8,63,0,13.7,130,71.8,10,32,,73.0,67.1,79.6,68.1,,48.9,0,2,135,,69.3,0.0,0,4,1,2,2,5,3.7,781,6.3,0,62.1,29,38,10.4,3.94,0,3,7.1,39.5,15,51,16.7,51,28.2,3,14,,23.0,51.9,75.9,52.6,,57.3,2,1,55,23.5,44.3,23.5,12,1,0,7,0,4,7.3,185,4.9
Kyle Vantrease,55029,QB,GA SOUTHRN,3,156,69.6,46,47,10.8,2.05,0,4,8.3,61.7,29,8,9.4,47,30.1,3,20,,69.5,80.0,75.4,79.0,,,0,1,48,0.0,103.3,0.0,0,0,0,1,3,1,2.1,422,9.0,0,174,74.2,56.5,55.8,58.7,65.3,98,105,8.5,2.35,3,1,0.9,58.1,61,19,4.7,109,69.9,3,31,,72.3,42.6,78.9,43.4,,54.2,0,5,114,0.0,62.6,0.0,0,4,0,4,3,9,7.9,564,5.4,69.9,123,127,8.9,2.12,3,5,3.8,65.4,83,0,3.5,129,82.7,3,47,,72.9,59.6,79.5,60.2,,52.7,0,2,132,,93.2,0.0,0,2,0,1,5,9,6.8,918,7.2,0,47.6,21,25,11.4,2.93,0,0,0.0,28.0,7,27,30.0,27,17.3,3,4,,68.1,44.8,73.7,44.1,,60.2,0,4,30,0.0,13.3,0.0,0,2,0,4,1,1,3.3,68,2.7
Will Rogers,124184,QB,MISS STATE,3,151,80.0,30,31,6.3,1.88,1,2,5.7,77.4,24,6,0.0,34,22.5,0,18,,68.8,85.5,74.6,84.6,,,0,1,38,33.3,129.7,5.9,2,0,0,0,7,0,0.0,275,8.9,0,227,73.8,77.0,76.4,56.6,82.4,102,107,5.1,2.48,1,1,0.9,71.0,76,23,9.5,117,77.5,8,34,,72.6,70.1,79.1,69.7,,58.7,0,2,121,21.7,90.1,4.3,5,3,0,4,3,1,0.8,700,6.5,86.0,114,119,5.6,2.15,2,3,2.4,76.5,91,0,7.1,122,80.8,7,47,,72.7,84.9,79.3,84.2,,57.0,0,2,126,,119.2,0.0,0,1,0,3,10,1,0.8,926,7.8,0,55.6,18,19,3.9,3.16,0,0,0.0,47.4,9,29,10.0,29,19.2,1,5,,68.4,45.9,74.1,44.0,,62.4,0,1,33,24.1,32.1,24.1,7,2,0,1,0,0,0.0,49,2.6
Ryan Hilinski,71295,QB,NWESTERN,3,147,81.0,21,22,8.7,2.31,0,0,0.0,77.3,17,4,0.0,22,15.0,0,15,,67.6,70.6,73.0,70.0,,,0,0,24,0.0,109.5,0.0,0,0,0,1,0,1,4.2,227,10.3,2,256,52.2,59.6,59.3,58.3,67.0,115,120,7.8,2.7,2,1,0.8,60.8,73,26,5.2,125,85.0,4,34,,56.2,54.9,42.6,55.9,,57.3,1,3,131,11.5,81.9,2.4,3,1,0,2,5,5,3.8,740,6.2,70.8,113,115,7.4,2.52,2,1,0.8,66.1,76,0,5.0,117,79.6,4,43,,72.6,62.3,40.2,63.1,,57.3,0,3,122,,88.1,0.0,0,1,0,0,4,5,4.1,835,7.3,5,60.9,23,27,10.3,3.1,0,0,0.0,51.9,14,30,0.0,30,20.4,0,6,,28.3,48.4,74.1,48.4,,,1,0,33,10.0,78.0,10.0,3,0,0,3,1,1,3.0,132,4.9
Frank Harris,60586,QB,UTSA,3,146,70.4,27,28,8.4,2.41,0,2,6.7,64.3,18,15,5.3,32,21.9,1,15,,68.6,76.8,74.3,72.2,,72.4,0,1,35,6.7,115.2,3.1,1,3,0,1,4,0,0.0,234,8.4,0,331,61.9,83.6,80.2,75.4,73.9,92,98,8.3,2.52,1,4,3.8,67.3,66,35,2.9,114,78.1,2,41,,55.3,81.4,79.2,79.9,60.0,66.2,1,1,123,17.1,89.8,5.3,6,10,2,2,2,2,1.6,684,7.0,76.7,90,93,7.1,2.0,1,2,2.1,71.0,66,0,4.3,96,65.8,3,39,,71.9,80.7,78.3,77.9,,71.5,0,1,100,,96.9,0.0,0,3,2,0,2,1,1.0,737,7.9,2,62.1,29,33,12.0,3.44,0,4,10.3,54.5,18,50,0.0,50,34.2,0,17,,40.7,78.1,76.2,76.5,60.0,66.7,1,1,58,14.0,97.3,14.0,7,10,0,3,4,1,1.7,181,5.5
Connor Bazelak,99135,QB,INDIANA,3,142,67.9,53,54,10.2,2.24,0,5,8.3,59.3,32,16,11.1,57,40.1,4,19,,70.4,74.3,76.5,73.5,,,0,0,63,18.8,104.1,5.3,3,0,0,1,4,2,3.2,362,6.7,0,190,74.8,68.8,67.9,60.1,65.4,78,82,9.3,2.48,0,1,1.2,54.9,45,22,11.8,85,59.9,6,23,,71.5,62.9,77.9,61.2,,64.9,0,2,89,4.5,68.6,1.2,1,1,0,4,1,3,3.4,529,6.5,71.6,102,102,9.1,2.21,0,5,4.5,66.7,68,0,6.8,104,73.2,5,38,,72.3,78.0,78.8,76.1,,64.9,0,1,112,,99.8,0.0,0,1,0,0,4,3,2.7,811,8.0,1,48.3,29,34,11.7,2.87,0,1,2.8,26.5,9,38,35.7,38,26.8,5,4,,69.0,45.6,74.9,45.5,,,0,1,40,10.5,37.1,10.5,4,0,0,5,1,2,5.0,80,2.4
Aidan O'Connell,60516,QB,PURDUE,3,137,60.5,38,44,12.4,2.35,1,2,4.3,50.0,22,14,4.3,46,33.6,1,15,,69.7,64.5,75.6,64.1,,,2,0,50,14.3,91.1,4.3,2,0,0,3,2,1,2.0,340,7.7,0,273,73.3,74.8,74.8,57.3,75.9,87,90,8.3,2.34,0,3,3.2,71.1,64,16,3.0,91,66.4,2,30,,71.8,78.0,78.2,77.7,60.0,57.3,1,1,96,0.0,109.4,0.0,0,1,0,2,6,3,3.1,658,7.3,74.8,103,106,9.0,2.17,1,4,3.6,69.8,74,0,3.9,107,78.1,3,39,,72.3,81.8,78.8,81.1,,57.3,0,0,113,,118.5,0.0,0,1,0,2,8,3,2.7,841,7.9,1,54.5,22,28,11.9,2.98,0,1,3.3,42.9,12,30,0.0,30,21.9,0,6,,68.5,50.9,74.2,50.9,60.0,,3,1,33,6.7,46.3,6.7,2,0,0,3,0,1,3.0,157,5.6
Cole Snyder,97617,QB,BUFFALO,3,136,64.5,62,64,8.9,2.27,2,3,4.4,60.9,39,27,2.5,75,55.1,1,27,,71.0,72.6,77.4,74.7,54.3,50.8,0,2,79,29.6,79.6,10.7,8,3,0,0,3,4,5.1,370,5.8,0,126,66.0,75.7,72.2,70.8,64.0,50,54,11.3,2.48,2,3,5.4,59.3,32,13,0.0,61,44.9,0,16,,70.4,72.4,76.5,65.1,,84.1,0,0,63,23.1,92.0,4.9,3,4,0,2,2,2,3.2,365,6.8,69.3,88,92,9.1,2.01,3,5,5.3,66.3,61,0,0.0,96,70.6,0,34,,71.8,85.0,78.3,82.4,54.3,72.7,0,1,99,,91.3,1.0,1,3,0,1,3,2,2.0,610,6.6,0,45.8,24,26,13.3,3.21,1,1,3.4,38.5,10,40,9.1,40,29.4,1,9,,69.1,49.3,75.0,46.6,,64.5,0,1,43,25.0,63.8,25.0,10,4,0,1,2,4,9.3,125,4.8
N'Kosi Perry,60446,QB,FAU,4,135,66.7,27,27,11.8,2.04,0,3,10.7,66.7,18,8,0.0,27,20.0,0,16,,68.0,79.6,73.5,78.7,,,0,1,28,0.0,128.4,0.0,0,0,0,0,4,1,3.6,302,11.2,0,165,45.5,79.4,81.9,54.0,64.4,90,96,12.0,2.53,1,8,7.8,55.2,53,27,8.6,108,80.0,5,39,,54.1,79.9,78.9,79.3,,61.8,0,1,114,14.8,94.3,3.7,4,8,0,5,6,3,2.6,685,7.1,68.8,93,94,11.0,2.19,0,10,10.0,64.9,61,0,4.7,100,74.1,3,47,,72.1,91.2,78.6,90.6,,67.2,0,0,106,,122.1,0.0,0,6,0,1,8,1,0.9,848,9.0,1,50.0,24,29,15.4,3.12,1,1,3.3,34.5,10,35,16.7,35,25.9,2,8,,29.4,46.4,74.4,48.5,,52.6,0,2,36,11.4,45.0,11.4,4,2,0,4,2,3,8.3,139,4.8
Davis Brin,77642,QB,TULSA,3,135,72.9,48,49,10.6,2.28,0,5,9.8,59.2,29,16,17.1,53,39.3,6,20,,39.5,77.8,75.9,76.9,,,1,1,55,25.0,119.5,7.5,4,0,0,0,6,1,1.8,435,8.9,0,320,59.1,85.1,83.3,66.1,71.0,69,70,14.2,2.75,0,4,5.3,67.1,47,21,4.1,82,60.7,2,33,,71.5,84.2,77.8,82.1,,68.0,1,0,88,28.6,127.7,7.3,6,6,0,0,5,1,1.1,771,11.0,72.6,95,95,11.7,2.35,0,6,6.1,67.4,64,0,7.2,98,72.6,5,42,,72.0,87.8,78.4,84.8,,72.3,0,0,102,,130.8,0.0,0,3,0,0,9,1,1.0,935,9.8,0,68.2,22,24,17.4,3.14,0,3,10.7,50.0,12,37,20.0,37,27.4,3,11,,31.8,69.4,74.9,69.9,,58.5,2,1,41,27.0,101.2,27.0,10,3,0,0,2,1,2.4,271,11.3
