player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Damien Williams,154547,LB,MERRIMACK,2,0,385,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,10.0,1,10,1,100.0,0,0,0,0,100.0,1,1,100.0,1,0,0,1,0,0
Davis Mallinger,144792,S,W VIRGINIA,3,0,343,0,0,0,0,0,0,100.0,2,2,100.0,2,2,0,0,4.0,2,50,2,100.0,0,0,0,0,0.0,0,0,,0,0,0,2,2,0
Tyree Skipper,122660,S,LA LAFAYET,3,0,207,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,5.6,1,18,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Les Odimara,155200,CB,TARLETON,2,0,401,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,16.7,1,6,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Andre Fuller,141775,CB,TOLEDO,3,0,316,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,4.0,1,25,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Isaiah Greene,153970,CB,CENT CT ST,2,0,133,0,0,0,0,0,0,100.0,2,2,100.0,2,1,0,0,4.2,2,48,2,100.0,0,0,0,0,0.0,0,0,,0,0,0,2,1,0
Trevon Flowers,83393,S,TENNESSEE,3,0,307,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.8,1,118,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jaylen Stinson,122389,S,DUKE,3,0,154,0,0,0,0,0,1,100.0,1,1,100.0,1,1,0,1,1.0,1,105,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Bryan Stukes,150525,CB,MORGAN ST,3,0,235,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.3,1,79,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
David Joseph,78682,S,PORTLAND,2,0,269,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,8.3,1,12,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Grayson Cash,55727,S,UAB,3,0,321,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.0,1,100,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Kamdan Hightower,141637,S,N ARIZONA,3,0,252,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.0,1,96,1,100.0,0,0,0,0,100.0,1,1,100.0,1,0,0,1,0,0
Jonquis Hardaway,164132,CB,CINCINNATI,3,0,138,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,10.0,1,10,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Aydan White,122889,CB,NC STATE,3,0,248,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.8,1,119,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Jayden Sheridan,150222,CB,UTAHTC,3,0,1285,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,2.6,1,39,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Jaquan Jackson,167049,CB,BETH COOK,2,0,119,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,3.1,1,32,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Lance Boykin,83066,CB,COAST CAR,3,0,141,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.2,1,81,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Jace O'Hara,147815,CB,SACRAMENTO,2,0,279,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,2.8,1,36,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Simon Thompson,101222,LB,W OREGON,1,0,411,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,25.0,1,4,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Camden O'Gara,86506,LB,ARMY,2,0,114,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,5.6,1,18,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Tyler Bird,81168,LB,APP STATE,3,0,108,1,0,0,0,0,0,0.0,0,0,,0,0,0,1,7.4,2,27,2,75.0,0,0,0,1,100.0,1,1,100.0,1,1,0,1,1,0
Allen Smith,97148,CB,N ALABAMA,3,0,389,0,1,0,0,1,0,100.0,2,2,75.0,1,1,0,0,7.7,2,26,2,75.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Dawson Weber,66802,S,N DAK ST,3,0,250,0,1,0,0,0,0,50.0,1,1,100.0,1,1,0,0,3.3,2,61,2,75.0,0,0,1,0,50.0,1,1,50.0,0,0,0,1,1,0
Parker McKenna,143761,LB,PORTLAND,2,0,269,0,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,3.1,2,64,2,75.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Chris Shearin,158631,CB,UCONN,4,0,146,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.9,2,108,2,75.0,0,1,0,0,100.0,2,2,75.0,1,0,0,1,0,0
Kahlef Hailassie,83072,CB,W KENTUCKY,3,0,346,0,1,0,0,1,0,100.0,5,4,70.0,3,3,0,0,4.8,5,104,4,70.0,0,0,0,0,0.0,0,0,,0,0,0,3,3,0
