player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Joe Burrow,28022,QB,CIN,2,2.56,2.34,3.33,3.84,110,7,69.8,53,57,6.1,1.9,1,0,0.0,61.4,35,14,5.4,60,54.5,2,23,,24.7,53.6,78.8,53.9,,,1,2,63,21.4,71.5,5.0,3,0,0,2,2,3,4.8,290,5.1,82.1,28,32,8.8,3.36,2,0,0.0,68.8,22,20,4.3,50,45.5,1,15,,80.8,67.4,78.3,62.6,,72.8,0,2,54,50.0,75.9,20.0,10,8,0,2,1,2,3.7,247,7.7
Joe Flacco,4332,QB,NYJ,2,2.64,2.58,3.28,4.8,109,22,85.7,49,53,4.8,1.93,1,0,0.0,69.8,37,12,11.9,55,50.5,5,18,,81.3,78.7,78.6,77.1,,,2,1,60,16.7,99.0,3.6,2,0,0,1,4,0,0.0,273,5.2,66.7,42,50,11.3,3.35,1,2,4.0,52.0,26,28,7.1,54,49.5,2,17,,81.0,68.5,78.3,66.8,,63.3,4,0,55,10.7,80.7,5.6,3,1,0,3,1,0,0.0,343,6.9
Carson Wentz,10636,QB,WAS,2,2.73,2.56,3.57,4.7,98,32,79.1,43,45,4.7,1.98,1,0,0.0,73.3,33,11,2.9,46,46.9,1,20,,80.4,54.0,78.0,54.2,,,1,2,50,9.1,99.7,2.2,1,0,0,0,4,2,4.0,274,6.1,75.0,36,42,12.1,3.39,1,4,8.7,57.1,24,19,11.1,52,53.1,3,13,,81.1,71.0,78.5,69.4,,64.6,1,1,57,26.3,100.9,9.6,5,5,0,4,3,3,5.3,376,9.0
Kyler Murray,38334,QB,ARZ,2,2.61,2.47,3.6,5.57,89,1,80.4,46,48,4.8,1.7,2,2,3.9,72.9,35,2,5.4,49,55.1,2,16,,80.6,84.2,78.1,82.2,,,0,0,52,50.0,102.4,2.0,1,0,0,0,2,0,0.0,296,6.2,66.7,27,35,9.9,3.73,1,2,5.1,51.4,18,23,0.0,40,44.9,0,10,,80.0,54.4,77.7,48.0,,81.0,1,1,47,8.7,63.3,5.0,2,3,0,6,1,3,6.4,174,5.0
Matt Ryan,4317,QB,IND,2,2.71,2.56,3.83,4.65,89,14,75.0,44,46,6.0,1.94,2,0,0.0,67.4,31,5,6.1,46,51.7,2,15,,80.1,65.1,77.8,64.5,,,0,2,48,0.0,77.1,0.0,0,0,0,0,1,3,6.3,328,7.1,60.0,30,34,11.6,3.53,1,1,2.9,50.0,17,21,5.6,43,48.3,1,13,,21.7,52.4,77.5,49.4,,73.1,1,2,44,33.3,46.1,16.3,7,2,0,2,0,3,6.8,219,6.4
Tua Tagovailoa,60326,QB,MIA,2,2.54,2.56,2.85,,88,17,79.5,44,44,6.5,1.78,0,0,0.0,75.0,33,4,5.7,44,50.0,2,21,,79.8,84.5,77.6,82.3,,,0,0,45,0.0,123.8,0.0,0,0,0,0,3,0,0.0,385,8.8,75.7,37,39,9.7,3.38,0,2,5.1,66.7,26,19,7.1,43,48.9,2,14,,29.3,55.8,77.5,57.1,,56.8,0,2,44,21.1,108.3,9.3,4,0,0,2,4,4,9.1,354,9.1
Matthew Stafford,4924,QB,LA,2,2.55,2.46,3.48,4.7,87,26,82.5,40,41,4.8,1.91,1,2,4.9,78.0,32,4,3.0,41,47.1,1,19,,79.2,65.7,77.3,65.1,,,0,2,41,0.0,105.3,0.0,0,0,0,0,4,2,4.9,260,6.3,75.8,33,36,9.7,3.19,0,2,5.4,66.7,24,21,4.0,45,51.7,1,12,,29.7,62.9,77.7,61.6,,62.6,0,3,46,38.1,52.1,17.8,8,1,0,3,0,3,6.5,252,7.0
Justin Herbert,28237,QB,LAC,2,2.78,2.7,5.4,4.2,85,27,81.1,37,37,4.8,2.02,0,0,0.0,78.4,29,6,3.3,37,43.5,1,13,,78.6,58.1,76.9,58.1,,,0,1,37,0.0,121.5,0.0,0,0,0,0,5,1,2.7,235,6.4,82.1,39,45,8.1,3.37,3,3,6.5,66.7,30,27,6.3,48,56.5,2,14,,80.4,80.9,78.0,79.3,,62.1,1,0,50,7.4,100.0,4.2,2,1,0,2,1,0,0.0,378,8.4
Jameis Winston,9434,QB,NO,2,2.76,2.53,3.59,5.6,85,20,78.4,37,37,7.3,1.97,0,2,5.1,75.7,28,6,3.4,39,45.9,1,10,,79.2,83.5,77.3,81.5,,,0,0,41,33.3,120.9,5.1,2,0,0,0,3,0,0.0,255,6.9,61.8,34,35,16.0,3.42,0,2,5.4,57.1,20,21,4.8,46,54.1,1,11,,29.8,43.7,77.8,44.6,,58.1,0,3,48,38.1,43.8,17.4,8,3,0,1,0,5,10.4,250,7.1
Derek Carr,8671,QB,LV,2,2.44,2.32,3.63,4.9,83,23,73.3,45,50,5.5,1.88,2,0,0.0,64.0,32,8,3.0,51,61.4,1,19,,80.9,50.1,78.3,50.7,,,1,1,54,12.5,92.7,2.0,1,0,0,2,3,1,1.9,307,6.1,65.2,23,26,13.4,3.33,0,1,3.6,57.7,15,16,0.0,32,38.6,0,12,,20.0,48.1,76.6,49.4,,58.3,2,2,34,31.3,69.4,15.6,5,1,0,1,1,5,14.7,240,9.2
