player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"Brehm, Ryan",150,Inf,,0.00
"Kim, Bio",150,Inf,+89154,-0.621
"Higgo, Garrick",150,Inf,+82594,-0.669
"Kinoshita, Ryosuke",150,Inf,,0.00
"Kaewkanjana, Sadom",150,Inf,+63666,-0.777
"Kim, Chan",150,Inf,+99066,-0.777
"Dufner, Jason",150,Inf,,0.00
"Kozuma, Jinichiro",150,Inf,,0.00
"Cejka, Alex",150,Inf,,0.00
"Mueller, Jesse",12,Inf,,0.00
"Mendoza, Kyle",7,Inf,,0.00
"McCarty, Sean",7,Inf,,0.00
"Collet, Tyler",4,Inf,,0.00
"Bingaman, Brandon",0,,,0.00
"Feenstra, Tim",0,,,0.00
"Hurt, Austin",0,,,0.00
"Jones, Jared",0,,,0.00
"Pyne, Casey",6,,,0.00
"Inglis, Colin",0,,,0.00
"Newman, Dylan",0,,,0.00
"Daly, John",150,,,0.00
"Worthington II, Wyatt",4,,,0.00
"Ishee, Nic",0,,,0.00
"Warren, Shawn",8,,,0.00
"Borchert, Matthew",8,,,0.00
"Block, Michael",46,,,0.00
"Dickinson, Paul",0,,,0.00
"Vermeer, Ryan",32,,,0.00
"Yang, Y.E.",150,,,0.00
"Beem, Rich",84,,,0.00
"Micheel, Shaun",150,,,0.00
"Beach, Alex",20,,,0.00
"Oakley, Zac",0,,,0.00
