Player,Roster Position,%Drafted,FPTS,
Kenneth Walker III,RB,39.94%,34.2,
David Bell,WR,31.62%,25,
Rakim Jarrett,FLEX,27.25%,23.5,
Braelon Allen,RB,24.65%,40.9,
Taulia Tagovailoa,QB,24.45%,25.6,
Jayden Reed,FLEX,23.42%,34.4,
Aidan O'Connell,S-FLEX,22.36%,34.6,
Jaylan Knighton,RB,21.50%,17.6,
Leddie Brown,RB,20.48%,15.8,
Breece Hall,RB,18.09%,28.6,
Tyler Van Dyke,QB,16.73%,29.74,
Chris Olave,WR,15.93%,23.5,
Bo Melton,WR,15.05%,11.3,
Dillon Johnson,RB,14.13%,20.2,
Tanner Mordecai,QB,13.25%,32.38,
Tank Bigsby,RB,13.19%,16.1,
Will Rogers,S-FLEX,11.82%,42.9,
Caleb Williams,QB,11.26%,11.54,
TreVeyon Henderson,FLEX,10.95%,23.2,
Payton Thorne,S-FLEX,10.14%,26.88,
Gerry Bohanon,QB,9.96%,33.38,
Tyquan Thornton,WR,9.79%,14.1,
Abram Smith,RB,9.38%,17.8,
C.J. Stroud,QB,8.90%,37.34,
Hassan Haskins,RB,8.83%,28.1,
Peyton Hendershot,WR,8.40%,3.1,
Charlie Kolar,FLEX,8.40%,27.6,
Charleston Rambo,WR,7.94%,15.5,
R.J. Sneed,WR,7.43%,3.9,
Mario Williams,FLEX,7.15%,0,
Deuce Vaughn,RB,7.06%,23.7,
Brandon Johnson,WR,6.90%,4.6,
Rashee Rice,WR,6.66%,19.3,
Austin Williams,WR,6.63%,8.4,
Tre Siggers,RB,6.43%,27.3,
Brock Bowers,FLEX,6.19%,6.7,
Jaden Walley,WR,6.06%,15.7,
Reggie Roberson Jr.,S-FLEX,6.01%,20,
Brock Purdy,S-FLEX,5.87%,30.64,
Marcus Fleming,FLEX,5.87%,3.3,
Carlos Carriere,S-FLEX,5.85%,4.5,
Marvin Mims,WR,5.58%,5.2,
Sean Clifford,QB,5.47%,15.8,
Key'Shawn Smith,FLEX,5.42%,9.2,
Ryan O'Keefe,FLEX,5.37%,15.4,
Jo'quavious Marks,RB,5.34%,11.7,
Bo Nix,S-FLEX,5.28%,25.78,
Jordan Travis,S-FLEX,5.08%,31.16,
Mike Harley,WR,4.95%,16.1,
Danny Gray,WR,4.88%,4.3,
Evan Hull,FLEX,4.83%,6.2,
Shameen Jones,WR,4.79%,4.6,
Zamir White,RB,4.36%,6.8,
Makai Polk,WR,4.34%,26.1,
Hendon Hooker,QB,4.29%,12.46,
Cedric Tillman,WR,4.25%,39,
Tayon Fleet-Davis,RB,4.14%,7,
Chigoziem Okonkwo,WR,4.05%,34.2,
Ty Fryfogle,WR,4.05%,10.4,
Payne Durham,WR,4.02%,2.5,
Jaxon Smith-Njigba,WR,3.98%,31.9,
Jahan Dotson,WR,3.98%,17.7,
Velus Jones Jr.,WR,3.96%,18.4,
Jackson Anthrop,WR,3.79%,26.8,
Jermaine Burton,FLEX,3.74%,3.1,
Michael Woods II,WR,3.70%,9.3,
Xavier Hutchinson,WR,3.57%,22.2,
Mikey Keene,S-FLEX,3.53%,7.96,
Garrett Wilson,WR,3.49%,54.7,
Tre Mosley,WR,3.40%,9.2,
Chris Childers,S-FLEX,3.35%,1.1,
Trestan Ebner,S-FLEX,3.25%,10.8,
SaRodorick Thompson,FLEX,3.20%,12.1,
