School,Abbrev,Conf
BOSTON COLLEGE,BC,ACC
CLEMSON,CLEM,ACC
DUKE,DUKE,ACC
FLORIDA ST,FSU,ACC
GEORGIA TECH,GT,ACC
LOUISVILLE,LOU,ACC
MIAMI FL,MIA,ACC
NC ST,NCST,ACC
PITTSBURGH,PITT,ACC
SYRACUSE,SYR,ACC
N CAROLINA,UNC,ACC
VIRGINIA,UVA,ACC
VIRGINIA TECH,VT,ACC
WAKE,WAKE,ACC
ILLINOIS,IL,B1G
INDIANA,IU,B1G
IOWA,IOWA,B1G
MICHIGAN,MICH,B1G
MICH STATE,MSU,B1G
MINNESOTA,MINN,B1G
NEBRASKA,NEB,B1G
NORTHWESTERN,NW,B1G
OHIO STATE,OSU,B1G
PENN STATE,PSU,B1G
PURDUE,PUR,B1G
RUTGERS,RUTG,B1G
MARYLAND,UMD,B1G
WISCONSIN,WISC,B1G
BAYLOR,BAY,B12
IOWA STATE,ISU,B12
KANSAS,KU,B12
KANSAS ST,KSU,B12
OKLAHOMA,OU,B12
OKLA STATE,OKST,B12
TCU,TCU,B12
TEXAS,UT,B12
TEXAS TECH,TTU,B12
W VIRGINIA,WVU,B12
ARIZONA,ARIZ,P12
ARIZONA ST,ASU,P12
CAL,CAL,P12
COLORADO,COL,P12
OREGON,ORE,P12
OREGON ST,ORST,P12
STANFORD,STAN,P12
UCLA,UCLA,P12
USC,USC,P12
UTAH,UTAH,P12
WASHINGTON,WASH,P12
WASHINGTON ST,WSU,P12
ALABAMA,ALA,SEC
ARKANSAS,ARK,SEC
AUBURN,AUB,SEC
FLORIDA,UF,SEC
GEORGIA,UGA,SEC
KENTUCKY,UK,SEC
LSU,LSU,SEC
OLE MISS,MISS,SEC
MISSISSIPPI ST,MSST,SEC
MISSOURI,MIZZ,SEC
S CAROLINA,SCAR,SEC
TENNESSEE,TENN,SEC
TEXAS A&M,TA&M,SEC
VANDERBILT,VAN,SEC
BYU,BYU,IND
ARMY,ARMY,IND
UMASS,UMASS,IND
NOTRE DAME,ND,IND
CINCINNATI,CINCY,AAC
UCONN,CONN,AAC
ECU,ECU,AAC
HOUSTON,HOU,AAC
MEMPHIS,MEM,AAC
NAVY,NAVY,AAC
SMU,SMU,AAC
SOUTH FLORIDA,USF,AAC
TEMPLE,TEM,AAC
TULANE,TUL,AAC
TULSA,TLSA,AAC
UCF,UCF,AAC
CHARLOTTE,CHAR,CUSA
FAU,FAU,CUSA
FIU,FIU,CUSA
LOUISIANA TECH,LT,CUSA
MARSHALL,MRSH,CUSA
MIDDLE TENNESSEE,MTSU,CUSA
NORTH TEXAS,UNT,CUSA
OLD DOMINION,ODU,CUSA
RICE,RICE,CUSA
SOUTHERN MISS,USM,CUSA
UTEP,UTEP,CUSA
UTSA,UTSA,CUSA
WKU,WKU,CUSA
AKRON,AKR,MAC
BALL ST,BALL,MAC
BOWLING GREEN,BGSU,MAC
BUFFALO,BUFF,MAC
CENTRAL MICHIGAN,CMU,MAC
EASTERN MICHIGAN,EMU,MAC
KENT ST,KENT,MAC
MIAMI OH,M-OH,MAC
NORTHERN ILLINOIS,NIU,MAC
OHIO,OHIO,MAC
TOLEDO,TOL,MAC
WESTERN MICHIGAN,WMU,MAC
AIR FORCE,AFA,MWC
BOISE ST,BSU,MWC
COLORADO ST,CSU,MWC
FRESNO ST,FRES,MWC
HAWAII,HAW,MWC
NEVADA,NEV,MWC
NEW MEXICO,UNM,MWC
SAN DIEGO ST,SDSU,MWC
SAN JOSÉ ST,SJSU,MWC
UNLV,UNLV,MWC
UTAH ST,USU,MWC
WYOMING,WYO,MWC
APPALACHIAN ST,APP,SBC
ARKANSAS ST,ARST,SBC
GEORGIA SOUTHERN,GASO,SBC
GEORGIA ST,GAST,SBC
IDAHO,IDHO,SBC
LOUISIANA LAFAYETTE,ULL,SBC
LOUISIANA MONROE,ULM,SBC
NEW MEXICO ST,NMSU,SBC
SOUTH ALABAMA,USA,SBC
TEXAS ST,TXST,SBC
TROY,TROY,SBC
CAL POLY,CP,Big Sky
EASTERN WASHINGTON,EWU,Big Sky
IDAHO ST,IDST,Big Sky
MONTANA,MONT,Big Sky
MONTANA ST,MTST,Big Sky
NORTH DAKOTA,UND,Big Sky
NORTHERN ARIZONA,NAU,Big Sky
NORTHERN COLORADO,UNCO,Big Sky
PORTLAND ST,PRST,Big Sky
SACRAMENTO ST,SAC,Big Sky
SOUTHERN UTAH,SUU,Big Sky
UC DAVIS,UCD,Big Sky
WEBER ST,WEB,Big Sky
CHARLESTON SOUTHERN,CHSO,Big South
COASTAL CAROLINA,CCAR,Big South
GARDNER-WEBB,WEBB,Big South
KENNESAW ST,KENN,Big South
LIBERTY,LIB,Big South
MONMOUTH,MONM,Big South
PRESBYTERIAN,PRE,Big South
ALBANY,ALBY,CAA
DELAWARE,DEL,CAA
ELON,ELON,CAA
JAMES MADISON,JMU,CAA
MAINE,MNE,CAA
NEW HAMPSHIRE,UNH,CAA
RHODE ISLAND,URI,CAA
RICHMOND,RICH,CAA
STONY BROOK,STON,CAA
TOWSON,TOWS,CAA
VILLANOVA,NOVA,CAA
WILLIAM & MARY,W&M,CAA
BROWN,BRWN,Ivy
CORNELL,COR,Ivy
COLUMBIA,CLMB,Ivy
DARTMOUTH,DART,Ivy
HARVARD,HARV,Ivy
UPENN,PENN,Ivy
PRINCETON,PRIN,Ivy
YALE,YALE,Ivy
BETHUNE-COOKMAN,COOK,MEAC
DELAWARE ST,DSU,MEAC
FLORIDA A&M,FAMU,MEAC
HAMPTON,HAMP,MEAC
HOWARD,HOW,MEAC
MORGAN ST,MORG,MEAC
NORFOLK ST,NORF,MEAC
NORTH CAROLINA A&T,NCAT,MEAC
NC CENTRAL,NCCU,MEAC
SAVANNAH ST,SAV,MEAC
SOUTH CAROLINA ST,SCST,MEAC
ILLINOIS ST,ILST,MVFC
INDIANA ST,INST,MVFC
MISSOURI ST,MOST,MVFC
NORTH DAKOTA ST,NDSU,MVFC
NORTHERN IOWA,UNI,MVFC
SOUTH DAKOTA,SDAK,MVFC
SOUTH DAKOTA ST,SDSU,MVFC
SOUTHERN ILLINOIS,SIU,MVFC
WESTERN ILLINOIS,WIU,MVFC
YOUNGSTOWN ST,YSU,MVFC
BRYANT,BRY,NEC
CENTRAL CONNECTICUT,CCSU,NEC
DUQUESNE,DUQ,NEC
ROBERT MORRIS (PA),RMU,NEC
SACRED HEART,SHU,NEC
ST. FRANCIS (PA),SFU,NEC
WAGNER,WAG,NEC
AUSTIN PEAY,PEAY,OVC
EASTERN ILLINOIS,EIU,OVC
EASTERN KENTUCKY,EKY,OVC
JACKSONVILLE ST,JVST,OVC
MURRAY ST,MURR,OVC
SOUTHEAST MISSOURI,SEMO,OVC
TENNESSEE ST,TNST,OVC
TENNESSEE TECH,TNTC,OVC
TENNESSEE-MARTIN,UTM,OVC
BUCKNELL,BUCK,Patriot
COLGATE,COLG,Patriot
FORDHAM,FOR,Patriot
GEORGETOWN,GTWN,Patriot
HOLY CROSS,HC,Patriot
LAFAYETTE,LAF,Patriot
LEHIGH,LEH,Patriot
BUTLER,BUT,Pioneer
CAMPBELL,CAMP,Pioneer
DAVIDSON,DAV,Pioneer
DAYTON,DAY,Pioneer
DRAKE,DRKE,Pioneer
JACKSONVILLE,JAC,Pioneer
MARIST,MRST,Pioneer
MOREHEAD ST,MORE,Pioneer
SAN DIEGO,USD,Pioneer
STETSON,STET,Pioneer
VALPARAISO,VALP,Pioneer
CHATTANOOGA,CHAT,SoCon
ETSU,ETSU,SoCon
FURMAN,FUR,SoCon
MERCER,MER,SoCon
SAMFORD,SAM,SoCon
THE CITADEL,CIT,SoCon
VMI,VMI,SoCon
WESTERN CAROLINA,WCU,SoCon
WOFFORD,WOF,SoCon
ABILENE CHRISTIAN,ACU,Southland
CENTRAL ARKANSAS,UCA,Southland
HOUSTON BAPTIST,HBU,Southland
INCARNATE WORD,IW,Southland
LAMAR,LAM,Southland
MCNEESE ST,MCNS,Southland
NICHOLLS ST,NICH,Southland
NORTHWESTERN ST,NWST,Southland
SAM HOUSTON ST,SHSU,Southland
SOUTHEASTERN LOUISIANA,SELA,Southland
STEPHEN F. AUSTIN,SFA,Southland
ALABAMA A&M,AAMU,SWAC
ALABAMA ST,ALST,SWAC
ALCORN ST,ALCN,SWAC
ARKANSAS-PINE BLUFF,ARPB,SWAC
GRAMBLING ST,GRAM,SWAC
JACKSON ST,JKST,SWAC
MISSISSIPPI VALLEY ST,MVSU,SWAC
PRAIRIE VIEW A&M,PV,SWAC
SOUTHERN UNIVERSITY,SOU,SWAC
TEXAS SOUTHERN,TXSO,SWAC
