player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Shaq Mason,9564,G,HST,13,100.0,0,13,61.5,66.3,56.3,5,19,519,100.0,100.0,96.1,3,32,8,877,0,0,0,877,550,550,877,0,327,0
Sam Cosmi,60114,G,WAS,13,100.0,1,32,66.0,74.4,62.4,4,12,475,100.0,100.0,98.1,6,17,1,871,0,0,0,871,508,508,871,0,363,0
Nick Allegretti,39268,G,WAS,13,100.0,1,32,61.7,61.9,61.8,1,23,471,100.0,100.0,96.8,5,27,3,860,0,860,0,860,504,504,0,0,356,0
Daniel Faalele,81734,G,BLT,13,100.0,1,3,56.7,66.3,53.2,2,21,432,100.0,100.0,97.1,6,24,1,856,0,0,0,856,469,469,856,0,387,0
Tyler Biadasz,41178,C,WAS,13,100.0,1,32,70.6,66.6,70.2,0,9,467,100.0,100.0,98.8,2,10,1,852,852,0,0,852,500,500,0,0,352,0
Mike Onwenu,27357,G,NE,13,100.0,0,19,64.2,70.0,57.7,6,21,503,100.0,100.0,97.1,5,28,1,851,0,0,0,851,545,545,522,329,306,0
Tyler Linderbaum,82291,C,BLT,13,100.0,0,3,80.4,67.7,85.1,2,8,432,100.0,100.0,98.8,7,10,0,850,850,0,0,850,469,469,0,0,381,0
Ronnie Stanley,10640,T,BLT,13,100.0,1,3,71.3,80.6,63.3,4,25,430,100.0,100.0,96.6,11,29,0,848,0,0,825,848,467,467,0,0,381,22
Quinn Meinerz,112915,G,DEN,13,100.0,1,10,85.0,80.6,81.7,4,4,495,100.0,100.0,99.0,3,9,1,841,0,0,0,841,528,528,840,0,313,0
Joel Bitonio,8670,G,CLV,12,100.0,0,8,62.8,62.7,62.9,4,21,549,100.0,100.0,97.4,7,27,2,840,0,813,27,840,588,588,0,0,252,0
Ben Powers,41482,G,DEN,13,100.0,1,10,62.6,66.9,57.1,3,10,495,100.0,100.0,98.3,4,15,2,839,0,838,0,839,528,528,0,0,311,0
Laremy Tunsil,10647,T,HST,13,100.0,2,13,77.8,88.6,77.9,1,10,494,100.0,100.0,98.5,17,13,2,836,0,0,836,836,522,522,0,0,314,0
Terence Steele,39461,T,DAL,12,100.0,0,9,65.0,53.1,80.1,6,20,518,100.0,100.0,95.8,4,35,9,836,0,0,0,836,566,566,0,836,270,0
Cooper Beebe,99434,C,DAL,12,100.0,0,9,62.2,60.3,62.0,5,7,518,100.0,100.0,98.3,3,15,3,835,835,0,0,835,566,566,0,0,269,0
Joe Thuney,10712,G,KC,12,100.0,0,16,85.6,91.4,77.1,0,8,491,100.0,100.0,99.2,1,8,0,832,1,824,7,832,524,524,0,0,308,0
Jawaan Taylor,41665,T,KC,12,100.0,2,16,62.0,73.8,59.0,5,16,491,100.0,100.0,96.4,13,28,7,832,0,0,0,832,524,524,0,830,308,2
Creed Humphrey,59996,C,KC,12,100.0,0,16,93.8,89.5,92.2,2,4,491,100.0,100.0,99.4,1,6,0,832,831,1,0,832,524,524,0,0,308,0
Trey Smith,62960,G,KC,12,100.0,1,16,78.6,67.8,80.5,3,18,491,100.0,100.0,97.9,5,21,0,832,0,0,0,832,524,524,832,0,308,0
Coleman Shelton,39316,C,CHI,12,100.0,0,6,69.3,72.3,68.8,2,11,493,100.0,100.0,98.5,3,14,1,821,821,0,0,821,544,544,0,0,277,0
Juice Scruggs,81800,C,HST,12,100.0,0,13,63.3,64.8,63.6,3,13,481,100.0,100.0,97.3,6,21,5,818,568,250,0,818,511,511,0,0,307,0
Patrick Mekari,46219,G,BLT,13,100.0,2,3,63.2,67.6,63.1,0,23,407,100.0,100.0,96.9,13,24,1,818,6,642,1,818,442,442,0,169,376,0
Garett Bolles,11775,T,DEN,13,100.0,4,10,77.6,88.7,70.7,2,11,480,100.0,100.0,98.4,14,14,1,817,0,0,811,817,513,513,0,0,304,5
Dan Moore Jr.,60120,T,PIT,12,100.0,1,25,70.6,72.9,61.9,2,17,404,100.0,100.0,96.2,2,25,6,814,0,0,813,814,434,434,0,0,380,1
Tytus Howard,25472,T,HST,12,100.0,1,13,70.8,74.6,60.6,1,26,478,100.0,100.0,96.5,2,30,3,812,0,0,0,812,509,509,0,812,303,0
Jon Runyan,36661,G,NYG,12,100.0,2,21,55.3,61.8,51.8,4,23,478,100.0,100.0,97.0,5,28,1,808,0,807,0,808,518,518,0,0,290,1
Greg Van Roten,7746,G,NYG,12,100.0,0,21,68.5,64.3,68.6,4,18,478,100.0,100.0,96.7,3,27,5,808,0,0,1,808,518,518,807,0,290,0
John Michael Schmitz Jr.,55238,C,NYG,12,100.0,0,21,58.8,46.1,62.8,4,15,478,100.0,100.0,96.8,1,25,6,808,808,0,0,808,518,518,0,0,290,0
Charles Cross,98401,T,SEA,12,100.0,2,29,82.1,80.6,75.6,4,26,495,100.0,100.0,96.0,5,35,5,805,0,0,803,805,543,543,0,2,262,0
Laken Tomlinson,9461,G,SEA,12,100.0,1,29,61.9,65.7,58.8,6,16,495,100.0,100.0,97.0,4,26,4,805,0,805,0,805,543,543,0,0,262,0
Liam Eichenberg,41851,G,MIA,12,100.0,1,17,55.0,56.6,58.5,3,14,456,100.0,100.0,97.7,7,19,2,803,0,0,0,803,484,484,802,0,319,0
Aaron Brewer,46014,C,MIA,12,100.0,1,17,76.1,71.6,75.5,0,6,456,100.0,100.0,98.9,4,8,2,802,802,0,0,802,484,484,0,0,318,0
Quenton Nelson,12954,G,IND,13,100.0,0,14,80.7,79.7,83.0,6,8,428,100.0,100.0,98.1,10,15,1,792,0,792,0,792,460,460,0,0,332,0
Cam Jurgens,84014,C,PHI,12,100.0,2,24,68.5,58.0,70.0,0,15,365,100.0,100.0,97.1,6,18,3,790,790,0,0,790,387,387,0,0,403,0
Ben Bredeson,27305,G,TB,12,100.0,0,30,55.6,58.3,53.0,2,20,465,100.0,100.0,97.6,3,22,0,790,0,789,0,790,492,492,0,0,298,1
Cody Mauch,66637,G,TB,12,100.0,0,30,70.9,75.1,64.9,0,11,465,100.0,100.0,98.4,2,13,2,790,0,0,0,790,492,492,789,0,298,1
Jake Matthews,8641,T,ATL,12,100.0,2,2,71.7,80.4,60.9,4,15,423,100.0,100.0,96.6,7,24,5,782,0,0,781,782,461,461,0,0,321,0
Graham Glasgow,10729,G,DET,12,100.0,1,11,57.7,59.2,57.2,5,14,388,100.0,100.0,97.0,5,21,2,782,52,729,1,782,400,400,0,0,382,0
Penei Sewell,81788,T,DET,12,99.9,1,11,89.5,76.6,91.0,2,14,387,99.7,99.8,97.9,3,16,0,781,0,0,0,782,399,400,0,781,382,0
Blake Brandel,46282,G,MIN,12,100.0,0,18,59.0,67.4,59.6,3,15,420,100.0,100.0,96.7,8,23,5,777,0,777,0,777,457,457,0,0,320,0
Garrett Bradbury,46013,C,MIN,12,100.0,0,18,69.2,56.7,77.7,4,19,420,100.0,100.0,96.8,6,25,2,777,777,0,0,777,457,457,0,0,320,0
