player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,BLT,13,2,0,3,72.1,11,14,331,95.9,13.3,44,0,5.6,6,366,351,31,2,81.1,7,10,156,98.2,21.8,34,9.3,6,167,164,23
Ndamukong Suh,5527,DI,PHI,5,0,0,24,52.3,0,4,61,100.0,9.8,6,0,4.9,1,62,62,5,0,45.4,0,2,28,100.0,10.7,3,3.6,0,29,29,2
Tyson Alualu,5535,DI,PIT,14,1,0,25,57.7,2,5,123,100.0,6.5,8,2,3.7,1,130,130,8,1,59.7,2,4,62,100.0,8.1,5,4.8,0,64,64,6
Brandon Graham,5538,ED,PHI,14,1,0,24,89.9,3,24,208,95.2,23.1,48,1,11.3,10,230,219,37,0,90.4,1,13,93,96.2,30.1,28,16.1,8,105,101,22
Jason Pierre-Paul,5540,ED,BLT,11,3,1,3,53.7,0,13,235,95.1,8.1,19,2,3.6,2,263,250,15,1,52.9,0,7,106,96.6,10.4,11,5.2,2,117,113,9
Kareem Jackson,5545,S,DEN,14,0,0,10,56.7,0,0,2,0.3,0.0,0,1,0.0,0,586,2,0,0,,0,0,0,0.0,,0,,0,262,0,0
Devin McCourty,5552,S,NE,14,0,0,19,55.5,0,0,2,0.4,0.0,0,0,0.0,0,541,2,0,0,55.5,0,0,2,0.8,0.0,0,0.0,0,250,2,0
Jerry Hughes,5556,ED,HST,14,0,2,13,71.4,0,40,306,99.1,19.3,59,3,9.2,8,320,317,48,0,69.8,0,15,124,97.7,23.4,29,10.1,5,131,128,20
Linval Joseph,5571,DI,PHI,5,0,0,24,61.4,0,1,48,100.0,6.3,3,1,3.1,1,48,48,2,0,61.6,0,1,10,100.0,10.0,1,5.0,0,10,10,1
Carlos Dunlap,5579,ED,KC,14,6,0,16,59.3,3,14,260,94.9,10.8,28,1,5.2,5,295,280,22,4,57.4,2,7,112,92.4,11.6,13,7.6,4,131,121,13
Corey Peters,5607,DI,JAX,9,0,0,15,57.2,1,5,94,100.0,7.4,7,0,3.2,0,100,100,6,0,61.6,1,2,33,100.0,12.1,4,4.5,0,34,34,3
Al Woods,5646,DI,SEA,12,1,0,29,68.6,0,10,128,99.3,10.2,13,1,5.5,2,134,133,12,0,71.9,0,4,32,97.1,15.6,5,9.4,1,35,34,5
Von Miller,6154,ED,BUF,11,0,0,4,81.8,4,33,286,98.7,18.2,52,4,9.3,8,315,311,45,0,81.5,3,19,144,98.7,23.6,34,12.5,7,157,155,29
Patrick Peterson,6157,CB,MIN,14,0,0,18,60.0,0,0,1,0.2,0.0,0,3,0.0,0,608,1,0,0,,0,0,0,0.0,,0,,0,278,0,0
J.J. Watt,6163,DI,ARZ,13,6,0,1,71.3,12,26,413,99.8,13.1,54,6,7.0,10,428,427,48,1,75.3,5,20,198,100.0,19.2,38,9.8,7,203,203,32
Robert Quinn,6166,ED,PHI,12,0,2,24,55.6,4,15,205,96.9,10.2,21,4,5.1,1,225,218,20,0,57.5,2,9,103,96.5,13.6,14,6.3,1,114,110,12
Cameron Jordan,6176,ED,NO,13,1,0,20,53.1,3,17,358,97.0,9.5,34,2,4.7,7,397,385,27,1,51.9,1,12,167,98.4,13.8,23,6.9,5,189,186,18
Cameron Heyward,6183,DI,PIT,14,0,0,25,76.6,9,28,383,100.0,18.8,72,1,6.7,7,402,402,44,0,78.6,7,20,220,100.0,21.4,47,8.9,6,231,231,33
Justin Houston,6222,ED,BLT,11,0,0,3,72.2,4,18,222,92.2,18.9,42,2,9.5,10,258,238,32,0,72.0,2,13,115,94.0,24.3,28,12.6,7,134,126,22
Lawrence Guy,6385,DI,NE,11,0,0,19,54.8,1,13,184,100.0,10.3,19,0,5.4,3,189,189,17,0,54.5,1,6,54,100.0,16.7,9,8.3,1,57,57,8
Chris Harris Jr.,6457,CB,NO,9,0,0,20,68.5,0,5,17,7.4,11.8,2,4,20.6,1,242,18,6,0,68.9,0,4,8,6.3,25.0,2,25.0,0,128,8,4
Josh Bynes,6503,LB,BLT,7,0,0,3,58.5,0,1,20,15.6,5.0,1,0,7.5,1,147,23,2,0,67.1,0,0,4,11.9,0.0,0,25.0,1,42,5,1
Nick Bellore,6515,FB,SEA,1,0,0,29,60.0,0,0,1,50.0,0.0,0,0,0.0,0,2,1,0,0,,0,0,0,,,0,,0,0,0,0
Mario Addison,6558,ED,HST,10,1,0,13,60.7,1,15,171,99.4,10.5,18,0,5.8,2,176,175,18,1,64.6,1,7,80,100.0,13.8,11,6.3,1,81,81,9
Fletcher Cox,7018,DI,PHI,14,0,0,24,61.2,6,15,352,100.0,9.9,35,1,5.0,7,369,369,28,0,67.7,3,11,167,100.0,15.0,25,7.8,6,177,177,20
Michael Brockers,7020,DI,DET,6,1,0,11,55.2,1,1,60,100.0,5.0,3,0,1.7,0,61,61,2,0,47.8,0,0,14,100.0,0.0,0,0.0,0,15,15,0
Bruce Irvin,7021,ED,SEA,8,0,0,29,52.9,2,10,146,88.3,10.3,15,2,5.5,2,171,151,14,0,59.4,0,8,69,97.3,18.8,13,8.7,2,73,71,10
Melvin Ingram III,7024,ED,MIA,14,1,1,17,80.8,5,23,250,83.9,18.8,47,6,8.0,6,322,270,34,0,88.8,3,16,117,88.7,29.9,35,13.2,6,142,126,25
Chandler Jones,7027,ED,LV,14,2,1,23,61.2,10,31,431,93.3,13.2,57,2,5.9,5,491,458,46,0,68.8,4,18,175,95.0,21.1,37,9.1,5,199,189,27
Bobby Wagner,7050,LB,LA,14,0,0,26,74.4,1,9,94,18.2,17.0,16,1,10.6,5,528,96,15,0,76.7,1,5,33,17.0,27.3,9,18.2,3,206,35,9
Lavonte David,7060,LB,TB,14,0,0,30,71.6,0,2,39,7.6,10.3,4,2,10.3,3,550,42,5,0,67.1,0,2,18,8.0,16.7,3,11.1,1,225,18,3
Vinny Curry,7061,ED,NYJ,9,0,0,22,56.8,0,6,79,100.0,10.1,8,1,3.8,0,83,83,6,0,69.2,0,4,25,100.0,20.0,5,8.0,0,27,27,4
Demario Davis,7079,LB,NO,14,0,0,20,85.5,2,6,53,11.0,20.8,11,1,22.6,8,557,61,16,0,66.1,0,4,25,12.0,16.0,4,16.0,2,251,30,6
Akiem Hicks,7090,DI,TB,8,1,0,30,55.2,3,3,159,99.4,7.5,12,2,1.9,0,172,171,6,1,60.1,2,3,60,98.5,15.0,9,4.2,0,65,64,5
Rodney McLeod,7271,S,IND,14,0,0,14,61.9,0,2,9,2.1,11.1,1,2,11.1,0,479,10,2,0,53.3,0,1,1,0.5,0.0,0,50.0,0,218,1,1
Michael Thomas,7279,S,CIN,3,0,0,7,57.6,0,0,2,11.8,0.0,0,0,0.0,0,17,2,0,0,59.7,0,0,1,10.0,0.0,0,0.0,0,10,1,0
