player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,BLT,8,2,0,3,73.5,6,10,216,95.0,14.8,32,0,5.6,4,242,230,20,2,86.6,5,7,103,97.3,25.2,26,9.7,4,111,108,16
Tyson Alualu,5535,DI,PIT,9,0,0,25,53.6,1,4,100,100.0,5.0,5,2,2.5,0,105,105,5,0,54.3,1,3,49,100.0,6.1,3,4.1,0,50,50,4
Brandon Graham,5538,ED,PHI,9,1,0,24,82.7,3,16,146,95.7,21.9,32,1,9.2,4,162,155,23,0,79.1,1,9,62,97.2,29.0,18,12.9,3,71,69,13
Jason Pierre-Paul,5540,ED,BLT,6,3,1,3,56.2,0,8,147,96.9,8.8,13,1,3.4,1,162,157,9,1,50.2,0,4,68,95.9,8.8,6,4.4,1,74,71,5
Devin McCourty,5552,S,NE,9,0,0,19,58.3,0,0,1,0.3,0.0,0,0,0.0,0,339,1,0,0,58.3,0,0,1,0.6,0.0,0,0.0,0,157,1,0
Jerry Hughes,5556,ED,HST,9,0,1,13,69.5,0,22,196,98.6,18.4,36,2,9.7,8,207,204,30,0,68.6,0,8,85,96.7,22.4,19,10.6,5,90,87,13
Carlos Dunlap,5579,ED,KC,9,2,0,16,56.7,1,9,176,93.0,9.7,17,0,5.7,5,201,187,15,1,55.2,1,4,77,89.1,10.4,8,8.4,4,92,82,9
Corey Peters,5607,DI,JAX,6,0,0,15,59.4,1,4,61,100.0,9.8,6,0,4.1,0,67,67,5,0,66.5,1,2,22,100.0,18.2,4,6.8,0,23,23,3
Al Woods,5646,DI,SEA,9,1,0,29,65.6,0,7,96,99.0,10.4,10,1,5.7,2,102,101,9,0,70.3,0,2,21,95.8,19.0,4,9.5,1,24,23,3
Von Miller,6154,ED,BUF,9,0,0,4,79.3,3,23,238,98.9,16.8,40,2,8.8,8,261,258,34,0,82.1,3,12,114,98.4,22.8,26,12.7,7,124,122,22
