player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Kelvin Beachum,7229,T,ARZ,12,0,1,74.5,4,27,528,100.0,100.0,96.3,2,35,4,563,563,66.3,4,18,205,100.0,100.0,93.2,25,3,218,218
Rodger Saffold,5558,G,BUF,12,0,4,57.0,2,21,514,100.0,100.0,97.8,2,23,0,537,537,50.0,2,15,224,100.0,100.0,96.2,17,0,240,240
Orlando Brown Jr.,46227,T,KC,11,1,16,71.3,5,28,495,100.0,100.0,96.3,2,35,2,535,535,72.6,2,19,211,100.0,100.0,94.1,23,2,234,234
Creed Humphrey,59996,C,KC,11,0,16,79.0,2,11,495,100.0,100.0,98.7,3,13,0,535,535,67.2,1,9,211,100.0,100.0,97.6,10,0,234,234
Quenton Nelson,12954,G,IND,12,1,14,75.8,3,16,501,100.0,100.0,97.7,4,21,2,531,531,64.2,2,15,259,100.0,100.0,95.9,19,2,274,274
Braden Smith,46794,T,IND,12,2,14,76.7,6,11,501,100.0,100.0,97.5,5,21,4,531,531,76.2,3,9,259,100.0,100.0,96.9,14,2,274,274
Matt Feiler,9289,G,LAC,11,0,27,56.0,2,23,508,100.0,100.0,97.1,1,27,2,528,528,50.8,1,16,254,100.0,100.0,96.3,18,1,265,265
Zion Johnson,99681,G,LAC,11,0,27,46.1,5,21,508,100.0,100.0,96.9,2,29,3,528,528,27.7,5,17,254,100.0,100.0,94.5,25,3,265,265
Shaq Mason,9564,G,TB,11,0,30,78.3,4,5,489,100.0,100.0,99.1,0,9,0,522,522,77.3,2,4,215,100.0,100.0,98.6,6,0,232,232
Robert Hainsey,59980,C,TB,11,1,30,65.2,3,12,489,100.0,100.0,98.5,1,15,0,522,522,54.6,2,7,215,100.0,100.0,97.9,9,0,232,232
Tristan Wirfs,64818,T,TB,11,0,30,90.0,1,2,488,100.0,100.0,99.5,1,4,1,521,521,90.3,0,1,215,100.0,100.0,99.8,1,0,232,232
Ryan Bates,28300,G,BUF,12,1,4,60.5,3,16,494,100.0,100.0,97.9,1,20,1,516,516,50.4,1,11,213,100.0,100.0,96.7,13,1,228,228
Andrew Wylie,12333,T,KC,11,3,16,58.7,4,25,470,100.0,100.0,95.6,7,35,6,509,509,60.2,1,16,203,100.0,100.0,93.8,21,4,226,226
