player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,DI,BLT,12,0,,,4.3,,,0,0,1,,3,58.6,76.1,87.5,73.1,67.8,30.1,0,,100.0,5,0,0,0.0,0,15,347,5,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,13,2,-1.5,100.0,4.5,5.0,5.0,0,0,0,0.0,24,72.1,91.2,69.7,90.1,83.6,66.9,0,2,20.0,1,0,1,79.2,2,10,221,10,2,2,0,2,5,0.2,1.0
Jason Pierre-Paul,5540,ED,BLT,10,0,2.8,100.0,5.3,2.8,2.8,1,0,0,0.0,3,59.9,54.6,51.7,55.0,58.4,70.2,1,24,0.0,0,0,2,70.8,4,13,244,4,4,4,0,42,31,3.8,10.5
Kareem Jackson,5545,S,DEN,13,3,8.4,67.9,99.6,26.6,18.1,0,1,4,14.3,10,63.8,66.5,70.8,56.7,71.1,58.1,0,23,17.9,7,3,1,119.5,19,539,541,7,29,28,3,169,41,0.3,8.9
Devin McCourty,5552,S,NE,13,2,16.2,64.7,99.6,43.1,27.9,0,2,3,17.6,19,67.8,69.6,86.2,55.5,70.7,85.8,2,54,5.1,2,3,0,102.0,11,495,497,2,35,17,2,189,44,0.4,17.2
Jerry Hughes,5556,ED,HST,13,0,,,1.0,,,2,0,0,,13,68.1,73.4,56.4,72.6,59.8,25.7,1,,77.8,7,0,3,0.0,0,3,296,9,2,0,0,0,0,0.0,
Carlos Dunlap,5579,ED,KC,13,1,8.0,100.0,5.5,15.0,15.0,0,0,0,0.0,16,55.9,64.4,89.3,57.9,71.5,57.9,0,8,25.0,2,0,1,100.0,1,15,274,8,5,1,0,8,0,0.5,8.0
Von Miller,6154,ED,BUF,11,0,,,1.3,,,0,0,0,,4,74.2,85.8,26.0,81.8,78.8,53.2,0,,40.0,2,0,4,0.0,0,4,315,11,3,0,0,0,0,0.0,
Patrick Peterson,6157,CB,MIN,13,2,12.0,61.8,99.8,16.0,9.9,0,0,9,16.4,18,81.7,79.3,63.6,60.0,60.9,72.6,3,38,7.0,3,8,3,74.3,34,576,577,10,38,55,2,413,163,0.8,12.1
J.J. Watt,6163,DI,ARZ,12,1,,,0.3,,,0,0,0,,1,64.0,62.0,39.6,67.8,52.3,48.3,0,,33.3,1,0,5,0.0,0,1,397,8,1,0,0,0,0,0.0,
