player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,DI,BLT,13,10,3.6,0,0,3,58.6,76.6,87.7,72.1,70.0,33.1,9.7,3,0,148,150,7.4,11,18
Ndamukong Suh,5527,DI,PHI,6,2,1.7,0,0,24,,66.0,81.2,54.4,71.4,54.7,0.0,0,0,53,55,9.4,5,6
Tyson Alualu,5535,DI,PIT,15,2,2.6,0,0,25,60.0,29.8,34.2,58.7,28.4,42.5,9.1,1,2,125,127,4.0,5,8
Brandon Graham,5538,ED,PHI,15,2,0.9,0,0,24,72.7,90.5,71.9,88.8,78.0,57.4,13.3,2,1,127,130,7.9,10,11
Jason Pierre-Paul,5540,ED,BLT,12,2,2.4,1,0,3,58.5,53.4,57.5,53.3,58.1,45.5,12.5,2,2,159,161,4.4,7,12
Kareem Jackson,5545,S,DEN,15,17,6.6,0,0,10,62.3,64.7,74.0,56.7,68.5,56.3,18.2,10,1,373,394,2.7,10,28
Devin McCourty,5552,S,NE,15,7,11.8,0,0,19,69.3,70.4,87.3,55.5,70.3,87.2,8.0,2,0,361,368,0.6,2,16
Jerry Hughes,5556,ED,HST,15,5,1.6,2,0,13,68.1,72.5,60.6,72.8,58.2,25.5,34.8,8,3,279,279,2.2,6,10
Linval Joseph,5571,DI,PHI,6,7,2.6,0,0,24,60.0,54.6,44.5,61.1,54.8,43.9,11.8,2,1,91,93,6.6,6,8
Carlos Dunlap,5579,ED,KC,15,6,2.7,0,0,16,56.0,67.6,90.0,61.0,72.3,60.7,3.7,1,1,149,154,10.1,15,20
Corey Peters,5607,DI,JAX,10,3,1.2,0,0,15,62.8,58.5,84.4,58.5,54.3,74.1,0.0,0,0,99,101,4.0,4,6
Al Woods,5646,DI,SEA,12,9,1.9,0,0,29,60.5,71.8,64.5,68.6,68.7,57.9,8.3,3,1,191,194,8.9,17,24
Von Miller,6154,ED,BUF,11,1,1.9,0,0,4,74.2,85.8,26.0,81.8,78.8,53.2,15.4,2,4,134,135,7.5,10,10
Patrick Peterson,6157,CB,MIN,15,1,9.0,0,0,18,82.1,80.3,67.2,62.7,64.6,73.2,10.0,1,4,361,367,1.4,5,8
