player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,DI,BLT,10,0,,,4.3,,,0,0,0,,3,59.3,77.2,86.9,75.0,66.3,37.3,0,,100.0,4,0,0,0.0,0,13,301,5,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,11,2,-1.5,100.0,5.3,5.0,5.0,0,0,0,0.0,24,72.1,89.6,66.3,82.5,79.5,62.8,0,2,20.0,1,0,1,79.2,2,10,189,6,2,2,0,2,5,0.2,1.0
Jason Pierre-Paul,5540,ED,BLT,8,0,4.7,100.0,4.2,2.3,2.3,1,0,0,0.0,3,50.0,52.1,45.1,57.0,54.8,62.4,1,24,0.0,0,0,2,79.2,3,9,212,3,3,3,0,40,26,5.7,13.3
Kareem Jackson,5545,S,DEN,11,3,8.8,63.6,99.8,29.6,18.9,0,1,4,18.2,10,64.6,66.8,65.9,60.0,69.8,56.6,0,23,20.7,6,3,1,118.2,14,446,447,4,20,22,3,124,27,0.3,8.9
Devin McCourty,5552,S,NE,12,2,16.0,62.5,99.6,43.2,27.0,0,2,3,18.8,19,68.8,70.6,85.8,55.5,70.4,89.1,2,54,2.9,1,3,0,97.4,10,448,450,2,32,16,2,166,41,0.4,16.6
Jerry Hughes,5556,ED,HST,11,0,,,1.2,,,1,0,0,,13,68.1,77.1,64.1,72.4,64.0,26.8,1,,75.0,6,0,2,0.0,0,3,257,9,2,0,0,0,0,0.0,
Carlos Dunlap,5579,ED,KC,11,1,8.0,100.0,6.2,14.0,14.0,0,0,0,0.0,16,59.8,66.3,88.6,59.1,69.4,54.2,0,8,28.6,2,0,0,100.0,1,14,226,7,4,1,0,8,0,0.6,8.0
Von Miller,6154,ED,BUF,11,0,,,1.3,,,0,0,0,,4,74.2,85.8,26.0,81.8,78.8,53.2,0,,40.0,2,0,4,0.0,0,4,315,11,3,0,0,0,0,0.0,
Patrick Peterson,6157,CB,MIN,11,2,12.1,60.9,99.8,15.8,9.6,0,0,8,17.4,18,85.9,82.8,58.8,60.0,59.5,74.5,3,38,5.6,2,8,3,72.0,28,473,474,9,32,46,2,352,135,0.8,12.6
J.J. Watt,6163,DI,ARZ,11,1,,,0.3,,,0,0,0,,1,64.0,62.7,35.9,70.1,50.4,66.8,0,,33.3,1,0,5,0.0,0,1,363,8,1,0,0,0,0,0.0,
Robert Quinn,6166,ED,PHI,12,0,0.5,100.0,3.1,3.0,3.0,2,0,0,0.0,24,65.8,41.2,28.0,55.6,34.8,55.0,0,13,0.0,0,0,4,104.2,2,7,225,2,1,2,0,18,17,3.0,9.0
Cameron Jordan,6176,ED,NO,11,1,0.0,0.0,3.1,,9.0,0,0,1,100.0,20,84.3,67.9,76.7,53.9,73.0,42.9,0,,28.6,2,1,1,39.6,0,10,319,6,4,1,0,0,0,0.0,
Justin Houston,6222,ED,BLT,8,1,,,7.4,,,0,0,0,,3,69.1,75.9,59.7,71.5,70.7,59.8,1,,50.0,3,0,1,0.0,0,15,202,9,2,0,0,0,0,0.0,
Chris Harris Jr.,6457,CB,NO,8,1,6.9,78.0,92.5,6.5,5.1,0,0,1,2.4,20,47.6,49.9,36.1,68.5,59.5,56.6,0,62,9.1,2,1,4,110.5,32,223,241,7,19,41,1,351,146,1.7,11.0
Josh Bynes,6503,LB,BLT,7,3,3.9,58.3,84.4,17.0,9.9,0,0,1,8.3,3,69.9,54.2,80.9,58.5,38.1,62.3,1,22,14.3,2,1,0,72.6,7,124,147,3,9,12,1,83,56,0.7,11.9
Nick Bellore,6515,LB,SEA,1,0,,,50.0,,,0,0,0,,29,60.0,80.8,65.9,60.0,74.9,71.7,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
Mario Addison,6558,ED,HST,7,0,-3.0,0.0,0.8,,1.0,0,0,0,0.0,13,64.1,53.7,86.9,58.1,45.3,61.6,0,,0.0,0,0,0,39.6,0,1,130,1,1,1,0,0,0,0.0,
