player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Tom Brady,698,QB,TB,10,75.2,399,427,7.6,2.27,5,22,4.9,66.0,282,0,81,6.0,445,18,140,30,79.7,78.1,77.9,43.2,1,2,472,1,17.3,91.9,3.1,14,2,3,19,12,10,2.1,2805,6.6
Justin Herbert,28237,QB,LAC,9,77.9,348,386,6.7,2.78,14,12,3.0,65.8,254,1,140,6.3,413,17,121,27,87.1,76.6,74.4,67.5,10,6,431,1,8.6,89.0,2.9,12,14,0,14,14,6,1.4,2450,6.3
Patrick Mahomes,11765,QB,KC,9,79.3,333,366,7.6,2.79,5,19,4.8,66.9,245,0,146,7.2,410,19,168,16,87.5,90.8,87.4,86.9,5,7,443,1,11.0,106.1,3.9,16,26,0,23,25,11,2.5,2936,8.0
Kyler Murray,38334,QB,ARZ,9,77.3,330,360,7.0,2.56,9,8,2.1,66.7,240,0,110,5.9,407,15,116,1,43.8,65.2,62.8,66.6,2,6,437,1,21.8,86.8,5.9,24,21,3,16,12,16,3.7,2163,6.0
Kirk Cousins,7102,QB,MIN,9,77.2,312,354,7.5,2.69,7,14,3.7,64.1,227,0,137,5.8,382,14,123,18,65.6,72.5,71.7,65.0,9,8,408,4,14.6,87.0,5.2,20,8,2,24,14,13,3.2,2355,6.7
Trevor Lawrence,77632,QB,JAX,10,76.5,324,348,8.1,2.49,9,13,3.5,65.2,227,0,104,8.5,380,21,128,15,46.3,67.2,63.9,73.3,2,6,404,3,16.3,89.7,4.5,17,13,2,11,13,12,3.0,2340,6.7
Josh Allen,46601,QB,BUF,9,75.2,311,341,9.3,2.78,12,24,6.8,64.5,220,0,131,6.0,394,14,155,4,60.5,89.4,78.1,93.6,2,10,408,2,13.7,96.6,4.6,18,34,1,15,20,19,4.7,2733,8.0
Aaron Rodgers,2241,QB,GB,10,76.1,310,337,8.0,2.55,4,22,6.1,65.0,219,0,98,7.2,365,17,107,12,73.8,79.0,76.9,68.4,3,7,390,4,20.4,93.0,5.5,20,7,1,19,17,8,2.1,2315,6.9
Joe Burrow,28022,QB,CIN,9,79.5,307,333,7.4,2.46,12,13,3.7,70.0,233,0,98,4.5,377,11,124,7,65.7,80.6,78.5,71.9,5,6,401,2,30.6,102.6,8.0,30,13,0,9,18,10,2.5,2535,7.6
Matt Ryan,4317,QB,IND,8,79.9,294,325,6.3,2.59,8,2,0.6,68.9,224,0,114,4.7,357,11,116,14,27.6,59.4,59.6,55.1,3,9,378,3,21.9,86.9,7.0,25,7,1,19,10,14,3.7,2238,6.9
