player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Trey Smith,62960,G,KC,14,100.0,1,16,77.6,67.3,81.2,5,20,577,100.0,100.0,97.8,7,25,0,976,0,0,0,976,614,614,976,0,362,0
Jawaan Taylor,41665,T,KC,14,100.0,2,16,63.3,74.2,58.6,6,21,577,100.0,100.0,96.4,13,34,7,976,0,0,0,976,614,614,0,973,362,3
Joe Thuney,10712,G,KC,14,100.0,0,16,81.2,84.4,74.5,5,16,577,100.0,100.0,98.2,1,21,0,976,1,893,82,976,614,614,0,0,362,0
Creed Humphrey,59996,C,KC,14,100.0,0,16,93.0,89.7,91.3,2,5,577,100.0,100.0,99.4,1,7,0,976,975,1,0,976,614,614,0,0,362,0
Joel Bitonio,8670,G,CLV,14,100.0,0,8,63.1,66.4,60.5,4,23,635,100.0,100.0,97.6,7,29,2,974,0,947,27,974,678,678,0,0,296,0
Terence Steele,39461,T,DAL,14,100.0,0,9,66.0,56.3,77.6,6,21,582,100.0,100.0,96.1,5,36,9,968,0,0,0,968,633,633,0,968,335,0
Greg Van Roten,7746,G,NYG,14,100.0,0,21,68.7,66.2,68.8,4,19,575,100.0,100.0,97.0,4,29,6,954,29,0,1,954,628,628,924,0,326,0
Quinn Meinerz,112915,G,DEN,15,100.0,1,10,85.0,80.8,81.4,4,5,564,100.0,100.0,99.0,3,10,1,954,0,0,0,954,599,599,953,0,355,0
Ben Powers,41482,G,DEN,15,100.0,1,10,64.4,66.3,61.8,3,12,568,100.0,100.0,98.3,6,17,2,953,0,952,0,953,603,603,0,0,350,0
Sam Cosmi,60114,G,WAS,14,100.0,1,32,65.1,70.5,63.5,4,16,521,100.0,100.0,97.9,7,21,1,949,0,0,0,949,557,557,949,0,392,0
Liam Eichenberg,41851,G,MIA,14,100.0,1,17,51.5,50.0,56.9,3,19,547,100.0,100.0,97.6,9,24,2,943,0,0,0,943,586,586,942,0,357,0
Aaron Brewer,46014,C,MIA,14,100.0,2,17,74.0,72.4,73.3,0,9,547,100.0,100.0,98.8,6,11,2,942,942,0,0,942,586,586,0,0,356,0
Graham Glasgow,10729,G,DET,14,100.0,1,11,55.9,54.5,56.2,7,22,493,100.0,100.0,96.2,6,33,4,941,52,888,1,941,511,511,0,0,430,0
Penei Sewell,81788,T,DET,14,99.9,1,11,89.3,76.1,91.1,3,18,492,99.8,99.8,97.9,4,21,0,940,0,0,0,941,510,511,0,940,430,0
Nick Allegretti,39268,G,WAS,14,100.0,1,32,63.5,63.7,63.1,1,23,517,100.0,100.0,97.1,6,27,3,938,0,938,0,938,553,553,0,0,385,0
Coleman Shelton,39316,C,CHI,14,100.0,0,6,69.6,68.3,70.9,2,16,560,100.0,100.0,97.9,3,21,3,935,935,0,0,935,615,615,0,0,320,0
Garett Bolles,11775,T,DEN,15,100.0,4,10,79.4,90.2,71.9,2,12,553,100.0,100.0,98.6,15,15,1,934,0,0,928,934,588,588,0,0,346,5
Cam Jurgens,84014,C,PHI,14,100.0,2,24,68.9,58.6,70.2,0,18,431,100.0,100.0,97.0,6,22,4,928,928,0,0,928,456,456,0,0,472,0
Shaq Mason,9564,G,HST,14,100.0,0,13,62.2,65.0,57.7,5,21,551,100.0,100.0,96.2,3,34,8,927,0,0,0,927,583,583,927,0,344,0
John Michael Schmitz Jr.,55238,C,NYG,14,100.0,0,21,61.9,46.7,67.1,5,17,551,100.0,100.0,96.9,3,28,6,925,925,0,0,925,602,602,0,0,323,0
Laken Tomlinson,9461,G,SEA,14,100.0,2,29,62.3,65.7,60.1,6,19,567,100.0,100.0,96.7,5,31,6,924,0,924,0,924,618,618,0,0,306,0
Charles Cross,98401,T,SEA,14,100.0,2,29,82.9,82.0,76.2,4,30,567,100.0,100.0,95.9,6,40,6,924,0,0,922,924,618,618,0,2,306,0
Dan Moore Jr.,60120,T,PIT,14,100.0,1,25,70.2,69.2,65.0,3,18,459,100.0,100.0,96.0,5,29,8,922,0,0,921,922,492,492,0,0,430,1
Ben Bredeson,27305,G,TB,14,100.0,0,30,55.4,56.8,53.4,3,22,530,100.0,100.0,97.3,4,27,2,921,0,920,0,921,565,565,0,0,356,1
Cody Mauch,66637,G,TB,14,100.0,0,30,75.1,75.1,70.5,1,11,530,100.0,100.0,98.5,2,14,2,921,0,0,0,921,565,565,920,0,356,1
Ted Karras,10855,C,CIN,14,100.0,1,7,61.9,77.8,51.3,6,11,580,100.0,100.0,98.2,2,19,2,916,916,0,0,916,623,623,0,0,293,0
Daniel Faalele,81734,G,BLT,14,100.0,1,3,59.0,66.5,55.9,2,23,461,100.0,100.0,97.1,6,26,1,915,0,0,0,915,498,498,915,0,417,0
Kevin Dotson,46735,G,LA,14,100.0,0,26,81.1,63.0,84.1,6,13,497,100.0,100.0,97.5,2,22,3,914,0,0,0,914,531,531,914,0,383,0
Jake Matthews,8641,T,ATL,14,100.0,2,2,73.2,82.4,62.6,4,17,482,100.0,100.0,96.8,8,26,5,914,0,0,913,914,523,523,0,0,391,0
Blake Brandel,46282,G,MIN,14,100.0,0,18,55.2,66.3,56.2,4,18,497,100.0,100.0,96.6,10,28,6,914,0,914,0,914,541,541,0,0,373,0
Garrett Bradbury,46013,C,MIN,14,100.0,0,18,66.2,52.4,75.0,6,22,497,100.0,100.0,96.6,6,31,3,914,914,0,0,914,541,541,0,0,373,0
