player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,DI,MIA,14,7,2.0,0,0,17,61.3,83.4,89.2,67.3,86.6,29.6,17.4,8,0,165,169,15.2,25,31
Brandon Graham,5538,ED,PHI,11,4,1.9,0,1,24,50.9,78.6,63.9,71.8,80.1,34.0,11.8,2,1,123,127,5.7,7,11
Kareem Jackson,5545,S,BUF,1,0,,0,0,4,65.9,67.5,80.2,57.1,60.0,80.0,,0,0,1,1,0.0,0,0
Jerry Hughes,5556,ED,HST,6,2,1.0,0,0,13,60.9,46.8,82.5,45.9,51.9,73.8,0.0,0,0,24,24,4.2,1,1
Linval Joseph,5571,DI,DAL,14,4,6.6,0,0,9,79.3,48.8,58.8,80.8,31.9,56.6,8.3,1,1,120,124,2.5,3,7
Von Miller,6154,ED,BUF,9,1,1.5,0,0,4,66.9,74.5,31.9,74.0,66.8,66.0,16.7,1,2,49,49,8.2,4,4
Cameron Jordan,6176,ED,NO,14,8,2.9,0,0,20,67.8,56.1,88.6,57.2,49.1,46.5,17.4,4,0,156,160,5.1,8,11
Cameron Heyward,6183,DI,PIT,14,9,2.9,0,0,25,58.2,90.1,86.2,86.6,79.5,62.4,4.3,2,0,236,245,12.3,29,36
Lawrence Guy Sr.,6385,DI,CIN,4,2,,0,0,7,,51.1,80.2,52.5,52.7,25.2,33.3,1,0,48,49,0.0,0,0
Nick Bellore,6515,LB,WAS,2,0,,0,0,32,79.4,87.9,68.9,60.0,63.2,73.2,,0,0,3,3,0.0,0,0
Stephon Gilmore,7016,CB,MIN,12,2,6.3,0,1,18,62.7,66.6,86.6,,82.4,69.5,20.0,2,3,203,209,1.0,2,6
Bobby Wagner,7050,LB,WAS,14,21,4.3,0,0,32,60.3,83.7,62.1,89.9,90.5,81.6,7.1,6,2,352,358,7.7,27,58
Lavonte David,7060,LB,TB,14,11,2.4,0,2,30,61.0,68.9,85.0,67.0,73.3,45.1,15.1,8,1,295,304,8.5,25,34
Demario Davis,7079,LB,NO,13,21,3.3,0,0,20,65.0,73.0,63.3,68.5,77.7,63.9,10.4,7,2,316,325,8.2,26,39
Rodney McLeod,7271,S,CLV,14,5,5.0,0,0,8,39.6,43.2,82.7,52.1,57.2,53.4,11.8,2,0,202,205,2.5,5,10
Tashaun Gipson Sr.,7288,S,SF,2,1,4.0,0,0,28,48.9,56.6,75.8,,69.9,77.0,0.0,0,0,7,7,14.3,1,2
Harrison Smith,7641,S,MIN,14,3,7.0,0,0,18,60.2,64.8,89.4,53.6,76.2,71.2,10.7,3,0,287,298,3.5,10,22
Darius Slay,7817,CB,PHI,12,5,7.6,2,1,24,63.9,62.7,52.4,,57.4,63.7,13.3,2,5,207,214,1.9,4,8
