player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1210,,,G,Peter Malnati,42.2,0.97,37.43,68.51,21.44,0,0,6300,,34908,1210
1573,,,G,Zack Fischer,,0,,,,0,0,6300,,912553,1573
1694,,,G,Ben Taylor,45.54,0.78,52.61,70.09,21.53,0,0,6500,,35024,1694
1496,,,G,Scottie Scheffler,86.26,34.2,99.23,120.04,64.81,0,0,11500,,35127,1496
2145,,,G,Chesson Hadley,48.19,1.6,51.73,71.44,22.48,0,0,6900,,34879,2145
2046,,,G,Jason Dufner,34.22,0.07,23.55,59,19,0,0,6000,,34756,2046
372042,,,G,Brent Grant,38.65,0.25,32.87,66.95,21.2,0,0,6100,,36278,372042
703406,,,G,Seonghyeon Kim,49.53,3.2,61.28,72.16,23.05,0,0,7100,,2316733,703406
1112,,,G,Robert Streb,47.56,2.6,40.65,72.14,22.51,0,0,6500,,34814,1112
2168,,,G,Kevin Tway,41.21,0.18,28.83,69.45,21.67,0,0,6200,,35139,2168
703957,,,G,Carl Yuan,49.61,0.54,48.92,76.48,23.83,0,0,7000,,1395205,703957
671012,,,G,Philip Knowles,40.44,0.39,37.47,67.82,21.12,0,0,6400,,220069,671012
2125,,,G,Tony Finau,75.51,17.5,90.39,93.24,58.21,0,0,10400,,34873,2125
571331,,,G,Brandon Matthews,38.06,0.29,34.13,66.18,20.74,0,0,6000,,1708994,571331
696566,,,G,Brandon Wu,52.01,6.4,53.82,74.44,22.98,0,0,7300,,1074861,696566
1883,,,G,Danny Lee,40.61,0.7,33.93,67.62,20.6,0,0,6300,,34784,1883
1455,,,G,Ryan Armour,47.96,1.8,51.21,71.37,22.46,0,0,6600,,36068,1455
510216,,,G,Walker Lee,33,0.01,5.5,41.84,20.92,0,0,6000,,37132,510216
404847,,,G,Sahith Theegala,58.42,6.4,64.54,79.38,24.96,0,0,9300,,37149,404847
2049,,,G,Zach Johnson,44.23,0.56,47.55,67.98,21.5,0,0,6400,,34772,2049
670398,,,G,Greyson Sigg,53.75,0.95,61.9,75.44,23.98,0,0,7400,,37979,670398
1631,,,G,Charley Hoffman,50.85,2,56.13,72.99,23,0,0,6800,,34766,1631
1653,,,G,C.T. Pan,45.79,0.44,47.47,69.95,21.99,0,0,6700,,35389,1653
1554,,,G,Kevin Streelman,49.88,0.83,60.04,70.89,22.21,0,0,7000,,34815,1554
1796,,,G,Scott Harrington,39.01,0.16,28.5,67.35,21.15,0,0,6200,,1266427,1796
1698,,,G,Henrik Norlander,46.48,0.96,42.13,70.08,22.02,0,0,6600,,34917,1698
1115,,,G,Nick Watney,33.57,0.66,23.15,59.18,19.38,0,0,6200,,36095,1115
1005,,,G,Stewart Cink,48.81,0.89,53.89,71.59,22.53,0,0,6700,,34863,1005
320038,,,G,Sebastian Munoz,59.54,7.1,70.63,79.93,25.48,0,0,8200,,36138,320038
1654,,,G,Russell Henley,66.45,7.2,85.43,85.55,29.52,0,0,10000,,34884,1654
510218,,,G,Cameron Champ,52.31,6,42.97,77.48,23.68,0,0,7200,,37122,510218
250167,,,G,Johannes Veerman,46.69,0.66,41.84,70.89,21.97,0,0,6700,,2927801,250167
1941,,,G,Matthew NeSmith,60.36,13.6,71.15,80.43,25.98,0,0,8900,,35080,1941
1600,,,G,Harris English,50.67,8,55.34,72.5,23,0,0,7800,,34758,1600
1842,,,G,Tyler Duncan,46.78,0.85,36.63,71.84,22.22,0,0,6500,,37911,1842
697889,,,G,Taylor Montgomery,66.55,14.5,79.1,87.68,28.51,0,0,9700,,2927750,697889
