player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Sam Howell,97599,QB,WAS,11,520,79.8,129,144,7.7,2.63,6,9,5.9,64.6,93,72,9.7,168,32.3,10,53,,,,89.2,63.9,82.8,62.9,,,64.7,0,4,179,26.4,89.3,11.3,19,5,0,9,6,7,3.9,1074,7.5,0,32,72.1,65.9,63.2,72.9,77.3,273,298,7.9,2.9,6,15,4.8,67.8,202,124,4.3,352,67.7,9,97,,,,69.7,66.3,85.6,62.6,,,79.8,2,8,370,25.8,88.3,9.1,32,20,0,17,12,12,3.2,1964,6.6,80.7,295,311,7.0,2.49,7,15,4.7,71.7,223,0,6.3,324,62.3,15,102,,,,90.9,79.8,85.2,76.8,,,76.9,0,3,334,,100.5,0.3,1,11,0,9,13,6,1.8,2146,6.9,3,71.0,107,131,10.0,3.35,5,9,6.3,55.0,72,196,5.3,196,37.7,4,48,,,,52.3,43.9,83.5,40.7,,,73.2,2,9,215,25.5,60.4,25.5,50,14,0,17,5,13,6.0,892,6.8
Josh Allen,46601,QB,BUF,11,426,78.4,111,121,7.2,2.74,1,5,3.9,66.9,81,54,6.9,138,32.4,6,53,,,,87.7,79.8,82.0,76.2,,,75.1,1,2,148,13.0,103.8,5.1,7,10,0,8,8,2,1.4,894,7.4,0,4,67.5,88.6,86.6,70.8,79.6,245,261,9.1,2.95,3,16,5.8,70.9,185,85,5.1,288,67.6,10,94,,,,80.3,89.5,84.9,86.7,,,71.7,1,10,308,8.2,94.7,2.4,7,20,1,11,14,9,2.9,1982,7.6,83.6,269,276,7.5,2.4,4,15,5.2,77.5,214,0,4.9,287,67.4,11,107,,,,90.7,94.5,84.7,93.5,,,65.7,0,6,298,,107.4,0.0,0,11,1,2,13,4,1.3,2259,8.2,6,65.5,87,106,11.4,3.89,0,6,5.0,49.1,52,139,8.8,139,32.6,5,40,,,,66.3,58.1,82.3,52.2,,,78.2,2,6,158,10.1,71.9,10.1,14,19,0,17,9,7,4.4,617,5.8
Patrick Mahomes,11765,QB,KC,10,425,80.6,103,107,6.1,2.43,1,4,3.6,72.0,77,40,7.2,115,27.1,6,45,,,,86.3,81.5,81.3,79.8,,,60.6,2,1,121,15.0,104.0,5.2,6,2,0,1,6,4,3.3,698,6.5,0,16,68.7,87.2,81.4,87.5,76.8,246,270,8.0,3.24,2,12,4.2,65.2,176,109,6.9,310,72.9,13,101,,,,68.9,85.7,85.2,77.9,,,91.1,6,8,331,6.4,89.8,2.3,7,31,2,14,13,10,3.0,1923,7.1,82.5,252,258,5.6,2.42,2,8,3.0,75.2,194,0,6.7,276,64.9,14,105,,,,90.6,91.1,84.6,88.3,,,82.7,0,3,285,,109.9,0.0,0,16,2,2,16,6,2.1,1818,7.0,4,66.0,97,119,12.4,4.13,1,8,6.2,49.6,59,149,7.8,149,35.1,5,41,,,,46.6,71.1,82.5,62.9,,,89.2,8,6,167,8.7,58.9,8.7,13,17,0,13,3,8,4.8,803,6.7
Joshua Dobbs,11890,QB,MIN,11,416,71.0,93,103,7.8,2.76,1,4,3.5,62.1,64,48,3.0,114,27.4,2,49,,,,86.7,69.7,81.5,64.4,,,88.3,4,4,128,6.3,75.1,2.6,3,6,0,5,3,4,3.1,686,6.7,0,18,52.2,67.3,60.4,85.1,71.5,246,259,8.1,3.09,5,5,1.8,64.1,166,106,5.7,302,72.6,10,79,,,,67.8,62.9,85.1,58.3,58.9,,84.1,1,2,322,18.9,88.5,6.6,20,22,0,7,9,14,4.3,1530,5.9,73.9,245,251,7.5,2.57,5,6,2.3,68.5,172,0,5.0,262,63.0,9,85,,,,90.5,74.8,84.4,71.5,,,80.5,0,4,274,,91.5,0.0,0,8,0,1,9,7,2.6,1625,6.5,3,64.9,94,111,9.4,3.74,1,3,2.4,52.3,58,154,4.9,154,37.0,3,43,,,,47.7,51.3,82.7,43.1,58.9,,88.0,5,2,176,14.9,69.3,14.9,23,20,0,11,3,11,6.3,591,5.3
Justin Herbert,28237,QB,LAC,10,410,73.7,118,125,8.7,2.52,1,6,4.4,68.8,86,54,1.1,136,33.2,1,54,,,,65.4,71.6,82.0,69.0,58.4,,74.6,3,3,148,11.1,107.9,4.4,6,5,0,3,10,6,4.1,954,7.6,1,27,58.7,83.3,80.3,75.1,75.9,216,233,8.2,2.87,6,12,4.8,64.8,151,92,7.9,274,66.8,13,84,,,,65.9,86.7,84.7,82.6,,,78.9,4,2,294,17.4,95.0,5.8,16,22,0,7,9,7,2.4,1656,7.1,80.2,242,251,7.3,2.38,7,10,3.7,73.3,184,0,5.2,264,64.4,10,102,,,,90.6,87.8,84.5,85.1,58.4,,71.0,0,1,281,,112.3,0.0,0,10,0,2,14,5,1.8,1937,7.7,3,62.0,92,107,11.4,3.42,0,8,6.7,49.5,53,146,7.0,146,35.6,4,36,,,,29.0,70.2,82.3,64.7,,,81.8,7,4,161,15.1,69.6,15.1,22,17,0,8,5,8,5.0,673,6.3
Joe Burrow,28022,QB,CIN,10,403,71.6,88,97,8.0,2.26,2,5,5.0,62.9,61,41,3.2,111,27.5,2,37,,,,85.9,79.2,81.1,77.9,,,62.2,3,0,116,22.0,91.6,8.1,9,5,0,4,3,0,0.0,625,6.4,0,7,87.0,77.9,76.8,68.8,78.6,252,268,6.5,2.55,4,12,4.3,68.3,183,82,7.6,292,72.5,15,85,,,,80.2,75.7,84.8,73.0,,,76.0,3,6,306,18.3,90.7,5.1,15,9,1,8,12,9,2.9,1683,6.3,78.0,268,277,6.3,2.12,5,9,3.1,70.8,196,0,6.2,280,69.5,13,92,,,,90.6,81.1,84.6,79.0,,,65.7,0,3,291,,93.2,0.0,0,3,1,3,8,6,2.1,1796,6.5,5,72.2,72,88,9.1,3.27,1,8,8.4,54.5,48,123,7.7,123,30.5,4,30,,,,61.5,68.5,81.6,65.3,,,72.1,6,3,131,19.5,84.1,19.5,24,11,0,9,7,3,2.3,512,5.8
Baker Mayfield,46518,QB,TB,10,394,73.3,75,88,10.4,2.55,6,3,3.2,60.2,53,40,3.6,94,23.9,2,34,,,,84.9,77.4,80.6,76.7,,,56.2,2,0,101,7.5,103.5,3.2,3,3,0,5,5,0,0.0,681,7.7,1,30,56.7,71.3,69.6,65.9,73.5,249,262,8.9,2.9,3,7,2.5,66.0,173,103,5.5,300,76.1,10,86,,,,42.5,65.5,54.8,64.8,57.6,,64.6,4,6,322,16.5,87.5,5.7,17,20,0,6,10,13,4.0,1710,6.5,76.4,237,244,8.7,2.37,7,6,2.3,70.1,171,0,5.5,251,63.7,10,84,,,,90.5,79.9,84.3,77.3,57.6,,74.0,0,5,266,,93.3,0.0,0,6,0,0,9,6,2.3,1704,7.0,3,65.5,87,106,10.5,3.6,2,4,3.4,51.9,55,143,3.5,143,36.3,2,36,,,,25.1,51.2,27.1,52.5,,,55.8,6,1,157,14.0,87.3,14.0,20,17,0,11,6,7,4.5,687,6.5
C.J. Stroud,129759,QB,HST,10,390,77.1,96,101,9.2,2.61,1,2,1.9,66.3,67,39,9.5,114,29.2,7,51,,,,68.0,71.3,81.3,70.5,,,58.3,1,2,121,28.2,108.1,9.6,11,1,0,3,6,5,4.1,951,9.4,0,13,48.5,83.7,80.9,72.5,72.7,231,254,9.7,2.93,4,15,5.6,61.4,156,86,7.1,276,70.8,12,97,,,,51.8,85.5,84.7,82.0,58.9,,79.4,1,3,292,12.8,95.8,4.0,11,10,6,12,11,6,2.1,2011,7.9,78.2,243,257,9.7,2.52,5,13,4.8,67.7,174,0,8.4,265,67.9,16,119,,,,90.5,92.8,84.5,91.3,,,81.0,0,5,277,,110.0,0.0,0,6,6,3,16,5,1.8,2395,9.3,2,61.9,84,98,9.3,3.52,0,4,3.7,50.0,49,125,5.8,125,32.1,3,29,,,,24.9,48.5,81.8,48.5,58.9,,62.5,2,0,136,17.6,71.3,17.6,22,5,0,12,1,6,4.4,567,5.8
Trevor Lawrence,77632,QB,JAX,10,387,67.9,78,84,9.7,2.48,3,6,6.5,53.6,45,39,15.1,97,25.1,8,26,,,,85.3,72.2,80.8,70.1,60.0,,69.1,0,2,106,23.1,73.5,9.3,9,4,0,3,2,3,2.8,579,6.9,0,15,56.0,84.0,81.3,75.4,80.3,233,248,7.1,2.57,9,14,5.3,73.0,181,74,3.2,290,74.9,6,91,,,,39.8,86.3,84.8,82.4,,,77.9,3,4,305,21.6,98.7,5.5,16,24,0,3,9,9,3.0,1813,7.3,81.3,251,261,6.7,2.23,9,14,5.1,73.9,193,0,5.4,274,70.8,11,91,,,,90.6,91.6,84.6,90.5,60.0,,72.5,0,1,287,,102.0,0.0,0,11,0,1,7,5,1.7,1937,7.4,3,60.0,60,71,12.0,3.33,3,6,7.3,46.5,33,113,8.3,113,29.2,3,26,,,,23.0,57.3,81.3,51.7,,,76.8,3,5,124,22.1,57.0,22.1,25,17,0,5,4,7,5.6,455,6.4
Jared Goff,10635,QB,DET,10,382,76.2,105,118,7.2,2.42,4,4,3.3,58.5,69,48,13.8,126,33.0,11,46,,,,86.8,64.1,81.6,62.7,60.0,,65.6,0,4,130,14.6,81.5,5.6,7,1,0,9,5,4,3.1,868,7.4,0,11,78.8,86.9,84.1,71.9,82.3,226,243,7.0,2.63,2,10,4.0,72.8,177,78,4.8,256,67.0,9,89,,,,67.3,91.0,84.3,90.3,,,52.3,2,4,267,12.8,103.1,3.9,10,3,1,12,11,5,1.9,1874,7.7,84.4,244,254,6.7,2.35,6,12,4.6,74.4,189,0,8.3,256,67.0,17,100,,,,90.5,93.4,84.3,92.2,,,66.4,0,2,265,,113.5,0.0,0,2,1,3,14,2,0.8,2090,8.2,3,69.0,87,107,7.9,3.0,0,2,1.8,53.3,57,126,5.0,126,33.0,3,35,,,,44.8,51.8,81.6,52.7,60.0,,54.6,2,6,132,13.5,54.7,13.5,17,2,0,18,2,7,5.3,652,6.1
