player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Khalil Crowder,78240,G,GA SOUTHRN,10,100.0,1,174,59.2,72.7,55.0,1,8,487,100.0,100.0,99.1,4,9,0,788,0,0,0,788,512,512,787,1,276,0
Logan Langemeier,108708,C,GA SOUTHRN,10,100.0,0,174,67.4,69.5,69.3,5,12,487,100.0,100.0,98.3,8,17,0,788,788,0,0,788,512,512,0,0,276,0
Ethan Crowe,130330,C,BALL ST,10,100.0,0,117,62.5,79.1,60.2,1,6,418,100.0,100.0,98.9,6,8,1,787,787,0,0,787,443,443,0,0,344,0
Dennis Wilburn,157314,C,TEXAS TECH,9,100.0,0,315,52.2,52.1,54.4,0,27,489,100.0,100.0,97.0,6,28,1,773,773,0,0,773,506,506,0,0,267,0
Caleb Rogers,123157,T,TEXAS TECH,9,99.9,1,315,53.0,59.6,48.1,2,27,488,99.8,99.8,94.2,4,43,14,772,0,0,770,773,505,506,0,1,267,0
Jack Hasz,145666,C,BUFFALO,10,100.0,0,126,55.6,70.1,49.2,1,6,403,100.0,100.0,98.4,2,10,3,766,741,0,0,766,417,417,25,0,349,0
Davis Heinzen,145705,T,C MICHIGAN,10,99.9,1,134,51.9,44.6,54.0,7,30,410,99.8,99.8,94.5,4,41,4,762,0,3,756,763,439,440,0,0,323,3
Isaiah Wright,129909,T,BUFFALO,10,100.0,0,126,47.8,53.5,44.7,3,19,400,100.0,100.0,96.7,2,24,2,761,0,0,761,761,413,413,0,0,348,0
Jamezz Kimbrough,55052,C,C MICHIGAN,10,100.0,0,134,66.0,67.4,65.7,2,13,410,100.0,100.0,97.9,5,16,1,758,758,0,0,758,439,439,0,0,319,0
Deiyantei Powell-Woods,104183,G,C MICHIGAN,10,100.0,0,134,65.9,67.5,63.2,2,6,409,100.0,100.0,98.5,2,10,2,757,0,488,0,757,438,438,250,19,319,0
Damon Kaylor,101573,G,BALL ST,10,100.0,1,117,65.1,55.0,66.9,4,8,401,100.0,100.0,98.5,1,12,0,756,0,756,0,756,426,426,0,0,330,0
Jacob Likes,101023,C,MEMPHIS,10,100.0,0,218,66.8,69.4,63.1,1,8,434,100.0,100.0,97.6,0,15,6,755,755,0,0,755,462,462,0,0,293,0
Matt Dale,98648,T,MEMPHIS,10,100.0,1,218,65.7,75.0,58.7,3,19,434,100.0,100.0,96.8,4,25,3,755,0,0,0,755,462,462,12,743,293,0
Gabe Wallace,77535,G,BUFFALO,10,100.0,0,126,55.6,54.6,53.0,4,12,395,100.0,100.0,97.5,1,18,2,755,0,755,0,755,409,409,0,0,346,0
Caleb Kelly,59709,T,GA SOUTHRN,10,100.0,1,174,67.3,70.7,63.2,4,9,465,100.0,100.0,98.6,1,13,0,754,0,0,0,754,489,489,0,753,265,1
Desmond Bessent,60051,T,BUFFALO,10,100.0,1,126,58.1,57.5,56.7,2,15,393,100.0,100.0,97.1,3,20,3,742,0,0,0,742,407,407,0,741,335,1
Brayden Swartout,145732,T,C MICHIGAN,10,100.0,1,134,63.2,45.5,76.0,4,17,393,100.0,100.0,95.3,8,29,8,736,0,0,0,736,420,420,0,733,316,3
Rusty Staats,81941,C,W KENTUCKY,10,100.0,0,346,68.6,77.2,62.6,1,5,439,100.0,100.0,99.1,0,7,1,729,729,0,0,729,461,461,0,0,268,0
Quantavious Leslie,123456,G,W KENTUCKY,10,100.0,0,346,63.7,87.6,57.1,1,4,439,100.0,100.0,99.0,7,7,2,729,0,729,0,729,461,461,0,0,268,0
Vincent Murphy,99046,G,W KENTUCKY,10,100.0,0,346,59.7,74.3,55.8,2,9,439,100.0,100.0,98.7,4,11,0,729,0,0,0,729,461,461,729,0,268,0
Jack Bailey,98061,G,KENT STATE,10,100.0,0,201,60.2,66.1,58.5,1,7,325,100.0,100.0,98.8,6,8,0,729,0,728,0,729,347,347,0,1,382,0
Gunner Britton,81937,T,W KENTUCKY,10,99.7,0,346,78.8,86.1,70.4,0,0,437,99.5,99.6,98.9,4,5,5,727,0,0,288,729,459,461,0,439,268,1
Elijah Ratliff,76949,G,KENT STATE,10,100.0,1,201,57.5,76.1,51.9,0,10,324,100.0,100.0,98.1,5,11,1,727,0,1,0,727,346,346,725,0,381,0
Brian Miller,56358,T,GA SOUTHRN,9,100.0,0,174,51.9,58.2,48.2,7,19,441,100.0,100.0,96.8,2,27,1,720,0,1,719,720,465,465,0,0,255,0
Ahofitu Maka,100803,C,UTSA,9,100.0,0,331,63.2,74.3,58.5,0,14,396,100.0,100.0,98.2,3,14,0,719,719,0,0,719,420,420,0,0,299,0
Savion Washington,130505,T,KENT STATE,10,100.0,1,201,75.7,79.5,72.0,0,7,323,100.0,100.0,98.3,3,9,2,719,0,0,0,719,345,345,0,716,374,2
Marcellus Marshall,130496,T,KENT STATE,10,100.0,1,201,56.2,46.7,60.8,2,14,323,100.0,100.0,97.2,8,17,1,718,0,1,715,718,345,345,0,0,373,0
Alex Wollschlaeger,130396,T,BOWL GREEN,10,100.0,0,122,57.5,72.3,49.3,2,8,398,100.0,100.0,98.5,6,11,1,717,0,0,0,717,426,426,0,714,291,2
Manase Mose,59950,C,N TEXAS,10,100.0,0,251,60.6,53.6,67.0,1,2,321,100.0,100.0,99.5,8,3,0,714,714,0,0,714,341,341,0,0,373,0
Elijah Klein,81912,G,UTEP,10,100.0,0,330,78.0,68.4,84.0,1,15,374,100.0,100.0,97.6,4,17,1,711,0,0,2,711,396,396,707,2,315,0
Justin Mayers,100808,G,UTEP,10,100.0,0,330,70.6,83.6,67.0,3,2,372,100.0,100.0,99.3,3,5,0,708,0,708,0,708,394,394,0,0,314,0
Jeremiah Byers,100806,T,UTEP,10,100.0,0,330,81.7,85.1,80.8,0,6,372,100.0,100.0,98.9,6,7,1,708,0,0,0,708,394,394,0,706,314,2
Vinny Sciury,130632,G,TOLEDO,10,100.0,2,316,69.9,72.2,72.0,0,11,357,100.0,100.0,98.2,8,12,1,704,0,704,0,704,376,376,0,0,328,0
Isaiah Adams,158192,G,ILLINOIS,9,100.0,0,187,74.9,70.5,79.3,1,4,314,100.0,100.0,98.2,6,8,3,704,0,584,119,704,334,334,0,1,370,0
Alex Pihlstrom,60911,C,ILLINOIS,9,100.0,0,187,67.6,69.5,67.1,0,6,314,100.0,100.0,98.7,4,7,1,704,704,0,0,704,334,334,0,0,370,0
Jett Duncan,121886,T,N TEXAS,10,100.0,1,251,52.4,58.8,51.0,4,8,316,100.0,100.0,97.8,5,13,1,704,0,0,0,704,336,336,25,679,368,0
Sam Allan,59782,C,KENT STATE,10,100.0,1,201,58.5,81.6,53.2,0,3,318,100.0,100.0,99.5,5,3,0,703,702,0,0,703,339,339,0,0,364,1
Alex Palczewski,59738,T,ILLINOIS,9,100.0,0,187,83.4,80.2,81.1,0,10,313,100.0,100.0,98.4,2,10,0,703,0,0,0,703,333,333,0,701,370,2
