player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Baron Browning,58095,ED,DEN,2,1,,1.0,10,0,39.6,0,1,0,0,0,0.0
Sione Takitaki,12666,LB,CLV,2,3,,3.0,8,1,0.0,0,1,0,0,0,0.0
Terell Smith,83302,CB,CHI,2,3,,3.0,6,0,39.6,0,1,0,0,0,0.0
Craig James,26360,CB,NYJ,1,5,,5.0,22,0,39.6,0,1,0,0,0,0.0
Jaylon Johnson,56259,CB,CHI,5,13,,13.0,6,0,39.6,0,1,0,0,0,0.0
Charvarius Ward,43034,CB,SF,4,5,,2.5,28,0,39.6,0,2,0,0,0,0.0
Duron Harmon,7872,S,CHI,2,5,,5.0,6,0,39.6,0,1,0,0,0,0.0
Cameron Sutton,11850,CB,DET,8,12,,6.0,11,0,39.6,0,2,0,0,0,0.0
P.J. Locke,51189,S,DEN,5,14,,14.0,10,0,39.6,0,1,0,0,0,0.0
Clark Phillips III,131871,CB,ATL,2,11,,5.5,2,0,39.6,0,2,0,0,0,0.0
Nick Niemann,43500,LB,LAC,5,7,,7.0,27,0,39.6,0,1,0,0,0,0.0
Ji'Ayir Brown,129767,S,SF,6,18,,9.0,28,1,0.0,0,2,0,0,0,0.0
Jakorian Bennett,129496,CB,LV,4,8,,8.0,23,0,39.6,0,1,0,0,0,0.0
Denzel Perryman,9481,LB,HST,4,4,,4.0,13,0,39.6,0,1,0,0,0,0.0
Jaylon Jones,124328,CB,IND,2,2,,2.0,14,0,39.6,0,1,0,0,0,0.0
Innis Gaines,44443,CB,GB,2,6,,3.0,12,0,39.6,0,2,0,0,0,0.0
Brian Burns,44522,ED,CAR,2,2,,2.0,5,0,39.6,0,1,0,0,0,0.0
Josh Woods,49023,LB,ARZ,9,16,,16.0,1,0,39.6,0,1,0,0,0,0.0
Derrek Pitts,60785,CB,TB,1,1,,1.0,30,0,39.6,0,1,0,0,0,0.0
Ambry Thomas,56058,CB,SF,4,7,,7.0,28,0,39.6,0,1,0,0,0,0.0
Tyler Matakevich,10880,LB,BUF,1,1,,1.0,4,0,39.6,0,1,0,0,0,0.0
Ka'dar Hollman,49446,CB,HST,1,1,,1.0,13,0,39.6,0,1,0,0,0,0.0
Kamu Grugier-Hill,10842,LB,CAR,6,18,,18.0,5,1,0.0,0,1,0,0,0,0.0
Jeff Okudah,55674,CB,ATL,8,14,,7.0,2,0,39.6,0,2,0,0,0,0.0
Isaiah Pola-Mao,60781,S,LV,2,6,,6.0,23,0,39.6,0,1,0,0,0,0.0
Percy Butler,83271,S,WAS,12,66,66.0,22.0,32,0,42.4,1,3,0,3,0,0.05
Parry Nickerson,50511,CB,MIA,3,42,42.0,14.0,17,0,42.4,1,3,0,6,1,0.14
Eddie Jackson,11867,S,CHI,7,39,39.0,39.0,6,0,118.8,1,1,0,13,6,0.33
Alex Singleton,9994,LB,DEN,12,37,37.0,9.3,10,0,39.6,1,4,0,8,5,0.22
Andre Chachere,51194,S,ARZ,6,36,36.0,12.0,1,0,56.3,1,3,0,19,8,0.53
Terrell Edmunds,51334,S,TEN,9,34,34.0,11.3,31,0,56.3,1,3,0,19,0,0.56
Tashaun Gipson Sr.,7288,S,SF,12,91,30.3,15.2,28,0,56.3,3,6,0,9,7,0.1
Damontae Kazee,11904,S,PIT,10,30,30.0,10.0,25,0,81.9,1,3,1,5,0,0.17
Antoine Winfield Jr.,42475,S,TB,12,57,28.5,14.3,30,0,67.7,2,4,0,23,22,0.4
Darrick Forrest,55087,S,WAS,5,27,27.0,13.5,32,0,56.3,1,2,0,2,4,0.07
Jessie Bates III,49162,S,ATL,12,51,25.5,10.2,2,1,21.7,2,5,0,31,12,0.61
Fabian Moreau,11836,CB,DEN,9,25,25.0,25.0,10,0,104.2,1,1,0,9,12,0.36
Elijah Hicks,55584,S,CHI,7,25,25.0,12.5,6,0,95.8,1,2,1,3,0,0.12
DeAndre Houston-Carson,10819,S,HST,6,23,23.0,11.5,13,0,56.3,1,2,0,2,1,0.09
Theo Jackson,62919,S,MIN,6,23,23.0,23.0,18,0,100.0,1,1,0,8,0,0.35
Zach Cunningham,11812,LB,PHI,10,42,21.0,8.4,24,0,56.3,2,5,0,25,15,0.6
Taylor Rapp,51172,S,BUF,7,20,20.0,10.0,4,0,58.3,1,2,0,7,11,0.35
Rodney Thomas II,108389,S,IND,10,40,20.0,20.0,14,0,158.3,2,2,1,49,23,1.23
Jalen Mills,10867,S,NE,12,59,19.7,6.6,19,0,42.4,3,9,0,23,22,0.39
Jason Pinnock,56144,S,NYG,12,59,19.7,8.4,21,0,89.9,3,7,1,19,12,0.32
Marcus Williams,11797,S,BLT,5,39,19.5,7.8,3,0,87.5,2,5,1,6,8,0.15
Alex Highsmith,43507,ED,PIT,9,19,19.0,9.5,25,1,16.7,1,2,0,0,3,0.0
Marcus Epps,51391,S,LV,11,56,18.7,14.0,23,0,105.2,3,4,0,39,16,0.7
Germaine Pratt,29407,LB,CIN,10,37,18.5,18.5,7,0,100.0,2,2,0,16,11,0.43
Budda Baker,11791,S,ARZ,8,37,18.5,9.3,1,0,116.7,2,4,1,32,10,0.86
Jordan Whitehead,49196,S,NYJ,12,107,17.8,10.7,22,1,97.9,6,10,1,140,94,1.31
De'Vondre Campbell,10749,LB,GB,8,53,17.7,10.6,12,0,76.3,3,5,0,29,21,0.55
DaRon Bland,56158,CB,DAL,9,70,17.5,6.4,9,2,5.3,4,11,0,16,22,0.23
Justin Simmons,10732,S,DEN,9,52,17.3,10.4,10,0,128.3,3,5,2,44,0,0.85
Tyson Campbell,83217,CB,JAX,6,17,17.0,17.0,15,0,118.8,1,1,0,14,7,0.82
Dee Delaney,31078,CB,TB,6,34,17.0,17.0,30,0,89.6,2,2,0,11,10,0.32
Daryl Worley,10711,S,BLT,2,17,17.0,8.5,3,0,68.8,1,2,0,12,2,0.71
Leighton Vander Esch,50950,LB,DAL,5,17,17.0,17.0,9,0,104.2,1,1,0,9,2,0.53
Kendall Fuller,10718,CB,WAS,9,17,17.0,8.5,32,0,60.4,1,2,0,8,-1,0.47
Cam Lewis,49395,S,BUF,6,33,16.5,11.0,4,0,78.5,2,3,0,15,2,0.45
Michael Carter II,60644,CB,NYJ,10,247,16.5,9.1,22,0,77.1,15,27,1,106,55,0.43
Bryan Cook,55940,S,KC,12,82,16.4,10.3,16,0,140.6,5,8,1,90,52,1.1
Patrick Peterson,6157,CB,PIT,12,113,16.1,8.7,25,0,81.3,7,13,0,107,61,0.95
Tyrique Stevenson,97562,CB,CHI,7,16,16.0,16.0,6,0,118.8,1,1,0,32,13,2.0
Azeez Al-Shaair,49792,LB,TEN,9,16,16.0,16.0,31,0,95.8,1,1,0,7,1,0.44
Xavier Woods,11946,S,CAR,9,47,15.7,9.4,5,1,33.3,3,5,0,25,19,0.53
Brandon Stephens,45644,CB,BLT,7,15,15.0,7.5,3,0,89.6,1,2,0,22,4,1.47
Tyrel Dodson,51045,LB,BUF,7,15,15.0,15.0,4,0,87.5,1,1,0,5,-1,0.33
Justin Reid,49048,S,KC,12,105,15.0,8.1,16,1,34.1,7,13,0,60,34,0.57
