player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Sam Howell,97599,QB,WAS,13,-10.06,0,598,32,73.9,414,457,9.3,2.94,13,25,5.2,62.8,287,230,6.2,545,91.1,19,159,,,,,73.7,64.8,75.7,61.3,,,77.3,3,13,576,25.2,83.6,10.6,58,29,0,27,17,22,3.8,3136,6.9,78.6,388,422,7.3,2.75,12,22,5.0,67.5,285,196,6.6,497,83.1,20,146,,,,,70.6,71.2,74.6,66.8,,,84.5,3,12,520,26.0,86.4,10.3,51,22,0,19,13,19,3.7,2997,7.1,66.2,77,87,10.5,3.25,1,3,3.2,57.5,50,40,2.0,101,16.9,1,25,,,,,85.7,45.4,80.9,47.4,,,50.7,0,2,111,17.5,82.0,6.9,7,7,0,9,5,3,2.7,468,5.4,0,98.0,51,52,-3.9,1.72,0,0,0.0,92.3,48,6,4.0,53,8.9,2,12,,,,,81.0,70.9,78.3,70.0,,,,0,1,55,0.0,91.4,0.0,0,0,0,1,1,0,0.0,329,6.3,-1.72
Patrick Mahomes,11765,QB,KC,12,-3.94,0,502,16,74.6,343,374,9.3,3.28,2,18,4.5,62.8,235,168,8.2,428,85.3,21,151,,,,,69.4,89.4,88.4,84.4,,,84.1,9,10,459,9.5,89.7,3.7,16,38,2,18,18,15,3.3,2727,7.3,79.4,339,365,7.3,2.96,2,15,3.9,68.5,250,141,7.1,414,82.5,19,142,,,,,68.4,89.3,88.3,84.8,,,81.8,8,8,443,9.2,94.3,3.1,13,34,2,14,19,13,2.9,2362,6.5,73.6,72,79,7.6,3.31,1,3,3.7,64.6,51,33,3.8,88,17.5,2,36,,,,,84.3,73.3,80.3,69.3,,,77.4,1,2,91,12.1,98.4,4.5,4,5,0,5,3,2,2.2,767,9.7,0,97.1,68,70,-2.9,1.49,1,0,0.0,94.3,66,6,0.0,74,14.7,0,27,,,,,83.0,69.5,79.6,67.5,,,63.9,0,0,75,16.7,109.6,1.4,1,1,0,1,4,0,0.0,402,5.7,3.24
Justin Herbert,28237,QB,LAC,12,6.43,0,499,27,72.2,360,387,9.9,2.9,6,24,5.8,61.8,239,172,8.1,444,89.0,21,145,,,,,61.6,85.5,59.5,82.9,58.4,,74.0,8,6,476,14.5,93.0,5.6,25,31,0,13,19,13,2.7,2746,7.1,74.6,307,330,8.9,2.71,7,20,5.7,63.9,211,135,7.9,374,74.9,18,118,,,,,55.2,83.8,56.2,82.3,58.4,,68.2,5,5,399,17.0,89.2,6.1,23,19,0,11,11,12,3.0,2303,7.0,77.7,103,108,6.2,2.9,0,4,3.5,70.4,76,39,5.0,125,25.1,4,41,,,,,86.9,78.3,81.6,74.7,,,74.3,3,1,132,5.1,113.1,1.6,2,13,0,2,9,1,0.8,738,6.8,0,98.0,50,51,-3.8,1.62,1,0,0.0,94.1,48,2,2.0,55,11.0,1,14,,,,,81.0,69.7,78.3,69.8,,,58.3,0,0,55,0.0,97.3,0.0,0,1,0,0,1,0,0.0,295,5.8,-0.15
Josh Allen,46601,QB,BUF,12,3.98,0,483,4,76.5,371,399,9.5,2.99,4,27,6.4,66.2,264,157,7.0,449,93.0,20,160,,,,,69.4,91.5,74.1,89.7,,,82.5,3,13,480,9.6,95.4,3.3,15,35,1,20,24,12,2.5,3040,7.6,76.7,309,329,8.4,2.85,3,20,5.7,67.2,221,127,6.8,369,76.4,16,115,,,,,63.4,87.0,72.1,82.5,,,81.1,1,11,395,10.2,87.3,3.5,13,27,1,15,15,11,2.8,2212,6.7,82.1,95,104,8.7,2.93,1,7,6.5,71.2,74,32,5.1,114,23.6,4,52,,,,,86.2,92.4,81.2,91.4,,,71.2,2,2,120,6.3,122.4,1.8,2,8,0,6,9,1,0.8,1003,9.6,0,93.9,33,34,-2.9,1.26,0,0,0.0,91.2,31,2,0.0,34,7.0,0,7,,,,,78.3,69.0,76.7,68.2,,,,0,0,35,0.0,88.1,0.0,0,0,0,1,0,0,0.0,175,5.1,2.92
Jalen Hurts,40291,QB,PHI,12,-6.83,0,472,24,74.5,322,358,10.2,3.41,3,23,6.1,63.4,227,194,5.4,427,90.5,13,146,,,,,57.3,81.5,60.8,80.4,,,69.8,5,9,448,16.5,93.3,7.5,32,37,0,28,18,12,2.7,2757,7.7,78.3,277,302,8.5,3.14,2,17,5.3,68.2,206,144,5.1,346,73.3,11,114,,,,,50.5,78.0,57.6,78.4,,,64.7,3,7,365,11.8,96.5,4.9,17,27,0,20,14,10,2.7,2303,7.6,72.7,88,101,9.5,3.46,2,6,5.7,61.4,62,51,3.1,126,26.7,2,41,,,,,86.7,83.9,81.5,78.1,,,84.7,2,3,130,29.4,85.9,11.9,15,10,0,9,5,2,1.5,692,6.9,0,95.3,43,45,-2.7,1.48,1,0,0.0,91.1,41,1,0.0,45,9.5,0,9,,,,,80.0,74.4,77.7,73.3,,,,0,1,47,0.0,86.9,0.0,0,0,0,1,1,0,0.0,238,5.3,-0.78
C.J. Stroud,129759,QB,HST,12,-2.19,0,470,13,72.1,351,381,11.0,3.08,6,19,4.7,60.9,232,159,8.3,429,91.3,21,162,,,,,33.7,85.6,74.3,82.0,58.9,,77.1,3,5,452,18.9,100.7,7.0,30,18,6,15,20,13,2.9,3282,8.6,75.2,298,324,8.7,2.82,6,11,3.2,63.9,207,119,7.6,357,76.0,17,122,,,,,34.1,84.5,72.5,81.6,58.9,,72.6,3,3,376,16.8,99.6,5.6,20,12,6,11,15,7,1.9,2546,7.9,70.8,89,94,13.1,3.41,0,8,7.9,61.7,58,44,7.9,113,24.0,5,47,,,,,60.1,74.1,81.3,71.3,,,72.6,0,2,121,25.0,106.4,9.7,11,7,0,5,5,6,5.0,994,10.6,0,94.4,36,37,-3.5,1.72,0,0,0.0,89.2,33,4,2.9,41,8.7,1,7,,,,,79.6,60.8,77.6,61.3,,,58.3,0,0,45,25.0,95.7,2.4,1,1,0,1,0,0,0.0,258,7.0,2.71
Baker Mayfield,46518,QB,TB,12,-7.62,0,462,30,70.2,339,370,10.7,2.9,11,14,3.5,60.3,223,161,6.3,421,91.1,15,128,,,,,59.7,70.4,73.7,68.7,57.6,,65.7,6,8,456,16.8,87.7,6.4,27,24,0,14,17,17,3.7,2585,7.0,74.4,281,302,8.8,2.65,9,10,3.1,65.6,198,118,5.3,344,74.5,11,96,,,,,62.8,71.5,88.0,70.0,,,62.3,4,4,368,18.6,91.6,6.4,22,19,0,8,12,13,3.5,1967,6.5,69.8,96,107,10.5,3.1,3,4,3.4,57.9,62,46,7.5,118,25.5,5,41,,,,,61.3,65.2,17.2,63.9,57.6,,71.6,2,4,129,10.9,85.6,4.2,5,5,0,6,6,4,3.1,825,7.7,0,100.0,38,39,-3.8,1.33,1,0,0.0,94.9,37,3,2.6,41,8.9,1,9,,,,,79.2,69.8,77.3,68.9,,,,0,0,41,0.0,97.3,0.0,0,0,0,0,1,0,0.0,207,5.3,1.2
Dak Prescott,10769,QB,DAL,12,-6.35,0,461,9,76.2,361,374,9.8,2.79,5,29,7.2,68.2,255,143,7.3,421,91.3,20,159,,,,,88.5,92.4,44.5,91.2,,,80.7,4,6,455,18.2,107.4,6.2,26,20,0,4,24,7,1.5,3034,8.1,78.4,287,295,8.2,2.59,3,20,6.5,71.9,212,102,5.8,332,72.0,13,129,,,,,84.3,91.8,38.0,90.6,,,81.3,3,5,352,17.6,111.9,5.4,18,16,0,2,20,5,1.4,2438,8.3,78.0,109,116,9.8,2.92,3,9,7.0,65.5,76,43,10.6,129,28.0,9,41,,,,,87.5,83.4,81.9,81.5,,,63.8,2,1,143,18.6,98.9,6.2,8,4,0,2,6,2,1.4,796,6.9,0,100.0,35,37,-2.8,1.58,1,0,0.0,89.2,33,2,5.7,40,8.7,2,11,,,,,79.0,67.6,77.2,66.9,,,,1,0,40,0.0,107.2,0.0,0,0,0,0,2,0,0.0,200,5.4,-1.4
Trevor Lawrence,77632,QB,JAX,12,0.95,0,460,15,73.7,312,333,10.6,2.75,10,27,7.5,64.0,213,124,7.4,388,84.3,17,123,,,,,47.5,88.0,44.1,85.4,,,76.6,4,7,417,21.0,92.7,6.7,26,29,0,7,13,15,3.6,2639,7.9,76.7,283,297,8.1,2.38,10,17,5.3,67.7,201,87,7.4,343,74.6,16,95,,,,,41.6,83.0,41.1,81.0,60.0,,73.6,1,4,366,24.1,95.9,6.1,21,21,0,3,13,11,3.0,2027,6.8,79.3,92,102,8.7,3.01,3,10,9.3,68.6,70,43,4.1,117,25.4,3,45,,,,,86.4,85.8,81.3,82.9,,,70.9,3,3,123,14.0,90.6,5.1,6,9,0,4,1,4,3.3,987,9.7,0,95.2,63,66,-3.4,1.43,3,0,0.0,87.9,58,6,3.3,72,15.7,2,17,,,,,82.6,67.3,79.4,67.5,60.0,,58.3,0,0,72,16.7,95.4,1.4,1,1,0,0,1,0,0.0,375,5.7,2.86
Jared Goff,10635,QB,DET,12,7.49,0,458,11,77.2,346,376,8.8,2.72,5,16,4.1,65.7,247,153,7.5,404,88.2,20,142,,,,,50.5,84.3,88.7,83.2,60.0,,55.4,5,8,423,13.7,97.8,5.2,21,7,1,19,19,12,2.8,2979,7.9,77.6,299,325,7.3,2.47,6,14,4.1,65.8,214,118,7.8,345,75.3,18,117,,,,,54.9,78.7,88.4,77.5,60.0,,57.5,4,8,361,12.7,90.3,4.3,15,5,1,15,14,11,3.0,2280,7.0,86.3,95,105,7.0,2.95,1,2,1.8,73.3,77,41,6.1,113,24.7,5,44,,,,,59.2,86.9,81.2,85.6,,,54.5,1,0,119,14.6,122.2,5.3,6,2,0,8,6,1,0.8,1007,9.6,0,97.9,48,54,-3.9,1.62,2,0,0.0,81.5,44,6,6.4,54,11.8,3,19,,,,,81.2,68.1,78.5,67.4,,,,0,0,57,0.0,96.6,0.0,0,0,0,4,1,0,0.0,308,5.7,2.57
