player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kyler Murray,38334,QB,ARZ,8,2.55,2.34,3.89,5.21,360,1,82.3,198,203,4.7,1.75,4,4,1.9,74.9,152,23,6.7,207,57.5,11,66,,,,90.1,77.3,83.6,75.7,,,,,0,1,220,17.4,101.3,1.9,4,0,0,1,8,1,0.5,1255,6.2,64.6,99,119,12.1,3.67,5,4,3.2,52.9,63,74,1.6,151,41.9,1,40,,,,31.9,52.2,82.5,48.1,,,72.5,,2,5,166,20.3,60.2,9.9,15,17,0,13,2,11,6.6,739,6.2
Tom Brady,698,QB,TB,8,2.28,2.24,3.08,5.1,354,30,80.9,209,216,4.7,1.81,1,8,3.6,75.5,163,22,3.6,219,61.9,6,69,,,,74.8,71.3,83.7,70.2,,,,,1,1,228,13.6,102.0,1.4,3,0,0,5,8,2,0.9,1380,6.4,61.5,109,122,13.8,3.07,3,10,7.5,50.0,61,47,9.0,134,37.9,6,41,,,,87.7,77.8,82.0,76.5,,,59.2,,0,0,148,21.3,76.8,7.5,10,2,0,10,1,5,3.4,888,7.3
Joe Burrow,28022,QB,CIN,8,2.47,2.36,3.01,4.14,348,7,79.8,188,198,6.0,1.87,6,7,3.3,71.7,142,31,5.3,205,58.9,8,74,,,,55.9,79.5,83.5,77.7,,,,,1,3,216,22.6,104.7,3.4,7,0,0,3,11,3,1.4,1457,7.4,76.6,94,107,10.4,3.35,4,4,3.4,64.5,69,62,4.2,142,40.8,3,41,,,,66.0,68.6,82.1,65.5,,,72.3,,4,3,153,35.5,96.8,15.5,22,13,0,5,6,7,4.6,872,8.1
Justin Herbert,28237,QB,LAC,7,2.77,2.66,4.04,5.01,328,27,78.3,129,133,4.5,2.0,3,1,0.7,71.4,95,32,5.9,134,40.9,6,45,,,,87.2,65.7,81.8,65.0,,,,,0,2,138,3.1,105.5,0.7,1,0,0,1,10,2,1.4,800,6.0,74.3,152,175,8.7,3.31,7,6,3.2,61.7,108,85,4.4,194,59.1,5,53,,,,72.2,69.2,83.3,68.8,,,59.0,,6,2,206,10.6,81.3,4.6,9,10,0,10,2,4,1.9,1209,6.9
Matt Ryan,4317,QB,IND,7,2.63,2.52,3.35,4.83,326,14,85.4,158,168,5.1,1.98,4,1,0.6,76.2,128,32,5.2,171,52.5,7,59,,,,69.2,71.4,33.2,70.9,,,,,2,4,179,9.4,93.8,1.8,3,0,0,4,5,5,2.8,1140,6.8,71.6,109,128,8.1,3.34,4,1,0.7,58.6,75,78,3.8,155,47.5,3,46,,,,22.9,45.3,82.4,46.3,,,55.5,,1,5,164,26.9,73.4,13.5,21,6,0,14,4,9,5.5,871,6.8
Josh Allen,46601,QB,BUF,7,2.72,2.54,3.66,4.23,301,4,84.8,132,144,4.0,1.78,9,5,3.4,73.6,106,18,5.4,146,48.5,6,53,,,,64.8,85.1,82.0,83.0,,,,,0,1,149,11.1,110.7,1.4,2,0,0,3,10,3,2.0,934,6.5,67.0,106,119,14.9,3.63,2,15,11.8,56.3,67,79,5.6,154,51.2,4,69,,,,88.4,88.7,25.3,76.4,,,93.4,,2,5,162,11.4,101.0,5.8,9,26,0,9,9,10,6.2,1264,10.6
Trevor Lawrence,77632,QB,JAX,8,2.54,2.44,3.24,5.46,298,15,83.3,156,159,4.2,1.83,2,3,1.8,73.0,116,23,10.8,160,53.7,14,52,,,,88.6,63.1,82.5,62.6,,,,,0,2,166,4.3,95.7,0.6,1,0,0,1,6,2,1.2,974,6.1,58.7,104,117,14.4,3.41,3,6,4.7,48.7,57,60,6.6,136,45.6,4,47,,,,24.2,49.3,82.1,48.7,,,65.5,,2,4,151,18.3,70.9,8.1,11,8,0,8,4,10,6.6,871,7.4
Aaron Rodgers,2241,QB,GB,8,2.46,2.37,3.52,5.7,294,12,83.9,161,166,4.2,1.62,3,6,3.6,77.1,128,13,5.2,168,57.1,7,56,,,,88.8,84.0,82.6,81.9,,,,,0,2,171,15.4,108.3,1.2,2,0,0,2,9,1,0.6,1152,6.9,65.9,91,107,12.6,3.61,1,12,10.0,50.5,54,63,10.0,125,42.5,6,29,,,,63.1,66.9,81.8,65.8,,,63.6,,3,2,140,23.8,74.0,12.0,15,3,0,12,4,4,2.9,648,6.1
Patrick Mahomes,11765,QB,KC,7,2.71,2.56,3.03,5.45,292,16,80.5,149,153,4.8,1.79,1,3,1.9,73.9,113,23,5.8,153,52.4,7,65,,,,66.7,69.8,82.2,68.8,,,,,1,2,157,0.0,109.4,0.0,0,0,0,2,10,5,3.2,1081,7.1,75.0,88,110,12.9,3.77,3,12,9.2,57.3,63,80,4.5,137,46.9,3,58,,,,88.2,92.2,82.3,90.7,,,77.8,,3,3,158,15.0,109.6,8.8,12,15,0,16,10,4,2.5,1078,9.8
Matthew Stafford,4924,QB,LA,7,2.56,2.45,3.36,4.95,287,26,77.2,136,138,3.3,1.84,1,2,1.4,73.9,102,18,2.9,139,48.4,3,47,,,,63.6,64.0,81.8,63.5,,,,,0,4,141,5.6,91.3,0.7,1,0,0,1,6,3,2.1,836,6.1,77.8,108,120,10.2,3.25,2,7,5.6,66.7,80,72,4.8,147,51.2,4,48,,,,43.5,65.6,25.2,64.7,,,68.7,,0,4,151,31.9,78.7,15.6,23,4,0,10,1,7,4.6,927,7.7
