player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Braxton Jones,60092,T,CHI,10,0,6,82.8,100.0,107,34.0,107,74.7,2,100.0,315,315,65.6,100.0,174,55.2,174
Kaleb McGary,46912,T,ATL,10,0,2,72.8,100.0,87,27.7,87,83.4,2,100.0,314,314,75.4,100.0,213,67.8,213
Drew Dalman,52270,C,ATL,10,0,2,55.5,100.0,87,27.7,87,60.7,1,100.0,314,314,64.1,100.0,213,67.8,213
Chris Lindstrom,46692,G,ATL,10,0,2,76.0,100.0,87,27.7,87,86.0,0,100.0,314,314,88.1,100.0,213,67.8,213
Jake Matthews,8641,T,ATL,10,0,2,63.2,100.0,87,27.7,87,65.2,1,100.0,314,314,67.1,100.0,213,67.8,213
Sam Mustipher,13026,C,CHI,10,0,6,74.1,100.0,104,33.8,104,70.7,0,100.0,308,308,67.9,100.0,170,55.2,170
Cole Kmet,60995,TE,CHI,10,0,6,61.4,100.0,98,34.1,98,65.2,4,99.3,287,289,70.8,100.0,157,54.7,157
Ethan Pocic,11813,C,CLV,9,0,8,60.1,100.0,137,49.5,137,84.4,0,100.0,277,277,92.1,100.0,101,36.5,101
Joel Bitonio,8670,G,CLV,9,0,8,70.0,100.0,137,49.5,137,88.2,0,100.0,277,277,91.2,100.0,101,36.5,101
Jedrick Wills Jr.,58467,T,CLV,9,1,8,63.1,100.0,137,49.8,137,67.6,2,100.0,275,275,74.9,100.0,100,36.4,100
Andrew Thomas,59701,T,NYG,9,0,21,66.3,100.0,143,52.2,143,81.8,1,100.0,274,274,91.4,100.0,98,35.8,98
Marcus Mariota,9435,QB,ATL,10,0,2,60.0,81.6,71,25.9,87,60.0,0,87.3,274,314,60.0,94.4,201,73.4,213
Luke Fortner,42028,C,JAX,10,0,15,54.2,100.0,113,41.5,113,48.8,2,100.0,272,272,43.6,100.0,127,46.7,127
Jason Kelce,6343,C,PHI,9,0,24,60.2,100.0,82,30.1,82,79.2,0,100.0,272,272,86.2,100.0,141,51.8,141
Jawaan Taylor,41665,T,JAX,10,1,15,36.9,100.0,113,41.5,113,41.0,1,100.0,272,272,51.0,100.0,127,46.7,127
Mark Glowinski,9567,G,NYG,9,0,21,66.2,100.0,140,51.7,140,64.0,0,100.0,271,271,56.2,100.0,98,36.2,98
Jon Feliciano,9561,C,NYG,9,0,21,55.3,100.0,141,52.0,141,55.2,0,100.0,271,271,50.9,100.0,98,36.2,98
Charles Leno Jr.,8880,T,WAS,10,0,32,70.2,100.0,91,33.6,91,58.3,0,100.0,271,271,58.2,100.0,150,55.4,150
Andrew Norwell,9126,G,WAS,10,0,32,64.9,100.0,91,33.7,91,57.9,0,100.0,270,270,56.5,100.0,149,55.2,149
Cam Robinson,11789,T,JAX,10,0,15,46.6,100.0,112,41.6,112,59.5,3,100.0,269,269,68.0,100.0,126,46.8,126
Brandon Scherff,9438,G,JAX,10,0,15,56.6,100.0,111,41.6,111,53.9,1,100.0,267,267,55.4,100.0,127,47.6,127
Nicholas Petit-Frere,82003,T,TEN,9,0,31,50.8,100.0,92,34.8,92,67.2,0,100.0,264,264,76.3,100.0,150,56.8,150
Aaron Brewer,46014,G,TEN,9,1,31,67.7,100.0,92,34.8,92,62.7,4,100.0,264,264,61.0,100.0,150,56.8,150
Zack Martin,8651,G,DAL,9,0,9,55.8,100.0,105,40.1,105,63.7,0,100.0,262,262,68.0,100.0,120,45.8,120
Terence Steele,39461,T,DAL,9,0,9,60.0,100.0,105,40.1,105,79.8,1,100.0,262,262,81.4,100.0,120,45.8,120
Ben Powers,41482,G,BLT,9,0,3,47.2,100.0,180,68.7,180,47.0,0,100.0,262,262,48.8,100.0,53,20.2,53
Kevin Zeitler,7032,G,BLT,9,0,3,58.0,100.0,180,68.7,180,65.0,1,100.0,262,262,79.7,100.0,53,20.2,53
Tyler Smith,98385,T,DAL,9,0,9,59.1,100.0,105,40.1,105,62.8,3,100.0,262,262,59.3,100.0,120,45.8,120
Tyler Biadasz,41178,C,DAL,9,0,9,53.9,100.0,105,40.1,105,63.5,0,100.0,262,262,69.4,100.0,120,45.8,120
Tyler Linderbaum,82291,C,BLT,9,0,3,74.5,100.0,180,69.0,180,75.8,0,100.0,261,261,70.2,100.0,52,19.9,52
Darnell Mooney,48236,WR,CHI,10,0,6,62.8,100.0,88,33.8,88,64.4,0,100.0,260,260,60.8,100.0,148,56.9,148
Josh Myers,59992,C,GB,10,0,12,58.3,100.0,92,35.7,92,56.0,0,100.0,258,258,56.1,100.0,154,59.7,154
Justin Fields,82118,QB,CHI,10,1,6,60.1,87.7,93,36.0,106,60.1,1,82.4,258,313,60.1,86.7,150,58.1,173
Jacoby Brissett,10725,QB,CLV,9,0,8,60.0,100.0,137,53.3,137,60.2,0,92.8,257,277,60.3,100.0,101,39.3,101
Isaac Seumalo,10713,G,PHI,9,1,24,54.4,100.0,81,31.6,81,68.4,1,100.0,256,256,74.4,100.0,129,50.4,129
Jake Brendel,11117,C,SF,9,0,28,50.3,100.0,91,35.7,91,55.9,2,100.0,255,255,60.6,100.0,132,51.8,132
Ben Jones,7099,C,TEN,9,0,31,65.5,100.0,90,35.6,90,78.1,0,100.0,253,253,82.6,100.0,141,55.7,141
Ryan Ramczyk,11787,T,NO,10,0,20,65.0,100.0,103,41.0,103,77.7,0,100.0,251,251,82.3,100.0,123,49.0,123
Cesar Ruiz,59857,G,NO,10,0,20,57.5,100.0,103,41.0,103,53.9,1,100.0,251,251,53.5,100.0,123,49.0,123
Landon Dickerson,41712,G,PHI,9,0,24,49.9,100.0,75,29.9,75,63.2,2,100.0,251,251,69.3,100.0,131,52.2,131
Aaron Rodgers,2241,QB,GB,10,0,12,60.0,98.9,91,36.4,92,60.0,0,96.5,250,259,60.0,98.7,152,60.8,154
Lane Johnson,7786,T,PHI,9,0,24,70.5,100.0,76,30.5,76,73.4,0,100.0,249,249,78.7,100.0,129,51.8,129
Jon Runyan,36661,G,GB,10,0,12,54.9,100.0,87,35.1,87,51.9,0,100.0,248,248,53.6,100.0,149,60.1,149
Trent Brown,9677,T,NE,9,0,19,67.9,100.0,120,48.6,120,61.3,0,100.0,247,247,63.3,100.0,87,35.2,87
Aaron Banks,59983,G,SF,9,0,28,51.1,100.0,88,35.6,88,62.6,0,100.0,247,247,69.3,100.0,128,51.8,128
Michael Onwenu,27357,G,NE,9,0,19,70.9,100.0,120,48.6,120,82.1,0,100.0,247,247,85.8,100.0,87,35.2,87
Trevor Lawrence,77632,QB,JAX,10,0,15,60.8,92.9,105,42.7,113,60.7,0,90.8,246,271,60.4,96.1,122,49.6,127
Ikem Ekwonu,98286,T,CAR,10,2,5,60.1,100.0,116,47.2,116,66.6,4,100.0,246,246,75.5,100.0,115,46.7,115
Brady Christensen,51985,G,CAR,10,0,5,61.2,100.0,116,47.2,116,58.6,2,100.0,246,246,57.7,100.0,115,46.7,115
Austin Corbett,46290,G,CAR,10,0,5,69.8,100.0,116,47.2,116,69.4,1,100.0,246,246,62.8,100.0,115,46.7,115
Mike McGlinchey,46275,T,SF,9,0,28,66.4,100.0,87,35.4,87,73.5,0,100.0,246,246,67.1,100.0,130,52.8,130
Taylor Moton,11819,T,CAR,10,1,5,47.0,100.0,116,47.2,116,53.0,1,100.0,246,246,67.4,100.0,115,46.7,115
James Hurst,9001,T,NO,10,0,20,44.8,100.0,101,41.4,101,53.5,0,100.0,244,244,61.6,100.0,121,49.6,121
Dallas Goedert,47272,TE,PHI,9,0,24,61.6,100.0,78,32.2,78,59.8,1,100.0,242,242,60.7,100.0,119,49.2,119
Taylor Decker,10650,T,DET,9,0,11,54.9,100.0,135,55.8,135,69.0,1,100.0,242,242,69.3,100.0,91,37.6,91
Penei Sewell,81788,T,DET,9,0,11,72.0,100.0,135,55.8,135,83.1,1,100.0,242,242,93.0,100.0,91,37.6,91
Terry McLaurin,48229,WR,WAS,10,0,32,60.5,100.0,81,33.5,81,61.1,1,98.8,242,245,58.8,100.0,139,57.4,139
Dennis Daley,60063,T,TEN,9,0,31,56.0,100.0,81,33.8,81,52.4,0,100.0,240,240,52.4,100.0,139,57.9,139
Kelvin Beachum,7229,T,ARZ,10,0,1,62.7,100.0,112,47.1,112,64.0,0,100.0,238,238,69.5,100.0,91,38.2,91
Morgan Moses,8701,T,BLT,9,0,3,73.7,100.0,161,67.9,161,79.7,0,100.0,237,237,83.4,100.0,48,20.3,48
DeVonta Smith,61100,WR,PHI,9,0,24,65.9,100.0,77,32.6,77,50.1,0,100.0,236,236,57.6,100.0,124,52.5,124
Abraham Lucas,60218,T,SEA,10,0,29,57.1,100.0,63,26.9,63,62.2,1,100.0,234,234,66.5,100.0,135,57.7,135
Donovan Peoples-Jones,61439,WR,CLV,9,0,8,62.7,100.0,113,48.3,113,54.5,0,99.6,234,235,48.5,100.0,89,38.0,89
Jared Goff,10635,QB,DET,9,0,11,60.0,100.0,135,57.7,135,60.0,0,96.7,234,242,60.0,98.9,90,38.5,91
Quenton Nelson,12954,G,IND,10,0,14,68.1,100.0,89,38.2,89,67.1,0,100.0,233,233,66.6,100.0,123,52.8,123
Charles Cross,98401,T,SEA,10,0,29,54.3,100.0,63,27.2,63,59.6,0,100.0,232,232,62.8,100.0,135,58.2,135
Braden Smith,46794,T,IND,10,0,14,68.1,100.0,88,37.9,88,66.8,0,100.0,232,232,70.3,100.0,123,53.0,123
Daniel Jones,39395,QB,NYG,9,0,21,61.6,97.8,136,58.9,139,61.7,0,86.8,231,266,60.9,87.4,83,35.9,95
Tristan Wirfs,64818,T,TB,10,0,30,69.5,100.0,147,63.9,147,72.6,0,100.0,230,230,73.7,100.0,57,24.8,57
Robert Hunt,46139,G,MIA,10,0,17,59.1,100.0,67,29.1,67,77.7,1,100.0,230,230,78.8,100.0,128,55.7,128
Erik McCoy,37347,C,NO,9,0,20,72.2,100.0,98,42.6,98,68.3,1,100.0,230,230,61.5,100.0,111,48.3,111
Connor Williams,46216,C,MIA,10,0,17,58.4,100.0,67,29.1,67,82.2,0,100.0,230,230,85.6,100.0,128,55.7,128
Robert Hainsey,59980,C,TB,10,0,30,67.5,100.0,147,63.9,147,63.4,1,100.0,230,230,53.2,100.0,57,24.8,57
D.J. Moore,48267,WR,CAR,10,1,5,61.4,100.0,107,46.7,107,61.4,1,97.9,229,234,58.4,100.0,112,48.9,112
Shaq Mason,9564,G,TB,10,0,30,64.0,100.0,146,63.8,146,63.8,1,100.0,229,229,60.5,100.0,57,24.9,57
Brandon Aiyuk,84109,WR,SF,9,0,28,50.5,100.0,84,36.7,84,58.4,0,99.6,229,230,67.0,100.0,121,52.8,121
Elijah Wilkinson,46238,G,ATL,7,0,2,51.4,100.0,73,32.2,73,68.3,1,100.0,227,227,77.7,100.0,144,63.4,144
Drake London,86519,WR,ATL,10,0,2,64.2,100.0,63,27.8,63,52.9,0,100.0,227,227,61.3,100.0,159,70.0,159
Geoff Swaim,9679,TE,TEN,9,0,31,62.4,100.0,84,37.0,84,64.4,0,100.0,227,227,63.5,100.0,127,55.9,127
Dalton Risner,47008,G,DEN,9,0,10,43.3,100.0,70,31.0,70,54.1,0,100.0,226,226,54.5,100.0,131,58.0,131
Laken Tomlinson,9461,G,NYJ,9,0,22,54.2,100.0,80,35.9,80,45.1,0,100.0,223,223,42.4,100.0,113,50.7,113
Connor McGovern,10778,C,NYJ,9,0,22,58.4,100.0,80,35.9,80,64.3,0,100.0,223,223,70.4,100.0,113,50.7,113
Cole Strange,22976,G,NE,9,1,19,58.7,100.0,112,50.9,112,47.3,3,100.0,220,220,46.3,100.0,78,35.5,78
Patrick Ricard,48862,FB,BLT,9,0,3,87.6,100.0,156,70.9,156,84.2,2,98.2,220,224,52.5,97.6,40,18.2,41
Parker Hesse,48369,TE,ATL,10,0,2,56.3,100.0,64,29.2,64,60.8,2,100.0,219,219,64.6,100.0,143,65.3,143
CeeDee Lamb,61570,WR,DAL,9,0,9,59.2,100.0,94,42.9,94,58.7,0,98.2,219,223,59.6,99.1,107,48.9,108
Frank Ragnow,39137,C,DET,8,0,11,70.2,100.0,121,55.5,121,80.0,0,100.0,218,218,82.5,100.0,85,39.0,85
Ryan Kelly,10652,C,IND,10,0,14,54.6,100.0,80,36.7,80,59.1,0,100.0,218,218,57.3,100.0,117,53.7,117
Austin Blythe,10882,C,SEA,10,0,29,54.4,100.0,54,24.9,54,55.3,0,100.0,217,217,62.1,100.0,130,59.9,130
Teven Jenkins,41534,G,CHI,9,0,6,72.0,100.0,71,32.9,71,81.1,0,100.0,216,216,81.1,100.0,123,56.9,123
Christian Kirk,47546,WR,JAX,10,0,15,46.3,100.0,90,41.7,90,50.3,0,98.6,216,219,55.8,100.0,103,47.7,103
Tom Brady,698,QB,TB,10,0,30,60.0,100.0,147,68.7,147,60.2,0,93.0,214,230,60.3,98.2,56,26.2,57
Dan Moore Jr.,60120,T,PIT,9,0,25,52.9,100.0,63,29.4,63,61.9,1,100.0,214,214,68.3,100.0,99,46.3,99
Chukwuma Okorafor,46302,T,PIT,9,0,25,54.3,100.0,63,29.4,63,58.8,0,100.0,214,214,65.8,100.0,99,46.3,99
Mason Cole,45547,C,PIT,9,0,25,54.3,100.0,63,29.4,63,66.1,0,100.0,214,214,76.0,100.0,99,46.3,99
James Daniels,45576,G,PIT,9,0,25,61.6,100.0,63,29.4,63,66.1,0,100.0,214,214,69.2,100.0,99,46.3,99
Kevin Dotson,46735,G,PIT,9,0,25,53.5,100.0,63,29.4,63,63.6,2,100.0,214,214,69.1,100.0,99,46.3,99
Elgton Jenkins,46298,T,GB,8,0,12,49.0,100.0,76,35.8,76,72.3,1,100.0,212,212,79.9,100.0,126,59.4,126
Amari Cooper,9437,WR,CLV,9,0,8,58.3,100.0,99,47.4,99,53.5,0,100.0,209,209,61.3,100.0,83,39.7,83
Larry Borom,59879,T,CHI,7,0,6,54.9,100.0,74,35.4,74,63.0,0,100.0,209,209,68.0,100.0,115,55.0,115
Cordell Volson,30614,G,CIN,9,0,7,52.2,100.0,100,47.8,100,55.3,0,100.0,209,209,67.0,100.0,71,34.0,71
Ed Ingram,59819,G,MIN,9,0,18,54.5,100.0,60,28.8,60,69.3,0,100.0,208,208,72.0,100.0,123,59.1,123
Spencer Burford,81920,G,SF,9,0,28,43.1,100.0,72,34.6,72,43.6,1,100.0,208,208,44.8,100.0,109,52.4,109
Garrett Bradbury,46013,C,MIN,9,0,18,60.9,100.0,60,28.8,60,73.9,1,100.0,208,208,76.9,100.0,123,59.1,123
Jonah Williams,41651,T,CIN,9,0,7,54.6,100.0,99,47.6,99,49.8,0,100.0,208,208,44.7,100.0,71,34.1,71
Brian O'Neill,46854,T,MIN,9,0,18,61.2,100.0,60,28.8,60,80.4,0,100.0,208,208,84.9,100.0,123,59.1,123
Ezra Cleveland,41973,G,MIN,9,0,18,64.1,100.0,60,28.8,60,81.4,0,100.0,208,208,83.7,100.0,123,59.1,123
Damien Lewis,81532,G,SEA,9,0,29,65.3,100.0,57,27.7,57,66.4,3,100.0,206,206,71.2,100.0,120,58.3,120
Geno Smith,7820,QB,SEA,10,0,29,60.4,92.1,58,28.2,63,60.4,0,88.0,206,234,60.0,97.0,131,63.6,135
Jack Conklin,10642,T,CLV,7,0,8,59.2,100.0,100,48.5,100,58.4,1,100.0,206,206,61.0,100.0,78,37.9,78
A.J. Brown,48327,WR,PHI,9,0,24,55.8,100.0,58,28.3,58,60.8,1,100.0,205,205,68.2,100.0,115,56.1,115
Ted Karras,10855,C,CIN,9,0,7,59.4,100.0,98,48.3,98,65.6,0,100.0,203,203,68.0,100.0,71,35.0,71
Alex Cappa,66578,G,CIN,9,0,7,62.8,100.0,98,48.3,98,65.7,0,100.0,203,203,63.7,100.0,71,35.0,71
La'el Collins,9719,T,CIN,9,0,7,83.7,100.0,98,48.3,98,71.6,0,100.0,203,203,55.7,100.0,71,35.0,71
Laremy Tunsil,10647,T,HST,9,0,13,74.5,100.0,99,48.8,99,73.4,0,100.0,203,203,64.6,100.0,95,46.8,95
Michael Pittman Jr.,29049,WR,IND,9,0,14,44.5,100.0,82,40.6,82,56.9,0,100.0,202,202,74.5,100.0,108,53.5,108
Zay Jones,11792,WR,JAX,9,0,15,53.2,100.0,91,45.0,91,55.4,0,98.5,202,205,65.0,100.0,93,46.0,93
Kolton Miller,47013,T,LV,9,0,23,78.7,100.0,123,61.2,123,76.1,1,100.0,201,201,65.4,100.0,37,18.4,37
Tytus Howard,25472,T,HST,9,0,13,61.8,100.0,99,49.3,99,67.7,0,100.0,201,201,68.1,100.0,93,46.3,93
Jalen Hurts,40291,QB,PHI,9,0,24,60.0,86.6,71,35.3,82,60.0,0,73.9,201,272,60.0,87.2,123,61.2,141
Jordan Mailata,66916,T,PHI,8,0,24,57.5,100.0,74,37.0,74,73.1,0,100.0,200,200,85.5,100.0,90,45.0,90
Matt Feiler,9289,G,LAC,9,0,27,54.5,100.0,70,35.0,70,46.8,0,100.0,200,200,48.7,100.0,102,51.0,102
Zion Johnson,99681,G,LAC,9,0,27,61.3,100.0,70,35.0,70,63.2,2,100.0,200,200,62.5,100.0,102,51.0,102
Evan Brown,38709,G,DET,8,0,11,54.4,100.0,107,54.3,107,71.2,1,100.0,197,197,89.5,100.0,76,38.6,76
Nate Davis,46808,G,TEN,7,1,31,55.9,100.0,72,36.5,72,73.7,1,100.0,197,197,85.7,100.0,107,54.3,107
