team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
STTMFL,1477,1,38,0,1,38,98.7,1,0
W OREGON,411,1,35,1,2,35,95.7,3,0
MISS COL,990,1,11,0,1,11,95.5,1,0
GEORGIA,173,11,398,3,37,398,95.0,40,0
OHIO STATE,260,11,348,6,28,348,94.5,36,2
N DAK ST,250,11,219,6,15,219,94.3,23,2
BYU,128,11,405,6,39,405,94.2,46,1
FURMAN,170,11,390,3,31,390,94.1,40,6
N TEXAS,251,11,357,9,26,357,93.7,40,5
UCONN,146,12,302,4,25,302,93.2,35,6
YALE,352,10,288,5,30,289,93.2,37,2
UC DAVIS,322,11,422,5,36,422,93.2,49,8
MONTANA ST,233,11,293,6,26,293,92.8,37,5
ALABAMA,103,11,444,7,51,444,92.8,61,3
OKLAHOMA,261,11,389,9,31,389,92.8,48,8
W KENTUCKY,346,12,551,9,45,551,92.7,67,13
BUTLER,127,11,376,7,44,378,92.7,53,2
WASHINGTON,340,11,498,10,57,498,92.5,71,4
NWESTERN,256,11,440,13,40,440,92.4,60,7
OREGON,264,11,389,8,47,389,92.4,57,2
WM & MARY,348,11,253,9,30,253,92.3,39,0
JACKSON ST,194,10,463,8,47,463,92.3,63,8
NOTRE DAME,258,11,323,11,29,323,92.3,45,5
WEBER ST,342,11,390,5,37,390,92.1,52,10
NC A&T,246,11,348,4,35,348,92.1,47,8
SMU,287,11,481,7,45,481,92.1,64,12
PURDUE,273,11,497,15,56,497,92.1,75,4
KENT STATE,201,11,361,4,44,361,92.0,53,5
INCAR WORD,189,10,371,5,34,371,92.0,49,10
UCF,323,11,387,7,38,387,91.9,54,9
BALL ST,117,12,502,14,59,502,91.9,77,4
UTEP,330,11,401,12,36,401,91.8,57,9
WYOMING,351,11,280,6,32,280,91.8,42,4
NC STATE,248,11,428,8,44,428,91.8,61,9
KYCRST,1474,1,55,2,3,56,91.8,7,2
SACRAMENTO,279,11,369,6,45,369,91.7,56,5
UVAWIS,1320,1,48,1,7,48,91.7,8,0
SE MO ST,293,10,370,7,46,370,91.5,58,5
MONTANA,232,11,392,9,48,393,91.5,62,5
PENN,267,10,430,15,45,430,91.4,67,7
CAMPBELL,131,9,366,2,49,366,91.4,57,6
MERCER,219,11,368,8,43,368,91.4,57,6
GEORGETOWN,172,10,442,15,42,442,91.3,67,10
UTAH,328,11,386,5,54,386,91.1,64,5
TULANE,319,11,368,12,32,368,91.0,55,11
TEXAS,311,11,372,8,48,372,90.9,62,6
TENNESSEE,307,11,440,14,46,440,90.9,70,10
LOUISVILLE,210,11,375,14,42,375,90.9,62,6
INWSLY,1451,1,49,0,5,49,90.8,7,2
SO UTAH,298,11,414,16,46,415,90.8,69,7
UTAH ST,329,11,391,11,45,391,90.8,64,8
USF,327,11,341,8,37,341,90.8,54,9
AIR FORCE,101,11,92,1,14,92,90.8,16,1
MINNESOTA,225,11,268,6,30,268,90.7,43,7
CHATTNOOGA,137,10,312,15,27,313,90.7,50,8
ILLINOIS,187,11,381,6,41,381,90.7,59,12
DRAKE,153,10,414,4,58,414,90.6,70,8
GA SOUTHRN,174,11,529,26,67,529,90.6,96,3
JVILLE ST,196,11,259,13,18,259,90.5,40,9
MICH STATE,223,11,398,10,48,398,90.5,67,9
W CAROLINA,344,10,443,10,56,443,90.5,75,9
BAYLOR,118,11,379,14,40,379,90.5,63,9
FLORIDA,163,11,362,5,58,362,90.5,66,3
ST FRANCIS,299,11,358,9,53,358,90.5,65,3
WJWLL,1198,1,36,3,4,36,90.3,7,0
E KENTUCKY,159,11,461,4,69,462,90.3,81,8
TENN TECH,309,10,352,7,47,352,90.3,61,7
SOCTOW,1107,1,36,0,5,36,90.3,6,1
FORDHAM,168,11,504,12,60,504,90.3,85,13
HOUSTON,182,11,491,8,65,491,90.3,84,11
CLEMSON,140,11,406,13,44,406,90.3,68,11
TXAMCO,1139,10,358,9,47,358,90.2,63,7
MICHIGAN,222,11,323,17,31,323,90.1,56,8
BOISE ST,120,11,329,10,49,329,90.1,62,3
MISS STATE,227,12,622,15,78,622,90.0,109,16
TAYLOR,402,1,20,2,2,20,90.0,4,0
KANSAS,198,11,314,6,53,314,90.0,61,2
TEXAS ST,314,11,462,8,55,462,89.9,78,15
USC,326,11,451,2,81,451,89.9,87,4
APP STATE,108,11,383,15,42,383,89.9,67,10
WISCONSIN,349,11,307,12,26,307,89.9,50,12
N DAKOTA,249,11,393,6,54,394,89.8,70,10
MARSHALL,214,11,393,6,44,393,89.8,65,15
RHODE ISLD,274,11,369,12,32,369,89.7,60,16
MISSOURI,229,11,375,6,49,375,89.7,66,11
DUKE,154,11,384,12,59,384,89.7,75,4
MO S&T,387,1,24,1,4,24,89.6,5,0
TARLETON,401,11,402,9,45,402,89.6,69,15
E CAROLINA,156,11,443,16,62,443,89.6,85,7
GARD-WEBB,171,11,451,13,54,451,89.5,81,14
TEMPLE,306,11,437,16,67,437,89.4,88,5
COLUMBIA,145,9,345,10,49,346,89.4,66,7
DELAWARE,151,11,500,1,79,500,89.4,93,13
MIAMI OH,221,12,400,10,53,400,89.4,74,11
VANDERBILT,333,11,347,10,52,347,89.3,68,6
S DIEGO ST,284,11,322,9,46,322,89.3,62,7
HOWARD,184,10,347,8,43,347,89.2,63,12
PRVIEW A&M,270,9,254,6,41,254,89.2,51,4
DELTAST,841,1,37,1,7,37,89.2,8,0
MARYLAND,215,11,430,4,64,430,89.1,81,13
W VIRGINIA,343,11,435,17,61,435,89.0,87,9
N ILLINOIS,254,11,314,12,45,314,89.0,63,6
UAB,321,11,317,10,34,317,89.0,57,13
CORNELL,147,9,314,9,47,314,88.9,63,7
HARVARD,179,10,351,20,40,351,88.9,69,9
STTHOM,1129,11,297,6,44,298,88.9,58,8
SOUTHERN U,297,9,279,4,38,279,88.9,52,10
STANFORD,300,11,464,14,50,464,88.8,84,20
FAU,165,11,375,11,59,375,88.8,77,7
UTSA,331,11,461,6,82,461,88.7,96,8
HOLY CROSS,181,10,280,4,45,280,88.7,56,7
OREGON ST,265,11,314,16,47,314,88.7,67,4
S ALABAMA,288,11,411,14,50,411,88.6,79,15
UCLA,324,11,415,12,67,415,88.6,87,8
STHLSK,1470,8,266,3,44,266,88.5,54,7
LSU,211,11,454,8,54,454,88.5,83,21
E WASHGTON,161,10,435,17,68,435,88.4,93,8
UMASS,216,11,303,5,47,303,88.4,61,9
CAL POLY,129,11,528,13,80,528,88.4,108,15
RICHMOND,276,11,499,10,80,499,88.4,103,13
TENN MARTN,310,10,383,8,66,383,88.3,82,8
N IOWA,255,10,351,11,57,351,88.3,75,7
ARKANSAS,111,11,363,10,55,365,88.3,75,10
BRYANT,124,9,424,16,56,424,88.2,86,14
SAMFORD,282,11,480,20,60,480,88.1,97,17
TCU,305,11,381,16,53,381,88.1,80,11
HAWAII,180,12,485,20,81,485,88.1,108,7
BROWN,123,9,461,16,65,461,88.0,96,15
WAKE,339,11,471,11,70,471,88.0,97,16
CINCINNATI,138,11,416,20,42,416,88.0,81,19
SYRACUSE,304,11,370,11,56,370,88.0,78,11
ELON,162,11,350,10,58,350,88.0,76,8
CONCMI,1472,1,46,1,6,46,88.0,9,2
LIBERTY,206,11,428,10,72,428,87.9,93,11
LOUCHR,958,1,33,0,6,33,87.9,7,1
ARIZONA,109,11,500,12,98,500,87.8,116,6
PITTSBURGH,268,11,347,19,50,347,87.8,77,8
LA LAFAYET,207,11,427,16,68,428,87.8,94,10
WASH STATE,341,11,486,7,83,486,87.7,105,15
COAST CAR,141,10,324,8,48,324,87.7,68,12
DUQUESNE,155,10,359,8,56,359,87.7,76,12
ILL STATE,188,11,367,12,50,367,87.7,76,14
LA TECH,208,11,436,21,52,436,87.7,90,17
MARIST,213,10,414,8,72,414,87.7,91,11
SE LA,294,11,387,6,57,388,87.7,79,16
ROB MORRIS,277,9,340,14,50,340,87.6,74,10
N CAROLINA,245,11,497,12,81,497,87.6,108,15
GA STATE,175,11,345,13,45,345,87.5,72,14
UTAHTC,1285,11,526,24,81,526,87.5,118,13
SCAR STATE,290,10,341,14,57,341,87.5,78,7
TOWSON,317,10,339,9,46,339,87.5,70,15
SAN DIEGO,283,9,337,18,53,338,87.4,78,7
MOREHEAD,234,10,422,19,63,422,87.4,94,12
CENT ARK,132,11,388,8,56,388,87.4,81,17
NEW HAMP,240,11,401,9,64,401,87.4,87,14
COLORADO,143,11,387,10,66,387,87.3,87,11
VA TECH,337,11,401,8,62,401,87.3,86,16
DARTMOUTH,148,9,282,7,53,282,87.2,66,6
CHARLES SO,135,9,402,10,71,403,87.2,92,11
OLE MISS,226,12,398,23,64,398,87.1,95,8
ABILENE CH,100,11,462,10,85,462,87.1,107,12
BUFFALO,126,10,406,17,64,406,87.1,93,12
MEMPHIS,218,11,466,9,71,466,87.1,100,20
S CAROLINA,289,11,393,11,69,393,87.0,91,11
NC CENT,247,10,326,5,62,327,87.0,76,9
DAVIDSON,149,10,135,3,30,135,87.0,34,1
NEW MEX ST,242,10,270,11,49,270,87.0,65,5
MAINE,212,10,388,22,54,388,86.9,89,13
N ARIZONA,252,11,499,12,109,500,86.9,126,5
MONMOUTH,231,10,339,3,54,339,86.9,73,16
MIAMI FL,220,11,430,18,65,430,86.9,98,15
PENN STATE,266,11,419,17,75,419,86.9,101,9
E TENN ST,157,11,363,12,55,364,86.9,81,14
DAYTON,150,10,298,8,44,298,86.9,65,13
PRINCETON,272,10,405,13,58,405,86.8,89,18
FL A&M,164,10,427,18,73,427,86.8,102,11
PSTEAG,1476,1,38,0,8,38,86.8,9,1
INDIANA ST,191,10,325,7,51,325,86.8,72,14
BLMSBG,766,1,15,0,2,15,86.7,3,1
UNLV,325,11,413,15,80,413,86.6,103,8
CHARLOTTE,136,12,490,10,87,490,86.6,114,17
IOWA STATE,193,11,488,15,96,488,86.6,121,10
NICHOLLS,243,10,377,20,66,377,86.5,94,8
DELWARE ST,152,10,274,10,42,274,86.5,63,11
AUBURN,115,11,375,5,66,375,86.5,86,15
CHADST,809,1,37,0,10,37,86.5,10,0
STNY BROOK,303,10,329,8,49,329,86.5,73,16
VILLANOVA,334,11,300,10,55,300,86.5,73,8
ALAB A&M,104,10,376,14,64,376,86.4,90,12
MURRAY ST,236,10,310,19,40,310,86.3,72,13
STF AUSTIN,301,11,410,6,72,410,86.3,95,17
SM HOUSTON,281,9,352,8,71,352,86.2,88,9
YNGTOWN ST,353,11,335,10,63,335,86.1,83,10
AUSTINPEAY,116,11,422,14,65,422,86.1,98,19
FLORIDA ST,167,11,361,15,72,361,86.0,94,7
OKLA STATE,262,11,521,21,105,521,86.0,136,10
ARKAPB,112,9,343,19,53,343,86.0,84,12
N ALABAMA,389,11,360,13,68,360,86.0,91,10
LAMAR,204,9,342,13,71,342,86.0,90,6
S DAK ST,292,11,329,11,60,329,85.9,82,11
NORFOLK,244,10,308,11,52,308,85.9,75,12
LNDNWD,949,9,436,10,90,436,85.8,112,12
TENN STATE,308,10,349,8,53,349,85.8,80,19
LEHIGH,205,11,437,11,87,437,85.8,111,13
LAFAYETTE,203,11,358,15,45,359,85.8,81,21
KANSAS ST,199,11,339,9,69,339,85.8,87,9
S ILLINOIS,295,11,432,15,74,432,85.8,106,17
FRESNO ST,169,11,428,12,80,428,85.7,107,15
CENT CT ST,133,10,348,10,66,348,85.6,88,12
TEXAS STHN,313,10,305,9,63,306,85.6,80,8
CITADEL,139,10,156,1,24,157,85.6,35,10
PORTLAND,269,11,377,9,72,378,85.5,95,14
S JOSE ST,285,10,453,9,86,453,85.5,113,18
IDAHO,185,11,390,16,72,390,85.4,101,13
OHIO,259,12,434,17,93,434,85.3,119,9
WOFFORD,350,11,365,17,67,365,85.2,96,12
N COLORADO,253,10,439,20,84,439,85.2,117,13
NWSTATE,257,10,494,23,87,494,85.2,128,18
MARS HILL,383,1,54,1,15,54,85.2,16,0
