"","teams","lines","totals"
"1","DEN Broncos",-6.5,44.5
"2","SEA Seahawks",6.5,44.5
"3","LA Chargers",3,54
"4","KC Chiefs",-3,54
"5","WAS Commanders",2,46.5
"6","DET Lions",-2,46.5
"7","NY Jets",6.5,42
"8","CLE Browns",-6.5,42
"9","MIA Dolphins",4.5,45.5
"10","BAL Ravens",-4.5,45.5
"11","NE Patriots",-1.5,41.5
"12","PIT Steelers",1.5,41.5
"13","CAR Panthers",2.5,42.5
"14","NY Giants",-2.5,42.5
"15","IND Colts",-4,45.5
"16","JAX Jaguars",4,45.5
"17","SEA Seahawks",8.5,42.5
"18","SF 49ers",-8.5,42.5
"19","ATL Falcons",11.5,48
"20","LA Rams",-11.5,48
"21","ARI Cardinals",3.5,52
"22","LV Raiders",-3.5,52
"23","HOU Texans",10.5,43
"24","DEN Broncos",-10.5,43
"25","CHI Bears",9.5,44
"26","GB Packers",-9.5,44
"27","TEN Titans",9.5,50
"28","BUF Bills",-9.5,50
"29","MIN Vikings",3,48.5
"30","PHI Eagles",-3,48.5
