Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3887864956,captainzen,960,45.920006,QB Jared Goff RB Clyde Edwards-Helaire RB Tony Pollard WR Amon-Ra St. Brown WR Amari Cooper WR DeAndre Hopkins TE Sam LaPorta FLEX Jerry Jeudy BN Drake London BN Marquise Brown BN James Cook BN Rashod Bateman BN AJ Dillon BN Tyler Allgeier BN Darnell Mooney BN Chuba Hubbard BN Desmond Ridder BN Allen Robinson II BN Hunter Henry BN Michael Wilson,,Christian McCaffrey,RB,8.33%,0
2,3887880823,ericz116,960,30.6,QB Justin Herbert RB Isiah Pacheco RB Jahmyr Gibbs WR Rashee Rice WR Richie James Jr. WR Cooper Kupp TE David Njoku FLEX Garrett Wilson BN Breece Hall BN Kenneth Walker III BN Mike Evans BN Quentin Johnston BN Jamaal Williams BN De'Von Achane BN C.J. Stroud BN Gerald Everett BN Michael Gallup BN Trey McBride BN Baker Mayfield BN Trey Palmer,,Jalen Hurts,QB,8.33%,0
3,3887880801,kenu0878,960,22.94,QB Patrick Mahomes RB Jerick McKinnon RB Rachaad White WR Skyy Moore WR DeVonta Smith WR Mike Williams TE Travis Kelce FLEX George Pickens BN Courtland Sutton BN Antonio Gibson BN Derek Carr BN Juwan Johnson BN Tyjae Spears BN Joshua Palmer BN Josh Downs BN Mecole Hardman Jr. BN Irv Smith Jr. BN Marvin Mims Jr. BN Kyren Williams BN Keaontay Ingram,,Rhamondre Stevenson,RB,8.33%,0
4,3887870681,DeepSeaMike,1140,13.4,QB Josh Allen RB David Montgomery RB Josh Jacobs WR Stefon Diggs WR Brandon Aiyuk WR Tyler Lockett TE George Kittle FLEX Dalvin Cook BN Joe Mixon BN Odell Beckham Jr. BN Dawson Knox BN Zay Jones BN Romeo Doubs BN Ezekiel Elliott BN Kenneth Gainwell BN Jonathan Mingo BN Zach Ertz BN Kendrick Bourne BN Clayton Tune BN Rico Dowdle,,Calvin Ridley,WR,8.33%,0
5,3887880826,kujaneck,1140,12,QB Trevor Lawrence RB Khalil Herbert RB Elijah Mitchell WR Josh Reynolds WR Justin Jefferson WR Tee Higgins TE T.J. Hockenson FLEX Deebo Samuel BN Evan Engram BN Gabe Davis BN Jahan Dotson BN JuJu Smith-Schuster BN Kyler Murray BN K.J. Osborn BN Devin Singletary BN Tank Bigsby BN Sam Howell BN Jerome Ford BN Mack Hollins BN Durham Smythe,,DJ Moore,WR,8.33%,0
6,3887870605,Christophepurtell,1140,6.8,QB Joe Burrow RB J.K. Dobbins RB Javonte Williams WR Marquez Valdes-Scantling WR Ja'Marr Chase WR Jaylen Waddle TE Dalton Kincaid FLEX Chris Olave BN Jaxon Smith-Njigba BN Diontae Johnson BN Alvin Kamara BN Rashaad Penny BN Geno Smith BN Wan'Dale Robinson BN Isaiah Likely BN Jayden Reed BN Gus Edwards BN Luke Musgrave BN Ty Chandler BN Joshua Dobbs,,D'Andre Swift,BN,8.33%,0
7,3887864999,Shivacupholder,1080,1.6,QB Tua Tagovailoa RB Jonathan Taylor RB Derrick Henry WR Justyn Ross WR Tyreek Hill WR Christian Watson TE Mark Andrews FLEX Cam Akers BN Michael Thomas BN Jameson Williams BN Zay Flowers BN Damien Harris BN Jakobi Meyers BN D'Onta Foreman BN Jordan Love BN Trey Lance BN Jaylen Warren BN Jake Ferguson BN Ryan Tannehill BN Cade Otton,,Dallas Goedert,TE,8.33%,0
8,3887864916,OtownSharks,1140,1,QB Jalen Hurts RB Christian McCaffrey RB Rhamondre Stevenson WR Kadarius Toney WR Calvin Ridley WR DJ Moore TE Dallas Goedert FLEX D'Andre Swift BN James Conner BN Dalton Schultz BN Tyler Boyd BN Donovan Peoples-Jones BN Nico Collins BN Rondale Moore BN Brock Purdy BN Mac Jones BN DeVante Parker BN Jauan Jennings BN Cole Turner BN Myles Gaskin,,Kadarius Toney,WR,8.33%,1
9,3887864983,dunkuntou,1200,0,QB Lamar Jackson RB Nick Chubb RB Travis Etienne Jr. WR CeeDee Lamb WR Terry McLaurin WR Chris Godwin TE Kyle Pitts FLEX Miles Sanders BN Treylon Burks BN Brian Robinson Jr. BN Russell Wilson BN Greg Dulcich BN Tyler Higbee BN Kendre Miller BN Matthew Stafford BN John Metchie III BN Van Jefferson BN Tank Dell BN Evan Hull BN Calvin Austin III,,James Conner,FLEX,8.33%,0
9,3887888612,Bigdogrip23,1200,0,QB Justin Fields RB Bijan Robinson RB Alexander Mattison WR A.J. Brown WR Keenan Allen WR Jordan Addison TE Pat Freiermuth FLEX Elijah Moore BN Chig Okonkwo BN Raheem Mostert BN Taysom Hill BN DJ Chark Jr. BN Rashid Shaheed BN Kenny Pickett BN Curtis Samuel BN Isaiah Hodgins BN Zamir White BN Greg Dortch BN Isaiah McKenzie BN Deon Jackson,,Dalton Schultz,BN,8.33%,0
9,3887888628,Lexus_GS350,1200,0,QB Deshaun Watson RB Austin Ekeler RB Saquon Barkley WR DK Metcalf WR Christian Kirk WR Allen Lazard TE Darren Waller FLEX Jalin Hyatt BN Dak Prescott BN Kirk Cousins BN Anthony Richardson BN Bryce Young BN Michael Mayer BN Jimmy Garoppolo BN Hunter Renfrow BN Tyler Conklin BN Parris Campbell BN Deuce Vaughn BN Darius Slayton BN Zack Moss,,Tyler Boyd,BN,8.33%,0
9,3887880822,chitownz_fiinest,1080,0,QB Daniel Jones RB Najee Harris RB Aaron Jones WR Davante Adams WR Michael Pittman Jr. WR Brandin Cooks TE Cole Kmet FLEX Dameon Pierce BN Zach Charbonnet BN Aaron Rodgers BN Samaje Perine BN Adam Thielen BN Roschon Johnson BN Alec Pierce BN Kareem Hunt BN Leonard Fournette BN Hayden Hurst BN Chase Claypool BN Robert Woods BN Randall Cobb,,Donovan Peoples-Jones,BN,8.33%,0
,,,,,,,Nico Collins,BN,8.33%,0
,,,,,,,Rondale Moore,BN,8.33%,0
,,,,,,,Brock Purdy,BN,8.33%,0
,,,,,,,Mac Jones,BN,8.33%,0
,,,,,,,DeVante Parker,BN,8.33%,0
,,,,,,,Jauan Jennings,BN,8.33%,0
,,,,,,,Cole Turner,BN,8.33%,0
,,,,,,,Myles Gaskin,BN,8.33%,0
,,,,,,,Amon-Ra St. Brown,WR,8.33%,19.1
,,,,,,,Tony Pollard,RB,8.33%,0
,,,,,,,Amari Cooper,WR,8.33%,0
,,,,,,,DeAndre Hopkins,WR,8.33%,0
,,,,,,,Jerry Jeudy,BN,8.33%,0
,,,,,,,Drake London,FLEX,8.33%,0
,,,,,,,Marquise Brown,BN,8.33%,0
,,,,,,,James Cook,RB,8.33%,0
,,,,,,,Rashod Bateman,BN,8.33%,0
,,,,,,,AJ Dillon,BN,8.33%,0
,,,,,,,Jared Goff,QB,8.33%,14.02
,,,,,,,Tyler Allgeier,BN,8.33%,0
,,,,,,,Darnell Mooney,BN,8.33%,0
,,,,,,,Chuba Hubbard,BN,8.33%,0
,,,,,,,Sam LaPorta,TE,8.33%,8.9
,,,,,,,Desmond Ridder,BN,8.33%,0
,,,,,,,Clyde Edwards-Helaire,BN,8.33%,3.9
,,,,,,,Allen Robinson II,BN,8.33%,0
,,,,,,,Hunter Henry,BN,8.33%,0
,,,,,,,Michael Wilson,BN,8.33%,0
,,,,,,,CeeDee Lamb,WR,8.33%,0
,,,,,,,Nick Chubb,RB,8.33%,0
,,,,,,,Travis Etienne Jr.,RB,8.33%,0
,,,,,,,Lamar Jackson,QB,8.33%,0
,,,,,,,Miles Sanders,FLEX,8.33%,0
,,,,,,,Terry McLaurin,WR,8.33%,0
,,,,,,,Kyle Pitts,TE,8.33%,0
,,,,,,,Chris Godwin,WR,8.33%,0
,,,,,,,Treylon Burks,BN,8.33%,0
,,,,,,,Brian Robinson Jr.,BN,8.33%,0
,,,,,,,Russell Wilson,BN,8.33%,0
,,,,,,,Greg Dulcich,BN,8.33%,0
,,,,,,,Tyler Higbee,BN,8.33%,0
,,,,,,,Kendre Miller,BN,8.33%,0
,,,,,,,Matthew Stafford,BN,8.33%,0
,,,,,,,John Metchie III,BN,8.33%,0
,,,,,,,Van Jefferson,BN,8.33%,0
,,,,,,,Tank Dell,BN,8.33%,0
,,,,,,,Evan Hull,BN,8.33%,0
,,,,,,,Calvin Austin III,BN,8.33%,0
,,,,,,,Tyreek Hill,WR,8.33%,0
,,,,,,,Jonathan Taylor,RB,8.33%,0
,,,,,,,Derrick Henry,RB,8.33%,0
,,,,,,,Mark Andrews,TE,8.33%,0
,,,,,,,Christian Watson,WR,8.33%,0
,,,,,,,Cam Akers,FLEX,8.33%,0
,,,,,,,Tua Tagovailoa,QB,8.33%,0
,,,,,,,Michael Thomas,BN,8.33%,0
,,,,,,,Jameson Williams,BN,8.33%,0
,,,,,,,Zay Flowers,WR,8.33%,0
,,,,,,,Damien Harris,BN,8.33%,0
,,,,,,,Jakobi Meyers,BN,8.33%,0
,,,,,,,D'Onta Foreman,BN,8.33%,0
,,,,,,,Jordan Love,BN,8.33%,0
,,,,,,,Trey Lance,BN,8.33%,0
,,,,,,,Jaylen Warren,BN,8.33%,0
,,,,,,,Jake Ferguson,BN,8.33%,0
,,,,,,,Ryan Tannehill,BN,8.33%,0
,,,,,,,Justyn Ross,BN,8.33%,1.6
,,,,,,,Cade Otton,BN,8.33%,0
,,,,,,,Ja'Marr Chase,WR,8.33%,0
,,,,,,,Jaylen Waddle,WR,8.33%,0
,,,,,,,Chris Olave,WR,8.33%,0
,,,,,,,Joe Burrow,QB,8.33%,0
,,,,,,,Jaxon Smith-Njigba,BN,8.33%,0
,,,,,,,J.K. Dobbins,RB,8.33%,0
,,,,,,,Diontae Johnson,FLEX,8.33%,0
,,,,,,,Javonte Williams,RB,8.33%,0
,,,,,,,Alvin Kamara,BN,8.33%,0
,,,,,,,Rashaad Penny,BN,8.33%,0
,,,,,,,Geno Smith,BN,8.33%,0
,,,,,,,Dalton Kincaid,TE,8.33%,0
,,,,,,,Marquez Valdes-Scantling,BN,8.33%,6.8
,,,,,,,Wan'Dale Robinson,BN,8.33%,0
,,,,,,,Isaiah Likely,BN,8.33%,0
,,,,,,,Jayden Reed,BN,8.33%,0
,,,,,,,Gus Edwards,BN,8.33%,0
,,,,,,,Luke Musgrave,BN,8.33%,0
,,,,,,,Ty Chandler,BN,8.33%,0
,,,,,,,Joshua Dobbs,BN,8.33%,0
,,,,,,,Stefon Diggs,WR,8.33%,0
,,,,,,,Josh Allen,QB,8.33%,0
,,,,,,,Josh Jacobs,RB,8.33%,0
,,,,,,,George Kittle,TE,8.33%,0
,,,,,,,Dalvin Cook,BN,8.33%,0
,,,,,,,Brandon Aiyuk,WR,8.33%,0
,,,,,,,Tyler Lockett,WR,8.33%,0
,,,,,,,David Montgomery,FLEX,8.33%,13.4
,,,,,,,Joe Mixon,RB,8.33%,0
,,,,,,,Odell Beckham Jr.,BN,8.33%,0
,,,,,,,Dawson Knox,BN,8.33%,0
,,,,,,,Zay Jones,BN,8.33%,0
,,,,,,,Romeo Doubs,BN,8.33%,0
,,,,,,,Ezekiel Elliott,BN,8.33%,0
,,,,,,,Kenneth Gainwell,BN,8.33%,0
,,,,,,,Jonathan Mingo,BN,8.33%,0
,,,,,,,Zach Ertz,BN,8.33%,0
,,,,,,,Kendrick Bourne,BN,8.33%,0
,,,,,,,Clayton Tune,BN,8.33%,0
,,,,,,,Rico Dowdle,BN,8.33%,0
,,,,,,,Travis Kelce,TE,8.33%,0
,,,,,,,Patrick Mahomes,QB,8.33%,20.54
,,,,,,,DeVonta Smith,WR,8.33%,0
,,,,,,,Mike Williams,WR,8.33%,0
,,,,,,,George Pickens,WR,8.33%,0
,,,,,,,Rachaad White,RB,8.33%,0
,,,,,,,Courtland Sutton,FLEX,8.33%,0
,,,,,,,Skyy Moore,BN,8.33%,0.4
,,,,,,,Antonio Gibson,RB,8.33%,0
,,,,,,,Derek Carr,BN,8.33%,0
,,,,,,,Juwan Johnson,BN,8.33%,0
,,,,,,,Tyjae Spears,BN,8.33%,0
,,,,,,,Joshua Palmer,BN,8.33%,0
,,,,,,,Josh Downs,BN,8.33%,0
,,,,,,,Mecole Hardman Jr.,BN,8.33%,0
,,,,,,,Irv Smith Jr.,BN,8.33%,0
,,,,,,,Marvin Mims Jr.,BN,8.33%,0
,,,,,,,Jerick McKinnon,BN,8.33%,2
,,,,,,,Kyren Williams,BN,8.33%,0
,,,,,,,Keaontay Ingram,BN,8.33%,0
,,,,,,,Davante Adams,WR,8.33%,0
,,,,,,,Najee Harris,RB,8.33%,0
,,,,,,,Aaron Jones,RB,8.33%,0
,,,,,,,Michael Pittman Jr.,WR,8.33%,0
,,,,,,,Dameon Pierce,FLEX,8.33%,0
,,,,,,,Brandin Cooks,WR,8.33%,0
,,,,,,,Daniel Jones,QB,8.33%,0
,,,,,,,Zach Charbonnet,BN,8.33%,0
,,,,,,,Aaron Rodgers,BN,8.33%,0
,,,,,,,Samaje Perine,BN,8.33%,0
,,,,,,,Cole Kmet,TE,8.33%,0
,,,,,,,Adam Thielen,BN,8.33%,0
,,,,,,,Roschon Johnson,BN,8.33%,0
,,,,,,,Alec Pierce,BN,8.33%,0
,,,,,,,Kareem Hunt,BN,8.33%,0
,,,,,,,Leonard Fournette,BN,8.33%,0
,,,,,,,Hayden Hurst,BN,8.33%,0
,,,,,,,Chase Claypool,BN,8.33%,0
,,,,,,,Robert Woods,BN,8.33%,0
,,,,,,,Randall Cobb,BN,8.33%,0
,,,,,,,Cooper Kupp,WR,8.33%,0
,,,,,,,Garrett Wilson,WR,8.33%,0
,,,,,,,Breece Hall,RB,8.33%,0
,,,,,,,Kenneth Walker III,FLEX,8.33%,0
,,,,,,,Jahmyr Gibbs,RB,8.33%,8
,,,,,,,Justin Herbert,QB,8.33%,0
,,,,,,,Isiah Pacheco,BN,8.33%,9.4
,,,,,,,Mike Evans,WR,8.33%,0
,,,,,,,David Njoku,TE,8.33%,0
,,,,,,,Quentin Johnston,BN,8.33%,0
,,,,,,,Jamaal Williams,BN,8.33%,0
,,,,,,,De'Von Achane,BN,8.33%,0
,,,,,,,C.J. Stroud,BN,8.33%,0
,,,,,,,Gerald Everett,BN,8.33%,0
,,,,,,,Michael Gallup,BN,8.33%,0
,,,,,,,Rashee Rice,BN,8.33%,11.6
,,,,,,,Trey McBride,BN,8.33%,0
,,,,,,,Baker Mayfield,BN,8.33%,0
,,,,,,,Richie James Jr.,BN,8.33%,1.6
,,,,,,,Trey Palmer,BN,8.33%,0
,,,,,,,Justin Jefferson,WR,8.33%,0
,,,,,,,Tee Higgins,WR,8.33%,0
,,,,,,,Deebo Samuel,WR,8.33%,0
,,,,,,,T.J. Hockenson,TE,8.33%,0
,,,,,,,Trevor Lawrence,QB,8.33%,0
,,,,,,,Evan Engram,BN,8.33%,0
,,,,,,,Gabe Davis,BN,8.33%,0
,,,,,,,Jahan Dotson,FLEX,8.33%,0
,,,,,,,Khalil Herbert,RB,8.33%,0
,,,,,,,JuJu Smith-Schuster,BN,8.33%,0
,,,,,,,Kyler Murray,BN,8.33%,0
,,,,,,,K.J. Osborn,BN,8.33%,0
,,,,,,,Elijah Mitchell,BN,8.33%,0
,,,,,,,Devin Singletary,BN,8.33%,0
,,,,,,,Tank Bigsby,RB,8.33%,0
,,,,,,,Sam Howell,BN,8.33%,0
,,,,,,,Jerome Ford,BN,8.33%,0
,,,,,,,Mack Hollins,BN,8.33%,0
,,,,,,,Josh Reynolds,BN,8.33%,12
,,,,,,,Durham Smythe,BN,8.33%,0
,,,,,,,A.J. Brown,WR,8.33%,0
,,,,,,,Bijan Robinson,RB,8.33%,0
,,,,,,,Justin Fields,QB,8.33%,0
,,,,,,,Keenan Allen,WR,8.33%,0
,,,,,,,Jordan Addison,WR,8.33%,0
,,,,,,,Pat Freiermuth,TE,8.33%,0
,,,,,,,Alexander Mattison,RB,8.33%,0
,,,,,,,Elijah Moore,BN,8.33%,0
,,,,,,,Chig Okonkwo,BN,8.33%,0
,,,,,,,Raheem Mostert,FLEX,8.33%,0
,,,,,,,Taysom Hill,BN,8.33%,0
,,,,,,,DJ Chark Jr.,BN,8.33%,0
,,,,,,,Rashid Shaheed,BN,8.33%,0
,,,,,,,Kenny Pickett,BN,8.33%,0
,,,,,,,Curtis Samuel,BN,8.33%,0
,,,,,,,Isaiah Hodgins,BN,8.33%,0
,,,,,,,Zamir White,BN,8.33%,0
,,,,,,,Greg Dortch,BN,8.33%,0
,,,,,,,Isaiah McKenzie,BN,8.33%,0
,,,,,,,Deon Jackson,BN,8.33%,0
,,,,,,,Austin Ekeler,RB,8.33%,0
,,,,,,,Saquon Barkley,RB,8.33%,0
