Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3861998292,akaras89,960,33.54,QB Patrick Mahomes RB Austin Ekeler RB Joe Mixon WR Rashee Rice WR Kadarius Toney WR Skyy Moore TE Dallas Goedert FLEX DK Metcalf BN Terry McLaurin BN James Cook BN Brian Robinson Jr. BN Tyler Allgeier BN Cole Kmet BN Chig Okonkwo BN C.J. Stroud BN Curtis Samuel BN Chase Brown BN Mecole Hardman Jr. BN Robert Woods BN Baker Mayfield,,Bijan Robinson,RB,8.33%,0
2,3862007756,tommygol,1020,30.3,QB Josh Allen RB David Montgomery RB Jahmyr Gibbs WR Justin Jefferson WR Jaxon Smith-Njigba WR Zay Flowers TE Sam LaPorta FLEX Rashaad Penny BN Jakobi Meyers BN Taysom Hill BN Trey Lance BN Kenneth Gainwell BN Kenny Pickett BN Tank Bigsby BN Israel Abanikanda BN Deuce Vaughn BN Malik Davis BN Jalen Tolbert BN Calvin Austin III BN KaVontae Turpin,,Amon-Ra St. Brown,WR,8.33%,19.1
3,3861984177,numbonrum,1140,19.1,QB Kirk Cousins RB Bijan Robinson RB Dalvin Cook WR Amon-Ra St. Brown WR Amari Cooper WR Drake London TE T.J. Hockenson FLEX James Conner BN Jahan Dotson BN Aaron Rodgers BN K.J. Osborn BN Donovan Peoples-Jones BN Tyler Higbee BN Nico Collins BN Isaiah Hodgins BN Trey McBride BN Sam Howell BN DeVante Parker BN Chase Edmonds BN Deon Jackson,,Amari Cooper,WR,8.33%,0
4,3861995700,dbaggot3,1080,16.2,QB Joe Burrow RB Isiah Pacheco RB Breece Hall WR Marquez Valdes-Scantling WR Cooper Kupp WR Davante Adams TE Pat Freiermuth FLEX Josh Jacobs BN Michael Pittman Jr. BN Diontae Johnson BN Elijah Moore BN Anthony Richardson BN Jalin Hyatt BN Alec Pierce BN Jaylen Warren BN Marvin Mims Jr. BN Chuba Hubbard BN Noah Fant BN Jelani Woods BN Kyren Williams,,T.J. Hockenson,TE,8.33%,0
5,3861984294,laxrob,1140,14.02,QB Jared Goff RB Nick Chubb RB Tony Pollard WR George Pickens WR Treylon Burks WR Brandin Cooks TE David Njoku FLEX Dameon Pierce BN Lamar Jackson BN Odell Beckham Jr. BN Alexander Mattison BN Greg Dulcich BN Tyjae Spears BN Michael Mayer BN Michael Gallup BN Khalil Shakir BN John Metchie III BN Mac Jones BN Ryan Tannehill BN Darius Slayton,,Drake London,WR,8.33%,0
6,3861998310,DeepSeaMike,1080,3.9,QB Justin Herbert RB Clyde Edwards-Helaire RB Najee Harris WR Jaylen Waddle WR Keenan Allen WR Tyler Lockett TE Travis Kelce FLEX D'Andre Swift BN Courtland Sutton BN Quentin Johnston BN Rashod Bateman BN Samaje Perine BN Russell Wilson BN Ezekiel Elliott BN Gerald Everett BN Devin Singletary BN Isaiah Likely BN Parris Campbell BN Puka Nacua BN Ty Chandler,,Dalvin Cook,BN,8.33%,0
7,3861995665,Dxfiler,1080,3.6,QB Tua Tagovailoa RB Jerick McKinnon RB De'Von Achane WR Justyn Ross WR Tyreek Hill WR Chris Olave TE Mark Andrews FLEX DJ Moore BN Mike Williams BN Kyle Pitts BN Michael Thomas BN Derek Carr BN Darnell Mooney BN Raheem Mostert BN DJ Chark Jr. BN Tyquan Thornton BN Gus Edwards BN Hunter Henry BN Zamir White BN Joshua Kelley,,James Conner,RB,8.33%,0
8,3861995679,jos4005,1140,1.8,QB Justin Fields RB J.K. Dobbins RB Khalil Herbert WR Marvin Jones Jr. WR Stefon Diggs WR CeeDee Lamb TE Darren Waller FLEX Deebo Samuel BN Brandon Aiyuk BN Evan Engram BN AJ Dillon BN Geno Smith BN Dawson Knox BN Zay Jones BN D'Onta Foreman BN Matthew Stafford BN Cordarrelle Patterson BN Michael Carter BN Jerome Ford BN Tank Dell,,Jahan Dotson,FLEX,8.33%,0
9,3861995663,Tosatapout,1140,1.6,QB Trevor Lawrence RB Christian McCaffrey RB Damien Harris WR Richie James Jr. WR DeVonta Smith WR Calvin Ridley TE George Kittle FLEX Christian Watson BN Christian Kirk BN Dak Prescott BN Dalton Schultz BN Elijah Mitchell BN Antonio Gibson BN Roschon Johnson BN Kendre Miller BN Mike Gesicki BN Jimmy Garoppolo BN Hunter Renfrow BN Robbie Chosen BN Elijah Higgins,,Kirk Cousins,BN,8.33%,0
10,3861998282,bubr0805,1200,0,QB Daniel Jones RB Kenneth Walker III RB Rhamondre Stevenson WR A.J. Brown WR Garrett Wilson WR Chris Godwin TE Dalton Kincaid FLEX Travis Etienne Jr. BN Marquise Brown BN Javonte Williams BN Zach Charbonnet BN Adam Thielen BN Jordan Love BN Bryce Young BN Joshua Palmer BN Jake Ferguson BN Chase Claypool BN Van Jefferson BN Luke Musgrave BN Mack Hollins,,Aaron Rodgers,QB,8.33%,0
