,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Florida,1/26/2022 18:00,350,70,9.5,17.39,133.5,18.18,21.2,62,71.5
Tennessee,1/26/2022 18:00,-475,4.21,-9.5,19.05,133.5,18.18,78.8,71.5,62
Winthrop,1/26/2022 18:00,-260,7.69,-6,17.39,144.5,18.18,69.1,75.3,69.3
USC Upstate,1/26/2022 18:00,210,42,6,19.05,144.5,18.18,30.9,69.3,75.3
Northwestern,1/26/2022 18:30,,,8,,140,,,,
Michigan,1/26/2022 18:30,,,-8,,140,,,,
Creighton,1/26/2022 18:30,-150,13.33,-3,18.18,126,19.05,58,64.5,61.5
Butler,1/26/2022 18:30,130,26,3,18.18,126,17.39,42,61.5,64.5
Providence,1/26/2022 18:30,290,58,8.5,18.18,138,16.67,24.5,64.8,73.3
Xavier,1/26/2022 18:30,-380,5.26,-8.5,18.18,138,20,75.5,73.3,64.8
Albany,1/26/2022 19:00,185,37,5.5,18.18,129,18.18,33.6,61.8,67.3
Massachusetts-Lowell,1/26/2022 19:00,-225,8.89,-5.5,18.18,129,18.18,66.4,67.3,61.8
Binghamton,1/26/2022 19:00,190,38,6,16.67,141,18.18,33,67.5,73.5
Hartford,1/26/2022 19:00,-235,8.51,-6,20,141,18.18,67,73.5,67.5
NJIT,1/26/2022 19:00,270,54,7.5,19.05,139,18.18,25.8,65.8,73.3
Maryland-Baltimore County,1/26/2022 19:00,-350,5.71,-7.5,17.39,139,18.18,74.2,73.3,65.8
Vermont,1/26/2022 19:00,-320,6.25,-7.5,18.18,141.5,16.67,72.7,74.5,67
Stony Brook,1/26/2022 19:00,250,50,7.5,18.18,141.5,20,27.3,67,74.5
Arkansas,1/26/2022 19:00,-170,11.76,-4,18.18,139.5,18.18,61.2,71.8,67.8
Mississippi,1/26/2022 19:00,150,30,4,18.18,139.5,18.18,38.8,67.8,71.8
Vanderbilt,1/26/2022 19:00,100,20,1,19.05,134.5,18.18,47.8,66.8,67.8
South Carolina,1/26/2022 19:00,-120,16.67,-1,17.39,134.5,18.18,52.2,67.8,66.8
St. Peter's,1/26/2022 19:00,105,21,1.5,19.05,125.5,17.39,46.8,62,63.5
Marist,1/26/2022 19:00,-125,16,-1.5,17.39,125.5,19.05,53.2,63.5,62
Northern Iowa,1/26/2022 19:00,-450,4.44,-9,18.18,132,18.18,78.3,70.5,61.5
Evansville,1/26/2022 19:00,340,68,9,18.18,132,18.18,21.7,61.5,70.5
Bradley,1/26/2022 19:00,,,-1.5,,137.5,,,,
Valparaiso,1/26/2022 19:00,,,1.5,,137.5,,,,
Wofford,1/26/2022 19:00,185,37,5.5,18.18,136.5,18.18,33.6,65.5,71
