player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,DI,BLT,14,10,3.6,0,0,3,58.6,77.2,87.8,71.9,71.5,33.1,9.7,3,0,154,156,7.1,11,18
Ndamukong Suh,5527,DI,PHI,8,2,1.4,0,0,24,,64.2,82.4,54.6,68.9,56.2,0.0,0,0,73,75,8.2,6,7
Tyson Alualu,5535,DI,PIT,17,2,2.6,0,0,25,60.0,30.4,38.8,58.5,29.1,42.5,9.1,1,2,139,141,3.6,5,8
Brandon Graham,5538,ED,PHI,17,2,1.1,0,0,24,72.6,89.8,62.2,89.1,71.9,55.5,11.8,2,2,165,168,7.3,12,13
Jason Pierre-Paul,5540,ED,BLT,14,2,2.6,1,0,3,58.5,54.3,62.6,53.9,57.9,44.8,10.0,2,2,194,197,4.6,9,16
Kareem Jackson,5545,S,DEN,17,17,6.3,0,0,10,60.9,64.5,76.7,56.7,71.3,57.4,18.6,11,1,407,429,3.2,13,31
Devin McCourty,5552,S,NE,17,8,11.6,0,0,19,67.6,70.0,88.4,53.8,74.8,90.0,7.1,2,0,407,414,0.7,3,18
Jerry Hughes,5556,ED,HST,17,6,1.5,2,0,13,68.1,71.4,54.5,71.3,59.7,25.6,34.6,9,4,305,305,2.3,7,11
Linval Joseph,5571,DI,PHI,8,10,2.6,0,0,24,60.0,58.9,50.7,59.1,59.9,47.7,10.0,2,1,111,113,5.4,6,8
Carlos Dunlap,5579,ED,KC,17,7,2.5,0,0,16,56.2,66.4,90.6,59.6,71.5,61.9,3.4,1,1,172,177,9.3,16,21
Corey Peters,5607,DI,JAX,12,4,0.6,0,0,15,63.5,66.4,85.1,61.4,63.3,76.0,0.0,0,0,128,131,7.0,9,11
Al Woods,5646,DI,SEA,14,10,1.9,0,0,29,59.3,68.2,67.3,67.5,65.2,52.4,10.3,4,1,213,216,8.5,18,25
Von Miller,6154,ED,BUF,11,1,1.9,0,0,4,74.2,85.8,26.0,81.8,78.8,53.2,15.4,2,4,134,135,7.5,10,10
Patrick Peterson,6157,CB,MIN,17,1,8.7,1,0,18,82.5,80.7,68.8,57.2,66.9,76.3,6.3,1,5,397,404,1.3,5,14
J.J. Watt,6163,DI,ARZ,16,3,0.3,0,0,1,64.5,68.3,28.1,72.8,60.8,48.4,11.5,3,8,284,290,6.3,18,20
Robert Quinn,6166,ED,PHI,13,2,2.4,2,0,24,65.8,43.6,30.2,58.3,34.7,36.2,25.0,3,4,151,154,1.3,2,7
Cameron Jordan,6176,ED,NO,16,13,1.6,0,0,20,85.5,74.5,73.2,53.2,82.0,51.4,10.7,6,2,298,309,8.7,26,37
Cameron Heyward,6183,DI,PIT,17,15,2.6,0,0,25,68.4,89.7,78.0,78.5,77.8,68.4,3.5,2,3,297,303,10.4,31,40
Justin Houston,6222,ED,BLT,14,1,1.8,0,0,3,67.5,73.6,54.0,71.7,66.4,30.1,33.3,3,2,86,89,4.7,4,5
Lawrence Guy,6385,DI,NE,14,20,2.4,0,0,19,62.9,53.5,86.6,54.4,51.4,54.0,6.1,3,0,259,265,6.9,18,26
Chris Harris Jr.,6457,CB,NO,9,2,6.1,0,0,20,47.8,50.1,37.4,66.3,60.3,56.6,0.0,0,4,126,129,1.6,2,7
Josh Bynes,6503,LB,BLT,7,1,4.2,0,0,3,69.9,54.2,80.9,58.5,38.1,62.3,12.5,2,0,121,122,5.0,6,13
Nick Bellore,6515,FB,SEA,3,1,,0,0,29,60.0,80.8,65.9,60.0,74.9,71.7,0.0,0,0,8,8,0.0,0,0
Mario Addison,6558,ED,HST,12,5,1.6,0,1,13,64.1,57.8,88.9,59.4,50.7,68.1,7.1,1,0,155,160,4.5,7,8
Stephon Gilmore,7016,CB,IND,16,2,9.1,0,0,14,81.1,79.1,68.6,,65.6,70.3,15.0,3,4,452,465,0.4,2,15
