player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"Noh, Seung-Yul",150,+148048,,0.00
"Kang, Sung",150,+173813,,0.00
"Brehm, Ryan",150,+181718,,0.00
"McGreevy, Max",150,+199900,,0.00
"Kraft, Kelly",150,Inf,,0.00
"Reeves, Seth",150,Inf,,0.00
"Flavin, Patrick",150,Inf,,0.00
"Werenski, Richy",150,Inf,,0.00
"Thompson, Curtis",150,Inf,,0.00
"Trainer, Martin",150,Inf,,0.00
"Dufner, Jason",150,Inf,,0.00
"Wallace, Matt",150,Inf,,0.00
"Knous, Jim",150,Inf,,0.00
"Van Der Walt, Dawie",150,Inf,,0.00
"Murphy, John",150,Inf,,0.00
"Cook, Austin",150,Inf,,0.00
"Wilshire, Kyle",150,Inf,,0.00
"Creel, Joshua",150,Inf,,0.00
"Drewitt, Brett",150,Inf,,0.00
"Hadley, Chesson",150,Inf,,0.00
"Blixt, Jonas",150,Inf,,0.00
"Loupe, Andrew",150,Inf,,0.00
"Shindler, Conrad",150,Inf,,0.00
"Killeen, J.J.",115,Inf,,0.00
"Du Preez Jnr, James",150,,,0.00
"Leonard, Justin",150,,,0.00
"Dossey, Cooper",150,,,0.00
