player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Joe Burrow,28022,QB,CIN,4,2.57,2.41,3.23,4.1,184,7,73.9,92,97,6.4,1.89,1,2,2.0,66.0,64,22,5.9,100,54.3,4,38,,29.3,67.5,80.7,66.7,,,1,2,105,13.6,96.7,3.0,3,0,0,3,6,3,2.9,643,6.6,70.4,54,59,10.8,3.43,2,3,4.8,61.0,36,37,5.3,83,45.1,2,22,,84.0,64.6,80.1,61.3,,70.5,1,2,88,35.1,82.3,15.7,13,11,0,2,2,5,5.7,456,7.7
Joe Flacco,4332,QB,NYJ,3,2.63,2.59,3.04,4.8,165,22,82.9,70,76,5.4,1.91,3,0,0.0,67.1,51,18,12.1,78,47.3,7,25,,83.5,66.7,79.8,66.0,,,2,2,83,11.1,86.6,2.6,2,0,0,1,4,0,0.0,401,5.3,65.6,64,79,11.5,3.27,1,3,3.7,50.6,40,43,4.8,87,52.7,2,24,,23.5,45.0,80.1,45.0,,63.3,5,1,90,16.3,69.6,8.0,7,1,0,9,1,6,6.7,500,6.3
Carson Wentz,10636,QB,WAS,3,2.72,2.52,3.41,4.6,153,32,76.8,69,73,4.4,1.99,2,0,0.0,68.5,50,17,5.7,74,48.4,3,26,,83.2,57.9,79.6,57.8,,,2,2,78,5.9,87.2,1.4,1,0,0,0,4,2,2.6,371,5.1,75.5,49,57,13.5,3.4,2,5,7.8,56.1,32,36,13.5,79,51.6,5,18,,49.5,68.6,80.0,67.4,,63.8,1,1,87,38.9,94.9,17.7,14,8,0,5,3,4,4.6,490,8.6
Kyler Murray,38334,QB,ARZ,3,2.44,2.3,3.72,5.22,151,1,81.1,90,92,4.5,1.66,2,2,2.1,72.8,67,5,8.2,93,61.6,6,28,,84.6,79.0,80.4,77.3,,,0,0,97,20.0,94.7,1.1,1,0,0,0,2,0,0.0,545,5.9,63.2,38,49,10.8,3.7,1,3,5.7,46.9,23,31,4.2,58,38.4,1,13,,82.0,52.6,78.9,48.6,,73.6,1,1,65,12.9,59.9,6.9,4,5,0,9,1,3,4.6,240,4.9
Josh Allen,46601,QB,BUF,3,2.62,2.5,3.23,3.97,150,4,87.5,72,77,3.7,1.81,3,2,2.6,79.2,61,13,3.2,79,52.7,2,28,,47.2,76.3,79.7,74.9,,,0,1,80,15.4,113.4,2.5,2,0,0,2,6,2,2.5,484,6.3,70.2,47,54,12.2,3.58,1,6,10.5,61.1,33,34,0.0,70,46.7,0,31,,82.8,73.4,0.0,62.5,,91.5,1,1,73,14.7,104.7,7.1,5,11,0,5,3,6,8.2,530,9.8
Justin Herbert,28237,QB,LAC,3,2.8,2.72,4.83,5.15,132,27,78.9,57,58,5.4,2.04,1,1,1.7,75.9,44,14,2.2,58,43.9,1,20,,81.3,63.7,78.5,63.2,,,0,1,58,0.0,118.7,0.0,0,0,0,0,6,2,3.4,363,6.3,74.1,58,69,9.3,3.4,3,4,5.5,58.0,40,39,7.0,74,56.1,3,21,,47.2,72.8,79.7,70.7,,67.3,2,1,79,7.7,82.2,4.1,3,2,0,6,1,1,1.3,547,7.9
Matt Ryan,4317,QB,IND,3,2.63,2.48,3.52,4.93,132,14,79.4,68,72,5.5,1.94,2,0,0.0,72.2,52,11,3.7,74,56.1,2,23,,46.3,66.9,79.6,66.1,,,1,2,77,18.2,92.1,2.7,2,0,0,1,3,4,5.2,476,6.6,65.0,40,45,10.1,3.53,1,1,2.1,51.1,23,27,11.5,58,43.9,3,17,,20.0,45.5,78.6,43.8,,69.8,1,2,60,37.0,53.3,17.2,10,3,0,3,0,4,6.7,293,6.5
Derek Carr,8671,QB,LV,3,2.58,2.47,3.51,4.83,130,23,74.2,62,68,6.2,1.92,2,1,1.4,64.7,44,9,4.3,69,53.1,2,24,,82.9,49.3,79.4,49.9,,,1,1,74,11.1,96.8,1.4,1,0,0,3,5,3,4.1,365,5.4,68.2,44,52,13.8,3.33,0,4,7.0,55.8,29,28,3.3,61,46.9,1,23,,25.2,71.3,79.0,68.2,,72.6,5,3,66,21.4,69.8,9.8,6,3,0,3,1,5,7.6,485,9.3
Jameis Winston,9434,QB,NO,3,2.68,2.53,3.45,5.6,127,20,79.3,58,60,7.2,1.94,2,2,3.2,73.3,44,12,4.3,63,49.6,2,17,,82.0,76.2,78.9,74.7,,,0,1,65,25.0,100.9,4.8,3,0,0,0,3,2,3.1,403,6.7,62.5,48,53,17.9,3.41,0,5,8.5,54.7,29,28,3.3,64,50.4,1,18,,43.1,57.9,79.2,58.1,,58.1,1,4,70,28.6,58.3,12.5,8,3,0,4,1,5,7.1,455,8.6
Kirk Cousins,7102,QB,MIN,3,2.7,2.66,2.93,4.9,124,18,68.8,48,50,3.9,2.01,0,0,0.0,58.0,29,17,12.1,51,41.1,4,15,,80.8,52.1,78.2,52.4,,,2,1,53,5.9,72.3,2.0,1,0,0,0,2,2,3.8,202,4.0,78.0,59,68,8.8,3.19,1,4,5.5,66.2,45,27,2.2,73,58.9,1,30,,48.1,85.1,79.7,82.4,,66.4,2,2,79,11.1,93.8,4.1,3,2,0,6,3,2,2.5,556,8.2
Tua Tagovailoa,60326,QB,MIA,4,2.53,2.51,3.35,,122,17,78.7,61,62,6.8,1.8,1,1,1.5,71.0,44,5,8.3,62,50.8,4,27,,82.2,82.9,79.0,80.9,,,0,0,67,0.0,117.1,0.0,0,0,0,0,4,1,1.5,511,8.2,78.0,50,53,11.7,3.34,0,4,7.3,67.9,36,27,7.7,59,48.4,3,21,,39.9,70.7,78.8,70.7,,56.8,1,3,62,22.2,101.5,10.2,6,0,0,2,4,6,9.7,524,9.9
Jalen Hurts,40291,QB,PHI,3,3.02,2.62,3.8,4.98,121,24,85.4,48,53,3.0,1.94,4,0,0.0,75.5,40,9,2.4,54,44.6,1,22,,81.1,81.6,78.4,79.9,,,1,1,56,11.1,99.9,1.9,1,0,0,0,2,0,0.0,384,7.2,70.0,40,45,16.3,3.89,0,6,11.5,57.8,26,27,7.1,67,55.4,2,25,,82.9,83.8,79.4,86.6,,59.4,0,0,74,14.8,114.3,6.0,4,18,0,5,2,1,1.4,532,11.8
