player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Justin Herbert,28237,QB,LAC,10,2.77,2.67,3.55,4.87,451,27,81.5,168,176,4.2,1.98,4,3,1.7,73.9,130,45,5.1,180,39.9,7,61,,,,,89.5,72.4,82.9,71.2,,,,,0,2,185,8.9,106.0,2.2,4,0,0,4,12,2,1.1,1028,5.8,75.5,208,240,9.2,3.31,11,11,4.4,61.3,147,112,6.4,269,59.6,10,72,,,,,78.5,75.1,84.5,74.7,,,58.5,,10,5,282,11.6,79.5,4.8,13,16,0,11,4,5,1.8,1702,7.1
Patrick Mahomes,11765,QB,KC,10,2.81,2.62,3.09,5.35,448,16,80.1,211,216,4.5,1.77,1,3,1.4,73.6,159,31,5.9,216,48.2,10,88,,,,,74.1,71.1,83.6,70.0,,,,,1,3,220,0.0,109.8,0.0,0,0,0,3,15,5,2.3,1502,7.0,75.7,152,184,12.6,3.8,4,17,7.9,57.6,106,126,7.8,230,51.3,9,96,,,,,90.4,94.3,84.2,92.3,,,87.2,,6,4,262,13.5,104.5,7.4,17,29,0,22,13,6,2.3,1763,9.6
Tom Brady,698,QB,TB,10,2.28,2.25,3.02,5.1,442,30,80.8,265,274,5.0,1.84,1,10,3.5,74.8,205,28,4.2,278,62.9,9,89,,,,,79.5,73.0,84.6,71.7,,,,,1,2,290,14.3,100.0,1.4,4,0,0,7,10,5,1.7,1737,6.3,64.2,134,150,12.8,3.07,4,12,7.4,51.3,77,54,10.5,162,36.7,9,51,,,,,89.1,82.5,82.7,80.8,,,59.2,,0,0,177,18.5,79.0,6.2,10,2,0,12,2,5,2.8,1068,7.1
Josh Allen,46601,QB,BUF,10,2.8,2.61,3.58,4.39,423,4,84.0,175,190,4.2,1.79,10,6,3.1,72.6,138,24,6.1,193,45.6,9,69,,,,,52.8,83.6,83.1,81.6,,,,,0,1,196,12.5,106.4,1.6,3,0,0,5,11,4,2.0,1216,6.4,66.5,161,177,14.7,3.66,2,20,10.6,56.5,100,117,6.5,229,54.1,7,96,,,,,90.3,90.3,43.0,74.6,,,96.2,,2,9,242,14.5,87.2,7.4,17,35,0,12,10,15,6.2,1714,9.7
Joe Burrow,28022,QB,CIN,10,2.48,2.38,2.98,4.15,419,7,80.0,225,240,6.1,1.9,9,8,3.2,71.7,172,38,4.4,248,59.2,8,90,,,,,61.7,85.5,84.2,83.3,,,,,1,5,259,21.1,104.3,3.2,8,0,0,5,14,3,1.2,1825,7.6,76.5,115,132,10.3,3.33,6,7,4.9,64.4,85,72,3.4,170,40.6,3,52,,,,,70.1,75.9,82.8,73.5,,,69.6,,4,3,183,33.3,100.1,14.1,24,14,0,7,8,7,3.8,1065,8.1
Kirk Cousins,7102,QB,MIN,10,2.72,2.63,3.05,5.38,410,18,76.2,151,163,5.0,1.98,6,5,2.9,65.6,107,45,7.0,168,41.0,8,46,,,,,89.2,65.5,82.7,64.8,,,,,3,2,178,11.1,87.1,3.0,5,0,0,3,6,4,2.2,905,5.6,76.8,181,212,9.7,3.23,1,10,4.3,62.3,132,110,5.0,242,59.0,7,84,,,,,47.4,73.9,84.2,71.6,,,72.8,,7,6,261,20.0,85.3,9.1,22,8,0,23,8,10,3.8,1555,7.3
Kyler Murray,38334,QB,ARZ,9,2.58,2.37,3.64,5.2,404,1,82.9,217,222,4.5,1.76,4,4,1.7,75.7,168,25,6.7,228,56.4,12,68,,,,,75.5,77.2,83.9,75.7,,,,,0,1,242,24.0,101.4,2.6,6,0,0,1,9,2,0.8,1309,5.9,66.4,113,135,11.8,3.69,5,4,2.8,53.3,72,85,4.0,174,43.1,3,48,,,,,27.9,50.3,83.0,46.6,,,70.9,,2,5,190,21.2,64.9,10.3,18,21,0,15,3,14,7.4,854,6.3
Aaron Rodgers,2241,QB,GB,11,2.6,2.49,3.67,5.57,404,12,81.6,206,211,4.5,1.63,3,7,3.2,73.9,156,15,7.1,213,52.7,12,67,,,,,90.1,78.8,83.6,77.1,,,,,0,4,221,13.3,98.2,0.9,2,0,0,2,9,2,0.9,1426,6.8,66.0,141,164,13.6,3.69,1,17,9.4,53.0,87,94,6.5,190,47.0,6,51,,,,,54.3,73.4,83.3,70.9,,,73.3,,3,3,208,20.2,87.3,10.0,19,7,0,19,10,7,3.4,1116,6.8
Matt Ryan,4317,QB,IND,9,2.59,2.48,3.4,4.79,392,14,85.4,198,209,4.9,1.96,4,1,0.5,77.0,161,39,4.7,212,54.1,8,72,,,,,74.0,74.3,42.4,73.5,,,,,2,4,223,7.7,97.0,1.4,3,0,0,5,6,6,2.7,1462,7.0,70.6,126,147,8.4,3.33,4,2,1.3,58.5,86,91,3.4,180,45.9,3,53,,,,,24.3,49.4,83.0,49.0,,,64.8,,1,5,191,28.6,73.8,14.4,26,7,0,16,4,9,4.7,989,6.7
Trevor Lawrence,77632,QB,JAX,10,2.5,2.38,3.32,5.12,378,15,85.4,198,204,4.2,1.8,5,3,1.4,75.5,154,28,8.9,205,54.2,15,67,,,,,90.1,69.5,83.4,68.5,,,,,0,2,213,3.6,99.8,0.5,1,0,0,1,8,2,0.9,1262,6.2,62.7,126,142,14.1,3.38,4,10,6.5,51.4,73,76,7.6,171,45.2,6,61,,,,,26.2,61.3,82.9,58.7,,,74.0,,2,4,187,21.1,76.6,9.4,16,13,0,10,5,10,5.3,1078,7.6
