player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,BLT,6,1,0,3,67.6,5,10,169,94.8,15.4,26,0,5.6,2,191,181,17,1,74.7,4,7,79,98.8,25.3,20,9.5,2,85,84,13
Tyson Alualu,5535,DI,PIT,6,0,0,25,54.2,1,4,82,100.0,6.1,5,2,3.0,0,85,85,5,0,53.5,1,3,40,100.0,7.5,3,5.0,0,40,40,4
Brandon Graham,5538,ED,PHI,6,1,0,24,85.0,3,8,107,94.1,24.3,26,0,8.9,4,119,112,15,0,79.4,1,4,47,96.2,31.9,15,11.7,3,53,51,8
Jason Pierre-Paul,5540,ED,BLT,3,2,0,3,60.2,0,5,90,96.9,10.0,9,0,3.9,1,97,94,6,1,54.1,0,3,41,95.3,9.8,4,6.1,1,43,41,4
Devin McCourty,5552,S,NE,6,0,0,19,58.3,0,0,1,0.4,0.0,0,0,0.0,0,224,1,0,0,58.3,0,0,1,1.0,0.0,0,0.0,0,100,1,0
Jerry Hughes,5556,ED,HST,5,0,1,13,67.1,0,11,135,98.6,14.8,20,2,7.0,4,142,140,15,0,62.5,0,5,58,96.8,20.7,12,7.8,2,62,60,7
Carlos Dunlap,5579,ED,KC,6,1,0,16,57.4,1,6,96,90.3,10.4,10,0,5.7,2,113,102,9,0,56.1,1,3,45,86.0,11.1,5,6.7,1,57,49,5
Corey Peters,5607,DI,JAX,2,0,0,15,54.8,1,0,28,100.0,7.1,2,0,1.8,0,30,30,1,0,60.9,1,0,10,100.0,20.0,2,5.0,0,11,11,1
Al Woods,5646,DI,SEA,5,1,0,29,62.5,0,2,51,98.2,7.8,4,1,3.9,1,56,55,3,0,67.5,0,1,10,91.7,20.0,2,5.0,0,12,11,1
Von Miller,6154,ED,BUF,6,0,0,4,81.9,2,18,151,98.8,19.9,30,2,10.6,6,169,167,26,0,85.1,2,9,70,98.7,27.1,19,15.0,5,77,76,16
