player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Justin Herbert,28237,QB,LAC,6,76.5,234,257,6.8,2.76,8,7,2.6,66.1,170,1,99,5.0,271,9,80,27,79.9,73.0,71.6,61.9,4,3,285,1,7.1,93.1,2.6,7,7,0,11,10,4,1.4,1716,6.7
Matt Ryan,4317,QB,IND,6,78.2,229,253,6.7,2.62,6,2,0.7,67.2,170,0,91,5.0,279,9,93,14,24.9,58.0,59.4,46.2,3,7,296,3,23.1,86.2,7.5,21,5,1,14,8,12,4.1,1768,7.0
Kyler Murray,38334,QB,ARZ,6,75.9,228,252,7.1,2.53,6,6,2.3,65.1,164,0,78,5.2,278,9,79,1,59.8,67.8,62.0,81.6,2,4,294,1,16.7,81.8,4.7,13,12,2,14,6,9,3.1,1464,5.8
Tom Brady,698,QB,TB,6,74.8,234,247,7.7,2.22,1,12,4.6,67.2,166,0,47,5.1,257,9,83,30,65.6,77.8,77.7,41.0,1,1,274,0,19.1,95.1,3.5,9,0,1,10,8,3,1.1,1653,6.7
Josh Allen,46601,QB,BUF,6,78.1,215,239,8.3,2.64,11,18,7.3,66.9,160,0,81,4.8,272,8,112,4,71.2,90.8,84.3,91.2,1,4,279,2,11.1,109.1,3.3,9,23,1,11,17,10,3.6,1980,8.3
Carson Wentz,10636,QB,WAS,6,74.1,212,232,8.1,2.61,7,12,4.8,62.1,144,0,89,8.3,266,13,71,32,65.9,63.1,61.3,64.1,3,6,287,5,25.8,84.1,8.6,23,11,0,10,10,10,3.5,1489,6.4
Patrick Mahomes,11765,QB,KC,6,76.9,208,229,7.6,2.75,3,12,4.8,65.9,151,0,93,5.6,257,9,104,16,90.6,84.9,81.3,79.3,4,4,277,1,11.8,106.1,4.3,11,15,0,14,17,7,2.5,1736,7.6
Kirk Cousins,7102,QB,MIN,6,78.4,204,228,6.5,2.62,2,7,2.8,66.2,151,0,78,5.6,242,9,84,18,78.2,75.4,73.4,76.4,5,5,261,3,14.1,88.7,4.5,11,3,2,15,9,8,3.1,1502,6.6
Joe Burrow,28022,QB,CIN,6,76.7,210,228,7.2,2.51,7,7,2.9,66.7,152,0,73,5.6,263,9,84,7,66.0,68.9,67.4,68.9,4,5,280,2,28.8,95.6,8.0,21,13,0,7,12,9,3.2,1616,7.1
Matthew Stafford,4924,QB,LA,6,77.9,213,225,6.6,2.57,3,7,3.1,71.1,160,0,83,3.6,251,6,83,26,47.6,62.0,62.2,63.3,0,8,255,4,26.5,84.6,8.8,22,3,0,9,6,10,3.9,1576,7.0
Aaron Rodgers,2241,QB,GB,6,76.2,193,209,7.3,2.48,4,12,5.5,67.0,140,0,66,4.8,226,7,66,12,75.5,73.2,72.9,52.6,1,3,235,2,22.7,94.2,6.6,15,2,0,11,9,5,2.1,1403,6.7
Jacoby Brissett,10725,QB,CLV,6,71.8,188,206,9.5,2.84,3,9,4.1,60.2,124,0,65,8.1,226,11,74,8,76.6,74.2,69.0,85.0,3,5,240,2,13.8,78.7,4.0,9,11,2,10,6,10,4.2,1326,6.4
Trevor Lawrence,77632,QB,JAX,6,77.0,191,203,7.9,2.51,4,7,3.3,65.5,133,0,64,9.5,221,14,78,15,42.3,64.1,60.6,74.4,2,4,235,2,15.6,92.0,4.5,10,6,1,5,9,8,3.4,1402,6.9
Russell Wilson,7077,QB,DEN,6,70.5,183,198,9.6,2.78,5,7,3.2,58.6,116,0,72,10.1,230,13,61,10,77.3,59.5,58.7,64.0,1,3,250,2,27.8,83.4,8.7,20,12,0,9,5,6,2.4,1443,7.3
Geno Smith,7820,QB,SEA,6,78.8,179,188,8.8,2.72,3,11,5.4,73.4,138,0,67,2.1,209,3,70,29,90.4,86.7,83.3,80.6,0,2,226,4,20.9,108.0,6.7,14,7,0,6,9,8,3.5,1501,8.0
