player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,DI,BLT,13,0,,,4.1,,,0,0,1,,3,58.6,76.6,87.7,72.1,70.0,33.1,0,,100.0,5,0,0,0.0,0,15,366,5,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,14,2,-1.5,100.0,4.8,5.5,5.5,0,0,0,0.0,24,72.5,90.8,70.5,89.9,79.6,55.7,0,2,20.0,1,0,1,79.2,2,11,230,10,2,2,0,2,5,0.2,1.0
Jason Pierre-Paul,5540,ED,BLT,11,0,2.8,100.0,4.9,2.8,2.8,1,0,0,0.0,3,66.8,55.9,54.9,53.7,60.4,70.2,1,24,20.0,1,0,2,70.8,4,13,263,4,4,4,0,42,31,3.8,10.5
Kareem Jackson,5545,S,DEN,14,3,9.5,65.6,99.7,26.0,17.1,0,1,4,12.5,10,62.8,65.3,72.8,56.7,69.9,57.7,0,23,17.1,7,3,1,113.4,21,584,586,7,31,32,3,195,48,0.4,9.3
Devin McCourty,5552,S,NE,14,2,15.9,61.1,99.6,46.8,28.6,0,2,3,16.7,19,69.1,70.7,86.7,55.5,71.2,86.6,2,54,4.9,2,3,0,94.2,11,539,541,3,37,18,2,189,44,0.4,17.2
Jerry Hughes,5556,ED,HST,14,0,,,0.9,,,2,0,0,,13,68.1,72.4,58.8,71.4,59.6,25.9,1,,77.8,7,0,3,0.0,0,3,320,9,2,0,0,0,0,0.0,
Carlos Dunlap,5579,ED,KC,14,1,8.0,100.0,5.1,15.0,15.0,0,0,0,0.0,16,55.9,67.3,89.6,59.3,74.8,59.7,0,8,25.0,2,0,1,100.0,1,15,295,8,5,1,0,8,0,0.5,8.0
Von Miller,6154,ED,BUF,11,0,,,1.3,,,0,0,0,,4,74.2,85.8,26.0,81.8,78.8,53.2,0,,40.0,2,0,4,0.0,0,4,315,11,3,0,0,0,0,0.0,
Patrick Peterson,6157,CB,MIN,14,2,12.0,58.3,99.8,16.4,9.6,0,0,11,18.3,18,83.1,81.0,65.6,60.0,64.1,74.4,3,38,6.7,3,9,3,70.7,35,607,608,10,40,60,2,428,167,0.7,12.2
J.J. Watt,6163,DI,ARZ,13,1,,,0.2,,,0,0,0,,1,64.0,66.6,32.8,71.3,57.5,45.2,0,,33.3,1,0,6,0.0,0,1,428,11,1,0,0,0,0,0.0,
