player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Dennis Wilburn,157314,C,TEXAS TECH,8,0,315,52.4,0,25,451,100.0,100.0,97.0,1,26,1,466,466,48.1,0,12,164,100.0,100.0,95.7,13,1,170,170
Caleb Rogers,123157,T,TEXAS TECH,8,1,315,58.5,2,26,450,99.8,99.8,93.8,1,42,14,465,466,54.5,1,15,164,100.0,100.0,90.2,24,8,170,170
Nate Williams,130322,T,AKRON,9,0,102,68.6,2,16,432,100.0,100.0,96.5,2,24,6,450,450,67.6,2,12,244,100.0,100.0,95.1,19,5,252,252
Roger Rosengarten,131912,T,WASHINGTON,9,0,340,78.6,1,12,406,100.0,100.0,98.4,2,13,0,436,436,72.5,1,5,154,100.0,100.0,98.1,6,0,167,167
Mike Katic,101575,G,INDIANA,8,0,190,70.2,3,3,406,100.0,100.0,98.8,0,8,2,435,435,64.9,3,2,142,100.0,100.0,96.8,7,2,156,156
Troy Fautanu,100521,T,WASHINGTON,9,0,340,76.5,1,11,405,100.0,100.0,98.5,4,12,0,434,434,79.3,0,6,154,100.0,100.0,98.1,6,0,167,167
Luke Haggard,129442,T,INDIANA,8,1,190,70.9,6,9,405,99.8,99.8,97.4,1,18,3,434,435,67.4,5,6,141,99.3,99.4,94.7,13,2,155,156
Nick Jones,146837,T,MISS STATE,8,0,227,71.3,4,3,404,100.0,100.0,98.4,0,10,3,425,425,55.1,3,1,100,100.0,100.0,95.0,7,3,106,106
Cole Smith,99094,G,MISS STATE,8,0,227,72.7,2,10,404,100.0,100.0,98.5,0,12,0,425,425,44.3,2,6,100,100.0,100.0,96.0,8,0,106,106
Quantavious Leslie,123456,G,W KENTUCKY,9,0,346,87.9,1,4,400,100.0,100.0,98.9,0,7,2,421,421,68.7,1,4,80,100.0,100.0,95.6,6,1,87,87
Rusty Staats,81941,C,W KENTUCKY,9,0,346,76.2,1,4,400,100.0,100.0,99.1,0,6,1,421,421,64.0,0,1,80,100.0,100.0,98.1,2,1,87,87
Vincent Murphy,99046,G,W KENTUCKY,9,0,346,71.7,2,9,400,100.0,100.0,98.6,1,11,0,421,421,43.7,1,5,80,100.0,100.0,96.2,6,0,87,87
Gunner Britton,81937,T,W KENTUCKY,9,0,346,87.9,0,0,398,99.5,99.5,99.0,0,4,4,419,421,77.3,0,0,80,100.0,100.0,95.0,4,4,87,87
Anthony Whigan,101555,G,AKRON,9,0,102,53.5,4,16,401,100.0,100.0,96.5,1,24,4,416,416,46.2,4,12,223,100.0,100.0,94.6,20,4,231,231
Jamezz Kimbrough,55052,C,C MICHIGAN,9,0,134,66.3,2,12,387,100.0,100.0,97.9,0,15,1,415,415,54.4,0,9,134,100.0,100.0,96.6,9,0,148,148
Davis Heinzen,145705,T,C MICHIGAN,9,1,134,43.6,7,29,387,99.7,99.8,94.3,4,40,4,415,416,35.4,5,16,134,100.0,100.0,89.9,24,3,148,148
Deiyantei Powell-Woods,104183,G,C MICHIGAN,9,0,134,67.4,2,6,386,100.0,100.0,98.4,0,10,2,414,414,52.8,2,4,134,100.0,100.0,96.3,8,2,148,148
Kameron Jones,81739,T,MISS STATE,8,2,227,62.6,4,14,385,100.0,100.0,96.9,5,21,3,406,406,45.9,2,8,95,100.0,100.0,92.6,12,2,101,101
Logan Langemeier,108708,C,GA SOUTHRN,8,0,174,69.8,5,8,384,100.0,100.0,98.3,0,13,0,403,403,73.6,0,3,67,100.0,100.0,97.8,3,0,69,69
Khalil Crowder,78240,G,GA SOUTHRN,8,1,174,71.8,1,6,384,100.0,100.0,99.1,1,7,0,403,403,55.1,0,2,67,100.0,100.0,98.5,2,0,69,69
Ethan Crowe,130330,C,BALL ST,9,0,117,84.5,1,2,376,100.0,100.0,99.6,3,3,0,398,398,78.1,1,1,116,100.0,100.0,99.1,2,0,126,126
Elijah Klein,81912,G,UTEP,10,0,330,69.1,1,14,374,100.0,100.0,97.7,1,16,1,396,396,65.6,1,8,143,100.0,100.0,96.9,9,0,152,152
Brayden Swartout,145732,T,C MICHIGAN,9,0,134,45.3,4,15,370,100.0,100.0,95.3,5,27,8,396,396,33.5,2,12,124,100.0,100.0,89.5,20,6,138,138
Josh Baker,131560,C,ARIZONA,8,0,109,78.0,1,9,373,100.0,100.0,98.7,0,10,0,396,396,86.7,0,1,156,100.0,100.0,99.7,1,0,164,164
Jordan Morgan,98652,T,ARIZONA,8,0,109,79.8,2,13,372,100.0,100.0,97.7,2,16,1,395,395,74.8,2,10,156,100.0,100.0,96.2,12,0,164,164
Gus Hartwig,129814,C,PURDUE,8,0,273,76.0,1,7,372,100.0,100.0,98.9,0,8,0,394,394,73.6,0,2,100,100.0,100.0,99.0,2,0,105,105
Jeremiah Byers,100806,T,UTEP,10,0,330,84.6,0,6,372,100.0,100.0,98.9,1,7,1,394,394,83.2,0,4,143,100.0,100.0,97.9,5,1,152,152
Justin Mayers,100808,G,UTEP,10,0,330,83.6,3,2,372,100.0,100.0,99.3,2,5,0,394,394,88.4,2,1,143,100.0,100.0,99.0,3,0,152,152
Jack Conley,98524,T,BOSTON COL,9,0,121,53.7,6,22,373,98.9,99.0,95.4,2,31,3,387,391,37.8,4,13,137,99.3,99.3,92.3,19,2,143,144
Ahofitu Maka,100803,C,UTSA,8,0,331,72.2,0,14,362,100.0,100.0,98.1,0,14,0,384,384,61.0,0,6,81,100.0,100.0,96.3,6,0,92,92
Andrew Meyer,81910,C,UTEP,10,0,330,74.0,2,6,360,100.0,100.0,98.6,1,9,1,382,382,77.1,2,3,139,100.0,100.0,97.5,6,1,148,148
Jack Hasz,145666,C,BUFFALO,9,0,126,72.3,1,3,368,100.0,100.0,98.9,1,6,2,382,382,57.9,1,2,118,100.0,100.0,97.0,5,2,124,124
Damon Kaylor,101573,G,BALL ST,9,1,117,55.4,4,6,360,100.0,100.0,98.6,1,10,0,381,381,28.5,4,4,115,100.0,100.0,96.5,8,0,125,125
Konner Gomness,100542,C,WASH STATE,8,0,341,73.2,0,9,365,100.0,100.0,98.5,2,10,1,380,380,73.4,0,4,117,100.0,100.0,98.3,4,0,124,124
Caleb Kelly,59709,T,GA SOUTHRN,8,1,174,69.3,2,6,362,100.0,100.0,98.9,1,8,0,380,380,61.0,1,3,58,100.0,100.0,96.6,4,0,60,60
