player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Matt Prater,3471,K,ARZ,2,0,2,1,50.0,1,1,100.0,1,59.1,0,0,,3,3,100.0,0,2,2,100.0,6,5,83.3,1,1,100.0
Nick Folk,3794,K,TEN,2,0,1,1,100.0,2,2,100.0,31,79.2,0,0,,3,3,100.0,0,2,2,100.0,7,7,100.0,2,2,100.0
Graham Gano,5443,K,NYG,3,0,1,1,100.0,2,1,50.0,21,71.7,0,0,,4,4,100.0,0,2,1,50.0,5,3,60.0,0,0,
Greg Zuerlein,7163,K,NYJ,1,0,0,0,,1,1,100.0,22,74.3,0,0,,1,1,100.0,0,1,1,100.0,3,3,100.0,1,1,100.0
Justin Tucker,7604,K,BLT,2,0,1,0,0.0,2,2,100.0,3,63.3,0,0,,5,5,100.0,0,1,1,100.0,4,3,75.0,0,0,
Dustin Hopkins,7958,K,CLV,2,0,1,1,100.0,4,3,75.0,8,64.3,0,0,,1,1,100.0,0,1,1,100.0,6,5,83.3,0,0,
Brandon McManus,8437,K,JAX,2,0,0,0,,2,2,100.0,15,71.0,0,0,,4,4,100.0,0,1,1,100.0,4,4,100.0,1,1,100.0
Brett Maher,8585,K,LA,2,0,3,1,33.3,3,3,100.0,26,66.7,0,0,,5,5,100.0,0,2,2,100.0,8,6,75.0,0,0,
Cairo Santos,8932,K,CHI,2,0,1,1,100.0,1,1,100.0,6,72.0,0,0,,2,2,100.0,0,0,0,,3,3,100.0,1,1,100.0
Chris Boswell,8990,K,PIT,2,0,2,2,100.0,0,0,,25,73.5,0,0,,3,3,100.0,0,0,0,,2,2,100.0,0,0,
Jason Myers,10207,K,SEA,2,0,1,0,0.0,2,1,50.0,29,36.7,0,0,,5,5,100.0,0,2,1,50.0,6,3,50.0,1,1,100.0
Wil Lutz,11096,K,DEN,2,0,1,0,0.0,0,0,,10,34.0,0,0,,5,4,80.0,0,2,2,100.0,4,3,75.0,1,1,100.0
Ka'imi Fairbairn,11161,K,HST,2,0,1,0,0.0,0,0,,13,57.5,0,0,,2,2,100.0,0,4,4,100.0,6,5,83.3,1,1,100.0
Jake Elliott,11908,K,PHI,2,0,4,3,75.0,1,1,100.0,24,76.3,0,0,,6,5,83.3,0,1,1,100.0,7,6,85.7,1,1,100.0
Harrison Butker,11988,K,KC,2,0,0,0,,0,0,,16,67.2,0,0,,4,4,100.0,0,3,3,100.0,3,3,100.0,0,0,
Younghoe Koo,12042,K,ATL,2,0,0,0,,1,1,100.0,2,57.7,0,0,,5,4,80.0,0,2,2,100.0,5,5,100.0,2,2,100.0
Austin Seibert,13701,K,NYJ,1,0,0,0,,0,0,,22,62.4,0,0,,1,1,100.0,0,1,1,100.0,1,1,100.0,0,0,
Greg Joseph,22842,K,MIN,2,0,0,0,,0,0,,18,66.1,0,0,,6,6,100.0,0,0,0,,1,1,100.0,1,1,100.0
Daniel Carlson,28121,K,LV,2,0,0,0,,1,1,100.0,23,67.4,0,0,,3,3,100.0,0,0,0,,2,2,100.0,1,1,100.0
Jason Sanders,29578,K,MIA,2,0,1,0,0.0,3,2,66.7,17,47.1,0,0,,7,6,85.7,0,0,0,,6,4,66.7,2,2,100.0
Tyler Bass,33010,K,BUF,2,0,1,1,100.0,1,1,100.0,4,77.7,0,0,,6,6,100.0,0,1,1,100.0,4,4,100.0,1,1,100.0
Chase McLaughlin,33285,K,TB,2,0,1,1,100.0,1,0,0.0,30,76.0,0,0,,5,5,100.0,0,1,1,100.0,5,4,80.0,2,2,100.0
Joey Slye,39235,K,WAS,2,0,1,0,0.0,3,2,66.7,32,56.5,0,0,,5,5,100.0,0,2,2,100.0,6,4,66.7,0,0,
Eddy Pineiro,44140,K,CAR,2,0,2,2,100.0,1,1,100.0,5,75.8,0,0,,1,1,100.0,0,1,1,100.0,4,4,100.0,0,0,
Blake Grupe,57502,K,NO,2,0,1,1,100.0,0,0,,20,69.5,0,0,,3,3,100.0,0,1,1,100.0,5,5,100.0,3,3,100.0
Anders Carlson,57509,K,GB,2,0,1,1,100.0,0,0,,12,71.2,0,0,,8,8,100.0,0,1,1,100.0,2,2,100.0,0,0,
Riley Patterson,57556,K,DET,2,0,0,0,,0,0,,11,74.0,0,0,,7,7,100.0,0,1,1,100.0,1,1,100.0,0,0,
Matt Gay,57643,K,IND,2,0,0,0,,1,1,100.0,14,68.2,0,0,,7,7,100.0,0,0,0,,1,1,100.0,0,0,
Cameron Dicker,77069,K,LAC,2,0,1,1,100.0,0,0,,27,76.4,0,0,,5,5,100.0,0,2,2,100.0,5,5,100.0,2,2,100.0
Chad Ryland,77083,K,NE,2,0,0,0,,1,1,100.0,19,68.5,0,0,,4,4,100.0,0,0,0,,1,1,100.0,0,0,
Evan McPherson,82583,K,CIN,2,0,1,0,0.0,1,1,100.0,7,55.6,0,0,,3,3,100.0,0,0,0,,3,2,66.7,1,1,100.0
Jake Moody,82603,K,SF,3,0,1,1,100.0,2,2,100.0,28,77.6,0,0,,9,9,100.0,0,2,2,100.0,9,9,100.0,4,4,100.0
Brandon Aubrey,156112,K,DAL,2,0,1,1,100.0,0,0,,9,62.0,0,0,,6,5,83.3,0,3,3,100.0,7,7,100.0,3,3,100.0
