player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Tre Brown,55677,CB,SEA,3,0,29,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.4,1,71,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
CJ Henderson,55593,CB,CAR,5,0,5,0,2,0,0,1,0,66.7,2,2,75.0,1,1,0,0,2.8,3,109,3,66.7,0,0,1,0,33.3,1,1,50.0,0,0,0,1,1,0
DeMarcco Hellams,98863,S,ATL,1,0,2,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,8.3,1,12,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Jaylon Jones,49374,CB,CHI,3,0,6,1,1,0,1,1,0,100.0,2,2,50.0,0,0,0,0,5.3,2,38,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Arthur Maulet,12224,CB,BLT,3,0,3,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,4.1,2,49,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Kerby Joseph,83239,S,DET,3,0,11,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.8,1,130,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Christian Gonzalez,131679,CB,NE,4,0,19,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,1.7,2,121,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Kevin Byard,10698,S,TEN,5,0,31,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.5,1,182,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Elijah Riley,44440,S,PIT,1,0,25,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,16.7,1,6,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Elijah Hicks,55584,S,CHI,5,0,6,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.6,1,165,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Tre'Davious White,11782,CB,BUF,4,0,4,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.9,1,113,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
