player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Puka Nacua,100632,WR,LA,3,8.5,1,75.0,0.0,0,2,0,9.1,3,17,26,0,58.0,77.0,83.8,69.0,81.7,0.0,0,1,37,0.8,1,133,0,30,94.7,126,36.1,48,89.4,40,0,63.9,85,338,121,4.0,11.3,2.68
Keenan Allen,7857,WR,LAC,3,8.6,1,82.1,50.0,3,6,0,0.0,0,17,27,1,88.7,28.2,82.3,71.8,84.6,0.0,0,0,42,1.4,2,139,1,32,92.8,129,64.7,90,126.7,39,2,34.5,48,402,153,4.8,12.6,3.12
Davante Adams,8688,WR,LV,3,11.6,2,67.6,37.5,3,8,0,3.8,1,18,23,0,86.1,75.7,90.4,,90.3,0.0,0,1,32,0.0,0,110,0,25,92.7,102,16.4,18,110.4,37,3,82.7,91,322,58,2.3,12.9,3.16
Justin Jefferson,61398,WR,MIN,3,12.2,4,73.0,42.9,3,7,1,0.0,0,20,18,1,86.5,26.4,90.4,,90.2,0.0,0,0,52,0.0,0,153,1,27,95.4,146,31.4,48,123.5,37,1,68.6,105,458,172,6.4,17.0,3.14
Tyreek Hill,10799,WR,MIA,3,14.0,5,71.4,60.0,3,5,0,3.8,1,21,17,0,74.9,75.7,94.0,,94.0,0.0,0,1,54,0.0,0,89,0,25,97.8,87,32.6,29,136.8,35,4,65.2,58,412,116,4.6,16.5,4.74
Ja'Marr Chase,84270,WR,CIN,3,8.5,4,68.8,33.3,1,3,0,4.3,1,12,7,0,72.8,75.4,73.8,,73.6,0.0,0,0,43,0.0,0,134,0,22,94.8,127,24.6,33,86.8,32,0,74.6,100,211,104,4.7,9.6,1.66
Chris Olave,84355,WR,NO,3,12.0,0,68.8,42.9,3,7,0,0.0,0,15,20,0,84.5,74.9,90.3,,90.3,0.0,0,1,45,0.0,0,109,0,22,97.2,106,42.2,46,85.7,32,0,55.0,60,302,116,5.3,13.7,2.85
Michael Pittman Jr.,29049,WR,IND,3,5.5,0,78.1,50.0,4,8,0,3.8,1,11,14,1,74.9,26.2,67.7,,69.2,1.5,2,0,39,0.0,0,132,1,25,97.7,129,23.5,31,107.0,32,1,75.0,99,230,117,4.7,9.2,1.78
Stefon Diggs,9579,WR,BUF,3,9.8,2,80.6,50.0,3,6,0,0.0,0,14,4,0,86.1,75.7,79.8,,79.2,0.0,0,1,30,0.0,0,121,1,25,95.0,115,34.7,42,101.5,31,1,62.0,75,279,78,3.1,11.2,2.43
A.J. Brown,48327,WR,PHI,3,11.4,4,71.4,0.0,0,4,0,4.8,1,13,24,0,72.8,75.1,82.5,,82.2,0.0,0,0,28,0.0,0,106,0,20,93.4,99,21.7,23,97.2,28,0,78.3,83,239,100,5.0,12.0,2.41
Mike Evans,8642,WR,TB,3,14.1,1,63.0,50.0,4,8,0,10.5,2,10,30,0,54.3,73.6,79.1,,81.8,0.0,0,0,70,0.0,0,90,1,17,95.6,86,25.6,23,137.4,27,3,74.4,67,297,103,6.1,17.5,3.45
T.J. Hockenson,40912,TE,MIN,3,5.8,1,85.2,25.0,1,4,0,4.2,1,10,18,1,73.0,25.3,68.5,61.8,69.2,58.5,79,1,24,3.7,5,135,0,23,91.1,123,34.1,46,103.5,27,2,7.4,10,179,71,3.1,7.8,1.46
Amon-Ra St. Brown,84470,WR,DET,3,8.7,2,77.8,80.0,4,5,0,4.5,1,12,11,1,72.1,25.6,79.4,,80.6,0.0,0,1,39,0.0,0,103,0,21,94.2,97,53.4,55,106.0,27,1,45.6,47,275,86,4.1,13.1,2.84
Deebo Samuel,48274,WR,SF,3,7.2,8,65.4,25.0,1,4,0,0.0,0,11,28,1,82.7,25.9,81.9,74.1,83.8,0.0,0,0,40,1.9,2,104,1,17,93.3,97,30.8,32,109.0,26,1,64.4,67,247,134,7.9,14.5,2.55
Tee Higgins,61211,WR,CIN,3,13.2,1,38.5,25.0,2,8,0,23.1,3,7,7,0,29.9,71.5,56.1,,55.7,0.0,0,1,20,0.0,0,125,1,10,95.2,119,14.4,18,61.4,26,2,85.6,107,110,39,3.9,11.0,0.92
Tutu Atwell,77965,WR,LA,3,13.0,0,65.4,66.7,2,3,0,0.0,0,14,26,0,82.7,75.1,78.9,,76.7,0.0,0,0,44,0.0,0,136,0,17,96.3,131,41.2,56,108.8,26,1,58.8,80,246,62,3.6,14.5,1.88
Kendrick Bourne,12270,WR,NE,3,14.6,2,56.0,0.0,0,4,0,0.0,0,6,19,0,80.6,72.7,65.3,,65.6,0.0,0,1,19,0.0,0,106,0,14,96.2,102,26.4,28,81.9,25,2,73.6,78,139,53,3.8,9.9,1.36
Adam Thielen,8288,WR,CAR,3,8.7,0,80.0,33.3,1,3,0,0.0,0,14,5,0,84.5,74.9,74.1,4.9,77.3,0.0,0,0,25,0.0,0,142,1,20,93.7,133,76.1,108,128.5,25,2,23.2,33,211,68,3.4,10.6,1.59
Calvin Ridley,48262,WR,JAX,3,12.0,1,52.0,40.0,2,5,0,23.5,4,8,15,1,29.5,22.4,60.8,,62.5,0.0,0,0,29,0.0,0,117,2,13,94.9,111,16.2,19,87.6,25,1,83.8,98,173,49,3.8,13.3,1.56
Michael Thomas,10681,WR,NO,3,9.2,1,72.0,66.7,4,6,0,0.0,0,7,20,0,82.7,73.9,66.7,,67.1,0.0,0,0,25,0.0,0,109,1,18,97.2,106,30.3,33,89.8,25,0,69.7,76,166,21,1.2,9.2,1.57
Robert Woods,7822,WR,HST,3,10.1,1,60.0,57.1,4,7,1,11.8,2,11,13,0,53.1,76.6,66.9,36.3,67.4,0.8,1,0,25,0.8,1,123,1,15,94.3,116,44.7,55,79.6,25,0,50.4,62,165,41,2.7,11.0,1.42
Zay Flowers,97268,WR,BLT,3,5.0,7,84.0,50.0,1,2,1,0.0,0,8,3,0,84.1,76.5,74.3,,74.9,0.0,0,1,52,0.0,0,108,1,21,92.6,100,30.6,33,81.3,25,0,69.4,75,188,101,4.8,9.0,1.88
Mike Williams,11762,WR,LAC,3,12.4,4,76.0,71.4,5,7,0,0.0,0,9,27,0,83.2,74.5,74.6,,73.5,0.9,1,0,49,0.0,0,113,0,19,94.7,107,28.3,32,120.3,25,1,70.8,80,249,105,5.5,13.1,2.33
CeeDee Lamb,61570,WR,DAL,3,8.6,3,79.2,33.3,1,3,0,0.0,0,12,9,1,83.6,24.7,73.5,,77.9,0.0,0,0,49,0.0,0,115,2,19,91.3,105,75.7,87,114.1,24,0,23.5,27,273,116,6.1,14.4,2.6
DeAndre Hopkins,7808,WR,TEN,3,12.1,0,60.9,33.3,2,6,0,12.5,2,9,31,0,49.8,72.7,70.1,,70.7,0.0,0,2,26,0.0,0,89,1,14,92.1,82,30.3,27,44.3,23,0,67.4,60,153,22,1.6,10.9,1.87
Elijah Moore,84302,WR,CLV,3,8.1,2,65.2,0.0,0,2,0,0.0,0,7,8,1,81.1,25.0,61.2,0.0,63.9,0.0,0,1,33,0.9,1,110,0,15,92.7,102,50.9,56,61.5,23,0,36.4,40,128,49,3.3,8.5,1.25
Nico Collins,61441,WR,HST,3,13.2,6,65.2,50.0,1,2,0,6.3,1,10,13,0,66.7,73.3,83.7,,80.9,0.0,0,0,32,0.0,0,107,0,15,96.3,103,18.7,20,118.0,23,1,81.3,87,260,107,7.1,17.3,2.52
Courtland Sutton,48164,WR,DEN,3,10.5,1,77.3,50.0,1,2,0,5.6,1,9,10,2,68.7,16.7,71.9,,70.1,0.9,1,1,25,0.0,0,117,1,17,91.5,107,23.1,27,113.6,22,2,76.1,89,189,53,3.1,11.1,1.77
Amari Cooper,9437,WR,CLV,3,15.1,0,77.3,85.7,6,7,0,0.0,0,12,8,0,82.2,73.6,80.3,,79.8,0.0,0,0,43,0.0,0,106,0,17,93.4,99,26.4,28,127.7,22,1,72.6,77,243,21,1.2,14.3,2.45
George Pickens,99229,WR,PIT,3,11.4,1,59.1,0.0,0,4,0,0.0,0,8,25,0,80.0,72.3,70.1,,70.9,0.0,0,1,71,0.0,0,112,2,13,96.4,108,9.8,11,92.6,22,1,90.2,101,238,114,8.8,18.3,2.2
Christian Kirk,47546,WR,JAX,3,8.0,2,72.7,0.0,0,2,0,11.1,2,8,15,0,52.8,73.6,64.3,75.7,65.0,0.0,0,0,45,0.9,1,113,0,16,94.7,107,69.9,79,110.6,22,1,28.3,32,173,53,3.3,10.8,1.62
Jakobi Meyers,47468,WR,LV,2,10.7,2,72.7,75.0,3,4,0,5.9,1,7,23,0,66.7,73.3,75.8,,76.1,0.0,0,1,21,0.0,0,72,1,16,90.3,65,18.1,13,105.5,22,2,81.9,59,166,29,1.8,10.4,2.55
Sam LaPorta,101690,TE,DET,3,6.0,3,81.8,80.0,4,5,0,0.0,0,9,11,0,82.7,73.9,80.7,79.1,79.4,45.9,45,0,45,10.2,10,98,0,18,84.7,83,20.4,20,117.0,22,1,33.7,33,186,76,4.2,10.3,2.24
Marquise Brown,61568,WR,ARZ,3,10.3,1,63.6,33.3,2,6,0,6.7,1,11,1,0,65.9,73.5,69.8,,72.2,0.0,0,0,23,0.0,0,99,1,14,86.9,86,17.2,17,112.5,22,2,81.8,81,143,24,1.7,10.2,1.66
Josh Downs,122832,WR,IND,3,5.1,2,71.4,100.0,1,1,0,0.0,0,6,14,0,81.7,73.3,65.5,,66.3,0.0,0,0,22,0.0,0,107,0,15,97.2,104,84.1,90,86.2,21,0,15.9,17,124,68,4.5,8.3,1.19
Tank Dell,78874,WR,HST,3,12.1,1,71.4,100.0,2,2,0,6.3,1,10,13,0,68.0,76.2,76.6,,77.5,0.0,0,0,68,0.0,0,102,0,15,94.1,96,26.5,27,143.2,21,2,72.5,74,251,78,5.2,16.7,2.61
Tyler Lockett,9502,WR,SEA,3,13.0,0,61.9,33.3,1,3,0,7.1,1,9,29,0,64.4,72.7,68.9,,68.6,0.0,0,0,16,0.0,0,112,0,13,90.2,101,35.7,40,105.9,21,2,64.3,72,103,33,2.5,7.9,1.02
Evan Engram,11778,TE,JAX,3,3.4,3,85.7,100.0,1,1,0,5.3,1,8,15,0,69.6,74.1,72.3,70.2,73.1,27.0,31,0,28,0.9,1,115,0,18,94.8,109,47.0,54,101.0,21,0,26.1,30,173,130,7.2,9.6,1.59
Garrett Wilson,97405,WR,NYJ,3,10.2,1,60.0,60.0,3,5,0,7.7,1,6,22,0,45.7,71.9,71.6,,69.9,0.0,0,2,68,0.0,0,104,0,12,95.2,99,22.1,23,80.2,20,2,77.9,81,165,82,6.8,13.8,1.67
Zach Ertz,7816,TE,ARZ,3,6.2,0,70.0,33.3,1,3,0,6.7,1,3,1,0,49.8,72.7,51.8,27.7,52.1,38.3,31,0,17,2.5,2,81,0,14,87.7,71,53.1,43,77.7,20,0,8.6,7,83,35,2.5,5.9,1.17
DeVonta Smith,61100,WR,PHI,3,14.0,0,75.0,25.0,1,4,0,0.0,0,7,24,0,81.1,73.7,70.4,,70.4,0.0,0,2,63,0.0,0,115,0,15,93.9,108,25.2,29,101.3,20,2,74.8,86,206,47,3.1,13.7,1.91
Romeo Doubs,84329,WR,GB,3,13.5,0,57.9,42.9,3,7,0,0.0,0,9,12,0,78.7,71.5,76.6,,74.7,0.0,0,1,30,0.0,0,90,0,11,93.3,84,17.8,16,96.3,19,3,82.2,74,129,24,2.2,11.7,1.54
