player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Justin Herbert,28237,QB,LAC,13,2.75,2.66,3.34,4.6,616,27,81.7,235,247,4.2,1.96,6,4,1.6,74.1,183,68,4.7,255,41.4,9,84,,,,,90.4,71.4,84.2,70.2,,,,,1,2,261,11.8,101.8,3.1,8,0,0,5,13,2,0.8,1411,5.7,76.5,272,314,9.0,3.34,13,15,4.5,62.4,196,164,5.8,358,58.1,12,103,,,,,72.2,74.6,85.7,73.9,,,60.4,,13,5,376,13.4,86.4,6.1,22,22,0,16,8,8,2.1,2291,7.3
Tom Brady,698,QB,TB,13,2.33,2.3,3.06,5.0,599,30,80.9,341,353,4.8,1.85,3,11,3.0,74.5,263,35,4.7,359,59.9,13,110,,,,,84.2,73.5,85.6,72.2,,,,,1,3,374,17.1,96.6,1.7,6,0,0,8,12,6,1.6,2087,5.9,65.3,199,223,12.3,3.07,6,18,7.4,52.9,118,83,9.2,238,39.7,12,72,,,,,90.4,80.9,84.2,79.7,,,53.3,,0,2,259,14.5,77.9,5.0,12,3,0,18,5,8,3.1,1498,6.7
Patrick Mahomes,11765,QB,KC,13,2.82,2.66,3.13,5.22,569,16,82.9,263,270,4.1,1.75,2,5,1.8,76.3,206,34,5.5,270,47.5,12,116,,,,,78.5,76.7,84.4,75.2,,,,,1,4,274,0.0,110.1,0.0,0,0,0,4,16,6,2.2,2001,7.4,70.6,197,240,13.0,3.83,4,21,7.7,53.8,129,162,7.2,296,52.0,10,118,,,,,90.9,91.9,85.2,89.1,,,89.5,,8,7,333,13.0,95.8,7.1,21,35,0,31,17,9,2.7,2160,9.0
Josh Allen,46601,QB,BUF,13,2.83,2.63,3.66,4.37,545,4,82.6,224,239,4.3,1.79,10,7,2.8,71.1,170,26,8.1,242,44.4,15,85,,,,,60.8,79.0,84.0,77.3,,,,,0,2,249,11.5,100.0,1.2,3,0,0,5,12,5,2.0,1454,6.1,68.8,208,230,14.3,3.67,2,27,11.0,56.5,130,155,9.1,302,55.4,13,121,,,,,68.0,90.8,52.8,79.3,,,94.4,,2,9,321,16.1,91.2,8.3,25,47,0,18,14,19,5.9,2099,9.1
Joe Burrow,28022,QB,CIN,13,2.52,2.39,3.02,4.6,534,7,78.2,284,302,6.2,1.91,12,10,3.1,69.9,211,44,5.0,310,58.1,11,109,,,,,68.5,89.2,85.1,86.7,,,,,1,6,326,18.2,101.4,2.6,8,0,0,5,17,3,0.9,2221,7.4,75.5,151,171,10.2,3.4,7,10,5.3,64.9,111,99,2.6,222,41.6,3,74,,,,,76.2,79.5,84.0,76.3,,,73.8,,4,3,245,27.3,104.0,12.2,27,24,0,9,10,7,2.9,1464,8.6
Kirk Cousins,7102,QB,MIN,13,2.71,2.63,3.01,5.44,530,18,77.3,198,212,5.0,1.99,6,5,2.2,68.4,145,59,5.2,218,41.1,8,64,,,,,90.2,65.5,83.7,64.8,,,,,3,2,229,10.2,90.2,2.8,6,0,0,5,7,7,3.1,1224,5.8,76.9,242,276,10.4,3.21,1,19,6.4,63.8,176,144,5.4,312,58.9,10,112,,,,,57.4,83.2,85.2,80.2,,,75.3,,8,7,337,18.8,92.6,8.7,27,9,0,25,13,12,3.6,2133,7.7
Trevor Lawrence,77632,QB,JAX,13,2.49,2.36,3.34,5.07,499,15,85.2,271,283,4.6,1.82,9,9,3.1,74.2,210,41,9.1,285,57.1,21,97,,,,,90.7,80.6,84.8,78.8,,,,,0,2,297,4.9,104.8,0.7,2,0,0,3,14,4,1.3,1855,6.6,64.5,155,173,13.6,3.42,4,12,6.4,53.8,93,94,7.0,212,42.5,7,75,,,,,23.7,63.8,83.7,61.2,,,72.1,,3,4,230,22.3,81.4,9.9,21,18,0,11,6,13,5.7,1353,7.8
Geno Smith,7820,QB,SEA,13,2.81,2.61,3.68,5.18,487,29,82.5,206,212,6.2,1.98,3,8,3.5,77.8,165,45,2.9,218,44.8,5,77,,,,,90.2,76.2,83.8,74.7,,,,,1,3,233,13.3,100.2,2.8,6,0,0,2,6,9,3.9,1528,7.2,73.6,197,216,10.7,3.49,2,19,8.1,65.3,141,120,2.8,268,55.0,4,99,,,,,78.8,82.9,51.2,78.0,,,85.3,,3,5,287,23.3,112.9,10.4,28,24,0,14,19,13,4.5,1905,8.8
Jared Goff,10635,QB,DET,13,2.7,2.6,3.55,5.28,475,11,80.7,207,217,4.9,1.95,7,5,2.2,73.3,159,35,4.8,218,45.9,8,75,,,,,90.2,77.8,83.6,76.2,,,,,2,1,224,2.9,105.8,0.5,1,0,0,1,11,4,1.8,1440,6.6,74.6,197,226,11.0,3.35,3,8,3.3,58.0,131,112,10.9,256,53.9,16,99,,,,,49.4,55.9,84.5,56.8,,,52.3,,3,6,280,16.1,90.8,7.0,18,12,0,23,11,17,6.1,1912,8.5
Matt Ryan,4317,QB,IND,11,2.59,2.49,3.33,4.86,471,14,84.7,235,249,5.1,1.97,5,3,1.1,75.5,188,48,5.5,254,53.9,11,87,,,,,77.7,75.9,49.0,74.9,,,,,3,5,268,10.4,97.4,2.0,5,0,0,6,9,8,3.0,1715,6.9,70.4,152,178,8.3,3.33,4,3,1.6,57.3,102,108,4.7,217,46.1,5,62,,,,,22.2,47.9,83.7,47.3,,,66.7,,1,8,229,27.8,65.9,13.8,30,9,0,21,4,14,6.1,1168,6.6
