player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Matt Feiler,9289,G,LAC,13,0,27,59.9,3,26,620,100.0,100.0,97.2,2,32,3,644,644,52.1,2,18,291,100.0,100.0,96.2,21,1,304,304
Robert Hainsey,59980,C,TB,13,1,30,69.0,3,13,600,100.0,100.0,98.7,1,16,0,639,639,59.6,2,8,278,100.0,100.0,98.2,10,0,299,299
Shaq Mason,9564,G,TB,13,0,30,73.5,6,11,600,100.0,100.0,98.4,0,18,1,639,639,72.0,4,8,278,100.0,100.0,97.5,13,1,299,299
Zion Johnson,99681,G,LAC,13,1,27,50.1,5,23,612,100.0,100.0,97.2,3,31,3,636,636,33.3,5,18,287,100.0,100.0,94.9,26,3,300,300
Kelvin Beachum,7229,T,ARZ,13,0,1,74.7,4,30,580,100.0,100.0,96.2,2,39,5,621,621,65.3,4,21,226,100.0,100.0,92.7,29,4,241,241
Creed Humphrey,59996,C,KC,13,0,16,79.2,2,12,570,100.0,100.0,98.8,3,14,0,611,611,67.6,1,9,238,100.0,100.0,97.9,10,0,261,261
Orlando Brown Jr.,46227,T,KC,13,1,16,73.1,7,30,570,100.0,100.0,96.2,2,40,3,611,611,73.3,4,20,238,100.0,100.0,94.1,26,2,261,261
Andrew Wylie,12333,T,KC,13,3,16,61.6,4,28,545,100.0,100.0,95.8,8,39,7,585,585,62.2,1,17,230,100.0,100.0,93.9,23,5,253,253
Ed Ingram,59819,G,MIN,13,1,18,37.4,14,26,542,100.0,100.0,94.6,2,49,9,580,580,25.8,10,21,254,100.0,100.0,91.1,38,7,272,272
Brian O'Neill,46854,T,MIN,13,0,18,75.0,4,12,542,100.0,100.0,97.8,0,20,4,580,580,70.2,3,10,254,100.0,100.0,95.9,17,4,272,272
Cordell Volson,30614,G,CIN,13,1,7,50.4,9,18,541,100.0,100.0,96.8,2,31,4,580,580,61.8,3,10,228,100.0,100.0,96.3,15,2,249,249
Ezra Cleveland,41973,G,MIN,13,1,18,54.4,14,21,541,100.0,100.0,96.2,1,38,3,579,579,47.1,9,17,253,100.0,100.0,94.1,28,2,271,271
Alex Cappa,66578,G,CIN,13,0,7,69.2,4,10,540,100.0,100.0,98.1,0,17,3,579,579,68.3,2,8,228,100.0,100.0,96.5,13,3,249,249
Ted Karras,10855,C,CIN,13,0,7,76.2,1,12,540,100.0,100.0,98.4,0,15,2,579,579,71.9,1,8,228,100.0,100.0,97.1,11,2,249,249
Jonah Williams,41651,T,CIN,13,0,7,62.3,6,18,536,100.0,100.0,96.1,3,33,9,575,575,69.8,2,7,225,100.0,100.0,95.3,15,6,246,246
Rodger Saffold,5558,G,BUF,13,0,4,56.7,4,21,547,100.0,100.0,97.5,2,26,1,574,574,48.2,3,15,238,100.0,100.0,95.8,19,1,257,257
Quenton Nelson,12954,G,IND,13,1,14,75.2,4,17,541,100.0,100.0,97.5,4,24,3,573,573,64.3,3,16,281,100.0,100.0,95.9,21,2,297,297
La'el Collins,9719,T,CIN,13,2,7,43.9,5,21,523,100.0,100.0,96.7,6,30,4,560,560,41.4,3,14,220,100.0,100.0,94.8,20,3,239,239
Chukwuma Okorafor,46302,T,PIT,13,1,25,65.4,2,26,516,100.0,100.0,96.7,4,31,3,556,556,60.5,2,20,280,100.0,100.0,95.4,24,2,295,295
Kevin Dotson,46735,G,PIT,13,1,25,73.2,4,6,516,100.0,100.0,98.3,4,14,4,556,556,71.4,3,4,280,100.0,100.0,97.3,11,4,295,295
James Daniels,45576,G,PIT,13,2,25,69.6,3,15,516,100.0,100.0,98.3,5,18,0,556,556,56.6,3,12,280,100.0,100.0,97.3,15,0,295,295
Dan Moore Jr.,60120,T,PIT,13,1,25,68.9,8,18,516,100.0,100.0,96.3,4,32,6,556,556,53.7,8,15,280,100.0,100.0,94.1,28,5,295,295
Ryan Bates,28300,G,BUF,13,1,4,61.9,3,18,520,100.0,100.0,97.8,1,22,1,546,546,51.8,1,13,226,100.0,100.0,96.5,15,1,244,244
Laken Tomlinson,9461,G,NYJ,13,1,22,69.9,3,22,526,100.0,100.0,97.6,1,25,0,545,545,62.9,2,17,238,100.0,100.0,96.0,19,0,247,247
Connor McGovern,10778,C,NYJ,13,0,22,72.0,3,9,525,100.0,100.0,98.3,2,15,3,544,544,65.4,2,6,238,100.0,100.0,97.1,11,3,247,247
Trey Smith,62960,G,KC,12,2,16,69.1,1,22,503,100.0,100.0,97.3,4,25,2,539,539,62.2,1,12,206,100.0,100.0,95.9,15,2,227,227
Luke Fortner,42028,C,JAX,13,0,15,60.2,5,20,503,100.0,100.0,97.3,1,26,1,535,535,49.6,2,15,207,100.0,100.0,95.9,17,0,219,219
Donovan Smith,9467,T,TB,11,0,30,68.8,6,16,501,100.0,100.0,96.6,6,28,6,533,533,59.9,3,14,242,100.0,100.0,94.8,21,4,258,258
Charles Leno Jr.,8880,T,WAS,13,0,32,85.3,6,16,502,100.0,100.0,96.8,0,27,5,533,533,78.2,3,13,215,100.0,100.0,94.0,21,5,232,232
Ryan Kelly,10652,C,IND,13,0,14,63.1,2,11,504,100.0,100.0,97.7,1,18,5,532,532,64.6,1,7,255,100.0,100.0,96.9,12,4,270,270
Connor Williams,46216,C,MIA,13,0,17,69.6,1,6,501,100.0,100.0,98.9,3,9,2,531,531,49.3,1,6,151,100.0,100.0,96.4,9,2,158,158
Andrew Norwell,9126,G,WAS,13,1,32,58.0,3,18,500,100.0,100.0,97.1,3,25,4,531,531,51.5,1,10,213,100.0,100.0,95.5,15,4,230,230
Braden Smith,46794,T,IND,12,2,14,76.7,6,11,501,100.0,100.0,97.5,5,21,4,531,531,76.2,3,9,259,100.0,100.0,96.9,14,2,274,274
Jawaan Taylor,41665,T,JAX,13,0,15,75.4,0,6,499,100.0,100.0,98.6,2,10,4,530,530,75.3,0,4,203,100.0,100.0,97.5,7,3,214,214
Robert Hunt,46139,G,MIA,13,2,17,75.8,2,11,500,100.0,100.0,98.3,3,15,2,530,530,59.1,1,7,150,100.0,100.0,96.0,10,2,157,157
Joe Thuney,10712,G,KC,11,0,16,86.3,4,9,494,100.0,100.0,98.5,0,14,1,530,530,77.9,2,8,208,100.0,100.0,97.1,11,1,228,228
Garrett Bradbury,46013,C,MIN,12,0,18,68.1,4,18,495,100.0,100.0,97.4,1,24,2,530,530,59.2,2,15,227,100.0,100.0,95.4,19,2,244,244
Brandon Scherff,9438,G,JAX,13,0,15,67.9,1,12,497,100.0,100.0,97.9,1,17,4,529,529,53.7,1,7,204,100.0,100.0,96.1,12,4,216,216
Cam Robinson,11789,T,JAX,13,1,15,75.1,3,17,496,99.8,99.6,97.2,2,24,4,527,529,57.3,3,14,204,100.0,100.0,94.4,20,3,216,216
Joel Bitonio,8670,G,CLV,13,0,8,78.0,5,11,485,100.0,100.0,98.1,3,17,1,523,523,76.3,3,7,233,100.0,100.0,97.4,11,1,252,252
Charles Cross,98401,T,SEA,13,0,29,73.0,3,28,488,100.0,100.0,95.8,3,36,5,522,522,70.0,1,20,223,100.0,100.0,93.9,24,3,239,239
Abraham Lucas,60218,T,SEA,13,0,29,71.2,7,11,488,100.0,100.0,96.9,1,24,6,522,522,65.5,6,8,223,100.0,100.0,94.6,19,5,239,239
Mason Cole,45547,C,PIT,13,1,25,66.8,2,13,482,100.0,100.0,98.0,1,17,2,521,521,54.1,2,11,255,100.0,100.0,96.7,15,2,270,270
Tristan Wirfs,64818,T,TB,11,0,30,90.0,1,2,488,100.0,100.0,99.5,1,4,1,521,521,90.3,0,1,215,100.0,100.0,99.8,1,0,232,232
Rob Havenstein,9490,T,LA,13,2,26,66.4,6,21,499,100.0,100.0,96.3,4,32,5,515,515,58.0,5,19,219,100.0,100.0,93.2,27,3,226,226
Jedrick Wills Jr.,58467,T,CLV,13,1,8,68.6,9,19,474,100.0,100.0,96.2,5,32,4,511,511,65.2,4,13,226,100.0,100.0,94.5,21,4,244,244
Taylor Decker,10650,T,DET,13,0,11,72.2,6,18,475,100.0,100.0,96.8,1,27,3,507,507,59.2,3,15,219,100.0,100.0,94.5,21,3,238,238
