"Player","Team","Pos","Notes","HPPR Rank","Exp Rank","Half PPR","Exp","Over Exp"
"T.Pollard","DAL","RB","Can the Cowboys play a normal game? ","12","1","14.2","21.6","-7.5"
"C.McCaffrey","SF","RB","Seems good.","1","2","27.8","21.5","6.2"
"A.Kamara","NO","RB","Ban PPR, but 75% snaps is a big win.","11","3","14.9","20.4","-5.5"
"K.Williams","LA","RB","At least 17.4 xFPs in all 4 games. Wow.","6","4","19","19.1","-0.1"
"D.Montgomery","DET","RB","Playing well and sets up PA for Goff. Real.","5","5","20.1","18.7","1.5"
"J.Jacobs","LV","RB","Rough stats, but 16.1 xFPs in 3-of-4 games.","19","6","12.2","18","-5.8"
"Z.Moss","IND","RB","RB1 usage again, but JT can return now.","9","7","15.7","17.1","-1.3"
"A.Mattison","MIN","RB","69% snaps, 11.1 xFPs with Akers in a win.","21","8","10.7","16.1","-5.5"
"K.Walker","SEA","RB","45% rushing success rate is above average.","7","9","17.4","15.7","1.7"
"R.White","TB","RB","Real usage, but predicatably inefficient.","23","10","10.4","14.2","-3.8"
"M.Sanders","CAR","RB","DNP on Friday hinted at legit Week 4 injury.","25","11","9.4","14","-4.7"
"I.Pacheco","KC","RB","Started, played 60% snaps, had 14.6 xFPs.","14","12","13.3","13.7","-0.4"
"D.Swift","PHI","RB","12.2 & 14.4 xFPs with Gainwell back. Solid.","13","13","14.2","13.5","0.6"
"D.Pierce","HOU","RB","15.2, 14.2, 16.0 xFPs recently. OTs coming.","27","14","8.7","13.5","-4.8"
"B.Robinson","ATL","RB","Exp half PPR: In wins (15.4), in losses (10.1).","10","15","15.2","13.2","1.9"
"T.Etienne","JAX","RB","85% snaps in Week 4. Needs a big run.","20","16","12.2","13","-0.9"
"B.Robinson","WAS","RB","Exp half PPR: In big loss (7.2), others (14.8).","8","17","16","12.9","3.2"
"R.Mostert","MIA","RB","Season-low 9.6 xFPs in Week 4. Played bad.","4","18","21.2","12.8","8.5"
"A.Jones","GB","RB","Removed Weeks 2-4 (hamstring).","2","19","25.7","12.7","13"
"J.Cook","BUF","RB","Goal line TD with Latavius gassed. RB2.","15","20","13.2","12.7","0.4"
"D.Henry","TEN","RB","Exp half PPR: 2022 (15.8), 2023 (12.7).","16","21","12.9","12.7","0.3"
"R.Stevenson","NE","RB","Exp half PPR: 2022 (14.5), 2023 (12.6).","26","22","9.3","12.6","-3.3"
"D.Achane","MIA","RB","21.6 & 14.4 xFPs as co-starter. Elite scheme.","3","23","25.4","12.5","12.9"
"J.Mixon","CIN","RB","Exp half PPR: 2022 (18.1), 2023 (12.4).","22","24","10.5","12.4","-1.9"
"J.Conner","ARI","RB","Season-low 7.3 xFPs in Week 4 big loss.","17","25","12.7","12","0.7"
"J.Gibbs","DET","RB","6.9, 12.4, and 8.9 xFPs with balling D Mont.","29","26","8","10.9","-2.9"
"J.Williams","DEN","RB","Removed Week 4 (hip).","32","27","7.3","10.5","-3.2"
"J.Kelley","LAC","RB","Ekeler is due back after Week 5 bye.","34","28","6.9","10.5","-3.5"
"K.Gainwell","PHI","RB","Season-low 4.7 xFPs in close win.","41","29","5.9","10.1","-4.1"
"J.Ford","CLE","RB","12.8, 9.9, 10.2 xFPs as starter. Flex with DW.","18","30","12.3","10","2.3"
"T.Allgeier","ATL","RB","Exp half PPR: In wins (13.5), losses (6.4).","28","31","8.3","10","-1.6"
"K.Herbert","CHI","RB","Season-high 16.4 xFP thanks to a rare lead.","24","32","9.7","9.6","0.1"
"J.Warren","PIT","RB","8.0 to 10.1 xFPs in all 4 games. 1b in PIT.","31","33","7.5","8.8","-1.3"
"N.Harris","PIT","RB","Exp half PPR: 2022 (13.4), 2023 (8.2).","38","34","6.6","8.2","-1.6"
"A.Dillon","GB","RB","Season-low 5.0 xFPs with Jones back.","53","35","4","8.1","-4.2"
"R.Johnson","CHI","RB","Only 6.4 xFPs even with a lead in Week 4.","35","36","6.9","7.9","-1"
"J.Hill","BAL","RB","Only 1.4 xFPs in return from toe injury.","30","37","7.7","7.6","0"
"C.Hubbard","CAR","RB","Season-high 12.4 xFP with MS injured.","42","39","5.8","7","-1.3"
"S.Perine","DEN","RB","Under 8.0 xFPs in all games.","45","38","5.4","7","-1.6"
"G.Edwards","BAL","RB","Season-high 10.5 xFPs in Week 4 big win.","33","40","7.1","6.9","0.2"
"L.Murray","BUF","RB","Keeps playing ahead of Damien Harris.","36","42","6.9","6.8","0.1"
"E.Elliott","NE","RB","5.4 xFPs since Week 1 when RS was ill.","48","41","5.1","6.8","-1.7"
"Bre.Hall","NYJ","RB","44% snaps, 7.7 xFPs in near Week 4 win.","37","43","6.9","6.6","0.4"
"T.Spears","TEN","RB","Great bench hold.","49","44","5","6.5","-1.5"
"D.Cook","NYJ","RB","Fewer snaps than Michael Carter in Week 4.","54","45","4","6.4","-2.5"
"T.Jones","NO","RB","No.","43","46","5.8","6.2","-0.4"
"R.Dowdle","DAL","RB","Great bench hold.","46","47","5.4","5.7","-0.4"
"Z.Charbonnet","SEA","RB","Great bench hold.","56","48","3.7","5.7","-2"
"D.Singletary","HOU","RB","Mid bench hold.","57","49","3.5","5.3","-1.8"
"M.Breida","NYG","RB","12.1 xFPs in blowout loss. Saquon is closer.","47","50","5.3","5.1","0.2"
"C.Akers","MIN","RB","5.0 xFPs, 30% snaps in Vikings debut.","40","51","6.1","5","1.1"
"C.Edwards-Helaire","KC","RB","Mid bench hold.","50","53","5","4.5","0.5"
"D.Harris","BUF","RB","Mid bench hold.","51","52","4.2","4.5","-0.4"
"J.McKinnon","KC","RB","Mid bench hold.","44","54","5.6","4.2","1.3"
"A.Gibson","WAS","RB","Mid bench hold.","52","56","4.1","4.2","-0.1"
"E.Mitchell","SF","RB","Great bench hold.","62","55","2.3","4.2","-1.9"
"T.Kelce","KC","TE","Exp half PPR: 2022 (13.9), 2023 (12.4).","2","1","12","12.4","-0.4"
"J.Ferguson","DAL","TE","Tied with Davante Adams for RZ targets (10).","9","2","7.3","11.7","-4.4"
"Z.Ertz","ARI","TE","43-of-49 Week 4 routes. What year is it?","14","3","5.9","10.6","-4.7"
"T.Hockenson","MIN","TE","TE4 routes with MIN 7th in neutral pass.","3","4","11.2","10.5","0.7"
"M.Andrews","BAL","TE","22% targets since Week 2 is less than usual.","1","5","13.7","8.5","5.1"
"S.LaPorta","DET","TE","Rookie TE4 all time in first 4 games.","4","6","10.3","8.3","2"
"T.Higbee","LA","TE","TE1 overall in routes, but Kupp is close.","11","7","6.9","8.1","-1.2"
"C.Kmet","CHI","TE","TE13 overall routes keeps him in the mix.","5","8","10","7.9","2.1"
"E.Engram","JAX","TE","Exp half PPR: With Zay (5.4), w/o (8.4).","7","9","8.9","7.6","1.3"
"H.Henry","NE","TE","TE5 overall in routes.","6","10","9.5","7.5","2"
