#,Name,ID,Salary,ceil,fpts,course_fit,total_points,final_prediction,win,residuals,proj_own_avg,own_change,own
3,Sungjae Im,23394630,10000,93,75.02,2.47,90.9,1.421,0.0703,2.69,17.42,12.46,0.3
5,Adam Hadwin,23394632,9600,84,65.29,2.2,78.3,0.807,0.0292,-0.73,15.32,9.54,0.25
2,Hideki Matsuyama,23394629,10300,89.85,72.18,2.12,86.8,1.214,0.0539,0.41,18.87,9.75,0.3
14,Martin Laird,23394642,8200,78,57.29,1.92,74,0.552,0.0196,0.15,10.29,8.71,0.2
19,Brendon Todd,23394649,7700,76,54.55,1.84,71.9,0.468,0.0158,0.3,8.3,8.43,0.15
10,Chez Reavie,23394637,8700,75.5,54.56,1.74,74.1,0.486,0.018,-0.64,7.99,7.51,0.15
1,Tony Finau,23394628,10500,94.5,76.89,1.52,86.6,1.228,0.0473,-0.67,20.87,6.51,0.3
17,Jason Day,23394647,7800,77.5,56.67,1.46,72.2,0.404,0.0158,0.18,7.62,6.66,0.15
20,Rickie Fowler,23394650,7700,72.5,49.49,1.32,66.4,0.076,0.0098,-0.48,8.85,5.7,0.15
9,Cameron Tringale,23394636,8800,84,66.37,1.27,79.7,0.871,0.0292,0.5,15.74,5.96,0.2
26,C.T. Pan,23394656,7500,79,59,1.27,72.5,0.438,0.0152,0.48,9.53,5.96,0.15
6,Maverick McNealy,23394633,9300,83,64.71,1.23,79.4,0.804,0.0266,-0.52,18.46,5.27,0.25
41,John Huh,23394674,7100,75.5,53.43,1.21,66.3,0.11,0.0084,0.11,3.67,5.5,0.1
11,Adam Long,23394638,8600,78,57.84,1.14,77.3,0.691,0.0231,0.08,15.95,5.17,0.2
25,Matthew NeSmith,23394655,7500,79.5,60.02,1.14,76.2,0.644,0.0222,1.41,12.29,5.84,0.2
7,Davis Riley,23394634,9000,83.5,64.45,1.1,78.1,0.748,0.0253,-0.22,24.96,4.84,0.3
45,Andrew Putnam,23394678,7100,72.5,49.38,1.07,66.9,0.125,0.0078,0.03,2.5,4.83,0.05
12,J.T. Poston,23394639,8500,79,58.92,1.06,75.3,0.562,0.0186,-0.33,11,4.61,0.15
33,Doug Ghim,23394664,7300,75.5,54.43,0.98,71.3,0.403,0.0158,0.81,7.82,4.82,0.15
87,Brian Stuard,23394721,6600,69,44.78,0.96,57.2,-0.464,0.0029,0.15,1.36,4.39,0.05
31,Michael Thompson,23394662,7300,71.5,48.53,0.94,65.5,0.011,0.0073,-0.35,5.82,4.06,0.1
13,Brendan Steele,23394641,8300,79.5,60.96,0.92,79.3,0.811,0.0322,1.55,19.66,4.92,0.25
4,Sahith Theegala,23394631,9800,82,62.69,0.86,74.6,0.581,0.0201,-1.99,18.24,2.88,0.05
