player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,DI,BLT,13,0,,,4.1,,,0,0,1,,3,58.6,76.6,87.7,72.1,70.0,33.1,0,,100.0,5,0,0,0.0,0,15,366,5,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,15,2,-1.5,100.0,4.8,6.0,6.0,0,0,0,0.0,24,72.7,90.5,71.9,88.8,78.0,57.4,0,2,20.0,1,0,1,79.2,2,12,249,11,2,2,0,2,5,0.2,1.0
Jason Pierre-Paul,5540,ED,BLT,12,0,2.4,100.0,5.7,2.8,2.8,1,0,0,0.0,3,58.5,53.4,57.5,53.3,58.1,45.5,1,24,33.3,2,0,2,69.6,5,16,283,4,4,5,0,51,39,3.6,10.2
Kareem Jackson,5545,S,DEN,15,3,9.6,66.7,99.7,26.1,17.4,0,1,4,12.1,10,62.3,64.7,74.0,56.7,68.5,56.3,0,23,17.1,7,3,1,115.0,22,613,615,7,31,33,3,214,53,0.4,9.7
Devin McCourty,5552,S,NE,15,2,15.4,57.9,99.7,51.8,30.0,0,2,3,15.8,19,69.3,70.4,87.3,55.5,70.3,87.2,3,54,4.7,2,3,0,87.3,11,597,599,4,39,19,2,189,44,0.3,17.2
Jerry Hughes,5556,ED,HST,15,0,,,0.9,,,2,0,0,,13,68.1,72.5,60.6,72.8,58.2,25.5,1,,77.8,7,0,3,0.0,0,3,339,9,2,0,0,0,0,0.0,
Carlos Dunlap,5579,ED,KC,15,1,8.0,100.0,4.8,16.0,16.0,0,0,0,0.0,16,56.0,67.6,90.0,61.0,72.3,60.7,0,8,25.0,2,0,1,100.0,1,16,331,8,5,1,0,8,0,0.5,8.0
Von Miller,6154,ED,BUF,11,0,,,1.3,,,0,0,0,,4,74.2,85.8,26.0,81.8,78.8,53.2,0,,40.0,2,0,4,0.0,0,4,315,11,3,0,0,0,0,0.0,
Patrick Peterson,6157,CB,MIN,15,2,11.7,59.4,99.7,15.2,9.0,0,0,12,17.4,18,82.1,80.3,67.2,62.7,64.6,73.2,4,38,8.0,4,9,4,71.8,41,658,660,11,44,69,3,495,186,0.8,12.1
J.J. Watt,6163,DI,ARZ,14,1,-1.0,100.0,0.6,3.0,3.0,0,0,0,0.0,1,64.5,71.5,38.5,72.4,64.6,50.5,0,5,33.3,1,0,6,87.5,1,3,477,11,1,1,0,5,6,1.7,5.0
