player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,BLT,13,2,0,3,72.1,11,14,331,95.9,13.3,44,0,5.6,6,366,351,31,2,81.1,7,10,156,98.2,21.8,34,9.3,6,167,164,23
Ndamukong Suh,5527,DI,PHI,6,0,0,24,54.4,0,5,74,100.0,9.5,7,0,6.1,2,75,75,7,0,48.2,0,2,35,100.0,11.4,4,5.7,1,36,36,3
Tyson Alualu,5535,DI,PIT,15,1,0,25,58.7,2,6,128,100.0,7.0,9,2,3.9,1,135,135,9,1,61.4,2,5,65,100.0,9.2,6,5.4,0,67,67,7
Brandon Graham,5538,ED,PHI,15,1,0,24,88.8,3,26,226,95.2,22.6,51,1,11.3,11,249,237,40,0,90.0,1,14,105,95.8,28.6,30,15.7,9,118,113,24
Jason Pierre-Paul,5540,ED,BLT,12,3,1,3,53.3,0,14,251,94.3,7.6,19,2,3.6,2,283,267,16,1,53.3,0,8,111,96.7,9.9,11,5.4,2,123,119,10
Kareem Jackson,5545,S,DEN,15,0,0,10,56.7,0,0,2,0.3,0.0,0,1,0.0,0,615,2,0,0,,0,0,0,0.0,,0,,0,272,0,0
Devin McCourty,5552,S,NE,15,0,0,19,55.5,0,0,2,0.3,0.0,0,0,0.0,0,599,2,0,0,55.5,0,0,2,0.7,0.0,0,0.0,0,278,2,0
Jerry Hughes,5556,ED,HST,15,0,2,13,72.8,0,43,324,99.1,18.8,61,3,9.1,8,339,336,51,0,67.8,0,16,134,97.9,21.6,29,9.7,5,141,138,21
Linval Joseph,5571,DI,PHI,6,0,0,24,61.1,0,2,63,100.0,6.3,4,1,3.2,1,63,63,3,0,64.7,0,2,16,100.0,12.5,2,6.3,0,16,16,2
Carlos Dunlap,5579,ED,KC,15,6,0,16,61.0,4,16,292,95.2,11.3,33,1,5.1,5,331,315,25,4,58.5,3,7,132,92.9,11.4,15,6.8,4,155,144,14
Corey Peters,5607,DI,JAX,10,0,0,15,58.5,1,5,102,100.0,7.8,8,0,2.9,0,108,108,6,0,61.6,1,2,33,100.0,12.1,4,4.5,0,34,34,3
Al Woods,5646,DI,SEA,12,1,0,29,68.6,0,10,128,99.3,10.2,13,1,5.5,2,134,133,12,0,71.9,0,4,32,97.1,15.6,5,9.4,1,35,34,5
