,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
SE Louisiana,1/6/2022 12:00,-240,8.33,-6,18.18,143.5,18.18,67.6,74.8,68.8
Houston Baptist,1/6/2022 12:00,195,39,6,18.18,143.5,18.18,32.4,68.8,74.8
Loyola-Chicago,1/6/2022 14:00,,,-2.5,,130.5,,,,
San Francisco,1/6/2022 14:00,,,2.5,,130.5,,,,
New Orleans,1/6/2022 14:30,-110,18.18,0.5,18.18,149,18.18,50,74.3,74.8
McNeese State,1/6/2022 14:30,-110,18.18,-0.5,18.18,149,18.18,50,74.8,74.3
Radford,1/6/2022 16:00,-195,10.26,-4.5,19.05,133.5,18.18,63.7,69,64.5
USC Upstate,1/6/2022 16:00,165,33,4.5,17.39,133.5,18.18,36.3,64.5,69
NJIT,1/6/2022 18:00,,,6.5,19.05,132.5,17.39,,63,69.5
Massachusetts-Lowell,1/6/2022 18:00,,,-6.5,17.39,132.5,19.05,,69.5,63
Northwestern State,1/6/2022 18:00,300,60,8,19.05,151.5,18.18,23.8,71.8,79.8
Texas A&M-Corpus Christi,1/6/2022 18:00,-400,5,-8,17.39,151.5,18.18,76.2,79.8,71.8
Coastal Carolina,1/6/2022 19:00,100,20,1.5,17.39,136.5,17.39,47.8,67.5,69
Troy,1/6/2022 19:00,-120,16.67,-1.5,19.05,136.5,19.05,52.2,69,67.5
Texas-Arlington,1/6/2022 19:00,290,58,8,18.18,137.5,16.67,24.5,64.8,72.8
Georgia State,1/6/2022 19:00,-380,5.26,-8,18.18,137.5,20,75.5,72.8,64.8
Binghamton,1/6/2022 19:00,155,31,3.5,20,125.5,18.18,37.9,61,64.5
Albany,1/6/2022 19:00,-180,11.11,-3.5,16.67,125.5,18.18,62.1,64.5,61
New Hampshire,1/6/2022 19:00,410,82,9.5,20,126.5,18.18,18.7,58.5,68
Vermont,1/6/2022 19:00,-575,3.48,-9.5,16.67,126.5,18.18,81.3,68,58.5
Maryland,1/6/2022 19:00,,,11.5,,139.5,,,,
Illinois,1/6/2022 19:00,,,-11.5,,139.5,,,,
Ohio State,1/6/2022 19:00,115,23,3,17.39,138,18.18,44.7,67.5,70.5
