player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
C.J. Stroud,129759,QB,HST,12,10.95,0,466,13,68.8,321,346,10.1,3.12,3,20,5.4,59.5,206,178,6.8,415,89.1,15,146,,,,,67.9,74.3,74.1,73.4,57.4,61.6,,6,9,441,21.9,85.5,9.4,39,30,1,15,14,14,3.2,2588,7.5,70.0,273,295,8.4,2.84,4,14,4.4,60.3,178,140,6.8,348,74.7,13,108,,,,,62.4,71.4,72.5,70.8,60.0,58.3,,5,6,371,24.3,83.9,9.8,34,18,1,12,10,9,2.4,2033,6.9,78.1,96,101,8.0,3.35,0,6,5.7,71.3,72,39,4.0,118,25.3,3,47,,,,,86.4,75.0,81.4,73.7,57.4,65.6,,1,3,123,12.8,97.1,4.2,5,12,0,4,4,5,4.1,842,8.3,0,93.8,48,50,-3.8,1.75,1,0,0.0,88.0,44,1,2.2,51,10.9,1,9,,,,,80.8,65.4,78.3,65.0,60.0,,,0,0,53,0.0,90.6,0.0,0,0,0,1,0,0,0.0,287,5.7,1.45
Geno Smith,7820,QB,SEA,11,-2.31,0,461,29,75.2,327,353,9.3,2.93,8,20,5.1,66.3,234,171,4.9,409,88.7,12,148,,,,,65.5,81.2,41.1,80.9,58.9,62.3,,2,11,449,21.6,87.4,9.0,37,19,2,14,12,12,2.7,2692,7.6,78.3,314,341,8.0,2.78,9,20,5.3,69.5,237,150,3.7,390,84.6,9,137,,,,,63.8,81.4,39.6,81.1,,63.1,,2,11,426,20.7,89.8,7.9,31,18,2,14,11,11,2.6,2655,7.8,75.4,61,64,7.1,2.93,1,0,0.0,67.2,43,27,6.5,71,15.4,3,23,,,,,83.2,68.7,79.7,68.6,58.9,58.3,,0,1,78,22.2,81.5,8.5,6,1,0,2,1,1,1.3,380,5.9,0,95.8,48,52,-2.3,1.85,2,0,0.0,88.5,46,6,0.0,52,11.3,0,12,,,,,81.0,67.1,78.3,66.4,,,,0,1,55,0.0,86.1,0.0,0,0,0,2,0,0,0.0,343,6.6,-1.85
Bo Nix,97790,QB,DEN,12,2.46,0,457,10,71.8,312,342,10.2,3.25,11,13,3.6,60.8,208,132,7.1,394,86.2,16,121,,,,64.7,91.5,73.2,26.9,70.4,90.3,72.7,,4,6,417,14.4,85.8,4.8,19,33,1,14,13,7,1.7,2269,6.6,75.9,261,285,8.5,2.96,11,11,3.6,64.2,183,103,7.6,332,72.6,15,96,,,,,91.2,72.4,21.2,70.4,60.0,72.1,,2,4,351,16.5,87.9,5.1,17,26,1,10,10,6,1.7,1813,6.4,75.2,105,114,6.8,3.2,1,2,1.6,66.7,76,32,3.8,125,27.4,3,36,,,,64.7,70.0,68.0,81.7,65.4,90.6,63.6,,2,2,134,6.3,94.7,1.6,2,8,0,6,6,1,0.7,735,6.4,0,98.1,54,57,-4.2,1.6,1,0,0.0,89.5,51,3,3.8,63,13.8,2,11,,,,,54.7,62.9,79.1,63.1,,58.3,,0,0,68,0.0,104.6,0.0,0,1,0,2,3,0,0.0,279,4.9,0.09
Joe Burrow,28022,QB,CIN,11,-1.12,0,453,7,75.5,355,381,9.1,2.79,4,21,5.2,66.1,252,153,6.0,425,93.8,16,154,,,,,58.5,90.6,56.3,89.7,,68.8,,7,3,449,17.0,107.8,6.1,26,16,0,15,26,8,1.8,2850,7.5,76.1,305,325,8.2,2.6,2,16,4.7,67.4,219,121,5.6,360,79.5,13,137,,,,,52.3,90.1,70.3,88.7,,65.2,,6,4,382,16.5,108.3,5.6,20,12,0,12,24,6,1.6,2388,7.3,78.4,74,83,8.8,3.13,3,5,5.7,66.3,55,35,5.2,93,20.5,3,27,,,,,84.8,78.6,0.0,77.2,,68.0,,1,0,98,17.1,101.5,6.5,6,4,0,5,3,2,2.0,640,7.7,0,91.7,24,27,-3.4,1.58,1,0,0.0,81.5,22,3,0.0,28,6.2,0,10,,,,,77.6,64.4,76.3,65.2,,58.3,,0,1,31,0.0,91.0,0.0,0,0,0,2,1,0,0.0,178,6.6,0.36
Caleb Williams,144622,QB,CHI,11,-1.61,0,448,6,69.8,278,311,10.3,3.17,7,15,4.4,58.8,183,144,5.7,383,85.5,11,112,,,,,87.1,68.1,25.7,65.0,,76.5,,4,5,419,28.5,81.6,10.7,41,31,2,20,10,12,2.9,1977,6.4,73.1,279,310,8.2,2.82,7,11,3.2,62.9,195,118,4.4,368,82.1,9,98,,,,,86.5,65.6,24.4,62.8,,75.2,,2,3,402,29.7,84.5,9.5,35,23,2,20,9,11,2.7,1813,5.8,75.5,53,62,7.9,3.54,2,4,6.0,61.3,38,34,5.0,80,17.9,2,28,,,,,83.8,70.4,80.0,67.7,,69.1,,2,2,86,26.5,87.0,11.3,9,8,0,5,2,1,1.2,543,8.8,0,92.6,54,61,-2.9,1.67,2,0,0.0,82.0,50,8,0.0,65,14.5,0,14,,,,,82.4,59.2,79.2,59.0,,,,0,0,69,37.5,98.0,4.6,3,0,0,5,1,0,0.0,379,6.2,2.91
Patrick Mahomes,11765,QB,KC,11,-1.21,0,441,16,77.2,290,320,8.2,3.07,3,11,3.3,66.6,213,136,4.9,375,85.0,11,145,,,,,91.3,87.2,88.2,81.5,,87.5,,3,11,400,19.1,92.9,6.9,26,29,1,23,18,10,2.5,2371,7.4,81.0,252,278,6.0,2.87,5,5,1.7,70.1,195,111,4.4,329,74.6,9,119,,,,,91.1,79.9,87.9,74.2,,84.2,,2,8,350,23.4,92.3,7.9,26,25,1,18,14,8,2.3,1797,6.5,79.6,93,103,7.5,2.72,1,6,5.5,68.9,71,26,4.1,112,25.4,3,46,,,,,86.1,86.5,81.2,82.4,,77.6,,1,3,118,3.8,95.8,0.9,1,4,0,8,4,3,2.5,876,8.5,0,98.2,55,61,-3.2,1.48,3,0,0.0,86.9,53,1,1.9,66,15.0,1,20,,,,,82.3,58.8,79.1,58.5,,,,0,0,68,100.0,87.3,1.5,1,0,0,3,0,1,1.5,302,5.0,2.04
Baker Mayfield,46518,QB,TB,11,6.58,0,427,30,75.7,296,313,8.5,2.84,8,15,4.5,67.1,210,100,6.3,364,85.2,14,135,,,,,41.2,81.4,54.2,79.8,,67.8,,5,9,387,24.0,99.3,6.6,24,26,1,3,21,15,3.9,2320,7.4,77.8,270,285,6.6,2.67,7,13,4.3,69.8,199,83,5.2,328,76.8,11,112,,,,,47.7,77.5,52.1,75.7,,68.6,,4,8,347,21.7,98.2,5.5,18,25,1,3,18,13,3.7,1951,6.8,83.7,86,89,6.1,2.68,1,2,2.2,76.4,68,19,5.6,99,23.2,4,43,,,,,55.5,81.9,80.7,80.5,,58.3,,1,1,104,31.6,123.2,6.1,6,1,0,1,6,2,1.9,848,9.5,0,96.7,60,61,-3.6,1.67,0,0,0.0,93.4,57,2,1.7,63,14.8,1,20,,,,,81.9,68.5,78.9,67.7,,,,0,0,64,0.0,115.8,0.0,0,0,0,1,3,0,0.0,479,7.9,2.68
Aaron Rodgers,2241,QB,NYJ,11,1.96,0,415,22,71.0,307,330,8.6,2.66,6,18,5.2,60.0,198,106,9.2,365,88.0,20,115,,,,,70.8,75.2,36.0,74.2,,65.7,,5,7,384,24.5,87.6,7.1,26,9,0,12,16,9,2.3,2234,6.8,73.7,270,286,7.7,2.46,4,15,5.0,62.9,180,85,9.5,318,76.6,19,96,,,,,79.3,75.6,31.8,74.7,,65.7,,4,6,333,27.1,88.6,7.2,23,9,0,8,13,8,2.4,1899,6.6,77.4,84,94,5.5,2.78,4,3,3.0,64.9,61,25,6.2,97,23.4,4,28,,,,,55.5,69.5,80.7,68.6,,,,1,1,104,12.0,90.0,3.1,3,0,0,5,4,1,1.0,543,5.8,0,97.9,47,50,-2.4,1.61,2,0,0.0,86.0,43,4,6.5,50,12.0,3,9,,,,,80.8,71.1,78.2,70.1,,,,0,0,53,0.0,90.7,0.0,0,0,0,1,1,0,0.0,208,4.2,-0.86
Matthew Stafford,4924,QB,LA,11,9.34,0,412,26,71.6,338,359,9.1,2.66,6,14,3.6,65.5,235,129,2.9,386,93.7,7,127,,,,,54.8,68.4,88.2,67.5,58.4,51.0,,5,7,412,20.2,93.8,6.7,26,1,1,9,15,15,3.6,2701,7.5,68.5,257,270,8.2,2.48,6,8,2.8,63.7,172,97,2.3,292,70.9,4,80,,,,,43.1,53.8,87.6,53.8,,43.1,,2,7,310,22.7,81.0,7.5,22,0,1,4,8,12,3.9,1733,6.4,84.0,106,115,8.2,2.9,1,6,4.8,73.0,84,33,5.6,120,29.1,5,53,,,,,86.7,92.1,81.5,90.9,58.4,65.6,,3,0,129,12.1,121.9,3.3,4,1,0,5,7,3,2.3,1067,9.3,0,92.0,25,26,-4.2,1.77,1,0,0.0,80.8,21,1,8.7,26,6.3,2,6,,,,,76.8,66.4,75.8,65.8,,,,0,0,27,0.0,82.5,0.0,0,0,0,0,0,0,0.0,99,3.8,2.86
Jayden Daniels,97993,QB,WAS,12,-0.88,0,409,32,74.4,258,278,10.3,3.15,6,14,4.7,65.1,181,131,5.7,351,85.8,11,130,,,,,67.1,89.4,88.1,84.1,,83.0,,1,4,373,19.1,99.9,7.1,25,47,1,12,12,7,1.9,2343,8.4,76.9,221,239,8.3,2.8,5,12,4.7,68.6,164,92,3.5,283,69.2,6,96,,,,,61.2,80.0,87.6,77.7,,70.7,,1,3,301,18.5,99.1,6.0,17,26,1,11,10,5,1.7,1784,7.5,81.4,86,93,7.4,3.26,2,2,2.0,67.7,63,47,10.0,126,30.8,7,45,,,,,86.9,92.0,81.6,85.4,,91.2,,0,2,132,21.3,93.9,7.9,10,22,0,5,2,2,1.5,829,8.9,0,98.0,49,54,-3.8,1.73,1,0,0.0,85.2,46,8,4.2,58,14.2,2,11,,,,,81.5,66.0,78.6,66.2,,58.3,,0,1,60,25.0,79.8,3.4,2,1,0,4,0,0,0.0,270,5.0,1.45
