Player,Roster Position,%Drafted,FPTS,
Dustin Crum,QB,41.10%,13.92,
Marquez Cooper,RB,40.96%,0.5,
Sam Hartman,S-FLEX,32.26%,18.52,
Jaquarii Roberson,FLEX,32.06%,14.4,
Kenny Pickett,QB,26.53%,26.12,
Corey Sutton,WR,24.88%,4.8,
Greg Bell,FLEX,24.37%,4,
Jared Wayne,WR,23.20%,14.6,
Blake Corum,RB,22.97%,16,
Jordan Addison,WR,22.29%,24.1,
Dante Cephas,WR,18.92%,20.2,
Jay Ducker,RB,18.44%,17.6,
Camerun Peoples,FLEX,16.97%,12.1,
Trayvon Rudolph,WR,16.00%,8,
Jaylen Warren,RB,15.62%,0,
A.T. Perry,WR,15.45%,17.4,
Cole Tucker,WR,14.48%,5,
Jerome Ford,S-FLEX,13.31%,36.4,
Clint Ratkovich,RB,12.68%,8.4,
Deven Thompkins,WR,11.98%,13.3,
Hassan Haskins,RB,11.05%,22.8,
Rocky Lombardi,S-FLEX,11.00%,22.78,
Keshunn Abram,FLEX,10.92%,7.6,
Lucas Krull,WR,10.39%,5.8,
Brandon Bowling,WR,10.08%,38.4,
Spencer Sanders,QB,9.97%,11.18,
Nykeim Johnson,S-FLEX,9.45%,8.7,
Trestan Ebner,RB,9.44%,5.4,
John Metchie III,WR,9.31%,21.7,
Tyler Goodson,FLEX,9.04%,13.8,
Abram Smith,FLEX,8.24%,6.3,
Desmond Ridder,S-FLEX,7.96%,21.5,
Tyquan Thornton,WR,7.85%,18,
Tay Martin,WR,7.78%,17.8,
Malik Williams,WR,7.33%,2.7,
Ja'Shaun Poke,WR,7.06%,3.7,
Brock Bowers,WR,6.50%,33,
Bryce Young,QB,6.36%,41.84,
Xavier Williams,RB,6.20%,9.3,
Derek Wright,WR,5.99%,17.7,
Jordon Brookshire,QB,5.76%,5.18,
Jameson Williams,FLEX,5.60%,40.4,
Logan Bonner,QB,5.52%,30.52,
Israel Abanikanda,RB,5.47%,18.2,
Cornelius Johnson,WR,5.46%,4.2,
Alec Pierce,WR,5.42%,14.5,
Alton McCaskill,RB,5.37%,3.9,
Thomas Hennigan,WR,5.29%,19.1,
Chase Brice,S-FLEX,5.24%,13.06,
Brennan Presley,FLEX,4.86%,4.64,
Rodney Hammond Jr.,RB,4.80%,14.2,
Taylor Morin,FLEX,4.70%,18.4,
Nate Noel,FLEX,4.59%,4.2,
Zamir White,FLEX,4.58%,6.4,
Donald Stewart,WR,4.36%,0,
George Pickens,WR,4.34%,6.1,
James Cook,RB,4.15%,10.6,
Jeremy Singleton,WR,3.78%,1.8,
Stetson Bennett,QB,3.56%,27.7,
Sam LaPorta,WR,3.47%,12.2,
Jesse Matthews,WR,3.45%,22.2,
Clayton Tune,QB,3.36%,19.1,
Nathaniel Dell,WR,3.10%,33.2,
Gavin Bartholomew,WR,2.84%,1.7,
Cade McNamara,S-FLEX,2.78%,10.36,
Jermaine Burton,WR,2.61%,6.6,
Chris Smith,RB,2.49%,2.1,
Emani Bailey,FLEX,2.29%,26.6,
Vincent Davis,FLEX,2.20%,3.9,
Tre Tucker,WR,2.11%,3,
Montrell Johnson,FLEX,1.96%,0.8,
R.J. Sneed,S-FLEX,1.88%,1.8,
Ladd McConkey,WR,1.88%,11.5,
Calvin Tyler Jr.,RB,1.80%,11.8,
Josh Whyle,WR,1.79%,6.5,
Antario Brown,FLEX,1.77%,7.5,
Blake Shapen,S-FLEX,1.52%,18.3,
Blaine Green,WR,1.51%,4.7,
