player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,DI,BLT,8,5,4.3,0,0,3,59.2,77.2,86.1,73.5,69.2,39.7,5.6,1,0,99,101,6.1,6,12
Tyson Alualu,5535,DI,PIT,8,1,2.2,0,0,25,60.0,30.3,18.2,52.3,31.9,48.2,0.0,0,2,75,75,4.0,3,5
Brandon Graham,5538,ED,PHI,8,1,1.0,0,0,24,72.3,90.0,86.2,84.4,75.2,57.9,12.5,1,0,58,59,10.3,6,6
Jason Pierre-Paul,5540,ED,BLT,6,1,3.0,1,0,3,55.7,49.6,59.2,56.2,46.3,59.4,20.0,1,1,78,78,1.3,1,3
Kareem Jackson,5545,S,DEN,8,11,7.4,0,0,10,68.6,69.0,56.6,,66.7,61.8,17.6,6,1,187,204,1.6,3,17
Devin McCourty,5552,S,NE,9,4,12.8,0,0,19,66.7,69.0,84.1,58.3,69.4,85.1,10.0,2,0,216,219,0.9,2,14
Jerry Hughes,5556,ED,HST,8,2,2.7,1,0,13,68.2,76.3,54.7,70.2,63.9,28.0,30.8,4,2,143,143,2.8,4,7
Carlos Dunlap,5579,ED,KC,8,2,3.1,0,0,16,56.9,61.3,87.5,59.3,62.6,43.9,9.1,1,0,76,80,9.2,7,8
Corey Peters,5607,DI,JAX,5,3,1.3,0,0,15,60.0,59.6,81.9,60.6,56.6,72.9,0.0,0,0,51,52,3.9,2,4
Al Woods,5646,DI,SEA,8,6,1.7,0,0,29,60.5,68.9,52.7,65.1,68.0,66.6,5.0,1,1,115,118,8.7,10,13
Von Miller,6154,ED,BUF,8,0,1.4,0,0,4,90.2,88.5,42.7,80.3,79.1,53.1,22.2,2,2,100,101,7.0,7,7
Patrick Peterson,6157,CB,MIN,8,0,2.4,0,0,18,76.0,76.9,49.4,60.0,81.5,75.6,0.0,0,3,187,189,2.7,5,5
J.J. Watt,6163,ED,ARZ,8,1,0.3,0,0,1,63.2,60.8,53.8,66.7,49.1,64.2,0.0,0,3,126,130,6.3,8,8
Robert Quinn,6166,ED,PHI,9,2,2.6,2,0,24,60.4,42.2,23.4,56.6,38.7,50.8,12.5,1,4,133,135,1.5,2,5
Cameron Jordan,6176,ED,NO,9,8,1.5,0,0,20,80.7,70.1,73.4,58.1,73.8,43.2,17.6,6,1,165,172,9.1,15,20
Cameron Heyward,6183,DI,PIT,8,6,3.4,0,0,25,68.3,88.0,84.8,68.7,80.7,70.5,0.0,0,1,140,144,10.0,14,19
Justin Houston,6222,ED,BLT,6,1,0.0,0,0,3,67.8,78.6,52.1,76.1,65.2,56.0,0.0,0,1,23,26,4.3,1,1
Lawrence Guy,6385,DI,NE,6,8,2.5,0,0,19,,51.0,83.1,54.5,50.3,75.6,0.0,0,0,105,107,9.5,10,10
Chris Harris Jr.,6457,CB,NO,5,2,7.0,0,0,20,55.6,57.9,82.0,68.7,60.0,86.0,0.0,0,2,66,68,1.5,1,5
Josh Bynes,6503,LB,BLT,7,1,4.2,0,0,3,69.9,54.2,80.9,58.5,38.1,62.3,12.5,2,0,121,122,5.0,6,13
Nick Bellore,6515,LB,SEA,3,1,,0,0,29,60.0,80.8,65.9,60.0,74.9,71.7,0.0,0,0,8,8,0.0,0,0
Mario Addison,6558,ED,HST,4,2,3.5,0,0,13,64.1,55.8,83.9,53.9,53.1,50.5,20.0,1,0,43,43,2.3,1,2
Stephon Gilmore,7016,CB,IND,9,0,7.4,0,0,14,71.7,73.3,85.9,,73.1,60.8,16.7,1,2,244,249,0.4,1,5
Fletcher Cox,7018,DI,PHI,8,6,3.7,0,0,24,,56.9,65.2,65.3,46.4,54.4,7.1,1,1,107,109,4.7,5,7
Michael Brockers,7020,DI,DET,5,0,2.3,0,0,11,,50.1,80.9,55.8,48.4,37.2,0.0,0,0,55,55,5.5,3,4
Bruce Irvin,7021,ED,SEA,3,1,-0.7,0,0,29,64.4,59.2,28.3,55.7,68.6,29.1,20.0,1,1,35,36,8.6,3,3
Melvin Ingram III,7024,ED,MIA,9,1,1.3,1,0,17,39.8,66.4,0.0,79.1,72.9,40.1,16.7,1,5,83,86,3.6,3,4
Chandler Jones,7027,ED,LV,8,4,2.0,1,0,23,72.4,60.6,70.3,58.8,57.2,29.6,25.0,5,1,152,154,4.6,7,11
Bobby Wagner,7050,LB,LA,8,13,3.0,0,0,26,74.9,87.1,84.7,71.1,86.5,90.2,0.0,0,0,181,190,7.7,14,22
Lavonte David,7060,LB,TB,9,11,4.3,0,0,30,88.2,82.5,51.8,67.9,67.3,89.7,3.6,1,1,231,237,3.9,9,16
Vinny Curry,7061,ED,NYJ,4,1,3.0,0,0,22,60.0,57.1,28.4,64.7,54.8,42.7,25.0,2,1,41,42,9.8,4,5
Casey Hayward Jr.,7064,CB,ATL,6,0,24.0,0,0,2,65.6,64.7,83.4,,55.2,33.7,25.0,1,0,115,119,0.9,1,3
Demario Davis,7079,LB,NO,9,11,4.3,0,0,20,79.8,84.2,55.1,91.1,69.5,63.0,9.7,3,1,230,239,4.8,11,17
Akiem Hicks,7090,DI,TB,3,0,3.2,0,0,30,,46.4,80.7,50.1,49.2,71.4,0.0,0,0,35,36,11.4,4,5
Rodney McLeod,7271,S,IND,9,7,2.3,0,0,14,71.9,69.8,79.6,63.2,60.1,75.3,4.8,1,2,205,210,4.4,9,13
Michael Thomas,7279,S,CIN,1,0,7.0,0,0,7,64.1,57.4,72.3,60.0,49.9,80.6,0.0,0,0,8,8,0.0,0,1
Tashaun Gipson Sr.,7288,S,SF,8,5,9.6,0,0,28,62.2,70.1,85.8,70.8,84.3,90.7,0.0,0,0,188,192,1.1,2,8
Harrison Smith,7641,S,MIN,7,3,10.6,1,0,18,62.4,64.5,86.0,66.9,64.8,84.4,7.1,1,1,146,148,0.7,1,10
Justin Bethel,7654,CB,MIA,3,0,6.3,0,0,17,53.4,54.0,77.7,,58.1,62.9,25.0,1,1,15,17,0.0,0,3
Darius Slay,7817,CB,PHI,8,0,16.0,0,0,24,83.6,78.5,84.6,,41.4,46.1,25.0,2,1,141,144,0.7,1,6
Johnathan Hankins,7830,DI,DAL,6,5,2.4,0,0,9,60.0,53.6,82.3,51.1,56.2,47.1,7.7,1,0,74,77,5.4,4,7
Jon Bostic,7831,LB,WAS,4,3,1.0,0,0,32,70.4,67.3,75.3,56.5,59.5,58.8,16.7,1,0,31,31,6.5,2,2
Jamie Collins Sr.,7833,LB,NE,1,1,,0,0,19,43.8,58.0,75.8,57.9,68.7,70.5,0.0,0,0,16,16,0.0,0,0
Tyrann Mathieu,7850,S,NO,9,9,9.7,0,0,20,76.8,73.8,84.4,68.9,58.4,53.6,14.3,4,1,229,238,1.7,4,15
John Jenkins,7863,DI,MIA,8,3,1.8,0,0,17,59.8,53.3,80.1,58.9,50.7,74.3,0.0,0,0,52,53,5.8,3,5
Logan Ryan,7864,S,TB,4,0,9.0,0,1,30,66.8,75.1,80.3,59.2,89.1,85.5,0.0,0,0,34,35,2.9,1,3
Duron Harmon,7872,S,LV,8,6,8.5,0,1,23,77.8,74.9,85.3,67.2,56.0,62.4,22.2,4,0,194,197,0.5,1,8
Akeem Spence,7882,DI,SF,5,2,6.0,0,0,28,60.0,43.2,80.6,47.6,46.2,28.3,33.3,2,0,54,55,1.9,1,2
William Gholston,7908,DI,TB,9,7,2.1,0,0,30,63.2,60.5,84.1,59.0,57.1,62.5,5.3,1,0,140,143,5.7,8,11
Oday Aboushi,7923,G,LA,1,0,,1,0,26,,60.0,60.0,,60.0,,,0,1,0,1,,0,0
Steven Means,7929,ED,BLT,2,0,22.0,0,0,3,60.0,75.7,75.6,65.1,73.2,72.4,0.0,0,0,9,10,0.0,0,1
A.J. Klein,7930,LB,CHI,2,1,0.0,0,0,6,50.4,54.2,70.8,59.1,64.7,29.7,33.3,1,0,7,7,14.3,1,1
Micah Hyde,7941,S,BUF,2,0,4.0,0,0,4,69.1,68.4,81.7,59.1,52.5,63.0,50.0,1,0,30,30,3.3,1,1
Jordan Poyer,8000,S,BUF,5,2,8.3,0,0,4,67.4,68.4,82.5,58.3,63.1,62.4,16.7,2,0,102,103,2.0,2,8
Nick Williams,8006,DI,NYG,8,8,2.7,0,0,21,60.0,59.9,83.7,52.7,63.2,76.8,5.0,1,0,100,104,6.0,6,11
Tony Jefferson,8361,S,NYG,1,0,8.0,0,0,21,57.3,52.1,77.9,46.5,62.6,77.2,0.0,0,0,2,2,0.0,0,1
Brandon Copeland,8378,ED,BLT,3,3,6.0,0,0,3,61.7,53.7,78.6,53.4,55.7,75.2,0.0,0,0,17,17,5.9,1,1
Chris Banjo,8419,S,ARZ,4,1,,0,0,1,65.5,72.4,72.6,,69.2,79.1,0.0,0,0,16,16,0.0,0,0
Nickell Robey-Coleman,8483,CB,LV,1,0,,0,0,23,67.8,64.2,72.8,52.4,60.0,,,0,0,3,3,0.0,0,0
Mike Purcell,8530,DI,DEN,8,7,1.9,0,0,10,60.0,69.8,58.2,60.2,72.0,57.7,8.3,2,1,111,123,9.0,10,15
Jadeveon Clowney,8636,ED,CLV,5,2,2.1,0,0,8,45.4,76.2,57.1,73.4,74.4,77.8,9.1,1,1,67,67,9.0,6,8
Khalil Mack,8640,ED,LAC,8,7,1.5,0,0,27,89.8,85.3,87.7,71.7,74.7,62.2,18.2,4,0,160,161,5.0,8,11
Anthony Barr,8644,LB,DAL,8,1,4.8,0,0,9,57.8,56.1,42.0,65.3,54.6,62.6,6.7,1,2,130,135,5.4,7,13
Aaron Donald,8648,DI,LA,8,6,1.5,0,0,26,58.0,90.5,85.5,90.3,76.9,64.9,3.3,1,0,151,158,12.6,19,23
Kyle Fuller,8649,CB,BLT,1,0,14.0,0,0,3,61.0,55.3,79.1,59.1,30.0,53.1,50.0,1,1,17,18,0.0,0,1
C.J. Mosley,8652,LB,NYJ,9,19,5.2,0,0,22,62.8,62.8,21.1,56.6,65.1,69.4,6.3,3,3,225,231,5.8,13,26
Jimmie Ward,8665,S,SF,3,1,5.0,1,0,28,50.8,55.5,77.3,57.8,74.1,29.6,0.0,0,1,35,36,0.0,0,1
Bradley Roby,8666,CB,NO,7,2,4.8,0,0,20,49.6,49.4,33.1,79.7,50.7,32.4,40.0,4,3,135,139,0.7,1,4
Demarcus Lawrence,8669,ED,DAL,8,5,2.3,0,1,9,58.2,72.8,68.6,71.3,66.5,42.3,6.9,2,1,121,124,14.0,17,22
Kyle Van Noy,8675,ED,LAC,8,1,3.3,0,0,27,60.3,51.3,59.4,50.7,52.6,67.0,13.3,2,1,129,131,7.0,9,12
Lamarcus Joyner,8676,S,NYJ,9,6,9.9,0,0,22,55.4,59.1,54.3,83.6,66.0,56.8,22.2,4,3,229,235,1.3,3,8
Jeremiah Attaochu,8685,ED,LAC,2,0,1.5,0,0,27,,66.3,73.3,55.0,67.2,72.8,0.0,0,0,8,8,12.5,1,2
Christian Kirksey,8706,LB,HST,8,9,4.0,0,0,13,58.8,57.8,85.1,65.3,54.7,61.1,15.8,6,0,236,240,5.1,12,23
Justin Ellis,8742,DI,NYG,8,3,1.6,0,0,21,57.2,35.0,83.0,47.4,36.3,39.9,20.0,2,0,86,91,5.8,5,5
DaQuan Jones,8747,DI,BUF,8,4,1.5,1,0,4,,68.6,62.8,73.6,57.5,40.8,11.8,2,1,105,106,7.6,8,11
Dontae Johnson,8764,CB,SF,1,0,,0,0,28,68.1,59.6,71.5,53.8,51.5,71.7,,0,0,8,8,0.0,0,0
Kevin Pierre-Louis,8767,LB,HST,2,1,6.5,0,0,13,68.5,45.8,70.7,68.0,29.5,26.3,40.0,2,1,21,21,0.0,0,2
Brent Urban,8769,DI,BLT,8,3,4.0,0,0,3,60.1,52.6,82.1,55.5,50.8,39.2,12.5,1,0,55,55,5.5,3,4
Devon Kennard,8809,ED,BLT,7,1,0.5,0,0,3,48.3,59.3,81.6,54.1,68.8,48.1,0.0,0,0,47,52,4.3,2,2
Shelby Harris,8869,DI,SEA,8,6,3.2,0,0,29,58.0,71.1,83.3,67.7,66.9,36.7,13.6,3,0,91,96,9.9,9,13
Terrance Mitchell,8888,CB,TEN,4,0,11.0,0,0,31,60.4,61.6,82.8,,68.5,77.5,0.0,0,1,35,37,0.0,0,1
Denico Autry,8982,ED,TEN,8,3,2.8,1,0,31,61.4,78.7,53.6,76.4,70.3,58.3,18.2,2,2,77,81,5.2,4,6
Shaquil Barrett,9000,ED,TB,8,8,1.7,0,0,30,40.0,68.8,69.5,65.8,77.5,52.2,7.4,2,1,131,136,10.7,14,17
Christian Jones,9020,ED,SEA,2,1,1.0,0,0,29,61.4,64.6,74.5,40.5,74.7,34.9,0.0,0,0,12,12,8.3,1,1
Kerry Hyder,9045,DI,SF,8,2,2.3,0,0,28,,59.0,83.6,62.8,51.7,47.8,16.7,1,0,65,66,3.1,2,3
Adrian Phillips,9177,S,NE,9,8,4.0,0,0,19,72.1,70.6,82.8,65.0,59.9,79.5,5.3,1,0,159,161,3.1,5,10
Daniel Sorensen,9253,S,NO,1,0,,0,0,20,69.7,72.2,98.6,,60.0,70.6,,0,0,1,1,0.0,0,0
Joe Thomas,9272,LB,CHI,7,8,5.5,0,0,6,68.9,71.4,76.7,57.3,68.4,32.7,29.4,5,0,75,76,2.7,2,4
Keith Smith,9302,FB,ATL,1,0,,0,0,2,,59.9,60.0,,60.0,,,0,0,1,1,0.0,0,0
Mike Pennel,9316,DI,CHI,9,3,2.4,0,0,6,59.5,37.1,47.8,58.8,36.2,59.9,6.7,1,1,89,90,10.1,9,11
K'Waun Williams,9332,CB,DEN,8,1,7.9,0,0,10,70.9,70.0,37.2,63.7,65.9,58.9,11.1,1,2,94,105,1.1,1,7
Dante Fowler Jr.,9436,ED,DAL,7,1,1.1,0,0,9,81.9,65.8,3.0,75.9,46.9,47.8,20.0,2,3,53,54,9.4,5,7
Leonard Williams,9439,DI,NYG,5,2,3.2,0,0,21,60.2,80.5,61.1,73.6,76.1,76.1,0.0,0,1,93,99,6.5,6,11
Arik Armstead,9450,DI,SF,3,2,3.0,0,0,28,,51.7,81.0,50.4,55.5,71.5,0.0,0,0,44,45,2.3,1,3
Marcus Peters,9451,CB,BLT,8,3,2.8,1,0,3,60.3,59.9,46.5,83.5,54.1,38.8,36.4,4,5,139,142,1.4,2,4
Bud Dupree,9455,ED,TEN,6,2,1.0,0,0,31,63.7,63.2,82.4,61.0,59.9,77.5,0.0,0,0,55,56,5.5,3,3
Shaq Thompson,9458,LB,CAR,10,12,3.9,0,0,5,54.6,68.6,86.0,40.2,87.8,66.9,7.4,4,0,250,255,8.8,22,38
Landon Collins,9466,S,NYG,1,0,,0,0,21,61.3,60.0,74.5,54.6,60.0,73.3,,0,0,1,1,0.0,0,0
Mario Edwards Jr.,9468,ED,TEN,5,1,1.3,0,0,31,61.1,64.1,54.6,54.8,86.5,74.0,0.0,0,1,30,33,10.0,3,3
Preston Smith,9471,ED,GB,9,6,2.0,0,0,12,43.5,64.2,69.1,63.3,65.8,33.7,23.3,7,1,203,208,6.9,14,17
Eric Kendricks,9478,LB,MIN,8,17,3.7,1,0,18,42.6,58.3,49.1,72.2,81.2,50.7,7.7,3,2,185,187,6.5,12,19
Eric Rowe,9480,S,MIA,6,3,4.0,0,0,17,37.2,46.1,79.2,59.3,78.4,55.7,0.0,0,0,55,55,3.6,2,5
Denzel Perryman,9481,LB,LV,6,4,4.1,0,0,23,58.2,69.0,78.2,58.5,75.5,46.7,9.7,3,0,102,102,10.8,11,24
Ronald Darby,9483,CB,DEN,5,1,8.8,0,1,10,66.3,71.1,82.5,60.0,86.5,54.9,14.3,1,1,102,107,2.0,2,5
Jordan Phillips,9485,DI,BUF,6,3,2.3,0,0,4,61.2,56.7,19.3,67.9,49.7,27.0,18.2,2,2,61,61,8.2,5,6
Markus Golden,9491,ED,ARZ,9,8,1.6,0,0,1,54.3,65.7,68.7,62.8,67.7,54.8,9.5,2,1,124,127,7.3,9,11
Randy Gregory,9493,ED,DEN,4,2,3.4,0,0,10,89.3,87.4,82.2,82.6,61.9,66.3,0.0,0,1,50,52,6.0,3,5
Frank Clark,9496,ED,KC,7,2,0.5,1,0,16,39.5,55.6,48.9,65.0,55.7,30.1,9.1,1,2,91,97,7.7,7,8
P.J. Williams,9511,S,NO,5,2,10.7,0,0,20,54.7,54.7,82.2,56.7,58.7,76.7,0.0,0,0,52,56,1.9,1,3
Jordan Hicks,9517,LB,MIN,8,9,4.2,0,0,18,56.3,69.1,82.0,86.5,78.2,71.6,7.0,3,0,167,169,10.8,18,31
Danielle Hunter,9521,ED,MIN,8,7,1.9,1,0,18,79.9,79.8,74.4,74.2,69.0,41.6,17.2,5,2,146,148,8.2,12,17
Carl Davis,9523,DI,NE,9,2,0.7,0,0,19,,39.8,11.9,66.8,36.7,26.2,28.6,2,2,70,71,2.9,2,3
Henry Anderson,9526,ED,CAR,6,3,1.6,0,0,5,60.0,64.2,83.9,54.2,67.5,76.4,0.0,0,0,66,67,9.1,6,9
Steven Nelson,9531,CB,HST,8,4,7.2,0,0,13,79.4,70.1,87.6,91.1,29.8,31.6,36.4,8,0,252,256,1.2,3,10
Angelo Blackson,9533,DI,CHI,9,3,1.8,0,0,6,62.6,39.5,62.1,54.9,34.2,29.7,18.8,3,1,129,131,7.0,9,10
Trey Flowers,9534,ED,MIA,3,1,,0,0,17,60.0,78.0,79.5,72.4,69.1,25.0,50.0,1,0,18,18,0.0,0,0
Za'Darius Smith,9555,ED,MIN,8,2,1.6,0,0,18,61.4,83.1,28.6,87.3,64.8,70.7,5.9,1,3,116,116,7.8,9,14
Kwon Alexander,9557,LB,NYJ,9,3,3.1,0,0,22,59.2,65.6,78.1,74.5,68.7,62.7,5.6,1,0,151,154,5.3,8,14
Damien Wilson,9560,LB,CAR,9,7,4.8,0,0,5,56.6,55.8,79.4,71.6,54.0,65.4,13.0,3,1,125,127,4.8,6,13
