player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Stefon Diggs,9579,WR,BUF,8,11.5,8,72.7,50.0,8,16,0,3.0,2,37,4,1,85.2,80.8,82.1,,82.5,0.0,0,2,55,0.0,0,318,3,64,94.0,299,38.4,122,111.4,88,6,59.7,190,748,204,3.2,11.7,2.5
Tyreek Hill,10799,WR,MIA,8,11.8,11,72.6,40.0,4,10,0,6.2,4,45,17,0,71.1,80.7,94.0,,94.0,1.2,3,2,69,0.0,0,247,2,61,96.4,238,35.2,87,134.7,84,8,62.8,155,1014,386,6.3,16.6,4.26
Puka Nacua,100632,WR,LA,8,9.4,6,72.6,38.5,5,13,0,7.6,5,38,26,1,65.7,45.6,84.6,62.5,83.7,0.0,0,1,37,0.9,3,321,1,61,93.1,299,35.5,114,105.0,84,2,64.5,207,795,307,5.0,13.0,2.66
Ja'Marr Chase,84270,WR,CIN,7,8.1,12,72.3,33.3,3,9,0,3.2,2,40,7,1,83.2,44.8,88.2,,88.3,0.0,0,1,63,0.0,0,296,0,60,96.3,285,25.7,76,106.3,83,4,73.6,218,656,327,5.5,10.9,2.3
A.J. Brown,48327,WR,PHI,8,13.5,13,75.0,57.9,11,19,0,1.6,1,43,24,0,90.0,80.6,91.9,62.3,92.1,0.0,0,2,59,0.3,1,315,1,60,95.2,300,21.6,68,123.9,80,5,78.4,247,939,294,4.9,15.7,3.13
Davante Adams,8688,WR,LV,8,11.2,4,61.0,26.7,4,15,0,6.0,3,32,23,0,77.8,79.0,77.7,,78.4,0.0,0,4,32,0.0,0,287,0,47,93.7,269,16.7,48,73.5,77,3,82.9,238,539,143,3.0,11.5,2.0
Chris Olave,84355,WR,NO,8,14.2,0,57.9,30.8,4,13,0,2.2,1,27,20,0,83.9,78.5,74.5,,75.0,0.0,0,2,45,0.0,0,316,1,44,95.9,303,40.8,129,72.1,76,1,58.2,184,517,188,4.3,11.8,1.71
Amon-Ra St. Brown,84470,WR,DET,7,7.4,7,77.0,64.3,9,14,0,3.4,2,33,11,1,75.7,43.9,83.6,65.6,84.4,0.0,0,3,44,0.4,1,276,1,57,95.3,263,51.4,142,100.3,74,3,47.5,131,665,249,4.4,11.7,2.53
Michael Pittman Jr.,29049,WR,IND,8,8.5,3,68.5,46.2,6,13,0,3.8,2,20,14,1,87.2,38.1,68.6,70.4,69.6,2.6,9,5,75,0.6,2,341,4,50,93.3,318,27.0,92,74.5,73,3,70.4,240,529,267,5.3,10.6,1.66
Keenan Allen,7857,WR,LAC,7,10.3,3,76.1,37.5,3,8,0,1.8,1,28,27,1,88.2,40.5,80.3,77.5,81.7,0.0,0,1,42,1.0,3,307,1,54,90.9,279,62.5,192,116.1,71,4,36.8,113,643,220,4.1,11.9,2.3
Adam Thielen,8288,WR,CAR,7,7.6,2,81.4,33.3,2,6,0,0.0,0,35,5,0,90.7,80.2,85.8,37.8,87.6,0.0,0,0,31,0.6,2,311,1,57,92.0,286,71.7,223,120.3,70,4,27.7,86,581,212,3.7,10.2,2.03
Travis Kelce,7844,TE,KC,7,7.4,6,80.6,33.3,4,12,1,3.6,2,30,16,0,81.6,80.0,88.7,70.1,91.1,26.5,63,2,53,3.4,8,238,5,54,91.6,218,51.7,123,110.4,67,4,19.7,47,583,258,4.8,10.8,2.67
Marquise Brown,61568,WR,ARZ,8,12.2,5,56.7,30.8,4,13,0,5.0,2,26,1,0,73.9,78.2,72.5,,73.3,0.0,0,1,41,0.0,0,303,1,38,92.1,279,19.1,58,88.9,67,4,80.5,244,416,120,3.2,10.9,1.49
T.J. Hockenson,40912,TE,MIN,8,6.7,4,80.3,35.7,5,14,0,8.6,5,27,18,1,60.8,39.4,71.4,70.1,72.9,54.5,170,1,24,6.1,19,312,1,53,88.5,276,34.6,108,105.7,66,3,10.9,34,478,190,3.6,9.0,1.73
Garrett Wilson,97405,WR,NYJ,7,11.3,4,60.0,35.3,6,17,0,4.9,2,20,22,0,65.5,78.2,80.1,,79.0,0.0,0,3,68,0.0,0,265,0,39,94.7,251,27.9,74,73.2,65,2,72.1,191,469,135,3.5,12.0,1.87
Terry McLaurin,48229,WR,WAS,8,11.7,2,66.7,58.3,7,12,0,6.7,3,23,32,0,75.0,78.3,71.1,,71.1,0.0,0,1,32,0.0,0,336,0,42,93.8,315,17.9,60,94.3,63,2,82.1,276,495,124,3.0,11.8,1.57
Michael Thomas,10681,WR,NO,8,10.9,4,63.3,50.0,8,16,1,2.6,1,21,20,0,81.3,77.7,68.9,,68.8,0.0,0,1,31,0.0,0,304,2,38,97.4,296,28.9,88,84.0,60,1,71.1,216,439,102,2.7,11.6,1.48
Evan Engram,11778,TE,JAX,8,4.0,8,86.4,75.0,3,4,0,1.9,1,19,15,2,87.6,24.8,71.2,60.9,72.3,20.0,59,0,34,1.4,4,295,2,51,92.5,273,52.5,155,97.9,59,0,26.8,79,442,296,5.8,8.7,1.62
Zay Flowers,97268,WR,BLT,8,8.2,10,74.6,25.0,1,4,1,6.4,3,19,3,0,68.6,80.1,70.1,,70.5,0.0,0,1,52,0.0,0,283,1,44,92.6,262,30.4,86,95.4,59,1,69.6,197,461,204,4.6,10.5,1.76
Sam LaPorta,101690,TE,DET,8,6.9,5,72.9,70.0,7,10,0,8.5,4,22,11,0,59.9,78.7,72.7,69.2,71.8,47.3,132,0,45,9.0,25,279,0,43,88.2,246,27.2,76,116.1,59,4,25.1,70,434,182,4.2,10.1,1.76
Christian Kirk,47546,WR,JAX,8,8.7,5,75.4,50.0,2,4,0,6.5,3,23,15,1,67.4,36.0,70.7,75.7,71.1,0.0,0,1,45,0.3,1,294,0,43,94.2,277,72.4,213,113.3,57,3,26.5,78,521,170,4.0,12.1,1.88
Jakobi Meyers,47468,WR,LV,7,10.7,3,66.7,70.0,7,10,0,2.6,1,24,23,0,81.8,78.1,70.2,71.8,72.9,0.0,0,4,25,0.8,2,265,4,38,92.5,245,23.4,62,87.2,57,5,76.6,203,404,78,2.1,10.6,1.65
Calvin Ridley,48262,WR,JAX,8,13.6,1,57.9,20.0,2,10,0,10.8,4,19,15,1,53.6,29.5,63.6,,64.7,0.0,0,1,32,0.0,0,304,2,33,93.8,285,15.5,47,87.7,57,2,84.5,257,451,80,2.4,13.7,1.58
CeeDee Lamb,61570,WR,DAL,7,9.8,11,82.1,50.0,3,6,0,2.1,1,29,9,1,85.0,36.5,84.4,,86.8,0.0,0,0,49,0.0,0,248,3,46,94.0,233,66.9,166,131.6,56,3,31.9,79,633,236,5.1,13.8,2.72
DJ Moore,48267,WR,CHI,8,12.1,9,78.6,68.8,11,16,0,2.2,1,31,6,0,83.9,78.5,87.6,,86.6,0.0,0,2,58,0.0,0,287,0,44,97.6,280,15.7,45,133.0,56,5,84.3,242,691,309,7.0,15.7,2.47
Drake London,86519,WR,ATL,8,10.2,1,66.1,52.6,10,19,0,2.6,1,24,2,0,80.8,77.7,78.3,,77.5,0.0,0,2,32,0.0,0,273,1,37,94.5,258,22.0,60,86.8,56,2,78.0,213,438,108,2.9,11.8,1.7
DeVonta Smith,61100,WR,PHI,8,12.7,1,69.6,46.7,7,15,0,7.1,3,18,24,0,65.7,78.6,64.7,,65.4,0.0,0,3,63,0.0,0,334,0,39,95.8,320,28.1,94,91.5,56,3,71.0,237,482,119,3.1,12.4,1.51
Kendrick Bourne,12270,WR,NE,8,10.5,8,67.3,0.0,0,4,0,0.0,0,15,19,1,90.0,29.3,67.2,,69.7,0.0,0,4,36,0.0,0,247,3,37,95.1,235,30.4,75,82.8,55,4,69.6,172,406,208,5.6,11.0,1.73
Chris Godwin,11839,WR,TB,7,10.1,3,69.1,58.3,7,12,0,0.0,0,25,30,0,90.1,78.4,79.7,,80.0,0.4,1,2,42,0.0,0,256,0,38,92.6,237,32.8,84,84.8,55,1,66.8,171,452,181,4.8,11.9,1.91
Amari Cooper,9437,WR,CLV,7,14.7,0,55.6,63.6,7,11,0,9.1,3,21,8,1,48.9,76.5,73.9,68.1,72.9,0.0,0,4,58,0.4,1,259,1,30,92.7,240,21.6,56,60.6,54,1,77.6,201,478,83,2.8,15.9,1.99
Jaylen Waddle,84088,WR,MIA,7,9.8,2,69.8,28.6,2,7,0,11.9,5,24,17,0,48.1,78.0,82.3,,82.4,0.0,0,2,35,0.0,0,213,0,37,95.3,203,25.8,55,101.1,53,3,73.2,156,480,207,5.6,13.0,2.36
Josh Downs,122832,WR,IND,8,7.9,4,75.5,42.9,3,7,0,0.0,0,20,14,0,90.2,78.5,74.3,,74.9,0.0,0,0,59,0.0,0,282,1,40,93.6,264,83.7,236,114.7,53,2,16.3,46,473,215,5.4,11.8,1.79
Mike Evans,8642,WR,TB,7,14.0,2,63.5,50.0,8,16,0,8.3,3,19,30,0,61.2,77.1,75.0,,76.2,0.0,0,1,70,0.0,0,229,2,33,93.0,213,28.4,65,119.6,52,5,71.6,164,507,134,4.1,15.4,2.38
George Pickens,99229,WR,PIT,7,14.7,4,53.8,23.1,3,13,1,3.4,1,20,25,1,76.7,27.3,73.5,,75.4,0.0,0,2,71,0.0,0,263,5,28,95.4,251,12.5,33,92.0,52,3,87.5,230,522,191,6.8,18.6,2.08
Justin Jefferson,61398,WR,MIN,5,11.8,5,69.2,33.3,3,9,1,2.7,1,28,18,1,81.3,29.1,89.9,,89.5,0.0,0,0,52,0.0,0,213,1,36,93.4,199,31.5,67,124.8,52,3,68.1,145,571,186,5.2,15.9,2.87
Brandon Aiyuk,84109,WR,SF,7,14.6,3,68.6,40.0,2,5,0,5.4,2,30,28,0,62.7,77.4,91.7,69.0,91.5,0.0,0,2,42,0.5,1,207,0,35,92.8,192,20.3,42,106.7,51,2,79.7,165,620,143,4.1,17.7,3.23
Darren Waller,9637,TE,NYG,8,8.1,1,72.0,30.8,4,13,0,0.0,0,18,21,0,89.7,77.4,68.9,59.6,73.1,27.8,79,2,27,6.7,19,284,0,36,88.0,250,51.1,145,84.0,50,1,20.4,58,383,148,4.1,10.6,1.53
Jordan Addison,123000,WR,MIN,8,11.7,3,72.0,50.0,5,10,0,0.0,0,21,18,0,89.7,77.8,70.6,,72.5,0.0,0,2,62,0.0,0,287,0,36,94.1,270,24.4,70,125.2,50,7,74.9,215,482,155,4.3,13.4,1.79
DeAndre Hopkins,7808,WR,TEN,7,15.5,0,63.3,37.5,3,8,0,6.1,2,23,31,0,68.2,76.6,79.8,,80.2,0.0,0,3,61,0.0,0,212,2,31,91.5,194,23.1,49,92.6,49,3,75.5,160,504,103,3.3,16.3,2.6
Dallas Goedert,47272,TE,PHI,8,5.2,7,72.9,50.0,4,8,0,5.4,2,21,24,0,71.6,77.4,69.6,79.0,64.8,37.5,115,2,49,3.9,12,307,2,35,91.9,282,52.4,161,90.6,48,2,9.8,30,360,197,5.6,10.3,1.28
Nico Collins,61441,WR,HST,7,12.4,12,68.8,75.0,3,4,0,2.9,1,25,13,0,79.4,77.1,87.4,,86.1,0.0,0,0,52,0.0,0,216,0,33,94.4,204,20.4,44,130.3,48,3,79.6,172,577,260,7.9,17.5,2.83
Tyler Lockett,9502,WR,SEA,7,12.3,1,72.9,37.5,3,8,0,2.8,1,20,29,0,81.3,77.7,78.4,,78.0,0.0,0,0,36,0.0,0,242,0,35,92.6,224,36.4,88,115.8,48,3,63.2,153,370,82,2.3,10.6,1.65
Romeo Doubs,84329,WR,GB,7,12.0,0,56.3,38.5,5,13,0,10.0,3,18,12,0,56.1,76.1,70.3,,68.7,0.0,0,3,30,0.0,0,235,0,27,93.6,220,14.5,34,81.6,48,5,85.5,201,276,73,2.7,10.2,1.25
K.J. Osborn,23503,WR,MIN,8,9.0,0,65.2,28.6,2,7,0,14.3,5,16,18,0,40.0,76.5,55.0,73.6,55.1,0.0,0,2,36,0.6,2,337,1,30,93.2,314,36.8,124,85.4,46,2,63.2,213,360,132,4.4,12.0,1.15
Tutu Atwell,77965,WR,LA,8,11.8,0,60.9,50.0,3,6,0,3.4,1,20,26,0,76.7,77.8,69.0,,67.3,0.0,0,1,44,0.0,0,307,0,28,93.8,288,43.6,134,98.2,46,3,56.4,173,361,76,2.7,12.9,1.25
Elijah Moore,84302,WR,CLV,7,9.4,4,60.0,25.0,1,4,0,0.0,0,11,8,1,86.5,29.7,59.1,0.0,61.1,0.0,0,1,33,0.4,1,258,0,27,93.0,240,54.7,141,66.5,45,0,39.9,103,256,102,3.8,9.5,1.07
Mark Andrews,47436,TE,BLT,7,8.3,5,71.1,50.0,3,6,0,11.1,4,23,3,0,50.8,77.1,75.5,71.0,76.3,9.5,23,0,38,2.9,7,243,0,32,91.4,222,81.1,197,137.7,45,6,9.1,22,397,155,4.8,12.4,1.79
Kyle Pitts,83964,TE,ATL,8,11.7,1,62.2,33.3,4,12,0,3.4,1,17,2,0,76.9,76.3,68.0,69.6,72.0,11.8,29,1,39,0.8,2,246,1,28,94.7,233,60.6,149,82.9,45,1,27.6,68,333,73,2.6,11.9,1.43
Gabe Davis,55410,WR,BUF,8,13.2,5,68.9,66.7,6,9,0,6.1,2,21,4,1,69.5,28.2,69.2,78.4,71.5,0.3,1,2,40,1.3,4,307,0,31,93.2,286,17.9,55,118.2,45,5,81.1,249,434,110,3.5,14.0,1.52
Jahan Dotson,84375,WR,WAS,8,9.6,1,66.7,50.0,2,4,1,9.1,3,14,32,0,58.7,76.6,57.9,,59.0,0.0,0,3,23,0.0,0,343,2,30,92.7,318,44.0,151,71.6,45,2,56.0,192,291,73,2.4,9.7,0.92
Courtland Sutton,48164,WR,DEN,8,11.0,1,75.0,63.6,7,11,0,5.7,2,19,10,2,70.1,21.3,72.1,62.3,71.1,0.4,1,1,33,0.4,1,282,2,33,91.8,259,24.5,69,130.7,44,6,75.2,212,380,72,2.2,11.5,1.47
Alvin Kamara,11822,HB,NO,5,-0.3,8,88.6,,0,0,0,4.9,2,12,20,0,74.3,88.1,65.0,28.3,72.8,0.0,0,0,25,18.2,30,165,0,39,76.4,126,6.7,11,95.8,44,1,5.5,9,228,251,6.4,5.8,1.81
D.K. Metcalf,47864,WR,SEA,6,13.8,6,61.4,16.7,1,6,1,3.6,1,21,29,0,65.0,75.9,76.1,,79.0,0.0,0,2,43,0.0,0,210,5,27,92.4,194,15.2,32,87.7,44,2,84.8,178,404,93,3.4,15.0,2.08
Curtis Samuel,11795,WR,WAS,8,7.0,4,81.4,62.5,5,8,0,2.8,1,15,32,0,79.9,78.4,71.9,61.6,70.9,0.8,2,2,37,0.4,1,242,0,35,92.6,224,71.1,172,95.0,43,2,26.9,65,332,132,3.8,9.5,1.48
