player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Connor Bazelak,99135,QB,INDIANA,5,2.51,2.48,3.28,4.8,260,190,66.7,138,143,7.9,1.9,3,5,3.3,58.7,84,33,8.7,144,55.4,8,44,0,3,151,3.0,78.1,0.7,1,0,0,2,4,5,3.3,910,6.4,53.2,94,104,11.6,3.29,0,3,2.7,44.2,46,54,8.0,115,44.2,4,25,0,2,124,18.5,63.1,8.7,10,1,0,10,4,6,4.8,484,4.7
Will Rogers,124184,QB,MISS STATE,5,2.37,2.34,3.07,4.73,248,227,84.2,139,141,5.8,1.7,1,7,4.7,79.4,112,6,4.3,144,58.1,5,58,0,1,151,50.0,132.7,2.1,3,0,0,1,15,1,0.7,1134,8.0,76.2,84,92,6.5,3.39,3,3,3.2,63.0,58,36,9.4,101,40.7,6,34,0,2,104,16.7,86.2,5.9,6,3,0,5,4,4,3.8,578,6.3
Donovan Smith,73929,QB,TEXAS TECH,5,2.76,2.54,3.62,4.74,247,315,77.0,113,114,5.8,1.8,1,1,0.9,75.4,86,20,1.1,116,47.0,1,37,0,4,118,10.0,93.2,1.7,2,0,0,0,5,4,3.4,774,6.8,68.2,88,100,12.0,3.6,1,5,4.8,56.0,56,69,6.7,131,53.0,4,41,2,3,137,23.2,85.5,12.2,16,15,0,9,6,5,3.6,701,7.0
Kyle Vantrease,55029,QB,GA SOUTHRN,5,2.29,2.21,4.0,4.68,243,174,80.1,146,150,4.9,1.81,4,4,2.6,74.7,112,19,4.3,150,61.7,5,55,0,2,154,0.0,102.6,0.0,0,0,0,0,7,1,0.6,1019,6.8,47.3,74,80,17.0,3.24,0,5,5.8,37.5,30,33,14.3,88,36.2,5,25,0,5,94,6.1,49.0,2.3,2,6,0,6,3,11,11.7,561,7.0
Reece Udinski,60592,QB,RICHMOND,5,2.47,2.34,3.16,4.78,237,276,84.5,142,144,5.1,1.8,2,2,1.4,79.2,114,18,5.0,144,60.8,6,54,0,1,145,0.0,111.5,0.0,0,0,0,0,9,1,0.7,929,6.5,82.1,67,74,8.1,3.51,0,3,3.9,71.6,53,44,3.6,93,39.2,2,31,1,0,96,20.5,111.8,9.7,9,10,0,6,4,3,3.1,569,7.7
John Paddock,77689,QB,BALL ST,5,2.02,2.01,2.7,,234,117,75.1,173,182,7.0,1.79,8,11,5.9,67.0,122,40,6.2,182,77.8,8,66,1,3,185,0.0,98.7,0.0,0,0,0,0,10,5,2.7,1280,7.0,67.4,43,50,7.6,2.83,1,2,3.5,58.0,29,16,0.0,52,22.2,0,13,1,3,59,12.5,54.7,3.8,2,0,0,5,1,1,1.7,271,5.4
Daniel Richardson,97103,QB,C MICHIGAN,5,2.39,2.29,3.56,4.08,233,134,69.8,139,142,6.9,1.86,3,4,2.6,62.7,89,27,8.2,143,61.4,8,49,0,1,152,3.7,95.5,0.7,1,0,0,0,8,2,1.3,862,6.1,57.1,70,75,13.5,3.22,0,4,4.7,45.3,34,43,15.0,90,38.6,6,23,1,3,101,23.3,64.8,11.1,10,5,0,4,3,6,5.9,508,6.8
Ryan Hilinski,71295,QB,NWESTERN,5,2.58,2.56,3.45,5.2,230,256,65.9,91,94,5.3,1.89,3,0,0.0,58.5,55,9,8.3,94,40.9,5,25,0,1,95,0.0,78.1,0.0,0,0,0,0,3,2,2.1,475,5.1,66.9,121,129,10.2,3.09,2,2,1.4,58.9,76,42,6.2,135,58.7,5,42,2,3,144,9.5,80.2,3.0,4,2,0,4,3,10,6.9,958,7.4
Frank Harris,60586,QB,UTSA,5,2.52,2.23,3.67,4.64,223,331,77.0,135,138,6.5,1.72,3,7,5.0,73.2,101,21,2.9,139,62.3,3,56,0,5,142,4.8,106.1,0.7,1,0,0,0,9,5,3.5,1206,8.7,62.0,50,54,15.1,3.85,0,4,6.3,57.4,31,51,0.0,84,37.7,0,36,1,0,95,17.6,109.3,10.7,9,21,0,3,3,1,1.1,529,9.8
N'Kosi Perry,60446,QB,FAU,6,2.51,2.38,4.18,4.09,221,165,72.5,120,122,6.7,1.76,1,6,4.7,67.2,82,20,5.7,123,55.7,5,48,0,2,129,0.0,103.2,0.0,0,1,0,1,9,2,1.6,801,6.6,53.3,75,82,18.5,3.46,1,10,11.8,40.2,33,34,17.5,98,44.3,7,33,0,3,101,14.7,80.9,5.1,5,11,0,6,6,7,6.9,711,8.7
Nolan Henderson,63572,QB,DELAWARE,5,2.97,2.68,3.85,5.41,221,151,81.1,90,94,5.0,1.73,3,2,2.1,76.6,72,14,1.4,94,42.5,1,38,0,2,96,0.0,101.8,0.0,0,0,0,1,5,3,3.1,610,6.5,64.0,86,93,15.4,3.95,2,8,8.0,57.0,53,55,3.6,125,56.6,2,37,0,2,135,23.6,117.5,10.4,13,19,0,5,11,5,3.7,835,9.0
DJ Irons,145585,QB,AKRON,5,2.94,2.63,3.48,5.18,220,102,81.9,72,72,3.4,1.79,0,1,1.3,79.2,57,12,3.4,75,34.1,2,26,0,0,81,25.0,100.8,4.0,3,0,0,0,2,1,1.2,429,6.0,63.8,94,108,13.2,3.53,1,6,5.4,50.9,55,68,8.3,145,65.9,5,38,3,2,150,25.0,76.4,11.7,17,20,0,10,4,6,4.0,705,6.5
Jayden de Laura,131928,QB,ARIZONA,5,3.0,2.86,3.73,5.23,219,109,78.5,93,94,4.9,1.88,0,2,2.1,70.2,66,14,9.6,95,43.4,7,41,1,1,95,7.1,116.1,1.1,1,0,0,0,9,1,1.1,633,6.7,68.7,99,105,14.8,3.89,1,9,8.2,56.2,59,49,13.2,123,56.2,9,51,0,5,130,12.2,84.6,4.9,6,12,0,5,5,10,7.7,1000,9.5
Parker McKinney,82109,QB,E KENTUCKY,5,2.8,2.56,3.85,4.99,219,159,81.4,113,115,7.2,1.86,2,7,5.7,74.8,86,13,6.5,116,53.0,6,53,0,0,123,7.7,126.1,0.9,1,0,0,0,10,1,0.8,904,7.9,68.5,73,77,15.1,3.86,0,7,8.4,58.4,45,45,10.0,103,47.0,5,36,0,5,110,22.2,68.1,9.7,10,16,0,4,2,6,5.5,660,8.6
Cameron Ward,133244,QB,WASH STATE,5,2.89,2.7,4.87,4.91,216,341,78.9,114,115,5.8,1.66,1,2,1.7,73.0,84,14,6.7,115,53.2,6,42,0,2,119,0.0,113.6,0.0,0,0,0,0,9,2,1.7,878,7.6,72.3,65,80,9.4,4.33,0,1,1.2,58.8,47,63,0.0,100,46.3,0,32,0,5,104,20.6,71.2,13.0,13,7,0,15,4,5,4.8,567,7.1
Austin Reed,111760,QB,W KENTUCKY,5,2.28,2.16,3.65,5.03,215,346,84.0,125,130,3.6,1.59,3,2,1.4,77.7,101,16,3.8,131,60.9,4,44,2,0,140,0.0,118.6,0.0,0,1,0,0,8,4,2.9,979,7.5,68.7,67,70,15.1,3.41,1,9,11.5,61.4,43,19,6.5,83,38.6,3,32,1,5,91,42.1,104.6,9.6,8,5,0,1,9,6,6.6,697,10.0
RJ Martinez,147690,QB,N ARIZONA,5,2.57,2.48,2.93,4.72,213,252,80.2,116,119,5.5,1.78,3,7,5.6,73.9,88,18,5.4,120,56.3,5,38,0,0,125,5.6,100.7,0.8,1,0,0,0,5,1,0.8,656,5.5,61.7,60,78,12.2,3.63,1,4,4.9,44.9,35,44,5.4,92,43.2,2,21,2,6,97,11.4,29.6,5.4,5,9,0,15,0,10,10.3,415,5.3
Gavin Hardison,100827,QB,UTEP,6,3.0,2.84,3.74,5.26,213,330,68.2,88,92,8.0,1.92,3,1,1.1,58.7,54,11,10.0,93,43.7,6,25,1,2,95,9.1,69.2,1.1,1,0,0,0,2,5,5.3,443,4.8,60.7,84,94,16.7,3.9,0,16,15.4,46.8,44,51,13.7,118,55.4,7,35,1,1,128,25.5,87.1,11.0,13,11,0,9,4,5,3.9,819,8.7
Pierce Holley,108981,QB,GEORGETOWN,5,2.25,2.21,3.03,3.8,212,172,76.3,135,139,6.9,1.84,4,5,3.5,68.3,95,15,7.8,139,65.6,8,45,0,3,143,0.0,90.5,0.0,0,0,0,0,6,2,1.4,869,6.3,63.9,61,64,13.3,3.03,1,3,4.2,60.9,39,25,0.0,73,34.4,0,23,0,2,81,24.0,77.3,8.2,6,3,0,2,2,5,6.2,416,6.5
Brennan Armstrong,77696,QB,VIRGINIA,5,2.84,2.49,3.32,5.17,211,335,66.7,87,91,7.0,1.84,4,2,2.0,56.0,51,23,12.1,93,44.1,7,21,0,2,100,8.7,68.7,2.2,2,0,0,0,3,5,5.0,395,4.3,62.0,79,84,14.7,3.63,3,5,5.6,46.4,39,65,20.4,118,55.9,10,34,0,3,124,15.4,61.9,8.5,10,24,0,2,1,6,4.8,646,7.7
Miles Hastings,103943,QB,UC DAVIS,5,2.33,2.31,3.34,3.9,209,322,76.2,126,127,5.0,1.87,0,1,0.8,70.9,90,13,6.3,128,61.2,6,42,0,3,130,7.7,90.7,0.8,1,0,0,1,5,5,3.8,802,6.3,68.2,66,73,9.2,3.13,1,2,2.5,56.2,41,20,8.9,79,37.8,4,20,1,1,87,20.0,80.6,5.1,4,2,0,5,3,3,3.4,415,5.7
Tim DeMorat,78498,QB,FORDHAM,5,2.52,2.45,3.03,5.1,209,168,72.3,101,101,7.3,1.85,0,5,4.9,70.3,71,11,2.7,102,48.8,2,40,0,1,104,9.1,122.9,1.0,1,0,0,0,10,1,1.0,808,8.0,72.3,94,98,19.2,3.15,0,17,15.6,63.3,62,37,8.8,107,51.2,6,46,1,2,119,13.5,138.0,4.7,5,4,0,3,16,4,3.4,1339,13.7
Hunter Dekkers,122511,QB,IOWA STATE,5,2.56,2.36,4.15,5.45,208,193,79.6,103,104,4.8,1.84,0,1,0.9,75.0,78,13,4.9,104,50.0,4,40,0,4,106,0.0,98.7,0.0,0,0,0,1,7,4,3.8,692,6.7,68.7,83,85,9.2,3.28,0,6,6.5,62.4,53,45,7.0,104,50.0,4,27,1,2,114,28.9,90.5,12.5,13,6,0,1,4,6,5.3,624,7.3
