Player,Roster Position,%Drafted,FPTS
Charlie Kolar,WR,31.19%,2
Sam Hartman,QB,27.84%,49.18
Jaquarii Roberson,WR,26.81%,16.5
Mataeo Durant,FLEX,22.90%,13.6
Will Shipley,RB,22.24%,34.2
Kenny Pickett,QB,19.59%,32.76
Jake Bobo,FLEX,18.85%,6.3
Taysir Mack,WR,17.95%,14.2
Abram Smith,RB,16.71%,25.6
Bijan Robinson,RB,15.99%,11.7
Kenneth Walker III,RB,15.71%,56.8
David Bell,WR,13.87%,17
Payne Durham,WR,13.17%,6
Deuce Vaughn,RB,13.16%,32.8
Gerry Bohanon,S-FLEX,12.96%,15.58
Desmond Ridder,QB,12.84%,24.78
Tyquan Thornton,WR,12.78%,14.64
Christian Beal-Smith,RB,12.57%,10.6
Travis Dye,RB,12.15%,35.2
Stephen Carr,RB,11.46%,31
A.T. Perry,WR,10.77%,21.6
Zamir White,RB,10.56%,19.5
Kaylon Geiger Sr.,WR,10.56%,3.8
Key'Shawn Smith,WR,10.29%,17.2
Caleb Williams,QB,9.99%,43.38
Jerome Ford,RB,9.96%,26.7
Brock Purdy,QB,9.23%,23.8
Gunnar Holmberg,S-FLEX,9.03%,5.1
Jared Wayne,WR,8.33%,19.8
Henry Colombi,S-FLEX,7.13%,6.08
Trestan Ebner,RB,7.06%,6.6
Adrian Martinez,S-FLEX,7.03%,22.56
Kennedy Brooks,RB,6.94%,3.5
Jayden Reed,FLEX,6.90%,16
Jalen Nailor,S-FLEX,6.88%,11.5
Marvin Mims,WR,6.47%,32.5
Xavier Worthy,WR,6.43%,24.5
Ty Fryfogle,WR,6.38%,12.6
Rakim Jarrett,FLEX,6.35%,13.8
R.J. Sneed,WR,6.12%,23.4
King Doerue,RB,5.75%,8
Casey Thompson,S-FLEX,5.56%,21.3
Brock Bowers,WR,5.26%,4.8
Alec Pierce,WR,5.21%,6.7
Rahmir Johnson,RB,5.12%,13.4
Breece Hall,RB,4.90%,29.6
Hassan Haskins,RB,4.74%,9.7
Peyton Hendershot,WR,4.65%,33.6
Kendre Miller,RB,4.62%,20
Vincent Davis,FLEX,4.47%,9.2
D.J. Uiagalelei,QB,4.36%,8.66
Blake Corum,S-FLEX,4.19%,7.7
Payton Thorne,QB,4.17%,9.84
Taulia Tagovailoa,QB,4.15%,27.76
Tyler Van Dyke,QB,4.14%,29.14
Jordan Addison,WR,4.13%,25.4
Anthony Brown,QB,4.12%,31.08
Taylor Morin,WR,4.01%,10.4
Aidan O'Connell,QB,4.00%,16.42
Erik Ezukanma,WR,3.99%,30.1
Samori Toure,WR,3.97%,6.7
Rodney Hammond Jr.,RB,3.94%,3.7
Joshua Moore,WR,3.93%,16.4
Quentin Johnston,WR,3.89%,2.5
Charleston Rambo,WR,3.85%,20.1
Winston Wright Jr.,WR,3.73%,25
Sam LaPorta,WR,3.67%,7.4
Zach Evans,RB,3.62%,0
Tahj Brooks,RB,3.61%,3.8
Anthony Richardson,S-FLEX,3.42%,2.88
Lucas Krull,WR,3.31%,8.8
Eric Gray,RB,3.26%,4
Ben Sims,WR,3.18%,9.9
Jadon Haselwood,WR,3.14%,7
Max Duggan,QB,3.12%,2.12
SaRodorick Thompson,RB,3.10%,1.3
Chigoziem Okonkwo,WR,3.05%,2.2
Jaylan Knighton,RB,2.98%,26.1
James Cook,RB,2.91%,13.8
Xavier Hutchinson,WR,2.90%,11.9
Skylar Thompson,QB,2.82%,20.48
Israel Abanikanda,RB,2.81%,19.3
Jackson Anthrop,WR,2.80%,18.8
Tyler Goodson,FLEX,2.73%,4.1
Cornelius Johnson,FLEX,2.73%,10.3
Bryce Ford-Wheaton,WR,2.67%,31.6
Ladd McConkey,WR,2.66%,1.7
Austin Allen,FLEX,2.60%,5.8
Jeremiah Hall,WR,2.55%,5.2
Tayon Fleet-Davis,RB,2.40%,19.4
Melquise Stovall,WR,2.34%,6.2
Jashaun Corbin,RB,2.32%,10.2
Devon Williams,FLEX,2.30%,20.5
Jacob Copeland,WR,2.24%,4.7
Tyler Scott,FLEX,2.22%,4.5
Josh Whyle,FLEX,2.20%,23.9
Phillip Brooks,WR,2.18%,6.4
Jordan Travis,QB,2.17%,11.44
Jalon Calhoun,FLEX,2.10%,8
