"Player","Pos","Team","Notes","HPPR Rank","Exp Rank","Half PPR","Exp","Over Exp"
"A.Ekeler","RB","LAC","Dealing with an ankle injury but elite usage again. ","2","1","24.4","22.1","2.3"
"J.Jacobs","RB","LV","Major positive regression candidate. 47-of-57 snaps.","29","2","8.1","19.8","-11.7"
"T.Pollard","RB","DAL","Handled all 4 RB goal line carries. RB1 overall potential.","5","3","21.2","19.4","1.8"
"K.Williams","RB","LA","Passing downs, change of pace early downs, 1 goal line.","8","4","17.2","17.4","-0.2"
"A.Mattison","RB","MIN","47-of-64 snaps. RB1 usage but mid performance as usual.","18","5","11.9","16.6","-4.7"
"T.Allgeier","RB","ATL","RB6 usage as goal line stud. New Jamaal Williams?","4","6","22.9","16.6","6.3"
"D.Jackson","RB","IND","Fumbled, ran small. Will get benched for Moss (arm) soon.","42","7","5.3","16.4","-11.1"
"C.McCaffrey","RB","SF","Dog.","3","8","24.4","15.8","8.6"
"M.Sanders","RB","CAR","RB9 usage in bad offense. WRs so bad, have to use RBs.","20","9","11.8","15.6","-3.8"
"R.Johnson","RB","CHI","Ran hard on tape, but 92% touches in garbage time.","12","10","14.5","15.5","-1"
"B.Robinson","RB","WAS","RB2 usage as clear lead over Gibson.","14","11","13.1","14.8","-1.7"
"N.Chubb","RB","CLE","12-of-35 routes but 4 targets in rain. Big games coming.","11","12","14.7","14.5","0.2"
"T.Etienne","RB","JAX","30-of-36 routes but lost 2 goal line opps. Explosive.","6","13","18.9","14.1","4.8"
"R.Stevenson","RB","NE","Timid rushing early, but checkdowns late. Buying as a RB1.","19","14","11.9","14.1","-2.2"
"K.Gainwell","RB","PHI","14-of-16 RB carries. PHI: 22nd in RB usage.","24","15","9.4","13.9","-4.5"
"A.Dillon","RB","GB","Jones (hamstring) leaves. Dillon was bad on big workload.","43","16","4.6","13.5","-8.9"
"J.Williams","RB","DEN","5.8 points below expectation. Early downs but 6 targets.","33","17","7.7","13.5","-5.8"
"C.Akers","RB","LA","Garbage time touches: Akers (50%), Kyreen (6%).","25","18","8.9","13.3","-4.4"
"B.Robinson","RB","ATL","Motion man in RZ. Had 6 targets. Fit with Ridder.","7","19","17.3","12.8","4.5"
"A.Jones","RB","GB","Converted GL carry, huge screen pass before injury.","1","20","25.7","12.8","12.9"
"D.Montgomery","RB","DET","55-of-71 snaps. Under center RB, goal line, and pass pro.","13","21","13.4","12.7","0.7"
"J.Kelley","RB","LAC","LAC was 1st in RB usage. Ekeler dealing with ankle.","10","22","15.1","12.4","2.7"
"J.Cook","RB","BUF","59% snaps. BUF 22nd in RB usage. Murray in 2-min drill.","28","23","8.3","12","-3.7"
"K.Walker","RB","SEA","Lost 2-min drill snaps, but Charbs didn't mix in much.","27","24","8.7","11.9","-3.2"
"J.Conner","RB","ARI","52-of-62 snaps. RB25 usage even in bad O.","23","25","9.5","11.9","-2.4"
"J.Williams","RB","NO","Dead last in RB fantasy usage because no GL/targets.","39","26","6.2","11.9","-5.7"
"D.Henry","RB","TEN","51% neutral pass rate. Subbed out on passing downs.","16","27","12.9","11.8","1.1"
"D.Cook","RB","NYJ","27-of-54 snaps. Will lose snaps as season goes on.","35","28","7.4","11.6","-4.2"
"R.Mostert","RB","MIA","49-of-67 snaps. Only goal line and 3rd down RB touch.","17","29","12","11.2","0.8"
"J.Mixon","RB","CIN","20-of-36 pass downs. CIN was just awful in rain.","26","30","8.8","11","-2.2"
"E.Elliott","RB","NE","Schemed early, but 4.2 points below expected.","38","31","6.8","11","-4.2"
"R.White","RB","TB","Worst rush yards over expected. 54-of-68 snaps tho.","40","32","5.9","10.5","-4.6"
"J.Dobbins","RB","BAL","IR (achilles). Was balling out. BAL: 39% neutral pass.","21","33","10.7","10.1","0.6"
"J.Hill","RB","BAL","BAL 9th in RB usage. Hill used at GL twice.","15","34","12.9","10","2.9"
"S.Barkley","RB","NYG","Victim of game script.","32","35","7.8","9.6","-1.8"
